雄黄,"两,片,g,钱半"
大腹皮,"两4钱,g,克,两"
中把,None
去烟,None
天花粉,"克,两,钱5分"
川百药煎,两半
醋延胡,两
鱼鳔,两
天竹黄末,两
坯子染胭脂,两
板蓝根,g
藿香,"两,g,None,石,钱"
碧玉散,g
生甘草,"两,克,g,钱"
苦楝根,千克
42,克
草蔻,"钱,克,钱半"
芦荟,"None,两"
白芥子,"两,克,钱,份"
如法熬,None
姜,None
火煅,克
元胡,"g,两,两5钱,None,钱,斤,kg,克,钱半,千克"
梅花鹿胎,具
锦地罗,两
砂仁,"g,两,钱,克,钱5分,斤,两9钱,两6钱,两5钱,None,千克,分"
婴粟壳,g
用醋,升
核桃仁,个
党参,"两,g,千克,克,升"
花生米,枚
蒜白,斤
罂粟壳,钱
熟干地黄,"克,分,两"
苁蓉,"两,分"
昼夜,None
羊桃根,两
芦根,g
柳,斤
雷丸,克
生冬葵根,斤
枸杞根汁,升
吴白术,两
入茱砂,钱
苏梗,钱5分
益智仁,"两,钱,克,两5钱"
白槟榔,两
败酱草,g
木鳖子,"两,个"
硼酸,g
丝瓜络,g
赤苓,"两,None,两半,钱"
取净药,克
红大戟,两
取出焙,None
东白芍,钱
三七粉,g
鸡苏茎叶,两
礞石,钱
须煮至香附黑色为度,None
怀庆熟地黄,两
肥壮者佳,None
牛角腮,两半
银,两
木贼,"None,两"
保首乌,g
每份,两
腿骨共,节
炒杜仲,g
桂枝,"两,克,钱,g"
甘草水,None
醋制,份
千金子,分
小茴香,"钱,两,None,g,两5钱,克,分"
入砂仁,钱
荆沥,升
白薇,"g,两,两8钱,斤,千克"
胡桃仁,个
候干以炭,斤
芦巴子,"g,两"
真阿胶,两
醋炒,None
白芷梢,None
装入罐,None
或加肉桂,～6克
密蒙花,None
真龙骨,None
黄芩,"克,g,两,钱,两5钱,斤,None,分,钱5分"
酒洗当归,克
红白鸡冠花,斤
龙齿,"两,钱"
海风藤,两
樗白皮,g
片切,两
黄药子,克
无叶用枝,None
熟糯米粉,g
生代赭石,g
黑牵牛,两
红花,"g,两,斤,两6钱,克,None,钱,份"
多年燕子窝,None
草豆蔻仁,克
凤尾草,g
柳树枝,g
桂圆肉,"g,两,克"
欢,g
姜黄,g
白杨皮,两
酸榴皮,两
红藤,"None,g"
真化皮,两
糯米白酒,千克
生川军,克
青黛,"g,None"
牡蛎,"两,枚,g,克,None"
白果,g
瞿麦,"两,分,g"
白凤仙花,None
干漆,"None,两,钱半,分"
鹤虱,千克
将米泔慢火煮半日,None
生白术,kg
干克,克
筛去灰,None
铺槽底,None
虾蟆灰,None
地榆,"克,g,两,钱"
山药,"两,钱,克,两2钱,g,分,None"
生茜草,g
泡干姜,两8钱
三七,"两5钱,None,g"
当归梢,克
雄雀粪,克
去红花不用,None
莲房,g
将罐口封固,None
煮取汁,毫升
川木通,"两,克,g,钱半,钱,None"
怀生地,"两,克"
豆蔻,钱
牙硝,两
195,None
小枳实,克
炒吴萸,斤
独活,"两,None,钱"
生黄芪,克
玉灵脂,g
加青皮,钱
紫梢花,钱
狗肉,～1000克
童便制,"份,克"
炒益智仁,两
皂角刺,"克,钱"
收,None
青蒿,"g,两,斤"
槐角,两
泔浸,None
草决明,两
小磨麻油,斤
捡出香附,None
灯芯草,g
好醋浸,None
柳木耳,克
冰片,"分,g,钱,两"
莪术,"None,克,两,g"
灯心草,"茎,None,分"
豆蔻仁,两6钱
鲜空心苋,g
隔水蒸煮,None
蔓菁花,None
夏枯草,"g,两"
葶苈子,"两,g,钱"
用蕲艾,两
再煮,None
制松香,斤
缩砂木香,克
母丁香,"斤,克"
米醋浸透,None
炒山栀,g
白芨,"两,g,分"
再加好醋,"升,碗"
覆盆子,"两5钱,None,g,两,钱"
川乌头,两
百合,"g,分"
绿七爪,两
金钱草,g
天南星,"两,None,钱5分,两半,钱,克"
青木香,"克,g,None,分"
生地,"两,克,两8钱,None,钱,两2钱,g,两半,斤"
白丁香,"钱,None"
露蜂房,None
青皮子,钱
茶叶一小撮,None
琥珀,"g,两,钱4分,克,钱,分"
夏浸,None
闾茹,两
祁艾,"钱,两"
三日,None
炒芍药,g
味均下罐,None
生蒲黄,g
连穗叶,None
金铃炭,克
如皂角子大,None
菊花,"克,None,g"
明雄,两
淡竹叶,g
羊石子,对
苍术苗,None
东参,两
川羌活,钱4分
糯米,"g,克,合"
甘草,"克,g,两,钱,分,None,钱5分,斤,两5钱,两2钱,kg,～6克,千克,钱半,份"
硼砂,"钱,g,两,None"
茵陈蒿,"两,g"
黛蛤散,g
胆酿南星,钱
醋制香附,两
砂铫内煮干,None
黄柏,"克,g,两,两5钱,斤,钱,None,分"
白豆蔻仁,两
槲寄生,"kg,g"
苦楝皮,g
胆南星,"两,g,钱"
500,None
并纸裹,None
怀牛膝,"克,g"
大川芎,"两,两半"
知母,"克,两,分,g,None"
白附子,"两,钱,g,个"
蜜炙黄芪,克
紫豆蔻,None
白术炭,克
山栀水,克
姜制,None
五加皮,"两,None"
饴糖,g
白石脂,"两,克"
泽兰,"两2钱,kg,g,两,克,None"
半姜,钱
同煮三五沸,None
生姜汁,"克,升,None"
味拌蒸,None
云白术,钱
酒浸一宿,克
芒硝,g
鲜生地黄汁,克
杜蒺藜,克
建典,g
白茯神,两
草龙胆,克
麝香,"钱,分,克,None,g"
泉,None
麻黄,"两,钱,g,None,份,两半"
通草,g
醋浸,"两,分,None"
生山药,"斤,克"
飞青黛,钱
蛇床子,"钱,斤,两,分,g,None"
天竺黄,"None,钱"
西党参,两5钱
车前草,g
黑豆,"g,千克"
折去下半截,None
炉甘石,"克,两"
好艾,"克,两"
以瓦罐煮,None
浙贝,"两,g"
沥青,None
