雄黄,"钱,钱3分,克,分,g,千克,None,两,石"
青陈皮,g
四君子汤加陈皮,None
天名精,g
焦四仙,g
九制牛胆南星,两
冬瓜子,"g,分,两半"
钟半同煎,None
紫草皮,克
捣末,None
又次消水,None
锅内酒拌,克
染坯,钱
白果,"个,枚,钱,g,None"
白凤仙花,None
拌橘皮,None
如少,None
入甘石内,None
炒芍药,g
虾蟆灰,钱
用皂角挪,None
浸入童便内,None
照前蒸晒,None
生马钱子,"克,g"
节白附,两
用干地黄,两
白前,"g,钱,克,千克,两"
川甜消,None
大瓜萎,枚
甘油,"g,ml"
豆蔻,g
三楂,g
牙硝,两
辣桂,克
凤尾脱,钱
杜仲炭,两
礜石,两
茜草,"克,g,两"
老鹤草,g
乌鱼骨,克
日泻出粪水取起,None
降真节,两
仁桂,两半
柠檬根,g
无酿者,None
用水照前煎浸蒸晒,None
小便浸,None
金箔二百箔,None
地鳖虫,"g,克"
穿破石,g
灯心草,"厘,两,把,None,根,g,寸"
嫩苏梗,克
又切作,块
生地末,两
葶苈子,"钱,克,g,两半,两,None,分,合"
台党参,两
生杵,None
罨,None
照前拌酒,None
母丁香,"克,g,钱,两,分"
净香附,两
逐日,None
瓜蒌壳,"克,g"
将半夏入盆内,None
干熟地黄,两
生薯药,两
活蝎子,个
猪脂油,两
生乌,None
令赤色,None
麻黄根节,克
取皂荚焙干,None
射菵,分
四叶参,g
石韦,"两,g,None"
明雄,两
猪牙皂角,"钱,分,克,挺,None,两"
川羌活,两
荷叶炭,斤半
巴霜,"克,None"
硼砂,"None,钱,克,g,两,两半,分"
薄荷油,None
生山甲,"两,克"
橘络,"钱,g"
米泔,克
云母粉,"None,两"
黄柏,"克,分,两,g,None,钱,-12克,钱半,两5钱,两半"
生白附子,g
钩藤皮,钱
大半夏,"None,斤,两,克"
狗宝,分
照前煎汤,None
明玳瑁,g
陈木瓜钱半,None
臭牡丹,g
始蚧,对
细切,"两,克"
大川芎,g
五爪橘红,两
淬醋,两
味用米醋,升
大铜钱,文
代蛤散,g
沙姜,g
制何首乌,g
热地黄,克
樟丹,"克,None,钱,两,g,钱半,分"
炙五味子,g
不用马兜铃,None
杜蒺藜,None
白砂蜜,斤
麻黄,"两,g,克,分,钱,～6克,None,份,-5分,两1分,两半,斤"
酸石榴根,分
蛇床子,"两,克,g,分"
荔枝子,个
水化拌令得所,None
车前草,"g,升"
梨膏,两
桑椹子,g
黑丑牛,钱
韶粉,"钱5分,两"
漉出,None
金铃炭,克
凌霄花,"克,两"
天将壳,g
生海石,g
石龙芮,"两,分"
胶,两
铅粉,"钱,分,两,克"
黄苓,"g,None"
海蛤,"克,两,None"
淡条芩,None
生香附,"钱,两,钱8分"
梗,千克
明天冬,g
入汁化开,None
灸白部,g
麦冬,"两,None,克,g,kg,钱,钱5分,分,斤,石,枚,两1分,两半,钱半"
作饼,None
全蝎,"两,克,个,钱,g,None,分,枚,石,条,份,两5钱,两半"
添火加炭,None
穿山龙,g
银龙骨,石
炒桔梗,克
獾油,g
捣筛为末,None
陈槐花,克
垂柳枝,两
白茯芩,分
破故子,"None,g,克,两,钱5分,钱,两2钱"
食盐,"两,钱"
再用雪水煮,两
芙蓉叶,两
來菔,g
紫苏茎叶,"克,两"
日干或焙干,None
远志,"两,None,钱,分,克,g,钱半,两5钱,两半"
炒党参,"克,g"
绿豆,"克,两,合,粒"
巴豆仁,"个,g,粒,钱"
莱菔子,"千克,两,钱,克,None,g,两半"
猫头骨牙爪,副
三奈,g
炮甲片,g
金牙石,两半
煅过,None
生附子,克
抽火,None
刺猬皮,"两,None,克"
水牛角,"None,g"
油核桃,两
味共研为细粉,None
南沙参,"千克,钱,克,g"
白屈菜,g
生薏苡仁,g
倒其缸内,None
别捣罗,None
好厚朴,两
以上药都细研,None
乱发灰,钱
南星片,克
北亭,None
白牡丹,钱
牛胆南星,"克,两6钱"
海沉香,克
紫草根,g
煅硼砂,钱
炮干姜,克
肉豆蔻,"钱5分,枚,克,分,两,钱半,钱,None,g"
生侧柏叶,g
阿魏,"钱,None,两"
关木通,g
寒水石,"两,克,千克,None,g,斤,两半,钱,斤半"
鹿香,g
寒食残大麦,升
陈广皮,None
菟丝子,"两,None,g,钱,克,分,两半,钱5分"
怀熟地黄,两
便去火放冷,None
豆腐皮,两
炒莱菔,两
用生姜,"斤,两"
皂荚肥长,尺
炙化橘红,g
蟾蜍炭,g
若微朽即不堪用,None
陈其芦,g
车前子,"两,克,g,升,钱5分,钱,None,两1分,分"
葛根,"钱,两,克,g,None,两半,升,分,两5钱,钱半"
广三七,"g,两"
大蒜,枚
枇把叶,None
葵百部,g
童便炒香附,克
诃勒黎皮,分
柿蒂,"枚,个,g,None"
14,None
恒山,"两,两半"
珍珠末,g
四物汤加黄柏,None
万州黄药,两
白芽根,g
净麻黄,g
炒刺猬皮,g
陈桔皮,克
舶上茴香,两
犀角屑,"两,克,分,两半,None"
紫石英,"g,钱,克,两"
干地皮,g
壳仁,g
炒白芥子,g
犀角,"钱,两,克,g,分,None,钱5分"
紫诃车,g
鸡肝,个
生地醇浸膏,g
青蒿脑,None
白芹子,g
枣肉,升
椿白皮,两
臭花娘根,两
知母,"两,钱,克,None,kg,分,g,钱半,两5钱,两2钱"
甘草如指大,枚
截作片子,两
水红花子,g
★砂,g
粟米,"斤,合"
飞辰砂,克
松萝,"克,g,两"
山药钱半,None
钩腾,g
水淘,None
桑百皮,g
大白术,None
太子参,g
赤蜈蚣,条
白者佳,None
不出油,None
生金屑,两
斑蝥,"两,分,个,g"
怀中膝,g
土兔冬,g
野台参,克
红凤仙,斤
氧化锌硼酸软膏,g
同甘草,两
稀蔹草,g
土元,"g,-15克,份,个,枚"
鸡子,枚
豮猪胆,个
蔓京,g
鲜石胡荽,None
大赤金箔,张
甘遂,"两,g,钱,枚,None,分,克"
怀熟地,两
外再以厚泥包圆,None
露蜂蜜,g
炮牙皂,g
蓝,分
老鼠刺,g
炒灵脂,两
炙罂粟壳,g
龙延香,分
香柎,钱
每料只用制炉石,钱
生耆,"g,两"
白茯苓皮,钱
苓块,钱
豨签草,g
制大黄,g
栝楼实,克
鳗鲡鱼头,枚
浸透,None
酥炙,钱
黑附片,克
黄狗骨头,两
浓汁煎,碗
地龙干,克
白党,两
炙枇杷叶,"g,张,None"
炙紫菀,"克,None,g"
醋制延胡索,g
橘叶核,g
百合,"克,g,分,kg,两,钱,None,升"
牙消,"克,钱"
煅瓦楞,g
川升麻,"克,两,None,两半,分"
雄乌骨鸡,克
姜枣,None
剩麦芽,g
乌龙尾,两
寸截,None
蒌皮仁,g
去黑豆不用,None
煮令醋尽,None
全竭,g
全荞麦,g
麦糱,两
鲜地龙,条
狼毒,"两,g"
漏芦,"克,g,两,分"
酒炒白芍,g
去子,两
白酒,"～8000ml,ml"
棚砂,石
代代花,g
白术,"两,钱半,克,钱,g,None,两半,分,铢,石,-4钱,斤,两5钱"
用炭火,千克
川芎,"克,两,分,-30克,千克,None,钱,g,钱半,两半,钱5分,-12克,两5钱"
火硝,"g,两,分,克"
炒五倍子,g
鹿角片,g
净竹茹,g
待,None
紫菟,g
五味子炭,两
硝共入盆内,None
刺力,g
食盐味精,None
藕汁,升
合欢藤,两
白臭椿根皮,None
煅赤皂矾,g
白信石,"钱,分"
生蒌仁,克
赤石腊,两
海昆布,克
车前叶,两
汉药,g
虢丹,None
铁线缚定,None
梓朴,斤
天雄,"克,两,分,钱"
上白术,两
当归,"g,克,-20克,钱,None,两,分,钱半,钱2分,-3钱,～15克,钱5分,两半,重,两4钱,两5钱,两7钱半"
南木香,"两,克,钱半,None,分,钱"
用醋坛头上泥入桶内,None
胡桃肉,"个,g,钱,两"
浸至次早,None
葵根,握
东门上雄鸡头,枚
蝉蜕,"两,None,钱,两5钱,个,克,g,枚,钱半,分"
鹿角霜,"g,两,钱"
自然铜,"None,g,两"
山川柳,两
用乌药,None
百部,"两,克,g,千克,None"
青盐不见烟为度,None
净乌鸡肉,两
宣黄连,钱
生芡实,钱
制炉甘石,钱
侧柏枝,斤
萝卜,斤
