雄黄,"钱,钱3分,克,分,g,千克,None,两,石"
绿萼梅,"克,g"
黄蜀葵花,钱
上薄桂,None
田七粉,g
土槿皮,g
酒浸蒸,None
赤足蜈蚣,条
大胡麻,两
槐条,None
胡桃瓤,枚
青子芩,None
桑黄,两
入雄黄,粒
龙齿,"两,g,钱,None,两半,分"
清炙草,克
真铁粉,克
山栀子,"克,两,None,两半,g"
发灰,"None,两5钱"
敕冬花,g
野菊花,"g,钱,None"
每个作,-3块
制野军,两
绯绢,条
姜黄,"两,克,g,None,钱,两7钱半"
密陀僧,"两,钱,None"
炙白前,g
海金砂,"g,钱,石,钱半"
白米,克
海蝓壳,g
洗净切片,None
用米醋,升
白戟藜,两
管仲,两
用一半,None
瞿麦,"两,g,None,两半"
水尽为度,None
枯白矾,克
保元汤加川芎,None
地榆,"g,两,钱,None,分,克"
法夏,"钱,钱半,克,g,None"
鬼臼,"分,两"
大蓟,"g,分"
豆,粒
将,None
白人参,钱
钩藤总碱,g
棉花梗,g
水飞朱砂,克
黄柏末,"None,两,克"
渐贝母,g
小枳实,"克,钱"
取起又煅又淬,None
风尾草,g
牡丹,"两,克"
炒赤芍,g
坐文火上徐徐搅动成膏,None
煎汤,None
青蒿,"g,钱,两"
仰安鱼于炭火上烧烟尽,None
岗梅根,g
去滓,None
椒目,"石,g,两,分"
又以黄连煎汁,None
穿山骨,g
好炉甘石,None
天台乌,两
冰片,"分,钱,两,None,克,g,分5厘,两5钱,钱5分"
制远志末,两5钱
生茅根,克
熟地数钱或,-2两
掠去沫,两
白建莲,粒
马兜铃,"钱5分,两,钱,克,g,石"
烂研成饼,两
白花蛇舌草,"克,g"
芜,g
川乌头,"钱,两,克,分"
飞琥珀,g
当门麝,钱
赤蔹,"分,None"
天南星,"None,克,g,钱,两,两半,分,斤,枚,个,钱半,两5钱"
日夜,None
生地,"None,克,钱,g,钱半,两,斤,分,钱5分,两半,合"
苏梗,"None,克,两,钱,g,分"
薯损,两
白晒参,g
蜜黄耆,克
琥珀,"两,克,钱,两5钱,钱半,g,None,钱3分,两半,钱5分,分"
经三伏时,None
银杏仁,粒
生蒲黄,"两,g"
水浸,None
却入胆内阴干,斤
冬凌草,g
土贝母,"分,g,钱"
鸡子白,枚
炒地榆,"g,克"
候冷取出,None
黛蛤散,g
羊角,g
制乳没,"克,g"
鸡子黄,枚
活蝎,个
芜荑仁,"两,钱"
生白芨,g
去芝麻,None
香薷茎,分
白附子,"两,克,钱,None,两5钱,g,分,铢,两半,个"
蜜佗僧,钱
用线缚住,None
姜制,两
拌匀,None
生杭芍,钱
白石脂,"两,None,克"
焦山栀,g
地耳草,g
神曲膏,None
槐米,"两,g"
男发,克
每日换水,None
猫抓草,g
草龙胆,"克,两"
苍耳草,钱
苓,None
生山药,"两,克,g"
胡麻油,升
炮穿山甲,g
百部流浸膏,ml
同煮令豆香熟为度,None
真朱,铢
山葱菇,g
O花粉,g
马钱子,"钱,个,克,g,两"
以无灰酒调末填入盖定,None
川连末,克
取出以全蜈蚣,条
麻黄根,"g,克,两,None"
广木香,"两,钱,克,g"
大约炉甘石,斤
炒黄连,g
六君子汤加丁香,None
真川郁金,钱
入马牙消,None
栢子仁,两
牡蛎,"克,None,g,钱,铢,两,分"
毛橘红,钱
马屁勃,"个,两"
泽泻,"克,分,两,g,石,两半,钱,None,两2钱"
乳香,"两,钱,克,分,g,None,份,两5钱,钱半,钱5分"
紫笋茶,两
酥炙透,None
金牙,铢
半夏罨一宿,None
灸麻黄,"克,g"
木臼内捣取自然汁,None
根,斤
醋,"None,毫升,克"
熟附块,钱
生黄芪,"g,升,克"
上,None
天冬,"克,两,None,g,钱5分,钱,分,两半"
又次矾汁,None
山葡萄干,g
瓦上焙干,None
煅砒,钱
去桂,None
蛇含石,"None,分"
虎睛,对
再入胆中悬挂天德方上,钱
蝙蝠,None
广荗,两5钱
炒黄色,克
三十,两
灯上烧,None
铁铧粉,分
入碗内拌,None
紫葳根,两
艾叶,"两,克,钱,g,None,分,把"
散红花,g
骟鸡肝,None
无大黄,None
葱白,"斤,g,根,寸,-2斤,握,分,条,个"
薄荷,"两,斤,钱,None,分,千克,g,克,钱半,钱5分"
硌砂,钱
勿令泄气,克
雄鸡肝,分
鲤鱼胆,个
山桅,两
烂研,None
肉桂,"两,克,分,钱,None,g,份,两1分,两半,～6克,铢"
络石藤,"g,两,两半"
莽草,"分,None"
甘菊花,"克,两,None,g,分"
将杏仁膏并前自然汁,None
大豆,"g,两"
山豆根,"分,None,g,钱半,钱,-15克,两"
桔梗,"None,克,g,两,钱,分,千克,两5钱,钱2分,钱半,合,两半,两2钱"
白敛,"两,分,钱"
共研为细粉,None
冬青叶,None
北前胡,两
南天竹,g
味须,两
用白矾末,克
胡颓叶,g
灯上烧令黄焦,None
微炒,"None,两"
生白芍,"g,钱"
又添,None
吴白芷,"两,克"
蒸馏水,ml
川花椒,g
睦,None
真正牛黄,分
邯郸白垩,两
辽五味子,"克,两"
熟艾,"None,两"
黄子,g
乱发如鸭子大,个
日足取出,None
炉可炼炉甘石,-3斤
棘针,枚
槲叶脉,两半
益母草,"克,g,钱,None,两"
杏仁,"None,钱,g,克,两,钱5分,千克,两半,kg,斤,粒,石,分,升,个,两5钱,枚"
伏龙肝,"两,克"
芡实仁,钱半
木蝴蝶,g
砸碎,None
菲菜子,g
内桂,g
莲房,g
用酒浸一日,None
黄连末,克
秦艽,"钱,None,克,g,两,分,份,两半"
酒洒,两
露蜂房,"g,两,None,个"
白前根,"g,None"
救必应,g
血余炭,"g,钱,None,两"
杏仁霜,"两,None"
白占,"克,钱"
金毛拘脊,g
入后药末,None
同芝麻炒爆,两
栝楼半个或,个
来日就铫子熬,None
天麻子,两
怀生地,克
盐淹,None
真西黄,g
生葱,None
高良姜,"g,分,克,两"
使君肉,"g,钱"
锦灯笼,g
虎头骨,两
其性相似,两
白硼砂,"钱,分"
以汁尽为度,None
黄白蜡,None
苦参,"克,g,两,钱半,分,None,斤"
七爪橘红,斤8两
干蝎,"分,两"
猪苓,"两,克,g,分,None,钱"
雄鼠粪,粒
可分作,-5个
黄连,"钱,克,None,两,g,分,钱5分,两1分,钱半,升,两半"
熟,None
煅烟尽,两
山栀子仁,两
冬葵子,"克,合,g,两,None"
一十,两
甘枸杞子,斤
如不得真者,钱
瓜篓皮,g
山奈,两
齐州半夏,枚
捣碎,None
槐角,"两,克,两1分,None,g"
抱茯神,g
巴豆,"钱,粒,个,两,g,分,枚,克,None"
鱼腥草,"克,None,g,石"
辰砂为衣,None
