人工牛黄,None
脱壳藤,None
醋制延胡索,g
眼镜蛇干,g
苦竹叶,握
冬瓜子,"g,克,-60克,钱"
葱汁,斤
城草,克
普鲁卡因,g
杉枝,两
鲜荷梗,None
白面,"两,匙"
山羊血,钱
槐鹅,两
酒炒大黄,g
三桠苦,g
生川军,g
青黛,"g,克,钱,两,分"
大蓟根,斤
牡蛎,"克,分,g,两,钱,None"
石灰,"两,None"
煎汁去滓,None
巴蕺天,g
桑根白皮,"两,握,两半,斤"
鹤虱,"None,g"
鲜车前草,g
兰子,两
生明没药,"钱,克"
川栋子,两
生当归,两
俟吐丝为度,None
鹰粪,None
草乌,"g,None,克,两,千克,钱,钱5分,个"
白信石,"分,克"
鲜兖州卷柏,g
入在木瓜中,克
泽兰叶,"g,None"
葱头,None
去骨皮,两
三七,"None,克,钱,g,两"
半夏末,分
生马钱子,g
枳椇子,克
山淡豉,None
白前,g
炮附子,g
白定,g
鼠曲草,份
用烧药盒子,个
豆蔻,"g,克"
取出放入冷水中,None
黄花,g
度纯粮酒,升
故绵灰,两
净黄连,两
紫苏青皮,钱
五灵胎,g
槐角,"None,g,两,斤"
省,节
土木香,g
木鳖仁,"千克,None"
如犁头尖,None
礜石,两
同吴茱萸浸二宿,两
不尖,两
盐绿,分
川巴戟,"两,None"
黄蚁,g
西党参,钱
吴萸连,克
盐豉,None
生艾叶,g
其赤筋最损目,None
朱砂布于内,None
草决明,"克,g,钱,分,两,两半,None"
大南星,钱
芷梢,钱
新鲜艾叶汁,斤
切作片,None
水润,两
栝蒌皮,g
地鳖虫,"克,g,钱,个"
真赤石脂末,两
穿破石,g
连叉大青,None
灯心草,"把,茎,寸"
净乳香,分
剪碎,None
淀粉,钱
以炭火,斤
黑豆,"斤,None,两,g,升"
夏枯草,"钱,g,克,石,两"
葶苈子,"g,分,两,克,钱"
大粪灰,两
零零香,钱
遍后以生姜汁半盏煮半夏,两
制松香,g
冬瓜汁,合
母丁香,"g,两,个"
雪茶,g
深,尺
山苎根,None
别入,None
炙款冬,g
莲须,克
生蛴螬,None
半浸,None
生薏米,g
干熟地黄,两
以上三味,克
金钱草,"g,None"
麦门冬苗,两
大热地,克
刺蓟根汁,合
藿朴夏苓,None
白丁香,"钱半,钱"
栝蒌实,g
紫萍,克
烯莶草,g
生白,None
炙香附,克
赤丹参,克
只将生者脐,None
牛蒡根,钱
蒴藋根,两
川文蛤炭,两
马钱子,"个,钱,g,克"
紫苏茎叶,"克,两,None"
石韦,"两,分"
盐黄柏,"g,两"
霄花,两
路通,"克,None"
银箔七,片
川羌活,"g,两半"
白糖,"None,两半"
女贞子柴胡,g
硼砂,"克,分,钱半,g,钱,两"
槐皮,分
生山甲,片
枸杞子,"克,两,g,None,钱,-3钱"
柏枝尖,斤
橘络,"钱,克,g"
米泔,None
大蛤蚧,对
云母粉,两
黄柏,"克,钱5分,None,斤8两,两,g,分,两5钱,钱2分,钱,石,钱半,两半"
半枝莲,g
决明,g
腊月猪脂,克
百草霜,"钱,None,两"
牛乳,两
谷芽,"克,g,None,钱,两"
通赤为度,None
怀牛膝,"克,斤,g,两"
大黑豆,斗
连皮茯苓,g
细切,两
大川芎,"g,克"
酥油,两
黄腊,克
以金箔,叶
真辽人参,克
川常山,两
尖双仁,"None,两,分,枚,-7枚"
代之,None
入火烧令通赤,两
月见霜,None
胡椒末,两
紫菀,"g,两,钱,克,None,分"
五加皮,"克,g,None,两"
饴糖,"g,斤"
炒延胡索,g
泽漆,两
生甘遂面,g
象皮,钱
冲服生赫石,g
生姜汁,"滴,匙,合,盏"
余次,None
先倾汁入药内,None
面针,g
麦麸,g
玄归,g
酒润,None
慢火熬至,None
取出细研,None
当归炭,g
藤梨根,g
轻轻摆开换洗,None
五谷虫,"None,粒,个,枚"
末石脂,g
灯心灰,分
