雄黄,"克,两,分,钱,None"
生川附子,钱
炒蕲艾,钱
草决明,"两,两半,分,合,钱,克,g"
制苁蓉,克
酒茺蔚子,g
净没药,克
用酒浸,None
冰片,"g,克,钱,None,两"
老米拌蒸晒,None
榴皮,g
灯心草,None
净乳香,克
白纳八,两
黑豆,"克,两,粒"
夏枯草,"克,g"
葶苈子,"两,克,g"
釜下黑煤,None
木耳炭,克
大梅片,"钱,克"
西砂仁,克
接骨木,g
母丁香,粒
冬葵子,两
桑柴煮干,None
莲须,克
覆盆子,"钱,两,分,两半,升,None,～15克,克"
川乌头,"两半,分,None,两"
百合,"g,None,枚,两,克"
原高粱,斤
薏苡,None
制蒺藜,None
金钱草,g
天南星,"克,g,分,两,None"
茜草炭,g
青木香,None
香细墨,钱
生地,"钱,g,克,两,None,斤,～9克,两3钱"
苏梗,"钱,g,钱7分"
河白草,g
绵,钱
使君子仁,两
柿霜,两
蜜黄耆,克
人牙,两5钱
琥珀,"None,两,钱,钱4分,g"
炙香附,g
闾茹,None
别以酒煮烂为度,None
取出晒干,克
芡精,g
酣淬七次,克
生蒲黄,g
四叶参,"g,斤"
拌苍术末尤妙,斤
尖双仁,None
江米酒,ml
川贝粉,g
麸炒黄,两
青葙子,"两,分,合,钱"
同煮一整日,None
生姜汁炙,两
淡竹叶,"克,g,钱"
板蓝,g
川羌活,钱
糯米,"kg,克,撮"
又换净水,None
硼砂,"钱,克,分,钱5分,g"
与米酒同蒸同晒,None
黄星,None
或硬,None
硝石,两
秦切,克
蜂蜜,g
熬之令香,None
大蛤蚧,对
云母粉,两
黄柏,"克,g,斤,两,None,钱,分"
半枝莲,g
决明,"g,两3钱"
槲寄生,"克,两,g,None"
取沉底晒干,None
胆南星,"g,克,None"
陈艾,两
细研,None
漆牛膝,g
谷芽,"克,g"
百药煎,钱
神曲,"钱,g,两,分,克"
羊子肝,"两,None"
松木节,两
细切,None
指,None
为细末,None
油出为度,None
蛇蜕,"钱4分,条"
白附子,"g,克,分,钱"
生鸡内金,克
每次要焙干,None
约一伏时滤出,None
仍相度后药末多少,None
肉从容,g
姜制,克
五加皮,"克,g,两"
徐长卿,g
生杭芍,克
黄菊花,g
白石脂,两
泽兰,"g,None"
取净药,克
制何首乌,g
生姜汁,g
牛蒡根,两
云白术,克
芒硝,g
枯萝卜,两
五倍子,g
小胡麻,"两,分,合,钱,克,g"
莲心,g
草龙胆,分
枸杞子,"钱,两,克,g,斤,None,合,两5钱,～30克,石,钱半,两3钱"
苓,None
五谷虫,"粒,个"
通草,None
甜瓜子,两
生山药,"克,g"
刮细者,None
云,None
黑山栀,钱5分
天竺黄,钱
西党参,g
车前草,g
桑椹子,"克,钱,g"
甜当归,g
水银,"钱,分"
浙贝,"g,None,钱,克"
刮去皴皮及沙石,None
马钱子,"g,两"
酒黄柏,克
鳖胶,两
五味子,"两,克,钱,None,g,石,升,个,分"
草果,"两,分"
鸦翅,对
牛乳,斤
研细滤入煎内,None
淘米水,g
小盐,克
炮甲,g
樟木节,两
参,None
大当归,g
同炒焦色,None
芝麻油,g
蓝子,分
海螵蛸,"钱,克,g"
苟杞子,g
铅粉,分
附块,g
同生姜捣如泥堆,两
山萸,g
牛蒡子,"克,钱,两,g,None"
银花叶,克
生香附,钱
泽泻,"两,g,分,克,None,钱"
熊胆,"钱,None"
肉苁蓉,"两,None,克,g,～15克"
扁蓄,g
拌和匀,None
麦冬,"两,克,钱,g,两半,None,分,枚"
川楝子,"两,克,g,None,分"
生龙牡,g
楠菊,g
瞿麦,"两,g,克,钱"
生姜汁和作饼,两
涂生姜汁,"两,None"
紫河车粉,g
穿山龙,g
蒸首乌,钱
新罗参,两
制远志,克
杜仲,"两,分,克,g,None,斤"
细锉,"两,None"
柳枝,尺
用降真香,"两,克"
丁香十,两
紫苏,g
海蛤,两
破故子,"两半,两,克,g,None"
食盐,钱
天冬,"克,g,None,两,钱"
男子头发,克
羚羊角屑,"两,分"
如无真者,克
苏叶,"None,两,g"
地黄,"斤,克,g,两"
山揸,g
香附,"克,两半,两,None,g,钱5分,钱半,分"
远志,"None,两,钱半,g,石,分,钱"
兔丝,g
瓜蒌,"g,钱,None"
炒蒲黄,g
葱姜,None
细盐,None
萆薢,"g,两,克,None"
炙全蝎,g
莱菔子,"钱,g,两"
怀庆元支地黄,两
旱连草,"钱,g"
鸡冠花,g
翅羽及肠,None
胡连,"g,钱,两"
生白术,g
白矾,"两,钱,None"
金狗脊,克
构杞子,None
炒芥穗,g
番瓜,g
次入蜜,两
仙茅,"None,g"
童便,None
银屑,两
棕榈,"None,g"
入安息香,两
淡附片,g
牛蛎,g
楮实子,"两,None,升,钱"
水牛角,g
铅粉裹枣肉煨,None
自制龟胶,两
掠去沫,"None,两"
用巴豆,个
黄芪,"克,None,两,g,两半,分,钱"
桃仁,"克,枚,g,粒,两,分,None,个"
鹿角,"克,两"
莲子,"两,g,粒,斤,克"
当时,g
玫瑰精,None
新会陈皮,两
全蝎,"枚,克,g,分,个,两,钱,钱半"
柏子仁,"两,g,None,克,合,分,升,钱"
葱白,None
薄荷,"g,None,两,钱,分,两3钱"
诃子,"克,两,g,钱"
光明朱,分
鸡屎白,升
炙甘,分
松柏,两
北亭,钱
硫黄,"两,钱"
只用小黄熟木瓜,枚
伸筋草,"克,g"
以软烂为度,None
穿山甲,"片,g,两"
肉桂,"两,g,克,分,None,钱,两半"
候药泣酒干,None
炒杭菊,克
海沉香,两5钱
巴戟天,"钱,g,两,克,None"
地龙,"克,g,None"
诃黎勒皮,"两,枚"
北黄芪,g
甘菊花,"钱,两,斤,克,g"
苏木,"克,g,钱"
煮,None
肉豆蔻,"克,钱半,两,个,钱,None,枚,分"
蔓荆子,"两,钱,斤,升,石"
酒黄芩,g
川乌,"两,克,g,None,钱"
炒黑干姜,钱
山豆根,克
甘杞,g
桔梗,"两,g,钱,None,克,斤半,分"
琐阳,克
没药,"两,克,None,g,钱,钱半"
鲜槐枝,尺
白敛,两
马齿苋,g
寒水石,"g,钱"
山楂,"克,g,钱"
白胶香,两
西洋参,"g,克"
土贝母,两
菟丝子,"None,两,克,斤,g,分,合,升,钱,～45克,～60克"
北,None
草乌,"g,两,克,None,钱"
白豆蔻仁,两半
北防风,"两,钱"
白龙骨,分
马勃,g
黑芝麻膏,克
生白芍,g
三七,"None,g,克"
吴白芷,两
余滓用水泡三至五日,None
葫芦巴,"钱,两,g"
熟枳壳,克
前胡,"g,克,None,两,斤,分"
酒熟地,克
赭实子,g
碗,None
当归尾,g
当时发,g
生珠,克
生山甲,g
生干地黄,"两,None,分,斤"
阿魏,"None,分"
附子,"两,枚,两半,None,克,g"
苍术,"两,克,g,None,钱,钱半,分"
川楝肉,分
草,None
山栀仁,"克,钱"
葛根,"克,g,None,两,钱,斤,分"
益母草,"克,g,钱"
荜拔,分
杏仁,"斤,克,None,g,升,钱半,个,两,分,两5钱"
重楼,"克,g"
胆矾,"钱,分"
生三七粉,g
竹柴胡,g
芸苔子,"g,钱"
匀调同煎四味,None
精盐葱白,茎
珈皮,g
梨汁,碗
保童丸,帖
净连翘,钱
潼蒺力,g
赤小豆,钱
茱萸炮,None
黄芩,"两,g,分,None,钱,克,钱7分"
三棱,"g,克,两,分,None"
春皮,g
珍珠末,钱
降香末,钱
秦艽,"克,两,g,钱半"
附片,g
香附末,g
荆芥稳,两
白前根,g
侧柏,两
候面熟为度,None
小川芎,两
柿霜饼,克
炒归芍,g
败酱草,g
川附子,克
紫石英,None
西茴,钱
微破皮,None
川羌,"克,两,g,石,None,分,钱"
紫诃车,g
寒水石粉一百一,两
赤勺,g
沉香,"钱,两,克,g,分"
钱,两
醋白芍,钱
用青盐,"两,克"
鸡血藤肉,g
飞罗面,两
广茂,两
蛇含石,"克,None"
知母,"g,克,分,None,两,钱7分"
木腰子,g
炙乌蛇,g
炒米仁,两
逐旋入银石器内,None
水红花子,"g,钱半"
又煎,None
酒浸,"None,克,两"
醋浸,None
猫爪草,g
射干,"分,克,g"
白马蹄,两
茵芋,"None,两"
并削,None
石灰,分
乳香,"两,克,None,g,钱,分,钱匕"
白蔹,两
江蝈,个
贯众,g
青啼补,g
桦皮灰,钱
故纸,两
柴滑,g
太子参,"克,g"
萤火虫,分
干蝎,"两,分"
猪苓,"分,None,两,g"
透骨草,"g,钱"
生斑蝥,克
穿心莲,g
倍于上药,None
炒黄柏,分
黄连,"分,g,None,两,石,克,钱,钱4分"
藿香叶,"两,钱"
漠逝,g
明雄黄,两
人归身,两
斑蝥,钱
猪脂,两
茯神,"克,钱,None,两,g,两半,分"
钻风,g
刺猬皮,枚
甘枸杞子,两
野台参,克
石决明,"g,克"
露蜂房,"g,两,个,分"
牙子,分
干虾蟆,个
白豆蔻,"g,钱,两,分"
高良姜,"两,克"
仙矛,g
小生地,钱
用麦门冬,"两半,克"
土元,"克,g"
诃子皮,钱
巴豆,"两,枚,个"
郁李仁,两
