辅料,None
菟线子,克
杵为末,None
白羊肾,对
江枣,g
北沙参,"钱,克,g,两,None,石"
生槐米,g
去苗,None
川贝,"钱,克,两半,g,两,None,钱半,分"
北五味子,"g,钱"
好夜明砂,钱
猫人参,g
虎骨,"克,None,两,具,钱"
宽筋藤,g
黑铅,两
牛黄,"g,克,分,钱,None,两,枚,铢"
藜芦,"两,分"
鲜马齿苋,g
真酥油,斤
白苓,两半
蒲黄炒阿胶,g
本荆草,g
白英,g
薄川朴,钱半
麦芽面,克
儿茶,"g,钱,克,两"
放入坛内,None
金樱子,"g,克"
芡实仁,两
辰砂染灯心,支
山楂,"两,克,斤,g,粒,None"
栀仁,"克,两,钱,g,分,None"
土马鬃,两
鳖甲胶,两
淮膝,g
密佗僧,分
不见火,两
车螯壳,两
煎如稀糖,None
制僵蚕,g
油朴,钱
鲜茅根,g
草龙胆用量,None
麦糵,"两,钱5分,两半"
草龙脑,两
乌蛇尾,钱
桃奴,枚
白芜荑,"分,两"
空青,"两,分"
蓄瞿麦,g
白滑石,克
鼠妇,"g,两,枚,克"
滴水成珠,None
乌豆衣,克
水洗,"斤,分,None"
藕节,-30克
以好醋煮,None
生代赭石,g
鲜爵床草,克
红藤,"-30克,克,g,两"
火炙,None
将滤液合并,None
瓜蒌霜,两
麻熟为度,None
蜀葵子,g
蛰虫,g
藿梗,g
槲寄生,"g,两"
撮,None
赤脚蜈蚣,条
南星末,钱
芝硝,g
橄榄,"g,个"
日炙沙,两
南芎,钱
茯,None
芎?,"斤,两,两半,分,None,钱"
黄艽,g
焰消,None
杭菊花,克
土盐绿,分
槐枝,"寸,两"
肥知母,g
白糖,"g,None"
西砂仁,钱5分
人参叶,g
松脂如鸡子大,None
荆芥,"分,克,None,钱,g,两,握"
俟干,None
生鸡内金,"g,钱"
紫菀,"克,g,两,钱半,分,None,钱"
不蛀皂角,None
象牙屑,钱
乳香白,克
北五加皮,"-9g,g"
厚朴,"克,分,None,钱,斤,两5钱,g,两,石,两半,钱5分,钱半"
陈酒半杯,None
制没药,"g,钱,斤"
猪胰,克
荠菜花,g
枣叶,两
灸没药,g
忍冬,钱
用生姜汁涂,克
生杏仁,两
伏火朱砂,两
淋取汁,None
香附米,None
火麻仁,"g,升,两,None,克"
令极干汁尽,None
土炒白术,"克,g"
钓钩藤,两
榉皮,克
蓝叶,两
云茯苓,g
吴茱萸,"两,None,g,升,分,两半,克,铢"
木香,"两,钱,克,钱半,None,分,-10克,g,合,两半,斤,钱5分"
大麦糵,"两,None"
槐花子,分
降真末,两
紫厚朴,钱
水蛭粉,g
麈香,钱
白蜜半合,None
淮枣,None
阳起石,"None,两,钱"
乌药叶,None
银星石,钱
两个炮,None
争,None
干全蝎,个
蓬莪术l,克
生姜汁炙,"两,分"
生白药,g
天花分,克
牛膝炭,钱
防风,"分,克,g,两,None,钱,斤,两1分,两半,钱半"
藿香叶,"None,两,克,钱"
羊脂,克
归全,两
赤足蜈蚣,枚
范制面,钱
去核大枣,g
附子先煎,g
罂粟,"None,g"
大川芎,克
白糊精,kg
蒸九次,克
紫珠草,g
防己,"克,钱,g,两,None"
火石,None
草乌头尖,None
厚朴花,"克,g"
生麦门冬,升
去芦梢,None
鸡内金金钱草,重
烧留性,None
柴胡,"None,～9克,克,两,g,分,钱,两半,钱半,～12克,两6铢"
大椒,钱
汤浸,None
川牛膝,"克,两,钱,g,None,石"
猴孙骨,两
炙僵蚕,克
生槐花,g
穿心巴戟,克
紫梗,g
狗脊,"g,两,两半,分"
牛髓,合
辰茯神,克
羊蹄,两
虎肚,两
麻皮缠定,None
纸包,分
蛇蜕皮,"尺,两,条"
令釜满,None
大腹皮,"钱,克,分,None,g,两,～6克,两半,钱5分"
芸薹子,两
干马屎,g
血茸,克
雀脑穹,两
白干姜,两
再用方内黄连熬汁,None
鸡蛋皮粉,g
海桐皮,"克,g,两,None,斤"
制附片,g
真麻油半盏,None
滑石末,"克,钱"
去脂膜,None
土茯芩,克
沸汤浸一昼夜,None
炙紫苑,g
炒苍术,"g,克,None"
艾炭,两
板蓝根,"克,g,None,两"
苦木通,钱
藿香,"克,None,钱,两,g,石,斤,钱5分,钱半,分"
粳米木麻黄,g
生甘草,"钱,克,g,分,None,两"
粳米,"克,合,～100克,粒,g,None,-100g,两"
建莲,斤
次下天门冬汁,None
草蔻,"克,g,两,None,分,个,钱,枚"
鲮鲤甲连项锁骨,None
