鱼古,g
地黄,"None,g"
冰糖,None
苏子,"两,钱,克,None,g,升"
神曲末,分
百部,"g,两"
蚕茧黄,None
漆姑草,None
四物汤,两
同淹,None
败酱草,"g,分,两"
"马
齿苋",g
智草,分
同生姜捣作饼子,两
生硫黄,g
灸甘草,g
略去白,None
侧柏枝,斤
大风子,"g,None"
川楝肉,克
三下小等木鳖,None
当归炭,钱
菖,节
槐花,"None,g"
山植,"None,克"
陈香橼,两
茱萸,None
鸦胆子,粒
无名异,None
枯黄芩,g
醋灵脂,两
凤仙花汁,None
桃仁,"None,克,g,个,两,钱,斤,枚,钱半,分"
细茶叶,两
芒消,"分,克"
双仁,"None,克"
北黄耆,g
蔻壳,g
海参,条
昆布,"g,两,钱"
白鲜皮,"g,分,克"
连翘,"g,两,克,钱,千克,分,None,石,钱半,～30克,斤"
天麻,"分,钱半,g,克,两,None,两5钱,斤,钱"
白羊矢屑,斤
平胃散加生姜,None
莪术,"两,g,None,两半,钱,克"
烊化阿胶,g
海马,g
蛤壳,"g,克,两,斤,钱"
白头翁,"克,g,两"
香薷,"g,克,两,钱,None,分"
装入瓜蒌内,None
白豆菠仁,克
丛,None
钱子地龙,两
再以大麻腐汁浸术,None
鳖甲,"两,分,g,None,两半"
姜汁制,两
苎麻根,g
再用生姜自然汁搜成饼子,None
锉片晒干,斤
白约,g
小椒,"克,钱"
降香,"两,克,g"
桃符,枚
白石英,"两,钱,两半"
肿足蕨,g
以打碎黄色为度,None
熟地,"两,None,钱,克,g,钱5分,钱半,分,钱3分"
用桔梗,None
瓜壳,g
虻虫,"None,钱"
草蔻,"枚,两,克,g,个,分"
酸枣仁,"None,克,g,分,两5钱,钱,两"
芦荟,"两,钱,None"
姜皮,克
酒杭芍,克
建曲,"克,g"
猪胆汁,个
盐,"克,分"
一半酒洗,克
全丁香,g
隔水煮,None
公丁香,"None,两,克,分,两5钱,枚,钱,g,-7粒,钱半,两半"
干地龙,"分,克"
生芪,g
大米,g
炙山甲,None
驴粪汁,合
洗去丝,克
真甘枸杞,两
海羊,个
赤石脂,"克,钱半,两,g,两半,None,分"
黄藤,None
龙胆草,"克,两,g,钱,None"
马梅肉,g
酸石榴皮,"两,分"
鹿茸,"两,None,克,钱"
片黄芩,两
黄蘖,钱
大白梗,g
山萸肉,"None,两,g,钱,克,分"
碧玉散,"None,g,石"
炒五谷虫,g
蛇沐子,g
蛤蟆灰,钱半
天葵子,克
甘松,"分,钱,g,None"
小红参,g
番泻叶,g
槐条,None
胡桃瓤,两
炒桑皮,None
生于术,"钱5分,钱"
新鲜石榴皮,g
好酒内蘸,None
佩兰,g
硝石,g
生晒术,两2钱
仙鹤草,"克,g"
玄明粉,"钱,克,g,份,两"
天台,两5钱
人乳,None
紫草,"g,None,克"
桂花蕊,克
黑小豆,升
秫米,g
白花蛇舌草,"g,重"
瓣,None
尖并双仁,两
瓜蒌仁,"克,钱,两,None,g,分"
白泡参,g
慢火炙,None
石葛蒲,None
人参,"None,两,克,g,钱,分,钱半,～6克,两半,钱5分,两7钱半"
君子仁,两
川藿香,g
冲服乌贼骨,g
上轻粉,g
三核,g
鲜菖蒲,None
大梅片,g
～ZI克,None
酒知母,克
乌梢蛇,"两,g,分,克"
醋柴胡,g
人中黄,None
炒黄连,克
葡萄糖酸钙,None
天雄狸骨,None
防已,"两,g"
龙葵,g
玉米须,g
钟乳粉,"两,两半"
蕤仁霜,克
绵黄耆,两
同煮,None
土芎,None
拣选大中小三等,None
旋覆花,"克,g,两,None,分"
羊石,对
焦茅术,"钱,g"
