雄黄,"钱,g,None,分,两"
淋汁,None
莽草,None
甘菊花,"克,None,两"
苏木,"g,钱"
蛀青皮,两
蔓荆子,"g,None,两"
佛手,g
川乌,"两1分,None,钱半,钱"
炒槐花,钱
阿魏,两半
桔梗,"g,None,克,两"
紫贝齿,克
没药,"分,钱"
黄连粉,钱
马齿苋,g
寒水石,"None,g"
白胶香,钱
荷叶顶,g
菟丝子,"g,钱,两,None,-3钱"
白龙骨,两
炙地龙,g
谷精草,g
生白芍,"克,g"
三七,g
火消,分
睦,None
白木耳,克
海金砂,g
伏时,None
汁尽为度,两
当归尾,None
生干地黄,"两,None"
附子,"克,g,两,钱,None,铢,钱半"
常山,钱
去嘴,克
车前子,"克,g,分,钱,两"
葛根,"克,g,两,None,钱半,分"
益母草,"克,g,两"
竹刀切作薄片子,None
杏仁,"g,两,枚,克,个,None"
重楼,克
猪牙皂荚,None
鱼脑石,粒
调量,None
构腾,g
用第,None
蜜炙黄耆,钱
赤小豆,"g,克,两,斤"
松香,"g,None"
恒山,克
三棱,"两,g"
京红粉,钱
蒴藋,两
秦艽,"克,g,None,钱5分"
附片,"g,克"
焦三仙,g
犀角屑,"克,分,两"
紫石英,"g,两"
川羌,"克,g,两,None,钱,分"
犀角,"克,g,分"
赤勺,g
壁虎,g
香黄为度,None
知母,"钱,g,None,分,克"
上官桂,两
真西黄,g
红雪,两
高良姜,g
去丝,克
射干,g
乳香,"钱,None"
白蔹,两
贯众,"钱,两"
紫苏,"g,克,None"
口,克
太子参,g
干蝎,"两,钱,个,克"
猪苓,"g,分,克"
慢火焙干,斤
上绵耆,两
黄连,"钱,克,g,石,None,两,分"
藿香叶,克
五倍子,钱
斑蝥,g
猪脂,"两,克"
茯神,"克,g,石,None"
山栀仁,"None,分"
露蜂房,None
白豆蔻,"克,g,两"
酸石榴皮,两
鱼腥草,"None,g"
稀蔹草,g
土元,"g,None"
巴豆,"g,粒,个,None"
