苦楝皮,雄黄,槐皮
苦参,百部,菊花,凤眼草,樟脑
苦参,蛇床子,苏叶,薄荷,苍耳草,枯矾
苦参,明矾,皮硝,川椒,艾叶,荆芥,蛇床子
糠馏油,氧化锌,花生油
糠馏油,氧化锌糊膏
糠焦油,地榆,液化酚
乌梅,防风,柴胡,甘草,五味子,白鲜皮,杏仁
胡麻,苦参,山豆根,威灵仙,甘草
胆草
水银,好茶,闾茹,轻粉
芦荟,明矾,黄柏,苦参,蛇床子,荆芥,防风
丹参
丹参,猪脂
丹参,止痒药膏
地肤子,僵蚕,白鲜皮,白芷,荆芥,茵陈,败酱草,白矾,益元散
炉甘石,氧化锌,甘油
麻黄,蝉蜕,槐花,黄连,浮萍,甘草
麻黄,干姜皮,浮萍,杏仁,白藓皮,丹参,陈皮,丹皮,僵蚕
麻黄,杏仁,干姜皮,浮萍,白鲜皮,陈皮,丹皮,白僵蚕,丹参
马齿苋
青黛,石膏,滑石,黄柏
青黛,螵蛸,石膏,冰片
乌梢蛇,独活,藁本,黄柏,白鲜皮,金银花,白芷,甘草
荆芥,防风,赤芍,丹皮,黄芩,栀子,白蒺藜,车前子,薄荷,蝉蜕,生地,菊花
黄耆,防风,荆芥,苦参,蝉蜕,白蒺藜,僵蚕,当归,生地,赤芍,川芎,何首乌
瓦松,马齿苋,甘草,川文蛤,川椒,苍术,防风,葱白,枳壳,侧柏叶,焰消
水银,大风子仁,核桃仁
水银,大风子仁,核桃仁
蛇床子,苦参,威灵仙,苍术,黄柏,明矾
威灵仙,蛇床子,当归,缩砂壳,大黄,苦参,老葱头
斑蝥,百部,槟榔,土荆皮,枫子肉,白及,川椒
石膏,轻粉,青黛,黄柏末
石楠叶,地肤子,当归,独活,白酒
青黛,黄柏末,氧化锌,石膏,麻油,凡士林
松叶,白酒
铅粉,松香末,枯矾,五倍子末
地骨皮,桑白皮,茯苓皮,生姜皮,生地,地肤子,连翘,牛蒡,赤芍,夏枯草,蝉蜕,白蒺藜
大黄,黄柏,黄芩,苦参等量
密陀僧,黄柏,冰片
蛇床子,川椒,白矾
蜈蚣
金环蛇,银环蛇,乌梢蛇,眼镜蛇,防己,闹羊花,七叶莲,石南藤,鸡血藤,钻地风,豨草,蕲蛇,75度纯粮酒
乌蛇,蝉衣,荆芥,防风,羌活,白芷,黄连,黄芩,银花,连翘,甘草
苍术,白术,茯苓,荆芥,丹皮,防风,白蒺藜,僵虫,川芎,丹参,黄芩,龙骨
樟冰,轻粉,川椒,枯矾,水银,雄黄,枫子肉
土荆皮,蛇床子,大风子仁,百部,防风,当归,风仙透骨草,侧柏叶,茱萸,花椒,蝉蜕,斑蝥
熊油,瓦松,轻粉,樟脑
地黄,丹皮,赤芍,当归,苦参,金银花,玄参,牛蒡,蝉蜕,白鲜皮,防风,大青叶,红花
明矾,白砒,蛇床子,丹参,螵蛸
藜芦,苦参,草乌,皮硝,槐枝
枯矾,川连,雄黄,川柏,山栀,蛇床子,川乌,草乌
蛇床子,枯矾,川椒,樟脑,雄黄,芥穗,五倍子,硇砂
杏仁,水银,雄黄
茯苓皮,茵陈,防己,薏仁,防风,白芷,地肤子,银花,连翘,鱼腥草,焦栀,乌梢蛇,老鹳草
羊蹄根,槿皮,川乌,槟榔,百部,海桐皮,白鲜皮,苦参,蛇床子,千金子,地肤子,番木鳖,蛇衣,大枫子,蜈蚣,白信,斑蝥
当归,白芷,姜黄,甘草,轻粉,冰片,蜂白蜡
黄芪,白术,防风,白芍,桂枝,赤芍,鬼箭羽,地龙,蝉衣,枣仁,生姜
麻黄,僵蚕,防风,荆芥,薄荷,甘草,苍术,桃仁,红花,归尾,赤芍
苦参,黄柏,烟胶,木鳖肉,蛇床木,点红椒,明矾,枯矾,丹参,枫子肉,樟冰,水银,轻粉,白砒
苍耳子,王不留行,苦参,明矾
苦参,苍术,黄柏,白藓皮,地肤子,蒲公英,车前子,当归,柴胡
黄耆,桃仁,红花,皂刺,赤芍,山甲
