糯米,山药,胡椒末,白糖
落花生,粳米,冰糖
山药
嫩莲实,粳米
扁豆,山药
肉豆蔻,山楂,益智仁
白术,山药
白术,白芍,山药
人参,白术,茯苓,甘草,半夏,干姜,苏子
人参,干姜,甘草,白术
人参,白术,干姜,甘草,茯苓,半夏
人参,干姜,甘草,白术
麦芽,山楂,神曲
栗子肉,柿饼
黄芪,白术,菟丝子
人参,甘草,茯苓,白术,陈皮,半夏
党参,白术,茯苓,炙草,陈皮
陈皮,半夏,茯苓,甘草,人参,白术
苏叶,香茹,茯苓
陈皮,半夏,茯苓,白术,人参,甘草
麦芽,陈皮,白术
山药,芡实,白术,茯苓
人参,黄耆,白术,茯苓,麻黄根,牡蛎
太子参,茯苓,白术,萆薢,甘草
陈皮,白芍

何首乌,扁豆,谷芽,白芍,车前,莲肉
青皮,莪术,三棱,陈皮,神曲,延胡索
鲜荠菜,粳米
黄芪,白术,薏仁,茯苓,甘草
黄芪,党参,白术,白芍,薏仁
黄芪,白芍,白芨,甘松,鹿角胶,甘草
芡实,山药,白糖
芡实,茯苓,山药,金樱子,党参
黄芩,陈皮,白术,甘草,黄连,使君子,茯苓
败酱草,薏仁,茯苓,白术
女贞子,苍术,白术,菟丝子
茯苓,扁豆,白芍
青皮,陈皮,人参,厚朴,草果仁
白术,茯苓,山药
白术,茯苓,山药,莲肉,泽泻
山药,陈皮,砂仁,黄芪
白术
陈皮,茯苓
良姜,缩砂,陈皮,白术,草果,京三棱,苍术
白术,芍药,枳实,陈皮
厚朴,茯苓,陈皮,砂仁
砂仁,大米
茯苓,陈皮,扁豆,藿香,甘草
石斛,山药,熟地,白术
白术,茯苓,肉桂,柴胡,白芍,半夏
人参,白术,黑附子,木香,茯苓,陈皮,甘草
鹿茸,山药,白术,扁豆

芡实米,金樱子
茯苓,车前草,神曲
白术,茯苓,人参,山药,芡实,肉桂,肉豆蔻
白术,茯苓,人参,山药,芡实,肉桂,肉豆蔻
白术,益智仁,白糖
山药,紫荆皮,枣仁
山楂,粳米,砂糖
白术,干姜,肉桂,陈皮
茯苓,猪苓,白术,泽泻
肉豆蔻,山药,厚朴,半夏
党参,白术,茯苓,莪术,三棱
党参,白术,茯苓,甘草
香附,川芎,白术,陈皮
苍耳子,苍术,薏仁,茯苓,熟地,元参

白术,陈皮,茯苓,厚朴,扁豆
白术,茯苓,陈皮,砂仁
乌头,茴香,苍术
猪苓,白术,泽泻,茯苓
熟地,香附,白术

白樟柳根,赤小豆,陈皮,木香
陈皮,甘草,30屯,黑牵牛,肉豆蔻
山药
鲜土豆
猪脊骨,茯苓
党参,白术,茯苓,香附,良姜
白术,白芍,苏叶,猪苓,泽泻
党参,茯苓
人参,白术,当归,厚朴,茯苓,草豆蔻
党参,白术,山楂,陈皮,白芍
白术,山药,人参,白芍,苍术,陈皮
鹿衔草,益母草,鱼腥草,白花蛇舌草,车前子,苍术
枸杞,黄精,白术,天冬
生姜皮,桑白皮,陈皮,大腹皮,茯苓皮
木香,党参,小川连,清炙草,小青皮
香薷,厚朴,扁豆
砂仁,木香,藕粉白糖
香橼,砂仁,白砂糖
木香,枳实,砂仁,白术
木香,砂仁,枳实,白术
党参,白术,茯苓,甘草
甘草,当归,茯苓,芍药,白术,柴胡
柴胡,当归,白芍,白术,茯苓
柴胡,当归,白芍,白术,茯苓
白术,茯苓,僵虫
菟丝子,五味子,茯苓,干莲肉
良姜,白术,甘草,缩砂仁,红豆,胡椒
干姜,茯苓,白术,枳实
陈皮
谷芽,山楂,槟榔,积壳等份
砂仁
神曲,炒乌梅肉,干姜,麦芽
白术,茯苓,萝卜子
茯苓,六曲,白芍
神曲
白术,陈皮
神曲
半夏,甘草,茯苓
陈皮,神曲,草果,丁皮,茯苓,甘草
缩砂仁,神曲,草果仁,陈皮,白豆蔻,丁香,半夏
生地,青蒿,白术,茯苓,人参,知母
山药,小米白糖
陈皮,砂仁,神曲
苍术,陈皮,茯苓,泽泻,炒麦芽,六一散
饴糖
人参,茯苓,甘草,白术,扁豆,藿香
薏仁
羊骨左右,粳米,细盐,生姜葱白
苍术,陈皮,甘草,山药
陈皮,丁香,诃子,青皮,甘草
白术,陈皮
陈皮,青皮,诃子,甘草,丁香,山药
党参,白术,山药,茯苓,山楂
党参,白术
党参,陈皮,白术,茯苓,山楂
白术,陈皮,白芍
黄芪,白术,白芍,桂枝,生姜
地榆,砂仁,甘草,甘草
柴胡,甘草,川芎,当归,白术,茯苓
白芍,白术,甘草,香附,麦冬
人参,茯苓,白术,陈皮,甘草
桂圆肉,党参,猫肉
丁香,檀香,木香,白豆蔻,藿香,甘草,缩砂仁
丁香,藿香,甘草,砂仁
白术,山药,扁豆
当归,白芍,白术,陈皮,厚朴
白术,茯苓,厚朴,陈皮,神曲
山药
山药,茯苓,芡实,莲子肉,川椒,薏仁

白芍,扁豆,山药,茯神,莲肉
猪苓,茯苓,白术
甘草,陈皮,藿香,白术,厚朴,半夏
枳实,白术
白术,枳实
枳实,半夏,白术,蓬莪茂,茯苓
益智仁,半夏,苍术,白术,芍药,茯苓

白术,陈皮,厚朴
干姜,草豆蔻,神曲,大麦芽,陈皮,甘草
砂仁
人参,山药,扁豆,莲肉
良姜,茴香,神曲,茯苓
