海金砂,金钱草,车前子,木通,茯苓,陈皮,青皮,滑石,琥珀末
滑石,淡芩,茵陈,藿香,连翘,菖蒲,白蔻,薄荷,木通,射干,贝母
绿豆,赤小豆,黑豆,甘草
苋菜,甘草,旱莲草,蜂蜜10毫升
官桂,人参,藿香,茯苓,白术,甘草,葛根,泽泻,石膏,寒水石,滑石,木香
黄连,枳壳,当归,芍药,茯苓,泽泻,青皮,槟榔,木香,甘草
冬瓜皮,茯苓皮,黄芪,生姜皮,枣仁,白糖
黄芩,滑石,茯苓皮,猪苓,大腹皮,白蔻仁,通草
黄耆,昆布,赤小豆
茵陈,山栀,金银花,连翘,败酱草,板蓝根,赤芍,白芍,柴胡,神曲,苏梗,桔梗,大豆
虎杖,茵陈,板蓝根,蒲公英,陈皮
青蒿脑4.,竹茹,半夏,茯苓,青子芩4.,枳壳,陈广皮,碧玉散
葫芦壳,冬瓜皮,西瓜皮,枣仁
新鲜荷叶,粳米,冰糖
紫河车,竺黄,甘草,白梅花,滑石,丹皮,甘松,花粉,莪术,砂仁,益智仁,人参,木香,黄耆,山药,香附,桔梗,茯苓,远志
滑石,生杭芍,知母,黄柏
寒水石,白石脂,栝楼,菟丝子,知母,桂心
茵陈,苍术,木通,栀子,茯苓,猪苓,泽泻,薏仁
何首乌,防风,金银花,荆芥,苍术,白鲜皮,甘草,苦参,连翘,木通
降香,石苇,滑石,鱼脑石,金钱草,海金砂,鸡内金,冬葵子,牛膝,甘草
藿香,香薷,苏梗叶,白术,苍术,厚朴,桔梗,扁豆,陈皮,茯苓,白芷,大腹皮,羌活,半夏,木瓜,猪苓,泽泻,甘草
金银花,蒲公英,冬瓜子,大活血,木香,大黄
金钱草,海金沙,薏仁,甘草,冬葵子,乳香,牛膝,鸡内金,萆薢,木通,琥珀末
干葛,白术,人参,石膏,麦冬,茯苓,半夏
白头翁,秦皮,黄柏,黄连,白芍,白术,苍术,茯苓,猪苓,匾蓄,山药,木香
当归,赤豆卷,肉苁蓉,山萸,牛膝,香附,茯苓,银花,银花叶
连翘,金银花,赤芍,花粉,滑石,车前子,甘草,泽泻
石膏,知母,甘草,半夏,白术,猪苓,茯苓,泽泻,肉桂
白蒺藜,草乌,白芷,白附,苍术,荆芥
葛根,茯苓,木香,砂仁,人参,白术,陈皮,神曲,猪苓,泽泻
苍术,白术,茯苓,甘草,猪苓,泽泻,升麻,肉桂,柴胡,黄芩,生草,当归,白芍
苍术,白术,茯苓,甘草,猪苓,泽泻,升麻,肉桂,柴胡,黄芩,生草,川归,白芍
干姜炭,党参,白术,半夏,甘草,枳实,三七,桂枝,牡蛎,茯苓
桂枝,石膏,猪苓,泽泻,藿香,朱砂,琥珀,甘草,滑石,白术,云苓,寒水石
龙胆草,黄芩,栀仁,金银花,连翘,泽泻,木通,丹皮,六一散,大青叶
槐花,地榆,仙鹤草,旱莲草,侧柏叶,枳壳,黄芩,胡麻仁,菜苋
白术,枳实,陈皮,麦芽,山楂,茯苓,神曲,连翘,茵陈,荷叶,泽泻
人参减半,白术,茯苓,猪苓,泽泻,香薷,石莲肉,麦冬
羌活,白术,泽泻,猪苓,茯苓
生地,京赤芍,丹皮,四季青,银花,连翘,大黄,地丁,半枝莲,车前子
当归,丹参,贝母,白芍,赤芍,元参,夏枯草,紫草,生地,白术,黄柏,牛膝,茜草
生地,鲜芦根,大青叶,板蓝根,金银花,连翘,桑叶,白藓皮,赤芍,黄芩,生栀仁,滑石,甘草
生地,鲜芦根,大青叶,板兰根,金银花,连翘,桑叶,白鲜皮,赤芍,黄芩,生栀仁,滑石,甘草
金银花,蒲公英,地丁,赤芍,生地,大青叶,黄柏,牛膝,石膏
金银花,蒲公英,地丁,赤芍,生地,大青叶,黄柏,牛膝,石膏
藿香,杏仁,薏仁,白蔻仁,厚朴,半夏,白蒺藜,菊花,僵蚕,豆豉,葱白3寸,六一散,竹叶
藿香,杏仁,薏仁,白蔻,厚朴,半夏,白蒺藜,菊花,僵蚕,豆豉,葱白,3寸,六一散,竹叶
龙胆草,青连翘,生地,车前子,黄芩,栀子,丹皮,泽泻,苦木通,甘草
羚羊角,枣仁,茯神,薏仁,五加皮,当归,川芎,葛根,木香,钩藤,白术,泽泻
茵陈,山栀,黄芩,菖蒲,藿香,白蔻,薄荷,滑石,木通,枳壳
党参,于术,茯苓,砂仁,陈皮,建曲,石斛,扁豆,白芍,灶心土,薏仁,益元散
当归,白芍,生地,何首乌,川芎,白芨,地龙,路路通,地肤子,乌药,荆芥,防风,甘草
麻黄,桂枝,干姜,细辛,半夏,白芍,黄芩,栀子,甘草
茯苓皮,大腹皮,五加皮,防己,茵陈,桑枝,苍术,菖蒲
熟地,萸肉,泽泻,茯苓,淮药,肉桂,附片
生薏米,扁豆,山药,芡实,枳壳,萆藓,黄柏,白术,茯苓,大豆
陈皮,厚朴,苍术,神曲,麦芽,山楂,甘草,黑豆
党参,白术,茯苓,猪苓,泽泻,山药,扁豆,肉豆蔻,熟地,麦冬,五味子,陈皮,通草,车前子,肉桂,葛根
人参,油朴,茯苓,砂仁,苍术,麦芽,清夏,草果,藿香,石榴皮,紫蔻,血琥珀,川芎,朱砂,白术,甘草
黄芪,党参,山药,枸杞,山萸,淫羊藿,白花蛇舌草,半枝莲,泽泻,苡米根,黄柏,益母草,红花,甘草,干蟾
豨莶草,海风藤,苍术,千年健,威灵仙,油松节,牛膝,伸筋草,地黄,寄生,乳没,白术,地枫皮,防风,狗脊,木瓜,防己,秦艽,茜草,独活,川芎,红花,杜仲,玉竹,当归,肉桂,陈皮,川断,麻黄,红糖,白酒
葵菜叶,淀粉,食盐,味精
茯苓,葵子,石韦,泽泻,白术
茯苓,猪苓,葵子,枳实,瞿麦,木通,黄芩,车前子,滑石,甘草
苦参,地黄
昆布,海藻,红花,桃仁,柴胡,白芍,枳实,海金砂,冬葵,滑石,大黄,鸡内金,琥珀,甘草
当归,白芍,白术,柴胡,茯苓,虎杖,茵陈,白花蛇舌草,甘草
白花蛇舌草,茯芩,马齿苋,薏仁,夏枯草,牡蛎,木贼草,板蓝根,红花,赤芍,紫草,甘草
龙胆,柴胡,黄芩,栀子,泽泻,关木通,车前子,当归,地黄,甘草
鹿角霜,秋石,茯苓
鹿头肉,蔓荆子,高良姜,香子,粳米
石榴皮,椿根皮,乌梅炭,谷芽,槟榔
黄连,木香,黄芩,地榆,苡米,枳实,槟榔,大黄,赤芍,莱菔,甘草
仙灵脾,陈皮,黑豆皮,槟榔,豉,肉桂,生姜,葱白,黄酒
银花,黄柏,萆解,白茅根,茵陈,竹叶,灯芯4扎,淮山,车前子,苡米,甘草
茵陈,败酱草,板蓝根,玉米须,金银草,郁金,栀子
金钱草,茵陈,黄芩,木香,郁金,大黄,槟榔,枳实,皮硝,厚朴
苍术,乌药,香附,藿香,纯苏叶,厚朴,陈皮,青皮,赤芍,砂仁,小茴,木香,草果,川芎,归身,黄芩,枳壳,茯苓,木通,鸡心,槟榔,甘草
生地,黄芩,赤苓,泽泻,车前子,木通,六一散
半夏,枳实,茯苓,丹参,川芎,赤芍,沙参,麦冬,五味子
五物香薷饮加木瓜
滑石,甘草
麻黄,连轺,杏仁,赤小豆,枣仁,生梓白皮,生姜,甘草
麻黄,甘草,薏仁,杏仁
银花,菊花,蒲公英,地丁,生地,元参,赤芍,丹皮,竹叶,黄连,甘草
白茅根,鲜菠萝汁,白糖
枇杷叶,桑叶,麦门冬,天门冬,黄芩,菊花,生地,白茅根,白藓皮,地肤子,大力子,白芷,桔梗,茵陈,丹皮,苍耳子
白术,山药,茯苓,茯神,莲子肉,芡实,莲花须,牡蛎,黄柏,车前子
牡蛎,大黄
丹皮,赤芍,木通,萆薢,花粉,瞿麦,泽泻,车前,甘草
蒲灰,滑石
柴胡,黄芩,郁金,枳壳,姜黄,青皮,大黄,白芍,山楂,川楝,金钱草
大黄,黄柏,黄芩,猪苓,赤苓,泽泻,木通,车前子,米仁,萆薢,生侧柏,玄参,广皮,薄荷,香附
白术,薏仁,茯苓,防己
茜草,丹参,地鳖,王不留行,木瓜,薏米仁,清风藤,牛膝,茯苓,黄柏
秦艽,犀角屑,黄芩,柴胡,茯苓,茵陈,麦门冬,大黄
木贼,香附,连翘,薏仁,板蓝根
萹蓄,瞿麦,滑石,甘草
连翘,金银花,蒲公英,地丁,黄芩,车前子,丹皮,地骨皮,瞿麦,匾蓄,赤芍,冬瓜子
石膏,防风,防己,黄连,白芷,生草,羌活,鱼腥草,萆,红花,蔓荆子,生地,盐柏,知母,桑白皮,丹皮,薏仁
白蔻仁,厚朴,半夏,滑石,生苡米,郁金,珍珠母,甘草
地丁,蒲公英,双花,菊花,赤芍,决明子,车前子,柴胡,薄荷,木通,蝉衣,黄精
黄芩,麦门冬,地骨皮,车前子,甘草,茯苓,黄耆,人参
川楝,牛膝,刘寄奴,桃仁,甘草,黄柏,小茴,薏仁,白芍,败酱草,黑附子,瞿麦,玄胡
藿香,香薷,茯苓,陈皮,厚朴,麦冬,人参,白术,泽泻,甘草,草豆蔻,竹茹,砂仁,生姜,乌梅
何首乌,枸杞,菟丝子,螵蛸,赤石脂,狗脊,熟地,藿香,砂仁
柴胡,全蝎,山楂,黄芪,茵陈,郁金,丹参,赤芍,白花蛇舌草,三七
片子姜黄,甘草,羌活,白术,海桐皮,当归,芍药
芍药,薏仁,赤小豆,当归,石南叶,牵牛子,麻黄,陈皮,杏仁,大腹皮,川芎,牛膝,五加皮,萆薢,独活,杜仲,木瓜
防风,苍术,肉桂,羌活,猪苓,泽泻,茯苓,白术
桑白皮,泽泻,玄参,甘草,麦门冬,黄芩,旋复花,菊花,地骨皮,桔梗,茯苓
人参,木香,防己,茯苓,槟榔,木通,葶苈
金钱草,海金砂,川萆解,蚕砂,郁金,枳实,车前子,生地,瞿麦,滑石,鸡内金,酒军
半枝莲,金钱草,鸡内金,石苇,郁金,三棱,滑石,瞿麦,牛膝,海金砂,木通,白茅根,甘草
苍术,黄柏,牛膝,薏仁
龙胆草,板蓝根,当归,元胡
党参,茯苓,生地,泽泻,牛膝,茵陈,白术,知母,菟丝子,白茅根,甘草
白石英,枣仁,羚羊角,磁石,石斛,黄芪,羌活,生地,牛膝,肉桂,云苓,杜仲,酒
金樱根,菝葜,羊开口,金沙藤,积雪草
紫草,紫参,地丁,车前子,茯苓皮,甘草,细木通,元胡,大青叶
滑石,石膏,杏仁,竹茹,银花,金汁30毫升,通草
杏仁,滑石,通草,白蔻仁,竹叶,厚朴,薏仁,半夏
何首乌,乌豆衣,乌梅,茵陈,丹皮,蝉衣,生地,当归,甘草
滑石,生山栀,玄参,生地,大黄,匾蓄,苏叶,山楂,神曲,马鞭草,青皮,牛膝
猪苓,白术,泽泻,茯苓,车前子,木通,茵陈,瞿麦
麦门冬,淡竹叶,车前草,茯苓,木通
大豆,防己,赤芍,秦艽,牛膝,萆薢,干地龙,归须,黄柏,白茄根,桑枝
金银花,白花蛇舌草,鱼腥草,车前草,匾蓄,黄柏,小蓟
萆,菖蒲,黄柏,白花蛇舌草,石苇,贝母,马勃,牛膝,全虫
葶苈,茯苓,猪苓,白术,苍术,泽泻,瞿麦,车前子,川芎,当归,赤芍,生地
茯苓,苦参,虎杖,夏枯草,栀子,元胡,萆解,匾蓄,滑石,甘草
猪脊骨,茯苓
茯苓,泽泻,猪苓,肉桂,白术
木通,滑石,甘草,山栀仁,芍药,茯苓,淡竹叶,茵陈
香薷,厚朴,扁豆
苍术,白术,茯苓,荆芥,丹皮,防风,白蒺藜,僵虫,川芎,丹参,黄芩,龙骨
菟丝子,五味子,茯苓,干莲肉
生地,赤芍,丹皮,紫草,双花,茯苓,薏仁,蛇蜕,黄连,荆芥,石膏,知母,甘草
半夏,甘草,茯苓
杏仁,滑石,黄芩,陈皮,黄连,郁金,通草,厚朴,半夏
凤尾草,过路黄,山楂,白茅根
藿香,佩兰,半夏,瓜蒌壳,黄连,黄芩,栀子,天竺黄,郁金,菖蒲,竹茹,六一散
鱼腥草,败酱草,金银花,海金沙,苦参,车前草,石苇,地肤子,千里光,黄芩,白花蛇舌草
双花,蒲公英,45,丹参,香附
蒲公英,金银花,六一散,丹参,香附
金银花,连翘,升麻,红藤,蒲公英,生鳖甲,地丁,蒲黄,椿根皮,大青叶,琥珀末,桔梗,茵陈
杏仁,水银,雄黄
薏仁,竹叶,滑石,白蔻仁,连翘,茯苓块,通草
薏仁,粳米
茵陈,赤小豆,薏仁,泽泻,苍术,黄柏,苦参,防己,佩兰,木通,白蔻,甘草
茵陈,栀子,大黄
茵陈,粳米,白糖
金钱草,车前子,瞿麦,杜仲,海金砂,牛膝,王不留行,泽泻,当归,肉苁蓉,冬葵子,滑石,石苇,甘草
党参,白术,苍术,藿香,茵陈,当归,白芍,香附,佛手,山楂,泽兰,牡蛎,王不留行
滑石,甘草,朱砂
滑石,甘草
北芪,白术,防风,苍耳子,辛荑花,白芷,杭菊,木通,五味子,螵蛸
麻黄,僵蚕,防风,荆芥,薄荷,甘草,苍术,桃仁,红花,归尾,赤芍
厚朴,陈皮,乌药,猪苓,泽泻,甘草,干姜,茱萸,
石燕子1双,海马,海蛤,滑石,琥珀,茯苓,川木通,通草,栀子,泽泻,猪苓,车前子,茴香,瞿麦,萹蓄,葶苈,忘忧根,木香,丁香,鬼棘针
金钱草,海金沙藤,白芍,生地,鸡内金,琥珀末,木香,甘草
鲜竹笋,粳米
泽泻,白术
黄柏,苍术,樗根皮,茯苓,山药,泽泻,使君子,乌梅,黄连,枣仁,川椒
枳实,大黄,黄连,黄芩,神曲,白术,茯苓,泽泻
白术,人参,甘草,猪苓,姜黄,茯苓,干姜,砂仁,泽泻,陈皮,炒知母,黄芩,黄连,半夏,炒枳实,厚朴
