雄黄,"g,分,克,钱,None,两,两半"
郁金,"None,-5g,克,两,g,钱,合,石"
芫花,"钱7分,分,克,两,None"
颗块大朱砂,两
小胡麻,"钱,克,g,两,合"
三月雪,g
生麻黄,g
甲醛,ml
炒酸枣人,g
全瓜篓,g
土大黄,克
地栗粉,两
王不留形,g
乌啄,两
锁阳,"g,钱,克"
炒地榆,g
信石,钱
使君子,"g,None,两,钱,分"
酒洗,"None,两"
明参,g
天荞麦根,g
乌齿苋,g
天花粉,"克,g,None,两,钱,两5钱,分"
代赭石,"g,两,两半,克"
%朱砂,g
黄白占,两
鹿茸,"克,钱,None,两,两半"
入川黄连,克
雄鸡头,枚
九晒,None
北沙参,"克,g,None,两,两半"
去苗,None
川贝,"克,None,g,两,钱,钱半,斤8两"
密佗僧,克
猫人参,g
虎骨,"钱,克,None"
黑铅,钱
牛黄,"g,钱,分,克,两,厘"
藜芦,"钱,两,克"
河水,升
血系炭,g
胡芦巴炮,None
升麻二十,两
刺猬皮,"分,g"
白英,g
生白药,g
儿茶,"钱,分,两,g,克,份"
金樱子,"克,g"
山楂,"g,两5钱,两,None,钱7分,克,钱"
栀仁,g
出油尽,None
一半炒四遍,克
炒酸枣仁,g
味共研匀,None
制僵蚕,g
鲜茅根,克
猴头菌培养物浸膏,None
麦糵,两
北柴胡,"两,g"
白芜荑,两
杭芍药,g
长流水浸半日,克
鼠妇,"两,g"
水红花,g
蜜涂,两8钱
入地老鼠鲜品,g
牛毛,分
水煮软,None
红藤,"-60克,g,None"
炙穿山甲,g
佼股蓝,g
黄精,g
香制附,g
以白酒作引,None
羚羊骨,g
藿梗,g
芽桔梗,None
炒黑地榆,g
头长尾者,None
橄榄,"石,枚"
勿令焦,None
红芥子,g
芎?,"两,斤,分,None,钱5分"
焰消,两
一名继骨肉,None
肥知母,g
白糖,"克,None,两半"
西砂仁,g
人参叶,g
荆芥,"钱,克,g,None,两5钱,钱4分,两,分"
炙首乌,g
紫菀,"g,克,None,钱,钱2分,两半,两,kg,分"
皮胶珠,g
毒公,None
淫羊藿叶,g
厚朴,"g,两,钱,克,None,分,两半,斤"
净地龙,g
真川连,钱
制没药,g
