雄黄,"钱,克,g,两"
草蔻,"g,两,钱"
芦荟,"钱,克,两,None"
白芥子,"克,g,两,钱"
胡黄莲,g
佛手,"g,分"
元胡,"g,None,克,钱,分,两"
火硝,"克,None"
生石决明,g
砂仁,"克,g,钱,None,分,两"
北梗,钱
党参,"克,g,钱"
牛胶,钱
罂粟壳,"g,None,钱"
熟干地黄,"两,分,两半"
苁蓉,两
枇杷叶,g
炒决明子,-15g
怀牛膝,"克,g"
硫黄,"分,两"
雷丸,g
鬼箭羽,两
山茴香,g
前仁,g
山茱萸肉,g
槐鹅,两
以炭火烧半日,None
净蝉衣,g
苏梗,g
马勃,"g,克"
益智仁,两
白槟榔,"两,枚,分"
竹叶,g
木鳖子,两
丝瓜络,g
赤苓,"两,克,钱,钱5分,g,两半"
红大戟,"两,None"
橘叶,克
青橘叶,匙
制龙衣,g
三七粉,g
黛蛤粉,g
代赭,"两,分"
木贼,"千克,None,克,g,两,钱"
绿萼梅,g
无丁香,None
桂枝,"克,g,钱5分,钱,None,分,两"
砂仁壳,克
细生地,g
兰香,克
苍耳头,克
量,None
小茴香,"克,None,钱,g,两"
用川椒去目,份
蛤蚧,个
南沙参,"克,g"
芦巴子,钱
桂花,钱
土元,g
槟榔,"两,克,g,None,钱"
大胡麻,两
川楝肉,两
焦栀芩,克
三七叶,片
独头蒜,颗
清炙草,克
牛子,克
桑黄,两半
龙齿,"分,两"
生桑皮,克
樗白皮,g
青陈皮,g
山栀子,"None,g"
生龙齿,g
红花,"None,g,克,钱,分,两5钱,两"
野菊花,"g,克"
青皮,"None,两,千克,g,克,钱,钱半"
川鸡头,两
冬瓜子,g
姜黄,"g,两"
板兰根,"克,g"
柳火上缓缓炙,None
海金砂,两
瘦猪肉,克
青礞石,两
枫香,两
青黛,"g,克,钱"
桃仁,"克,g,个,钱,None,粒,分,两5钱,两"
牡蛎,"克,g,None,两"
苦地胆,g
冰糖,None
瞿麦,"g,两"
桑根白皮,两
新鲜胡萝卜,None
鹤虱,"克,两"
生明没药,克
角回,两
乌药,"g,斤,克,None,两,钱"
草果,钱
老松节,两
楝树花,None
炒防风,g
地榆,"两半,None,g,两"
法夏,"g,克"
鬼臼,两
赤者不用,两
丁香皮,钱
三七,g
大蓟,分
以灶头虚空中者,None
雄雀粪,两
先煎掠去沫,两
白前,两
仙鹤草,克
海风藤,两
珍珠草,g
川木通,"两,None,钱,g,克,两半,分"
宣泽泻,钱5分
豆蔻,钱
炒柏子仁,g
黄柏末,两
甜瓜蒂,None
次下茴香等同炒黄色,碗
小枳实,钱
藿梗,g
独活,"g,两,两半,None"
风尾草,g
牡丹,分
槐米,g
苏叶子,钱
薄荷炭,克
川巴戟,钱
皂角刺,"g,分,两"
萝卜汁,升
蛇头,个
泔浸,碗
草决明,"两,None,分,千克,～15克,克,g"
菝,两
灯芯草,g
木栀子,g
地鳖虫,"克,g"
冰片,"克,g,分,钱,两,None"
附子片,克
灯心草,g
密蒙花,"千克,None,g"
大血结草,None
夏枯草,"克,None,g,双,钱,两"
葶苈子,"None,分,g"
马兜铃,克
雀脑,两
台麝香,钱
水香虫,g
炒令烟尽,None
炒山栀,"克,g"
白芨,"克,g,两,分"
川乌头,两
令自干,None
金钱草,g
赤蔹,分
天南星,"两,分,钱,克,两半"
硫磺,g
青木香,g
山甲片,g
好酒浸,None
绿豆,g
辛夷花,"两,g"
攀花地,g
红泽兰,钱
好白蜜半盏,None
琥珀,"g,两,克,None"
连皮苓,g
金钟子,g
酒炒龙胆草,g
半钟乳粉,两
生蒲黄,kg
巴豆,枚
桂圆肉,两
石韦,两
蛇蜕,"g,分,条"
菊花,"None,克,g,石,两"
青葙子,"None,g"
淡竹叶,"None,片,钱,g"
川羌活,克
糯米,"粒,斤"
甘草,"克,分,None,两,钱,g,斤,寸,两7钱,升"
硼砂,"g,克,钱"
冰糖或加白菊花,g
茵陈蒿,"克,g,斤,两"
黛蛤散,g
入白蜜,两
橘络,g
高良姜,"两,分"
银箔,片
黄柏,"钱,克,g,None,两,分"
半枝莲,"克,g"
决明,g
槲寄生,g
太子参,g
胆南星,"钱,g"
陈木瓜钱半,None
谷芽,"g,两,克"
神曲,"克,None,g,两,分,钱"
皮消,两
芒荟,g
包枇杷叶,g
辛荑,g
黄松木节,两
浸苍术,None
尖双仁,"两,None,两1分"
或焙或晒干,碗
洋榧肉,两
五加皮,"两,None"
生杭芍,克
