阿胶,糯米,红糖
乳香,没药,羌活,紫苏,细辛,乌药,麝香半字,蛇含石,厚桂,白芷,降香,当归,苏木,檀香,龙骨,天南星,丹参,寄生尾,花蕊石
多年老石灰,血竭,松香,乳香,没药
黄芩
大人参
狗脊,明矾,血竭
黄耆,当归,三七,茯苓,丹皮
白芍,当归,荆芥,三七
生地炭,当归,黄芩,地榆,栀子,生白芍,升麻,槐花,侧柏炭,乌梅,生阿胶,芥穗,黄连
地黄,当归,黄酒
黄连,槐花,苍术,甘草,白术,厚朴,枳壳,陈皮,藿香,当归
生地,白芷,白芍,川芎,当归,蒲黄,阿胶,小蓟根
晚蚕蛾不以多少
似锦,倚松子,豫吞,半两铜钱
地菘苗,石灰末,旋覆苗,葛叶,青蒿苗,麦门冬苗
阿胶,糯米
反鼻,蒲黄,半
女贞子,墨旱莲
风化石灰末,干姜,生栗子末,白药末
防风,秦艽,当归,川芎,生地,白芍,茯苓,连翘,槟榔,甘草,栀子,地榆,枳壳,槐角,白芷,苍术
茯苓,黄芩,栀子,皮硝,赤石脂,升麻,紫菀,生麦门冬,竹叶,香豉,石膏,地黄
番泻叶
地松,地黄苗,青蒿,苍耳苗,芍药,石灰,生艾汁,黄丹
党参,白术,茯苓,柴胡,白芍,蒲黄,血余炭,艾碳
地榆,蒲黄,生槐角,大黄
蓍草,七叶一枝花,高良姜,枯矾,木香,肉桂
皂矾,西洋参,海马,肉桂,枣仁,核桃仁
桑叶,桑白皮,地骨皮,甘草,生地,地榆,枇杷叶,紫菀,黄芩,黛蛤散
桑叶,地骨皮,甘草,生地,地榆,枇杷叶,紫菀,黄芩,黛蛤散
党参,熟地,杜仲,川断,干姜炭,鹿角霜,十灰散
乌贼,甘松,草叩,川楝,元胡,生麦芽,贝母,生草
苋菜,甘草,旱莲草,蜂蜜10毫升
人参,当归,川芎,荆芥,干姜,熟地
滑石,甘草,朱砂面,雄黄,冰片
黄芪,巴戟天,川断,当归,白芍,熟地,侧柏叶,艾叶
黄芩,白芍,龟版,黄柏,椿树根皮,香附
人参,熟地,茱萸,白术,麦冬,甘草,丹皮
人参,黄耆,归身,甘草,煨姜,枣仁,白芍
白及,旱莲草,侧柏叶,地榆
大黄,巴豆,半两钱,羊胫炭
矾金,半夏,风化石灰
黄连,茱萸
生地,荆芥
黄芩
甘草,地黄,白术,黑附子,阿胶,黄芩,灶中黄土
甘草,地黄,白术,黑附子,阿胶,黄芩,灶中黄土
羚羊角,牡蛎,石斛,麦冬,南沙参,贝母,夏枯草4,丹皮,荆芥,薄荷,茜草,牛膝,白茅根,藕5大片
新鲜荷叶,粳米,冰糖
荷叶,藕节,大蓟,小蓟,知母,黄芩,地黄,棕榈,栀子,白茅根,玄参,白芍,当归,香墨
荷叶,藕节,大小蓟,知母,黄芩,生地,棕榈炭,栀子,香墨,白茅根,玄参,白芍,当归
花蕊石,丹参
花蕊石
胡粉,麝香
琥珀,鳖甲,京三棱,延胡索,没药,大黄
新石灰,韭菜,苎麻叶,小秦王草
古窑石灰,紫矿
多年陈石灰,鸡子清
乳香,没药
槐角,地榆,黄芩,枳壳,当归,防风
槐角,地榆,当归,防风,黄芩,枳壳
炒槐角,枳壳,陈皮,甘草
槐花,槐角,生地,黄连,银花,黄柏,滑石,当归,升麻,柴胡,枳壳,黄芩,甘草
槐花,柏叶,荆芥,枳壳
苍术,厚朴,陈皮,当归,枳壳,槐花,甘草,乌梅
槐花,栀子
槐花,百草霜
槐花,柏叶,荆芥,枳壳
槐花,地榆,金银花,茵陈,茯苓,甘草,贝母,白芷,桔梗
旱莲草,枣仁
旱莲草
生赭石,半夏,蒌仁,生杭芍,竹茹,牛蒡,甘草
花蕊石,三七,血余炭
丹参,赤芍,茜草,三七,降香
鸡冠花,米酒
石灰,韭菜叶
漂冬丹,石膏
石灰,地菘苗,细辛,旋覆根,葛叶,猪膏,青蒿,麦门冬苗,益母苗不拘多少
老松香不拘多少
龙骨,生白矾,熟白矾,生五倍子,熟五倍子,乳香,没药,无名异
钓掉根,当归,芎?,地黄,续断,鹿茸,龙骨
龙骨,乳香,没药,白矾,无名异,五倍子
天门冬,紫菀茸,葳蕤,生地,麦冬肉,白芍,百合,款冬花,知母,山药,陈皮,贝母,茜草
银末,血竭,发灰,人指甲,珍珠
嫩老鼠,不拘多少,韭菜根与老鼠一般多
马前子,枳壳
龙眼核
松香,夏果,刘寄奴
白芍,当归,荆芥,黑栀,红花,柴胡,甘草
当归,川芎,白芍,地黄,黄连,2.4克,2.1克,2.1克,2.4克,1.5克,1.8克,1.8克
阿胶,艾叶,当归,川芎,白芍,熟地,蒲黄,黄连,黄芩,生地,栀子,地榆,白术,甘草
丹砂,草乌,麝香,生乌豆
金银花,连翘,犀角粉,射干,板蓝根,花粉,京赤芍,丹皮,生山栀,焦山栀,干芦根,淡竹叶
小蓟,童便,墨汁,藕汁100毫升,沉香
麝香,丹参,炉甘石,雄黄,火消,黄丹,冰片
远年石灰,大黄,血竭
熟地,龙胆肉,鹿角胶,当归,伏龙肝,黄芪,白术,黑附子,甘草,黄芩,阿胶
党参,黄芪,地黄,续断,当归,白芍,阿胶,艾叶,白术,茯苓,川芎,甘草
干姜炭,党参,白术,半夏,甘草,枳实,三七,桂枝,牡蛎,茯苓
生地,当归,白芍,茯苓,旱莲草,女贞子,仙鹤草,珍珠母,鳖甲
槐花,地榆,仙鹤草,旱莲草,侧柏叶,枳壳,黄芩,胡麻仁,菜苋
当归,芍药,川芎,地黄,白茅根,蒲黄,丹皮,栀子,甘草
栀子,黄芩,侧柏叶,阿胶,生地,白芍
泡参,白术,茯神,杜仲,续断,菟丝子,阿胶,蕲艾,乌贼骨,寄生
犀角,地黄,白芍,甘草,白茅根,藕节,侧柏,牛膝,条芩
条芩,黄连2,槐花,枳壳,升麻,芍药,地黄,苍术,甘草,当归
当归,黄耆,三七,桑叶
当归,川芎,芍药,黄芩,知母,香附,地黄,蒲黄,甘草,侧柏叶
紫藤香,五倍子,牡蛎,白占,三七,半夏,血竭,乳香,象皮
金樱叶,桑叶,嫩苎叶
矿石灰,生韭菜
百部,白及,黄精,玉竹,穿心莲,葎草
白及粉,甘草,蜂蜜
龙骨,寒水石,滑石,枯矾,乳香,没药,轻粉,黄丹
鹿角胶,油头发灰,没药
鹿茸,当归,地黄,冬葵子,蒲黄
龙眼核
制商陆,仙鹤草,地榆,党参,白术,山萸,丹参,黄芪,何首乌,玄参,甘草
黄连,蒲黄,黄芩,当归,地黄,枳壳,槐角,芍药,川芎,甘草
黄连,枳壳
生地,生绵纹,桑叶,丹皮,血见愁,牛膝,三七,苏子,降香
生芍,双花炭,丹参,黄芩,椿皮炭,山楂,陈皮,木香,黄连
牛,羊角及蹄甲,白及
赤小豆,黄耆,黑附子,白蔹,桂心,芍药,黄芩
山药,龙骨,牡蛎,螵蛸,茜草,生杭芍,白头翁,真阿胶
郁金,地黄,粉草,腊月猪板脂
刘寄奴
归尾,生地,赤芍,黄连,枳壳,黄芩,槐角,地榆,荆芥,升麻,花粉,甘草
石膏,淡黄丹,乳香,没药,龙骨,大黄
蒲黄,鹿茸,当归
蒲黄,石榴花
蒲黄,郁金
蒲黄,龙骨,艾叶
鲜荠菜,粳米
茜草,生地,元参,丹皮,防风,阿胶,白芍,黄芩,甘草
黄芪,螵蛸,白芍,白芨,甘松,鹿角胶,元胡,甘草
黄芪,续断,山萸,熟地,枸杞,白术,炒白芍,茜草,三七,甘草
黄芩
桑白皮,黄芩,山栀炭,白茅根,茜草,侧柏叶,紫草,当归,旱莲草,牛膝
天门冬,麦门冬,地黄,丹皮,赤芍,栀子,黄连,山药,茱萸,泽泻,茯苓
黄芩,山栀,丹皮,生地,赤芍,侧柏叶,白茅根,水牛角,牛膝,甘草
血竭,乳香,没药,红花,儿茶,冰片,麝香,朱砂
血竭,麝香,冰片,乳香,没药,红花,朱砂,儿茶
大黄,真秋石
蒲黄,旱莲草,藕节,丹参,丹皮,生地,郁金,荆芥,栀子,川芎,甘草
地黄,阿胶,川芎,桔梗,蒲黄,甘草
南沙参,黄芩,麦冬,茜草,槐花
鲜柿叶,白糖
白木槿花,石膏,白豆腐,白砂糖
生荷叶,艾叶,生柏叶,地黄
生地,熟地,当归,芍药,知母,黄柏,侧柏叶,槐子,连翘
乌鲗骨,芦茹
升麻,清酒
大蓟,小蓟,柏叶,荷叶,白茅根,茜根,大黄,山栀,丹皮,棕榈皮
大蓟,小蓟,白茅根,茜根,老丝瓜,山栀,蒲黄,荷叶,大黄,乱发
马钱子,枳壳
大黄,黄芩,川连,山栀,黑栀,白茅根,桑叶,地榆,茜草,仙鹤草,银花,黄柏,元参,水牛角,甘草
丹参,红花,桃仁,延胡索,乳香,没药,银花,连翘,丹皮,泽泻,生姜
好石灰,清油30毫升,大黄
天门冬,麦门冬,知母,贝母,款冬花,杏仁,当归,地黄,黄连,阿胶珠,蒲黄,京墨,桔梗,薄荷,白蜜,麝香
三七,乳香,陈年石灰,血竭,妇人裙裆末,人参
螵蛸,贝母,陈皮油
乌贼骨,茜草,地榆,继木,蒲黄炭,槐花,荠菜,马齿苋,甘草
乌梅,红糖
雪梨,生地,白茅根,藕取汁,萝卜,麦冬取汁
芎藭,阿胶,甘草,艾叶,当归,芍药,地黄
雪梨汁,藕汁,地黄汁,麦门冬汁,萝卜汁,白茅根
乌梅,五倍子,苦参,射干,炮山甲,牡蛎,火麻仁
桑白皮,地骨皮,花蕊石,三七,血余炭,甘草
地黄,小蓟根,滑石,通草,蒲黄,淡竹叶,藕节,当归,桅子仁,甘草
地黄,小蓟,滑石,木通,蒲黄,藕节,淡竹叶,当归,栀子,甘草
百部,藤苦参,苦冬瓜,箭根薯,羊耳菊根,蔓荆子茎及叶
鲜野苋草全草,白糖
羊胆干膏,百部,白及,贝母,甘草
地榆,砂仁,甘草,甘草
生地,生白芍,黄芩,玄参,石斛,地骨皮,牡蛎,花蕊石,陈棕炭,侧伯叶,藕节炭
当归,炒白芍,香附,青皮,柴胡,川芎,地黄,甘草
黄连,大黄,黄芩
生苎麻根,陈皮炒,粳米,大麦仁,细盐
黄连,黄芩,地黄,赤芍,当归,槐角,槐花,荆芥,地榆,阿胶
黄芩,槐角,生地,芍药,槐花,阿胶,地榆,当归,芥穗,黄连
琥珀屑,降真香末,血竭
竹茹,阿胶,黄酒
珍珠,象皮,冰片,乳香,没药,鸡内金,龙骨,赤石脂,血竭,轻粉,铅粉,辰砂
生地,黄芪,藕节,白芨,山楂,茜草,枣仁,花生衣
珍珠,乳香,螵蛸,琥珀,象皮,没药,龙骨,儿茶,轻粉,血竭
人参,白芍,黄芩,生地,益母草,续断,甘草
