砂仁,"枚,钱"
龙齿,"克,分"
芫花,两
薏仁,"两1分,两,分"
刺蓟,两
地菘苗,"半两,两,None"
山药,"分,两,克,None,八两"
雄精,"克,钱5分"
川木通,钱
生芍,钱
紫金皮,None
巴戟天,"克,半两,两,两半"
芎?,"两,None,半两,分,升"
豫吞,握1茎
升麻,"两,克,g,None,斤,分,两半,半两"
诃黎勒皮,"分,两,半两"
赤小豆,分
硇砂,"钱,两"
樗根白皮,克
木瓜,"None,钱"
海马,None
石决明,"None,具"
甘草,"两,克,半两,千克,斤,钱,None,钱5分,g,八两,分,二两,两1分,两半,半钱,铢,钱半"
牛膝许,两
旋覆花,"半两,两5钱,分,铢"
牛膝,"钱,克,两,半两,两半,分"
马前子,斤
栀仁,钱
丹参1字,None
山楂,"钱,克,两"
秋石,半两
犀角片,克
白花蛇,两
天南星,"None,克,钱,两"
自然铜,两
寒水石,"半分,两,克,钱"
续断,"两,克,钱,g,分"
贯众,None
椿树根皮,克
熊胆,克
陈棕炭,克
粳米,"克,None,半合"
鹿角霜,钱
薯蓣,"两,克,分"
西黄,克
葱头,个
白鲜皮,"半两,两半,钱,两"
潞参,钱半
郁金,"钱,两,克,枚,半两"
天龙,"钱,条"
冰糖,"克,None"
槐子,克
荆芥,"两,钱,克,None,g"
伏龙肝,克
败龟板,两
苁蓉,"两,克"
紫葳,半两
晚蚕蛾不以多少,None
黑栀,"钱,克"
苏木,"None,钱,分,两"
火消,"g,None"
斑蝥,"两,钱"
密陀僧,None
白豆蔻,"钱,半两,枚,分"
粳米1撮,None
菝葜,克
三棱,"None,两,钱"
条芩,"克,钱半"
苍耳子,分
慈竹1段,None
砒霜,克
玉竹,g
草龙胆,半两
蔓荆子茎及叶,g
六一散,钱
菜苋,克
山萸,"克,两,None"
五灵脂,钱
猬皮,"克,个"
藕汁100毫升,None
猪膏,"半斤,None"
地肤子,"钱半,两"
竹茹,"千克,克,g,None,两"
经霜丝瓜,钱
寄生尾,None
明矾,钱
琥珀,"两,克,钱,钱3分"
恶实,分
车前叶,握
鳖甲,"两,克,None,两半,半两"
山奈,钱
片芩,克
缩砂仁,"两,半两"
芎藭,"两1分,克,两,两半,半两,铢"
青黛,"分,None,钱,克"
黄精,g
黄蜡,"克,半两,两"
大胡麻,斤
儿茶,"None,g,克,钱"
羊胫炭,握
青葙子,None
和皮大腹子,分
腊米,升
淮山,钱
红花,"两,克,钱,g,分,两5钱"
白蔹,"两,钱,半两,分,克"
蜀漆,两
剪草,两半
生地炭,斤
藁本,"两,半两,分"
茯苓块,克
虎骨,两
童便,None
铁精,克
乳香,"None,两,钱,半分,钱5分,g,克"
红娘子,个
旱莲草,"钱,克,g,None"
黑铅,分
黄柏,"克,钱,None,分,半两"
鱼鳔,钱
艾碳,克
陈小麦,None
牛蒡,克
蔻米,分
黑栀仁,分
木香,"g,钱,一两,None,半两,两,分"
葛根,"None,半钱,两"
月季花,g
生姜汁100毫升,克
藕节炭,克
椿皮炭,钱
水蛭,半两
天麻,"克,两,半两"
茱萸,"两,None,g,半两,分,克,钱,升"
丁香,"一两半,半两,个,粒,分,钱,两"
黄蓍,二两
茜草,"钱半,克,None,两"
白砂糖,克
蒲黄,"克,None,kg,钱,两,半两,钱5分"
蟾酥,"克,钱,半钱"
紫苏,"None,两"
麻油,"克,半斤"
蜂蜜,"克,g"
油,None
黄蜀葵花,"枚,None"
轻扮,克
瞿麦,"克,半两"
骨碎补,"None,两,钱"
丹皮,"克,千克,斤,钱,g,None,两,钱5分,半两"
羊胆干膏,g
羊耳菊根,g
侧柏,克
荠菜,克
钩藤,None
藕汁,升
薤白,握
苦冬瓜,g
南沙参,克
白薇,两
淡竹叶,"g,克,升"
苏子,"两,钱"
缩砂,"两,半两,枚"
淫羊藿,None
麦冬取汁,升
石,钱
棕榈,g
侧柏叶,"两半,None,斤,钱,克,g,半两,分"
炉甘石,g
川芎,"钱,克,None,半两,二两,g,分,两,四两,钱半"
新石灰,None
川乌,"两,半两,钱"
草豆蔻,"两,枚"
蓍草,g
茜根,"None,克"
芍药,"克,两,None,半两,分,千克,十两,钱,两半,铢,两5钱,钱半"
杭芍,两
木贼草,"钱5分,克,钱"
盐,"None,斤"
蟾头,个
海风藤,两
葳蕤,两
乌药,"None,两"
赤箭,半两
小茴,分
嫩老鼠,None
桂心,"两,两半,半两,None,分,克"
槐皮,克
川归,钱
干姜1字,None
西洋参,None
白僵蚕,"枚,半两,钱"
制商陆,克
木贼,"None,二两"
角针,两
五加皮,"两,半两"
鸡冠花,g
白木槿花,克
竹沥,升
石灰末,两
花蕊石,"None,克,两"
麝,None
荜茇,"None,分,克"
黑附子lt;炮裂,克
台乌,半斤
使君子肉,None
破故纸,两
望月砂,钱
半,None
兜铃,两半
黄药子,半两
猪牙皂角,"None,克,两"
咸消,两
山栀,"克,None,两"
冬虫草,钱
羊桃,斤
女贞子,"g,克,None"
银屑,克
白芨,克
桑白皮,"克,分,半两,两,None,两半,升"
墨面,克
生地,"钱,克,斤8两,两,None,斤,升,千克,分"
寄生,钱
鹿茸,"半两,克,两,两半"
紫荆皮,None
倚松子,两半
淡黄丹,钱
茵芋,分
青蒿,"两,半两,None,钱"
防风,"钱,克,g,半斤,None,两,半两,两半,斤,分"
羚羊角,"克,两,分,半两"
2.1克,"栀子,地榆"
莪术,"None,半两,钱"
穿山甲,"两2钱,两"
蚌粉,两
茴香,"一两半,两,钱"
藕汁200毫升,克
炒槐角,两
灯心,None
乌蛇皮,None
元参,克
苦楝子,两
马齿苋,克
枇杷叶,"克,钱"
猪胆,个
荜澄茄,"半两,两"
麦冬肉,两
肉苁蓉,"两,两半,半两,None"
桔梗,"两,钱,克,None,半两,铢,分"
桃仁,"克,钱,两,两5钱,分,半两"
小秦王草,None
陈石灰,None
藤子,个
雄黄,"克,g,半两,None,分,钱,两"
泽兰,钱
草乌,"两,钱"
大黄,"克,钱,kg,两半,铢,两,None,g,半两"
牛角,分
信石,钱
