雄黄,"钱,分,两,钱半,g"
椒等洗,None
入石臼中捣成饼,None
黄药子,"None,两"
生龙齿,g
红花,"克,g,两,分,None,钱半,钱"
草豆蔻仁,"枚,分"
以糯米拌炒,None
醋制延胡索,g
焙干为末,克
不木灰,None
桂圆肉,"朵,枚,克,g"
冬瓜子,两
鸡子白,枚
姜黄,"g,钱,两"
石南,None
建莲肉,克
海金砂,g
白面,两
葛花,钱
以手折断,None
青黛,"两,None,钱,钱5分,克,g"
干生地,克
莱藤子,g
白果,枚
炒表芽,g
制草,钱
干漆,"None,分"
同炒黄色,克
乌巢子,斤
如指顶大,None
乌药,"钱,两,g,None,克"
牛乳拌,None
枯白矾,钱
草乌,钱
清夏,钱
碗盛碟盖,None
虾蟆灰,None
地榆,"两半,g,两,斤,钱,克"
山药,"g,两,克,钱,两半,钱5分,千克"
后阴槐条,None
法夏,"g,钱"
鬼臼,两
丁香皮,两
三七,"g,克,None,钱"
荜茇,g
干蓼蓝,两
椒子,两
野于术,克
辽参量其人可服几何,两
白人参,克
生葛汁,分
水杨根,钱
浸经,None
川木通,"分,两,g,钱,克,None"
怀生地,"两半,钱"
炒柏子仁,g
辣桂,None
甜瓜蒂,分
槐角,"斤,克"
胡桃,斤
独活,"克,g,None,钱,两"
生黄芪,"克,g"
以水,升
礜石,分
大葱汁,None
川巴戟,两
麦门冬汁,升
皂角刺,g
煎汤,None
其赤筋最损目,None
饭上蒸熟,None
草决明,"None,g"
粟米粉,None
干蟾头,分
甘草浸膏,g
用盐水浸炒,两
全瓜萎,g
冰片,"字,分,克,None,铢,两,g"
蝎,两
宿取出,None
灯心草,"g,厘,两,根,寸"
密蒙花,"两,None"
人指甲,克
夏枯草,"钱,克,g"
葶苈子,"g,两,分,钱半,钱"
附片,g
马兜铃,两
童子头发,两
猪油,None
莲须,"克,钱,两5钱"
瓜蒌壳,g
覆盆子,"两,两半,两5钱,钱,g,克"
川乌头,两
干熟地黄,"两,None"
白茯苓末,钱
金钱草,g
青布,寸
竹叶,"g,分"
大热地,克
合欢花,"两,None"
生地,"两,g,钱,None,分,克,钱5分,斤"
辛夷花,g
糯稻米根,g
中鹿,只
米泔水浸,"None,两"
琥珀,"g,两,克,钱,分,None"
炙香附,g
悬胎煮酒,碗
杉木节,两
生蒲黄,"钱,g"
炒酸枣仁,"克,g"
抗白芍,g
石韦,None
菊花,"斗,两,克,g,None,钱"
青葙子,"克,None"
壁钱,个
淡竹叶,"克,g,None"
醉浸,两
糯米,"合,克,None"
甘草,"钱,克,g,分,两,None,两半,钱5分,钱半"
茵陈蒿,"两,g"
辰砂染灯心,支
橘络,g
川乌尖,克
微炒,None
黄柏,"两5钱,两,钱,g,两半,克,None"
北桔梗,克
钩藤皮,分
槲寄生,g
狗宝,钱
太子参,"克,g"
胆南星,"g,克,石"
麻黄根,克
尖双仁,"None,两,枚"
瓷瓦片刮去粗皮,None
神曲,"克,g,两,None,钱,钱半"
川苦楝,分
来年莲蓬,None
为细末,None
胭脂,钱
生槐花,g
白附子,"克,个,g,钱半,钱"
煮极烂,None
肚杂洗净人原汤熬膏,克
无灰好酒浸,None
龙胆草,"钱,g,分"
脐尖,两
细砂仁,克
姜制,两
五加皮,两
饴糖,两
生杭芍,克
泽兰,"钱,g,两"
焦山栀,钱
生姜汁,"合,滴"
炙五味子,g
捶碎,None
蟾酥,克
枯萝卜,g
味和匀,None
红丝,None
莲心,"两,支,克,合,g,个"
枸杞子,"钱,两,斤,克,两半,两5钱,g"
务以,None
莹白童便,毫升
牛胆,None
生山药,g
蛇床子,"钱,斤,None,两"
己椒丸,g
青橄榄肉,None
天竺黄,"两,克,g,钱"
桑根白皮,克
西党参,g
车前草,g
桑椹子,"两,克,g"
黑豆,粒
土地黄,两
心乐丸,g
红豆蔻,两
欢花,g
五味子,"g,两,克,分,None,钱,粒,两1分,两半"
酸刺仁,g
草果,"两,个,克,钱,分"
凌霄花,g
拣参,"克,两"
其骨须酥炙,克
广木香,"分,克,g"
粉草节,None
蒜,None
脚子,None
缠豆藤,两5钱
火煅寒水石,g
山楂片,g
大当归,两
参姜,g
周围以炭火拥定,None
海螵蛸,g
牡蛎,"克,两,钱5分,g,None,两半"
豮猪肚,具
铅粉,钱
樟脑,None
松石蕊,g
用重物压去油,None
山萸,"两,钱"
牛蒡子,"g,两,None,克,钱"
金楔子,克
泽泻,"两,钱5分,g,None,钱,石"
肉苁蓉,"两,None,克,g,千克,两半"
龙葵,g
麦冬,"钱,两,克,g,None,斤,分,钱5分,两半"
益智子仁,None
川楝子,"两,g,个"
生龙牡,g
生茱萸,两
用脂麻炒,两
银花叶,g
宜州木瓜,克
甘州枸杞子,两
涂生姜汁,"两,None"
风化消,钱
薄荷脑,g
好拣参,两
新罗参,两
黑牵牛,"克,None"
杜仲,"两,分,None,克,钱,g"
大红开口川椒,None
柳枝,钱2分
醋,"None,升"
干荷叶,片
玉米须,g
入火中烧令通红取出,None
桑螵,"g,钱半"
拌楝肉,None
以壳白,None
海蛤,两
生葱,斤
破故子,"两,尺,两半,None,g,分,千克,克"
公丁香,"两,克,g,None,钱,分"
天冬,"两,钱,斤,克,两3分,None,g"
苏叶,"钱,分,g,钱5分,两"
制桑皮,钱
香附,"None,分,克,两,g,钱,钱半,钱2分"
远志,"钱,两,克,g,分,两1分,None,斤,钱5分,石,钱半"
忍冬叶,g
存性,钱
萆薢,"两,钱,千克,g"
蛇含石,钱
莱菔子,"g,两,None,钱"
白蜂蜜,g
胡连,"g,None,两,分"
五色龙骨,克
拌半日,None
杜当归,None
大远志,两
苦丝瓜,条
用一半拌砂仁,钱
芜荑,"None,钱,钱半"
去灰净,None
棕榈,斤
荞苨,两
磋砺石,None
楮实子,"克,两,两半"
水牛角,g
白豆蔻仁,两
芡粉,None
狼牙,分
黄芪,"两,g,两3钱,克,None,分,钱,两5钱,两半"
研为膏,None
艾叶,"两,分"
獖猪粪,None
黄明胶,"钱,两"
余斤倾在坑内,None
莲子,"克,g,两,None,粒,斤"
茯苓细粉,None
路路通,"克,g"
缝定,None
柏子仁,"钱,克,～15克,-15g,None,两,分,斤,两半,g"
葱白,"None,茎,枚,两,斤"
薄荷,"分,g,None,克,钱"
诃子,"两,None,克,钱"
勿令泄气,None
全蝎,"两,克,个,None,g,钱半,钱"
辰茯苓,g
马牙消,"钱,两"
大钱,None
榧子肉,两
黄连,"分,None,克,钱,两,g,两半,钱半"
獾油,两
皂,克
伸筋草,g
细墨,锭
穿山甲,"两,克,g"
绞股蓝,g
牛胆南星,两
巴戟天,"钱,两,克,g,千克"
竹远志,g
紫草根,None
白芨,"g,克"
陈仓米,"分,克"
甘菊花,"两,g,克,None"
苏木,g
肉豆蔻,"两,枚,g,克,None"
蔓荆子,g
佛手,"克,g"
川乌,"None,钱半"
潼刺蒺藜,g
取皮,克
山豆根,g
桔梗,"两,克,None,钱,g,铢,分,石"
没药,"两,g,钱,None"
黄连粉,None
马齿苋,"g,石"
寒水石,"钱,分,两"
共研成极细,None
西洋参,g
急者用,克
菟丝子,"两,克,None,g,钱,两半"
怀熟地黄,"两,斤"
乌梅肉半个,None
炙何首乌,g
待黑豆香熟取出晒干,None
□两,None
白龙骨,"两,钱半"
酸枣仁末,克
银箔,帖
荔枝核,g
入黑豆同蒸,None
吴白芷,两半
蓼叶,两
吴木,两
木鳖仁,钱
葫芦巴,克
青连翘,钱半
孩儿胡,g
北柴胡,两
大怀生地黄,两
辽五味子,两
当归尾,None
灸甘草,g
生干地黄,"None,两,斤"
阿魏,"克,None"
附子,"分,克,两,个,枚,g,钱,斤,None"
常山,"g,克,两"
罂栗壳,克
车前子,"分,两,g,钱,None"
葛根,"克,g,分,钱,两,None"
益母草,"g,克"
白萝卜,None
杏仁,"None,两,斤,克,g,分,枚,个,钱"
重楼,g
胆矾,"克,钱2分"
酒条芩,克
葱管藜芦,两
用线缚住,None
于瓶罐内窨成炭,None
米酒,"克,ml"
素油,None
柿蒂,"个,钱"
苦楝子,两
赤小豆,"g,None,两"
黄芩,"分,None,克,g,两,钱,两半,斤"
三棱,"None,两,g,分,克"
蒴藋,两
槟榔末,钱
秦艽,"g,两,None,钱5分"
瞿麦,"两,g"
净麻黄,钱
消,None
焦三仙,"g,钱5分"
大朱砂,两
血茸,克
熟她黄,克
舶上茴香,"克,两"
犀角屑,"钱,分,两"
紫石英,"克,None,两"
次日取出,None
鲤鱼胆,枚
川羌,"None,g,两,钱,克"
犀角,"分,克,两"
取黑豆,None
赤勺,g
降香,"g,钱"
长者,None
扶芳藤,None
药末一处,克
蜥蜴,枚
知母,"两,None,分,钱,g,尾,两半,克"
瓜蒌皮,g
搓,None
玫瑰花,g
粟米,合
姜汁,碗
射干,分
瓷器内,None
山茵陈,None
乳香,"g,克,两,分,None,钱"
白蔹,"两,g"
净白术,None
贯众,g
紫苏,"两,None,分,g"
准小麦,g
蛇麻子,g
南番葫芦巴,两
浙贝,"两,g"
干蝎,克
火麻仁,"None,g,克,两"
玄武胶,两
穿心莲,g
藁本,两
罂粟,None
藿香叶,两
椒,分
明雄黄,两
冬葵子,"克,g"
斑蝥,"分,两,个"
茯神,"钱,g,两,克,None,分"
草纸,None
甘枸杞子,两
野台参,克
露蜂房,g
酒拌炒归身,钱
白豆蔻,"g,两,钱"
山茱萸肉,两
捣碎,None
高良姜,两
鱼腥草,g
小生地,～30克
上白茯苓,克
碾,None
土元,g
巴豆,"个,钱半,粒,枚,分,None,钱"
鲜生地汁,杯
