炒牛蒡子,两5钱
羚羊粉,"两,钱,g,钱半"
宣州木瓜,两
苍耳子,"克,g"
醋炒大黄,两
倍,None
用醇酒浸,None
蒺藜,"分,两,克,钱,g"
诃黎勒皮,两
川乌,"两,克,g,None,只"
蕤仁,分
宿姜,克
蓖麻子,"两,粒,两5钱"
香油,两
鹿角胶,g
广香,g
白矾枣大石胆豆大,None
猪胆汁,g
醋令尽,None
沉香,"两,钱,克,分,斤,None,g,两6钱"
木猪苓亦作片,None
干麦,两
大鲫鱼,克
黄精,g
金果榄,分
细川连,g
墨旱莲,克
同朴煮,None
卷柏,"g,两"
木耳,钱
齐州大半夏,克
金匮肾气丸,None
青龙骨,钱
白芍,"两,克,g,None,钱,钱半,两6钱,两半,分,千克"
桑螵蛸,"克,两"
大青盐,"两,克,None"
石韦,两
地肤子,g
夜明砂,"两,分"
红糟,None
破之,None
竹茹,"None,g,分"
石膏,"g,两,克,钱,None"
雄鸡,只
栀子,"g,两,克,枚,None,钱"
紫宛,g
干姜,"克,None,分,钱,两5钱,两,片,升,斤,～6克,g,-3g,两半,钱半,～100克,～9克,斤4两,石"
猪牙皂角,克
以麻油焙燥,None
硼酸,g
何首乌,"g,None,斤,两,两5钱"
回回豆子,升
桑白皮,"g,None,分"
广木香,"克,g,钱4分,钱"
生淡干姜,钱5分
神僸,两1钱
乌梅,"None,克,两,个,g,枚"
非鼠粪也,钱
干木瓜,两
丹参,"g,克,None,两,两2钱"
石菖蒲,"None,分,两,克,g"
豨莶草,g
生麻黄,g
味甘者佳,～60克
鸡膍胵黄皮,枚
焦山楂,"克,g"
糯米,"克,None"
李子根,None
萆麻,两
锁阳,g
甘草,"分,两5钱,两,None,钱,克,斤,两半,钱半,g,千克,两2钱,厘,寸"
使君子,"个,两,分,钱"
栢叶,握
取出肉,None
三仙,克
代赭石,"克,g,分"
鹿茸,"两,钱,克"
细曲,斤
嫩鹿茸,None
雄鸡头,枚
熟附,g
川贝,"两,None,g,克,两2钱,两5钱,分,钱"
北五味子,"两,None"
虎骨,"钱,分"
入银石器内,None
牛黄,"钱,分,克,g,钱5分"
燕窠土,两
浆水,毫升
北沙参,"两,g,分"
洗刷净,None
儿茶,"None,钱,钱2分,g"
金樱子,"两,None,钱"
炉甘石,"两,克"
牛髓,合
白全参,两
沥青,两
没心草,两
磨盘草,g
马先蒿不计多少,None
麝香,"克,g,钱,钱半,分,None,两,字,厘"
炒令紫色,None
熟附块,g
生麦门冬汁,盏
油朴,两
鲜茅根,g
如无叶,None
麦糵,"两,分,两半"
白芜荑,None
托里消毒散去白芷,None
泡辣椒,克
俟天雨时用新净瓷器当空接取洗砚,None
使君子仁,"克,两"
揉汁去滓,None
小麦蘖,两
水煮软,None
皂子大,None
荜茇,"两,分,None,钱,克,g,两半"
蛰虫,g
柏,None
鸡子黄,枚
南乳香,克
同煮水尽,None
烂石膏,分
芝硝,g
川萆,g
山竹树皮干品,g
芎?,"钱,分,两,两1分,两半"
焰消,钱
槐枝,钱
白糖,"None,g"
人参叶,g
焦栀仁,克
荆芥,"克,g,分,钱5分,两,斤,None,两5钱,钱"
尖双仁,"None,枚,两"
紫菀,"g,kg,两,克,分"
象牙屑,"钱,g"
沉香末,g
厚朴,"None,斤,两,钱,克,分,两2钱,两半,g,钱5分,铢"
樟脑,"钱,克"
去白陈皮,None
生麝香,None
金礞石,g
羚羊角屑,"分,两,克"
火麻仁,"升,克,g,两"
生姜汁浸透,两
蓝叶,分
云茯苓,"g,两"
生姜汁涂,两
吴茱萸,"分,None,克,两,合,g,升,钱5分,斤,两半"
木香,"钱半,None,两,克,钱,分,斤,g,两5钱"
大麦糵,"钱,两,合,钱半"
盐泥封固,None
咱夫兰,钱
去茱萸,"分,None"
生藕汁冷水,盏
阳起石,"None,钱"
小芦根,None
防风,"克,两半,两,g,分,钱5分,钱半,None,两5钱,钱"
全蝎梢,钱
晾干,None
罂粟,"克,两,g,钱"
炒乌梅肉,克
草乌头尖,两
太阴石,两
研极细,None
柴胡,"～12克,克,两7钱,g,分,钱,两,None,两半,两5钱"
大椒,钱半
桂附理中汤,None
川牛膝,"g,两"
宣黄连,钱
紫梗,g
狗脊,"g,克"
川芍,g
山楂,"两6钱,钱,两,克,g,升,None"
纸包,两
大腹皮,"None,两,g,两4钱,钱,分,克"
空青,分
天花粉,"g,钱,两,克,分,None,斤"
制附片,"分,g"
川百药煎,None
用水飞过,None
土当归,两
鱼鳔,"钱,两"
炒苍术,g
板蓝根,g
柽叶,斤
藿香,"分,None,钱,克,g,石,两5钱,两"
生甘草,"g,两,克,分,钱"
粳米,"-60g,克,～100克,-100g,g"
草蔻,"个,枚,两,克,None,g,分,钱"
用醋浸,None
乌雄鸡,只
马兰根,g
莲花青皮,克
西瓜霜,"钱,g"
扁豆衣,钱
佛手,"克,g"
锦地罗,两
人乳,毫升
焦栀,None
老蔻,两
鹿节,g
罂粟壳,"None,kg,两,钱"
熟干地黄,"两,None,克"
大麦蘖曲,克
榴皮,"g,两"
生生乳,钱
制川军,g
上元桂,克
或用黄酒煮透,钱
令润,None
罂粟子,"两,钱"
金扁柏,g
又将飞过炉甘石烧红,None
赤苓,"None,两,克,钱,两半,分"
煨之,None
红大戟,"克,两"
以醋,None
用竹篦子刮下,None
辣蓼,"g,两"
煎半碗,None
慢火炮,None
与北五味子同炒干燥,None
度,两半
时时揭起,None
皮皮,g
蛇衔,两
骆驼胸前毛,两半
丁香皮,"克,两,千克"
苍耳头,g
大腹,"两,个,枚"
蛤蚧,g
胡桃仁,"枚,两"
芦巴子,两
炙款冬花,g
白皮,两
生山楂,g
大胡麻,"None,两"
槐米,钱
其次亦得,None
白牵牛,克
炒穿山甲,g
惹仁,两
贡桂,两
取其搭脊脊血,块
海风藤,g
樗白皮,g
四君合四物加陈皮,None
黄药子,"两,g"
炙猥皮,g
人工牛黄,g
男子手磨成浓汁,None
荗,两
名马矢蒿,None
胎发,两
制川朴,g
秦切,克
同猪苓,两
白面,"钱,两"
葛花,"克,钱,两"
瘦猪肉,～250克
羊脑炉甘石,两
枫香,克
青黛,"克,g,钱,钱半,None,分"
牡蛎,"克,两,None,g,两8钱,钱,分"
白果,"g,个"
炒表芽,g
枯红矾,克
鹤虱,两
兖墨,分
生明没药,钱
珊瑚,钱
将米泔慢火煮半日,None
大玄参,两
猪肚,个
姜汁和作曲,两
油,"克,None"
生藕汁熟水,盏
生血余,两
泽兰叶,"两,g"
虎胫骨,对
去骨皮,None
三七,"克,g"
生马钱子,g
背皮,克
令水尽为度,None
炒术,None
炮附子,克
黄花远志,g
桑枝,"g,钱"
豆蔻,g
黍米,钱
辣桂,"钱半,钱"
摊熟令,分
槐角,"分,两"
去石薜荔,粒
独活,"分,两,g,两半,克,两5钱,None,钱"
乱发如半碗许大,None
川巴戟,两
强的松,g
紫檀香,两
泔浸,None
摊铫内,None
草决明,"g,两,None,分"
芒硝,g
切作片,None
针者,None
净称,两
灯心草,None
嫩苏梗,钱半
其性相似,两
夏枯草,g
葶苈子,"g,克,两"
文武火烧令赤,None
淮小麦面粉,钱
母丁香,"钱,两,枚"
冬葵子,"两,克"
用巴豆,"克,个"
莲须,"克,两"
人乳半合,None
霍香,g
韭菜,克
金钱草,g
拣净,None
麸,"升,None"
山桅子,None
浙贝,"g,kg"
白丁香,"None,克"
白芍炭,g
山萸,"钱,g"
用圆瓦覆口,None
清酒,斗
名烂石草,None
枝花,None
纸筋和泥固济,None
倍干,两
只将干姜,None
炒砂仁,g
小虾蟆,个
九香虫,g
米汁浸,None
川羌活,钱4分
巴霜,克
硼砂,"g,两,钱"
败龟版,None
黄柏,"g,None,两,克,分,钱"
半枝莲,g
决明,g
大半夏,克
狗宝,"钱,克"
腊月猪脂,克
百草霜,"克,钱,两,分"
柿蒂,"None,g,钱"
谷芽,"克,g,两"
怀牛膝,"两,克,g,None"
川苦楝,两
细切,None
大川芎,克
生鸡内金,g
捣作饼子,None
胡椒末,"分,None"
婴粟壳,g
绵耆,钱
泽漆,两
象皮,钱
大盐,两
生姜汁,"毫升,None"
莲心,枚
乌贼骨炭,g
山桔根,g
五谷虫,"克,个"
通草,g
山药,"克,两,g,None,两2钱,钱,分"
蛇床子,"两,g,克,钱"
天竺黄,"钱,克,g,两"
大草豆蔻,个
姜汁浸,None
车前草,"g,升"
韶粉,钱半
红豆蔻,"克,g,钱5分"
金刚头,g
用石薜荔,握
炒车前子,g
真乌药,两
川当归,"None,g"
浮小麦,g
川面姜,两
朴消,两
海螵蛸,"g,钱,升,克,两"
铅粉,两
陈槐花,钱
建莲,钱
丁香枝杖,两
肉苁蓉,"两,None,两2钱,两半,g,分"
麦冬,"g,两,两半,None,钱,克,kg,两5钱,千克"
全蝎,"None,克,g,两,枚,两5钱,条,钱"
全蜈蚣,条
微炒出汗,两
好茶中停,None
风化消,两
取出焙干,None
黑牵牛,"克,斤"
杜仲,"两,两1分,g,两半,None,克,两6钱,分,钱"
细锉,None
珍珠层粉,g
自然铜,"克,两,None"
干荷叶,两
陈粟米,合
黑姜L,克
破故子,"钱,两,g,None,钱半"
食盐,None
牛蒡子,"克,None,钱,两,g"
候瓶透赤,None
苏叶,"None,两,克,g,分,两5钱"
炒薏末,g
香附,"两6钱,斤,钱,两,None,克,g,千克,两2钱,分,钱半,钱5分"
取仁熬成膏子,None
两头尖全蝎,两
炒党参,g
绿豆,钱
萆薢,"两,分,两半,克"
熟干黄,两
莱菔子,"斤,g,两,克,两5钱"
橘饼,克
白蜂蜜,"ml,g"
胡连,"两,分,克,钱"
五色龙骨,钱
麝香半字,None
白云苓,两
乌韭,两
煅过,None
仙茅,两
漏篮子,两
生附子,"克,枚"
取出令干,None
白术加,None
刺猬皮,枚
盐水浸,None
独活白芷,克
捣烂为饼,克
生姜自然汁和作饼子,None
广藿香,"克,g"
平胃散,斤
生黄精,g
舶上硫黄,两
再浸三日,克
鳆鱼,千克
每日易水,"None,克"
去汗,None
糯稻根,g
川木香,g
不用头尾,None
煮时入皂角,寸
佛座须,None
肉豆蔻,"钱,None,两,克,个,枚,g,分"
炒槐花,斤15两
阿魏,"钱,两,分,None,铢"
草决,两
雄蚕蛾,克
鲜枇杷叶,斤
马齿苋,g
寒水石,"g,两,None,分"
炒令半干,None
菟丝子,"两,两半,g,None,分,两2钱,钱"
刺力,g
炒荆芥,g
煅瓦楞子,g
火消,两
炒吴茱萸,g
用生姜,斤
人牙,个
鹿胎,具
冰硼散,g
将炉甘石上火,None
碗,None
当归尾,"克,g"
蜜,毫升
射干片,两5钱
苍术,"两,None,钱,g,克,斤,两5钱,分,钱5分"
车前子,"克,g,两,None,分"
红曲,"克,钱"
葛根,"None,克,两,g,分,钱,两5钱"
取内皮,None
重楼,g
胆矾,"两,钱"
大蒜,两
入后药中,None
远志,"两,克,钱,None,g"
好腊茶,两
桂花,"克,钱半"
14,None
南枣,～8个
恒山,克
观音柳,None
京红粉,克
雌黄,两
柳枝,钱
山豆根,g
绵白糖,～100克
甜瓜蒂,"钱,None,枚"
犀角屑,"两,None,两半,分,克"
面和作饼,两
将姜,None
犀角,"钱,克"
月季花,钱5分
赤勺,g
枣肉,"克,两,g"
紫荆皮,两5钱
水红花子,钱
烧盐,钱
粟米,两
射干,"升,两,g"
干胭脂,两
白蔹,"两,None,两5钱,钱,斤,克"
贯众,"两,g"
大剂,克
坚白茯苓,钱
太子参,"克,g"
再煎透为度,None
藁本,"两,克,两5钱,None,分"
乌龟,枚
鹅不食草,g
左蟠龙,钱
椒,None
麸炒,"两,None"
味同炒,None
斑蝥,"None,两,分"
炙微黄,None
两半,None
蟾头,枚
野台参,钱
干虾蟆,枚
白豆蔻,"两5钱,None,克,钱,g,两"
山果子,None
天冬,"两,None,g,克,分,钱"
调入水内,None
半寸截,None
粘子,None
防己,"两,克,g,钱,None"
诃子皮,"克,两,分"
黎辣根,g
同煮软,None
鸡子,"个,枚,None"
平胃散加干葛,None
蔓青子油,升
嫩桂枝,g
台椒,None
春砂仁,分
麋茸,两
姜夏,g
糖粉,g
宿透,None
羊腰子,对
次放,None
一肉蔻,克
煨令熟,两
枯矾,"g,克,钱,None,两8钱"
生地黄汁,盏
地胆虫,None
炒菜菔子,g
前胡,"None,两,克,分,g,两半"
草果子仁,None
金橘饼,个
制大黄,g
与厚朴同捣如泥,None
赤脚蜈蚣半条,None
海粉,None
微炭火上煨熟,None
鸡屎,两
刀豆,g
同入慢火灰中煨令面熟,克
茯苓,"两,钱,两6钱,None,克,g,钱5分,分,-15克,两4钱,两半,千克"
茜草,"g,两"
炙紫菀,g
百合,"g,克,kg,None,合,两"
牙消,钱
煅瓦楞,"克,g"
木灵芝,g
全头蜈蚣,个
雄乌骨鸡,克
炒桃仁令紫色,None
乌龙尾,两
虎杖,g
白头翁,g
酒蜡,克
琥珀末,g
灵玛璃,钱
菌陈,g
味皆用腊月者,None
铤,None
去皴皮,None
川归,None
芒消,"None,两,克,合"
狼毒,"克,两"
土贝母,分
藏红花,钱
生苍术,克
去沫,两半
用白盐,克
生蝎,分
乌头尖,钱
酱油,None
白术,"钱,克,None,两,g,两1分,两半,～6克,～9克,斤4两,分,斤,钱半,钱4分,钱5分"
苣胜子,两
川芎,"克,None,两,钱,g,分,两8钱,两半,钱5分,两4钱,两5钱,千克"
火硝,两
煨木香,g
味锉碎,None
乌头,"克,None,两"
半边莲,g
百合柴胡,两
调人水内,克
好沉香,两
槟榔,"两,克,枚,斤,g,None,钱,钱5分,钱半"
木瓜,"两,两半,克,g,None"
漏芦,"分,钱,两,None"
桑根白皮,"两,克,分"
紫苏,"None,分,g,钱半,钱,两"
白信石,g
干山药,"两,克"
炙令香熟,None
足用,钱
车前叶,两
大南星,两
腊日猪脾脂,None
同附子入青盐,两
再勿见火,None
醋柴胡,g
龟板,"g,克,两"
蔓陀罗子,两
梓朴,斤
东参,两
生藕节,g
天雄,"对,两"
研细如粉,None
当归,"两,钱,两6钱,None,克,～15克,g,～6克,分,钱半,两半,两2钱,两5钱,钱2分,-3钱,斤"
老月石,g
南木香,"分,克"
研令星尽,None
浸至次早,None
蝉蜕,"分,两,None,g,两5钱,钱半,克"
紫河车,g
去姜,None
土瓜根,"分,两"
鹿角霜,"钱,两,None"
陈秔米,升
炒薏米,g
海桐皮,"克,两,钱,g"
地黄,"两,g"
薄川朴,钱半
苏子,"None,g,钱,分,两"
枳壳根皮,两
百部,"两,g,克"
童便浸,None
大风油,两
楝丁香,两
青盐不见烟为度,None
血竭,"克,钱,两,钱7分,g,钱5分"
去枝,克
败酱草,g
猪骨髓,克
牛奶,克
黄瓜蒌,个
螂,两
生三七粉,g
白当归,两
普鲁卡因粉,g
当归炭,g
鸡血藤,"两,g"
槐花,"两,g,None"
用黄连,斤
净瓦上炙令黄色,None
珍珠子,钱
西诃柳,g
生明乳香,钱
缩砂仁·猪苓,克
黄芪,"两,克,g,分,钱,None,两3钱,两半"
干,None
切作片子,"None,两"
干淡木瓜,两
艾叶,"g,克,把,钱4分,两,两5钱,握"
掺入生姜中令白,None
杜藿梗,钱
川姜黄,两
白前,"克,两"
马蔺子,两半
水浸同炒燥,None
蔻壳,"g,None"
海参,千克
昆布,"g,两,克"
白鲜皮,"g,两5钱,克,分,钱5分,两"
连翘,"g,钱,两,克,None,两5钱,石"
天麻,"两,克,两8钱,g,钱,None,分"
虎骨节,None
牡荆子,两
莪术,"分,克,两,g"
猪茯苓,克
海马,g
蛤壳,g
