雄黄,"克,g,None,钱,钱5分,两,分"
蒸透晒干,None
天花粉,"两,克,None,钱,g"
石决明,"None,克"
萝卜,"斤,升"
扁蓄,g
鲜藕,斤
炒苍术,g
板蓝根,"None,g"
藿香,"两,克,None,g,钱"
生耆,钱
生甘草,"克,钱,g,分"
水飞滑石,两4钱
粳米,"克,合,None,粒,g"
草蔻,"None,个"
芦荟,钱
用湿纸裹,None
百药煎,"钱,None,克"
佛手,"g,None"
百草霜,克
元胡,"两,g"
砂仁,"两,克,g,分,钱,None"
蜜炙枇杷叶,石
党参,"两,克,g,None,钱5分"
熟干地黄,"分,两,克"
苁蓉,克
枇杷叶,"两,None,g"
硫黄,钱
鬼箭羽,"g,分"
槐角子,钱半
生藕汁两瓤,None
山茱萸肉,两
苏梗,g
益智仁,"克,g,两"
白槟榔,个
木鳖子,钱
天花分,克
赤苓,"两,钱半"
生姜屑,两
红大戟,None
萝卜汁浸拌,None
以醋,None
真阿胶,分
正雅连,克
寒食饼,钱
瓦楞粉,g
木贼,"两,None"
麻子仁,"None,两"
当门子麝香,钱
桂枝,"克,g,两,钱,None,分"
白莲藕汁,斤
细生地,"克,钱"
荸荠粉,None
小茴香,g
白薇,g
用水照上浸,None
粉干葛,克
生山楂,g
南谷精草,None
蟾酥,"钱5分,g"
牛乳汁,斤
麻油半合,None
黄芩,"克,None,两,钱,～9克,g,分"
牛子,None
龙齿,"钱4分,分,钱"
炼令如膏,None
川姜,"None,分"
山栀子,None
玉片,g
发灰,钱
人工牛黄,g
南硼砂,钱5分
西瓜皮,None
冬瓜子,g
鸡子白,枚
姜黄,g
甘蔗汁,毫升
件不以多少,None
秦艽,"g,分,None"
海金砂,两
青黛,"g,两,分,克,None,钱"
牡蛎,"克,钱,None,g"
黄明胶,两
瞿麦,"克,None,g"
薄荷脑,"钱,None"
鲜地瓜,克
大麦冬,"克,g"
拌橘皮,None
乌药,None
猪肚,具
甜瓜子,两
生熟地,g
地榆,"g,两"
山药,"克,None,g,两,钱"
栀子弹子大,块
法夏,g
鬼臼,分
照前蒸晒,None
三七,g
将,None
环留行,g
莲房,None
连心麦冬,克
川木通,"克,None,g,分"
去芦净,两
黄柏末,"None,钱"
甜瓜蒂,粒
槐角,两
独活,"g,None,钱半,分,克,两"
生黄芪,g
牡丹,两半
煮至四斗,None
苏叶子,钱
南川芎,钱
真槐胶,分
麦门冬汁,升
桑白皮,"克,g,钱,None,两"
萝卜汁,升
青蒿,"两,g"
去滓,None
草决明,分
椒目,"钱,g"
用水照前煎浸蒸晒,None
地鳖虫,None
冰片,"钱,两,g,None,份"
不蚛者,None
用竹沥浸拌,None
川羌,"两,克,g,None"
灯心草,"None,克,茎,g"
红花,"克,None,g,两,两半"
黑豆,合
夏枯草,g
葶苈子,"钱,g"
入巴豆,粒
干青果,个
好石菖蒲,None
照前拌酒,None
母丁香,两
桃树脂,g
莲须,g
鲜猪胰,条
川乌头,"克,钱"
制蒺藜,g
金钱草,g
炒白扁豆,g
天南星,"None,两,两半,g"
苇根汁,毫升
生地,"None,两,钱,克,斤,～9克,升,g,寸,分,份"
辛夷花,g
桂技,None
甘油,毫升
研万遍,钱
水一斛,None
琥珀,"钱4分,钱,两"
制川草乌,g
菊花,"两,钱,None,g,克"
蚂蚁,g
栝楼净仁,None
淡竹叶,"None,克,g"
路通,None
用纸衬,None
去芦梗净,两
糯米,"g,kg"
甘草,"两,克,None,钱,两半,g,分,钱半,寸"
硼砂,None
薄荷油,"两,None"
茵陈蒿,"None,g,克,钱"
高良姜,斤
制乳没,g
黄柏,"克,两,钱,None,g,分"
半枝莲,g
决明,g
槲寄生,g
照前煎汤,None
胆南星,"g,钱,None"
微锉,None
谷芽,g
双仁,None
荷梗,None
秋梨,"两,斤"
细切,两
知母,"None,克,g,石,两"
白附子,"两,分"
苏丹参,钱
用水自卯时煮至酉时,None
牛胆汁和,None
曲,None
每个切作,块
枸己子,g
煨熟,None
五加皮,"None,两"
人中白,"g,None"
梨汁,None
净银花,钱
白石脂,两
焦山栀,克
象皮,钱
大麦糱,两
炙五味子,g
甘草水煮,None
芒硝,g
鲜生地黄汁,升
杜蒺藜,"两,None"
五倍子,"g,两,钱"
白茯神,克
莲心,克
草龙胆,分
枸杞子,"钱半,斤,None,g,克,升,分"
去瓤净,None
男子乱发,分
草乌,"None,钱,两"
生山药,"克,g"
苇,g
蛇床子,g
薏苡仁,"g,两,None,钱"
桑椹子,g
生木瓜,两
炉甘石,"g,克"
浙贝,"斤,g,None"
轻粉,"两,钱,两半,分"
马钱子,"两,克,份"
五味子,"钱,克,分,None,枚,粒,g,两"
草果,None
广木香,"钱半,None,两4钱,克"
荞麦,g
蒜,None
川当归,克
锦灯笼,g
朴消,None
蝉蜕,"None,g,钱,分,克"
铅粉,"钱,None"
雪梨,只
海蛤,克
牛蒡子,"g,None,克,钱"
泽泻,"克,g,两,None"
乳香,"钱半,钱,两,克,钱5分,块,份"
肉苁蓉,"g,克"
入汁化开,None
以南星内无白点为度,None
冷定,钱
紫苏皮,两
麦冬,"两,克,None,g,钱,钱7分,分,斤,升,石"
川楝子,g
甘草l,g
胖大海,"None,枚,g"
川黄柏,石
田螺壳,None
白蜜半盏,None
黑牵牛,"克,两"
姜片,片
杜仲,"克,None,份"
柳枝,"两,寸"
醋,升
北柴胡根,g
苯甲酸钠,g
犀角尖,克
真象皮,钱
山萸,g
破故子,"None,g"
食盐,g
天冬,"克,None,钱7分,g,钱,两"
冬瓜皮,g
苏叶,"两,克"
桑柴火煮,None
香附,"钱半,钱7分,None,g,两,克"
莽草,两
远志,"钱7分,克,分,g,两,None,钱"
芦根,"克,g,两"
绿豆,"克,None"
萆薢,g
莱菔子,"g,两"
虎睛,具
桃枝,寸
胡连,"g,分"
栗米,粒
真漏芦,克
白云苓,克
酒飞,None
仙茅,g
参三七汁,匙
真阿魏,分
刺猬皮,"两,钱"
水牛角,"克,g"
氢氧化铝粉,g
黄芪,"两,分,克,None,g,钱"
桃仁,"克,个,g,None,分,两,份"
裹巴豆,None
莲子,"克,None,g"
线悬锅口上,None
白梅肉,克
柏子仁,"钱7分,分"
葱白,"茎,根,寸"
薄荷,"两,克,g,None,分"
诃子,"两,钱半,None,克,g"
全蝎,"g,个,分"
马牙消,钱
小麦麸皮,g
藁本,两
酒龙胆草,克
糯稻根,g
木香,"两,克,g,钱5分,钱,两5钱,钱半"
穿山甲,"None,克,g,钱"
肉桂,"两,g,None,分,克,钱,斤"
青蛤壳,g
巴戟天,"g,钱"
地龙,g
紫草根,g
生龙脑,分
涂姜汁,None
甘菊花,"分,克"
苏木,"克,两,份"
肉豆蔻,"两,个,钱"
蔓荆子,两
大豆,两
线系于通风处挂,None
红参须,g
山豆根,g
桔梗,"两,分,None,克,g,钱"
没药,"钱,两,克,钱5分,份"
寒水石,斤
白胶香,两
西洋参,"None,g"
菟丝子,"None,g"
怀熟地黄,钱
日换,None
干柳枝,g
冬葵子,克
淘去细,None
面作饼,None
铁精,分
伏时,None
陈皂角,钱
当归尾,"两,None"
山楂米,两
生干地黄,分
阿魏,两
附子,"克,g,两,分"
苍术,"克,g,None,两4钱,钱,两"
车前子,"克,g,两,None,分"
红曲,None
葛根,"两,分,克,None,g,升,石,钱"
益母草,g
制山萸肉,g
杏仁,"钱,个,g,None,克,分,两,钱半"
重楼,g
胆矾,钱半
大蒜,None
寸麦冬,克
孔纳珠袋,None
净连翘,g
赤石脂粉,克
赤小豆,"None,粒,克"
松香,"斤,两,钱"
恒山,两半
三棱,"克,钱"
黄连末,斤
炙甲片,钱
地榆粉,g
怀生地,None
焦三仙,"钱5分,钱"
炙龟板,g
萆解,g
禹余粮,～60克
紫石英,克
慢火煮,None
甘露醇,g
犀角,"None,克"
藜,None
月季花,钱5分
赤勺,g
壁虎,g
广茂,克
蛇蜕,"g,钱,克"
瓜蒌皮,None
玫瑰花,g
白芨粉,g
白檀香末,钱
射干,"钱,g"
藕取汁,升
水浸浓汁,None
用款冬花,None
白蔹,g
白硼砂,钱
紫苏,g
吐温,ml
太子参,g
新绵,两
猪苓,"g,克,None"
雄鼠粪,None
黄连,"None,克,斤,两,钱,g,分,钱半,钱5分"
味一处于炒罐内,None
姜皮,None
马勃,g
斑蝥,个
茯神,"钱4分,克,分,g,两,None,钧,钱"
木蝴蝶,"两,g"
雄鼠骨,只
露蜂房,"两,g,钱"
白豆蔻,"钱,g"
捣碎,None
小枳实,钱
茅根汁,升
鱼腥草,"None,g"
盐泥复包,None
防己,"克,两,g"
诃子皮,分
巴豆,"枚,粒,个"
郁李仁,分
