杨柳枝,g
芝硝,g
橄榄,"克,g,枚,个"
红升丹,g
芎?,"两,钱半,分,None,钱,两半"
次稻叶,None
同熬为汁,两
槐枝,"钱,两,厘"
白糖,"None,克,g"
以炭火烧,None
白矾灰,分
紫菀,"钱,克,g,None,两,分,两半,铢"
象牙屑,"两,None,g"
水清为度,None
晋州绛矾,两
棉毛酸膜叶蓼,g
焙燥,两
制没药,"克,g,钱"
谷芽,"g,None"
放冷,None
法,None
羚羊角屑,"克,两,分,两半"
忍冬叶,克
虎杖,"g,克,None,份,两"
茄蒂,None
茴香丸,None
鸡蛋花,g
晒干或焙干为末,None
吴茱萸,"克,g,None,两,斤,分,两半,合,铢,升,钱"
南花粉,g
二面针,g
大黄后入,g
焦山桅,g
乌药叶,None
活白凤仙梗,克
火段石膏,g
马兰,"g,None"
生姜汁炙,"分,两"
净茜草,克
白芜荑仁,两
防风,"两,None,分,克,钱,g,两6钱,石,两半,钱2分,钱半,两1钱,两5钱,斤,铢,钱5分"
干柏叶,克
发团,两6钱
范制面,钱
罂粟,"克,g,None,两"
天香炉,g
纯白牛毛,钱
筒子漆,两
发火内炮令黄熟为度,None
棘蒺藜,g
大椒,两
金荞麦,g
微炙,None
炙僵蚕,"克,g"
苏枋木,两
嫩滑石,钱
菖根,g
煮蘸火煅醋淬,None
去头尾,None
炭火炙干,None
鸭嘴花,g
先煎,None
大腹皮,"钱,两,克,g,分,None"
兑雄黄,升
空青,两
干蜗牛,克
豆许,None
覆花,钱
取腐和后药,None
以一束干草烧,None
汁浸,None
缩砂仁·猪苓,克
如无鲜者可用干者,克
以嫩桑枝或鲜芦根煮汤代水,None
铁苋菜,"斤,g,None"
每个切作,块
功劳叶,g
粳米,"～100克,克,g,合,升,None,-100g,-60g,撮"
草蔻,"g,两,个,None,克,枚"
用醋浸,两
莲花青皮,"分,钱"
扁豆衣,g
佛手,"g,克"
通气藤,g
研如糊,None
穿山甲片,"钱,g"
锦地罗,g
枯明矾,g
生石决明,g
北梗,None
文火煎烂,None
于釜内煮至,升
毛诃子,g
酒浸湿,None
甲,None
熟干地黄,"克,两,两半,None,分"
荠芥,g
榴皮,g
马蔺草,两
辛荑花,g
瓜萎根,钱
制川军,g
上己菜,g
川军炭,g
炒蒌皮,g
鬼针草,g
金扁柏,g
明雄黄,"钱,钱5分,分,克,g"
牧童,g
乌梅粉,g
黑枣肉,两
五不留行,g
地塞米松注射液,g
红大戟,"钱,g,两"
粳米半杯,None
黄连膏,克
陈萝卜子,两
白干姜,两
兔肝,具
辣蓼,"两4钱,g,None"
正雅连,克
齿生杜蛎,g
焊菜,g
龟头,个
好灵砂,分
木贼,"克,g,两,两半,钱,分,None"
寻骨风,g
茉莉花,g
虎骨随多少,None
猪腰,对
以汁刷之,None
干姜切作片子,None
蛤蚧,"g,对"
胡桃仁,"斤,g,份,两"
真阿胶,两
炙款冬花,g
虎帐,g
半条,None
清炙草,分
均莫刺破,None
白牵牛,"两,克"
炒穿山甲,g
半一宿,克
法制半夏,钱
赤龙鳞,分
藁木,"None,g"
樗白皮,"g,None,两"
青陈皮,"克,钱,g"
广防己,None
重泥封固,None
焦大黄,g
连翘炭,克
黄连青梨,g
炙知母,g
汤润,None
平通,g
白盐梅,个
真黄丹,分
冬瓜子,"升,g,克,两"
生芪,g
槐蛾,两
樱皮,分
虫梢,钱
山桔根,g
焦山栀子,g
番蟾酥,分
木棉花,g
檀香,"分,g,None,克,钱,两"
真苏子,两
寄生尾,None
牡蛎,"克,g,None,两,升,钱,分,铢"
白果,"个,None,粒,g,两,份"
薄荷脑,"钱,None,克,两,g,分"
％酒精,毫升
大枫子仁,g
大麦面,钱
