取出焙干,斤
水飞辰砂,分
草乌头尖,两
生麦门冬,两半
筒子漆,两
生大黄末,钱
柴胡,"克,g,两,None,分,钱,两3钱,两半"
人中白,"钱,None,两"
附子尖,None
炙僵蚕,"g,份"
辛荑,g
紫梗,g
狗脊,"克,钱,两"
真水安息香,分
沥青,None
大腹皮,"克,g,钱,两,钱半,分,None"
马蹄,枚
白敛,两
制附片,g
生甘蜡,g
板蓝根,"g,两,克,None"
壳,克
用炭煅通红,克
生甘草,"g,克,分,None,两"
鲜芡实,克
粳米,"合,g"
令尽,None
擘开,None
白杏仁,g
用醋浸,两
莲花青皮,分
西瓜霜,g
猫头骨,个
佛手,g
火硝,"克,分"
砂仁壳,None
石决明,"None,克,铢,两"
金钱白花蛇,条
苦参末,None
罂粟壳,"g,两"
熟干地黄,"克,两"
荠芥,g
榴皮,g
辛荑花,克
柳,茎
花碱,钱
土茯苓,"克,g"
鸡肶胵,枚
茜萆炭,g
令润,None
鬼针草,g
莲米,g
土,None
明雄黄,"钱,分"
紫箢,g
猪牙皂角末,钱
赤苓,"两,克,None,两半,分"
真金箔,张
地塞米松注射液,g
红大戟,"两,None"
入地坑埋,克
猪肠,尺
三七粉,g
辣蓼,g
礞石,钱
尼泊金,分
马勃,g
花摈榔,g
木贼,"铢,克,两"
寻骨风,g
白滑石,两
大腹,颗
樗树白皮,两
薄批作片,克
蛤蚧,对
芦巴子,None
真阿胶,克
炙款冬花,"None,g"
青竹算子,枚
槟榔,"克,g,个,两半,分,两,None,钱"
杜当归,None
芒硝,"g,两"
桃杏仁,g
白牵牛,钱
麸微炒,两半
炒地龙,g
牛子,钱
法制半夏,钱
海风藤,"钱,g"
不计遍数,克
黄药子,"克,两半,两,分"
牛膝根,两
生半仁,g
三七面,g
白茯神,两
人工牛黄,g
凤尾草,两
汤润,None
炒栀,None
杨梅香精,ml
冬瓜子,g
葱汁,None
三梅片,"g,分"
藤梨根,g
萆藓,～15克
白面,"钱,None,两"
面曲,两
白帆,g
枫香,克
生川军,g
青黛,"g,克,分,None,钱"
山茵陈叶,None
牡蛎,"g,两,铢,None,分,钱"
白果,"个,g,None"
素兴花,g
灸麻黄,克
用汤浸,两
