药名,别名
麝香,香脐子 麝 腊子 四味臭 土獐 麝脐香 拉石子 当门子 山驴子 麝父 香獐 脐香 麝香仁 獐子 臭子
麝香草,百里香
麝香壳,臭子壳 麝壳
伸筋草,宽筋草 伸筋 日阴蔓 金毛狮子草 舒筋草 伸宽筋草 凤尾伸筋草 筋骨草 石松
神曲,百草曲 六曲 焦神曲 炒神曲 麦曲 六神曲 神麯 陈曲 六丁曲
升麻,周麻 蜜升麻 黑升麻 关升麻
生地,生地黄 淮地黄 地黄炭 干地黄 怀庆地黄 地髓 大生地
石菖蒲,石菖 昌本 剑菖 昌羊 粉菖 药菖蒲 菖蒲 昌阳 溪菖 菖朴 石菖朴
石刁柏,小百部 山文竹
石膏,细石 熟石膏 白虎 煅石膏 玉大石 生石膏 软石膏 石羔
石斛,金钗花 林兰 金钗石斛 金斗 小黄草 圆斗 霍斗 扁斗 金石斛 川石斛 金钗 角斗 铁皮斗 石斗 黄草 石遂 细黄草 铁皮石斛 耳环斗 枫斛 耳环石斛 大黄草 耳环草 细石斛 木斗 杜兰 金石斗
石花,地衣 石苔花
石见穿,石大穿 黑面风 石打穿 华鼠尾 石大川
石决明,石厥明 九孔贝 毛底决明 光底海决 盘大鲍 朱子房 鲍鱼壳 关海决 九孔螺 海南决 海决明 鰒鱼甲 真海决 生石决 鲍鱼皮 鲍螺壳 九孔鲍 煅石决
石榴皮,酸石榴 安石榴 若榴 丹若
石南藤,南藤 石南仝 丁公藤
石楠叶,石南叶 风药
石韦,石剑 大石韦 石皮 独叶茶 石尾 石苇
石蟹,飞石蟹 蟹化石 煅石蟹 石螃蟹
石燕,石燕子 燕子石 煅石燕 水飞石燕
莳萝子,莳萝 瘪谷茴香 時美中 莳萝椒
鲥鱼,瘟鱼 三黎
使君子,使君仁 川君子 使君 风稜御史 建君子 留求子 史君子
柿蒂,柿萼 柿子把 柿钱 柿丁
熟地,熟地炭 大熟地 熟地黄 还元大品 大熟地黄
鼠妇虫,湿生虫 鼠夫 鼠负 潮湿虫 翳悶虫 平甲虫 地虱 鼠姑 潮虫子 西瓜虫
鼠曲草,绒毛草 佛耳草
薯良,血母 薯莨 鸡血莲 赭魁 血娃 金花果 雄黄七 恶边 酱头 孩儿血 避血雷 血三七 朱砂莲 血葫芦 红孩儿
水红花子,水红子 水公 河蓼子 水荭子 荭草实
水牛角,牛角 牛角片
水银,灵液 姹女 汞 赤汞 砂汞 活宝
水蛭,马蛭 至掌 蚂蟥 马蟥 马蜞 肉钻子 医用蛭
丝瓜络,天罗筋 丝瓜网 丝瓜筋 天丝瓜 丝瓜络炭 炒丝瓜络 天罗线 蛮瓜 丝瓜 丝瓜壳
四叶参,奶参 羊乳 轮叶党参 山海螺
松花粉,松花 松黄
松节,油松节 松树节
松香,松脂 松枋 松膏 松胶 松脂香 黄香 松肪
苏梗,香苏更 紫苏梗 大苏梗 苏更 赤苏
苏合香,苏合油 苏合香油 帝油流 帝膏
苏木,苏枋 赤木 红柴 苏方 苏坊木
苏叶,赤苏叶 香苏叶 紫苏叶
苏子,黑苏子 玉苏子 香苏子 紫苏子 炒苏子
酸枣仁,枣仁 枣人 生枣仁 山枣仁 樲仁 焦枣仁 炒枣仁
算盘子,蝉子树 狮子滚球 周身松 馒头树子 西瓜树 八瓣橘 野北瓜子 血木瓜 百家橘 雷打柿 果合草 金骨风 山馒头 赤松 水金瓜 牛萘 鸡木椒 万豆子 馒头果 水南瓜 地金瓜 磨盘树子 橘子草 野蕃蒲 臭山橘 柿子椒 地南瓜 红橘仔 野盘桃 算盘珠 八楞橘 寿脾子 山油柑 血泡木 山橘子 野毛楂 百荚橘 山金瓜 野南瓜
娑罗子,苏罗子 梭椤子 开心果 天师栗 索罗果 梭罗子 莎婆子
锁阳,锁严子 锈铁棒
獭肝, 水毛子 水狗 水獭法 獭 水獭 獭猫
獭四足,獭爪
蹋菜,乌塌菜 雪里青 瓢儿菜
太子参,童参 四叶菜 米参
檀根, 望水檀 檀 水檀
檀香,浴檀 旃檀 白檀香 黄檀香 枟香 檀香屑 黄檀 枟娜 浴香 紫真檀 紫檀 枟香木 真檀 旃枟 白檀 真枟
糖茶藨,色果策尔玛买巴
糖芥,冈托巴
糖橘红,香金板 甜橘红
螳螂,螗螂 斫郎 天马 石螂 斫父 蚀髦 蟷螂 莫脬 不过 拒斧 蟷曩 蛑 刀螂
螳螂跌打,硬骨散
桃仁,桃实 炒桃仁 桃核仁 大桃仁 生桃仁 川桃仁 木兆胡桃仁
藤杜仲,假杜仲 香藤 结衣藤 九中藤 毛杜仲藤 鹤咀藤 杜仲藤 红杜仲 鸡头藤 白皮胶藤 土杜仲 小白皮藤
藤黄,玉黄 制藤黄 海藤 月黄
藤梨根,阳桃 猕猴桃根 藤梨 木子
藤三七,藤子三七
藤商陆,山苦瓜 苦瓜头 野牵牛 百解薯
藤乌头,血乌 见血封喉 蔓乌头 藤乌
藤仲,枪花药 刹抱龙喃 大叶鹿角藤 毛叶藤仲
藤子甘草,土甘草 美丽相思子
天冬,天棘 门冬 炙天冬 浣草 天门冬 地门冬
天胡荽,破铜钱 满天星
天花粉,楼根 天瓜粉 蒌根 花粉 泽姑 地楼 瓜蒌根 蒌粉 栝楼根 瑞雪 栝楼粉
天葵子,天葵 紫背天葵子 夏无踪 天葵根 紫背天葵 天去子 千年耗子屎
天麻,明天麻 赤箭 石箭 离草 鬼督邮 木浦 合离草 赤芝箭
天南星,南星 制南星 山棒子 生南星 鬼蒟蒻 由跋
天仙藤,兜铃苗 天仙仝 兜铃藤 马兜铃藤
天仙子,山菸子 狼唐 牙痛子 山烟子 莨蓎子 莨菪子
天竺黄,竺黄 竹糖 空個玄 天竹黄 竹黄精 竹膏
甜地丁, 米口袋 米布袋 萝卜地丁
甜瓜蒂,瓜蒂 苦丁香 香瓜蒂 瓜丁 甜瓜把
甜瓜子,香瓜子 甘瓜子 甜瓜仁
鲦鱼,囚 鲦 参鱼 肉条鱼 黑兹 白漂子 白鲦 鱼
铁落花,铁花 铁落 生铁落 针砂 铁液 铁屑
铁苋菜,蚬草 海蚌含珠
葶苈子,大适 甜葶苈 帝力 炒葶苈 蕇蒿 大室 葶苈 丁药 北葶苈 狗芥 南葶苈 丁苈 丁力子 苦葶苈 丁力
通草,离南 大通草 通脱木 泡通 活梵 方通草 白通草 通丝 丝通草
铜绿,铜青 铜锈
土贝母,假贝母 土贝
土大黄,包金莲 癣药 金不换
土茯苓,山地栗 地茯苓 饭团根 山遗粮 仙遗粮 奇粮 冷饭团 土苓
土槿皮,荆树皮 金钱松皮 土荆皮
土木香,玛奴 臧木香 祁木香
土人参,水人参 福参 参草 紫人参
土元,簸萁虫 蟄虫 地蜱虫 土虫 蚵蚾虫 土鳖虫 地乌龟 蟅虫 地蟞虫 庶虫 地鳖 土别虫 土鳖 盖子虫
菟丝子,吐丝 菟丝饼 酒菟丝 菟丝 龙须子 迎阳子 黄网子 金丝草 玉女 豆须子 兔缕 赤网 无根藤 盐菟丝 吐丝子
貒膏,貒油 猪獾油 貒猪膏 土猪油 貒脂
貒骨,土猪骨
貒肉,貒猪肉 獾豘 地猪 沙獾
托盘根,过江龙 茅莓根
瓦楞子,蚶之壳 伏老 魁蛤 瓦垄子 蚶壳 瓦弄
瓦松,酸塔 瓦松景天 瓦宝塔 瓦莲花 向天草 瓦花
豌豆,毕豆 寒豆 雪豆 留豆
王不留行,金盏银胎 禁宫花 不留行 麦兰子 王不留 留行子 奶米 炒王不留
望江南,山咖啡 羊角豆 假决明 大夜明
望月砂,兔儿屎 玉兔矢 兔屎 玩月砂 兔核 兔粪
威灵仙,铁灵仙 黑灵仙 黑须公 风车 铁脚灵仙 酒灵仙 软灵仙 棉团铁线莲 寿祖 灵仙 青龙须 铁脚威灵仙 铁扫帚 老虎须
薇籽,抱冬电 散微籽
鮠鱼,鮰鱼 白戟鱼 阔口鱼
蕹菜,藤藤菜 空心菜 空筒菜 无心菜 水雍菜 瓮菜
蕹菜根,瓮菜根
乌蔹莓,五爪龙 五叶藤 母猪藤 乌蔹草
乌梅,乌梅炭 白梅 熏梅 盐梅 桔梅肉 梅实 酸梅 乌梅肉
乌梢蛇,黄风梢 乌风蛇 青蛇 乌蛇肉 剑脊蛇 乌蛇 青大将 制乌蛇
乌药,台乌 短樟 矮樟 天台乌药 旁其 衡州乌药
无患子,肥珠子  槵子 卢鬼木 有患子 圆肥皂 木患子
无名异,铁砂 秃子 干子 土子 黑石子
芜荑,无夷 山榆仁 莁夷 无茹 无姑 白芜夷 臭无夷
吴茱萸,茶辣 米辣子 开口茱萸 吴芋子 淡吴芋 淡茱萸 吴萸 越椒 吴椒 搜筵 吴芋 食茱萸 吴于
梧桐子,桐子 青桐子
蜈蚣,金头蜈蚣 嗷高姆 吴公 百足虫 千足虫 百脚
五倍子,百草虫 木附子 百虫仓 棓子 五棓 角倍 五倍 肚倍
五谷虫,谷虫 元浆子 天浆子 蛆 粪蛆 粪虫
五加皮,五花 木骨 五佳 五加 南五加 追风使 加皮
五灵脂, 寒雀粪 灵脂 糖五灵 寒号虫粪 五灵芝 龙芝 灵脂米 寒号虫屎 散五灵
五味子,五梅子 辽五味 玄及 壮味 北五味 嗽神 五味
西番莲,转枝莲 转心莲
西瓜皮,水瓜皮 夏瓜 西瓜翠衣 青登瓜 翠衣
西红花,藏红 洎夫蓝 撒馥兰 番红花 撒法郎
西洋参,顶光参 广东人参 正光结参 花旗参 粉光粉 佛兰参 洋参 粉光西洋参 正面参 种洋参 原皮西洋参 西洋人参
菥冥,遏蓝菜 苏败酱
溪黄草,溪沟草 四方蒿 香茶菜
豨莶,风湿草  虎莶 粘金强子 土伏虱 老奶补补丁 黄猪母 猪母菜 粘强子 希仙 金耳钩 亚婆针 牛人参 粘为扎 粘不扎 毛擦拉子 猪膏草 粘糊菜 火莶 火杴草 狗膏 豨仙 棉黍棵 母猪油 油草子 虎膏 野向日葵 绿莶草 大接骨 老陈婆 珠草 少毛豨莶 大叶草 有骨消 老前婆 棉苍狼 猪膏莓 稀苋草 猪冠麻叶 毛梗豨莶 希莶草 西莶 肥猪苗
蜥蜴,马蛇子 麻蛇子
蟋蟀,斗鸡 夜鸣虫 将军 叫鸡 蛐蛐 促织 唧唧
蠵龟筒,蟕蠵壳 灵蠵 觜蠵 灵龟 蟕蠵甲 原动物蠵龟 蠵 蚼虾 鼊皮
喜树,喜树子 南京梧桐
细辛,小辛 少辛 北细辛 细参 烟袋锅花 辽细辛 华细辛
鰕虎鱼,沙鰛 光鱼 油光鱼 鲨 舵 沙竹 吹沙 沙沟鱼 呵浪鱼
霞红报春,鱼肠草
夏枯草,枯草穗 夕句 枯草 夏枯花 夏枯头 夏枯球 枯草头 燕面 乃东 铁色草 夏枯
夏天无,无柄紫堇
仙鹤草,子母草 龙芽 鹤草芽 脱力草 金顶龙芽 龙牙草 仙合草 狼牙草 瓜香草 黄龙牙 老牛筋 子不离母
仙茅,山棕 风苔草 酒仙茅 独茅 仙毛 千年棕 仙茅参 盘棕 茅瓜子 天棕 地棕根
藓生马先蒿,漏日莫保
香菜子,胡荽子 芫荽子
香附,黑香附 草附子 莎草根 香附子 七制香附 候莎 附米 制香附 雀头香 夫须 三棱草根 醋香附 抱灵居士 四制香附
香薷,香茸 香葇 香茹
香橼,香橼片 香圆 香元 枸橼 香橼皮 香元皮
蘘荷,莲花姜 观音花 嘉草 野姜 阳藿 山姜 野老姜 土里开花 覆葅 野生姜 専苴 苴莆 阳荷 葍蒩 芋渠
象皮,大象皮
象牙屑,象牙 象牙末
橡木皮,栎树皮 栎木皮
橡实,橡斗子 皂斗 柞树 黄麻栎 青刚 橡碗树 橡栎 栩 杼 栎子 麻栎 橡子 柞砾 麻沥果 橡子树 橡栗 紫栎 枥 芧栗 栎 橡 栎子树 杼斗 柞子
橡实壳,橡豆子壳 橡子壳 橡斗壳
小胡麻,冲玉子 三角子 茺蔚子 益母草子 益母子 坤草子 三角胡麻 茺玉子
小茴香,蘹香 茴香子 谷茴香 谷香 盐茴 小香 小茴 怀香 茴香
小蓟,刺菜 七七菜 刺儿菜 小吉 小刺盖 小蓟炭 野红花
蝎子七,野高梁 红蝎子七 然波 猴子七
缬草, 大救驾 猫食菜 抓地虎 小救驾 穿心排草 拨地麻 甲别 满山香 鹿子草 拔地麻 七里香
薤白,野白头 薤白头 乔葱 小独蒜 野薤 贼蒜 山薤 九白头 祥谷菜 荞子 菜芝 大头菜子 小根菜 小蒜 莜子 介白 龙郭 宅蒜 野蒜 茭白 薤 薤根 九白
蟹,蜅 稻蟹 毛蟹 蜅觜 蛫 郭索 垪钳
辛夷花,玉兰 辛夷 辛雉 玉兰花 辛一 春花 辛矧 木笔花 杜春花 紫玉兰 木笔 房木 喉桃
杏仁,八担杏 燀杏仁 叭哒杏仁 炒杏仁 苦杏仁 南杏仁 巴旦杏仁 光杏仁 杏子 甜杏 杏核仁 北杏仁 甜杏仁 得儿
雄蚕蛾,蚕蛾 家蚕蛾 原蚕蛾 晚蚕蛾
雄黄,男精 雄精 黄石 黄金石 腰黄 熏黄 丹山 鸡冠石 石黄 天阳石 黄食石
熊胆,人熊 登仓 黑瞎子 黑熊 猪熊 黄熊 狗驼子 墨胆 马熊 金胆 熊 菜花胆 铁胆 铜胆 狗熊 豭罴 罴 棕熊 真熊胆
熊蕨根,狭顶鳞毛蕨 半边草
熊掌,熊蹯
熊脂,熊白 熊油
徐长卿,寥刁竹 药王 英雄草 徐长青 竹叶细辛 天竹 逍遥竹 石下长卿 寮刁竹 料刁竹 一枝香 山刁竹 丁黄草 瑶山竹 别仙踪 一枝箭 了刁竹
续断,六汗 山萝卜根 接骨 川断 六旦 川续断
萱草根,黄花菜根 药圈 萱草
玄参,黑玄参 润玄参 乌元参 玄台 黑参 元参 乌玄参
玄精石,太乙玄精石 太乙玄精 龟背玄精石 玄英石 浙玄参 太阴玄精石 阴精石
玄明粉,元明粉 白龙粉 风化硝
旋覆花,金沸花 旋复 滴滴香 迭罗香 全福花 伏花 夏菊 飞天蕊 六月菊 复花 炙覆花 旋复花
雪莲,雪莲花 藏雪莲 水母雪莲 天山雪莲 绵头雪莲 大苞雪莲
雪上一枝蒿,铁棒锤
血竭,麒麟竭 骐驎竭 血结 血力花 海蜡 海脂石 血竭花 朱血竭 麒麟血
血余炭,人发 人发炭 头发炭 血余
寻骨风, 白面风 猫耳朵 兔耳草 清骨风 巡骨风
鲟鱼,乞里麻鱼 鲔 鮛鲔 鮥 仲明鱼 鱏 碧鱼 尉鱼
鸦胆子,苦参子 鸭胆子 鸦胆 丫蛋子 鸭蛋子 苦榛子 鸦蛋子 老鸦胆
鸭跖草,竹叶草 三角菜 竹叶菜 兰姑草 鸭舌草 竹节菜 鸭仔草 三角草
鼹鼠,隐鼠
燕窠土,燕窝泥 胡燕案内土 燕窠泥 燕子泥
燕麦草,野麦草 乌麦
燕麦灵,铜脚威灵 接骨一枝箭 倒吊花
燕窝,燕蔬菜 燕窝菜 燕菜 燕根
羊角透骨草, 羊角蒿
羊蹄,牛舌头 野大黄
阳起石,白石 石生 阳石 羊起石
洋金花,曼陀罗花 风茄花 恶客 酒醉花 山茄子花 胡茄花 耆婆草 羊惊花 山茄花 枫茄花
野颠茄,假茄子 红颠茄 刺天茄
野菊花,苦薏 野菊
野马追,白头婆 尖佩兰
夜交藤,九真藤 夜交仝 首乌藤 交藤
夜明砂,檐老鼠屎 天鼠屎 蚊子眼 蝙蝠粪 石肝 黑砂星 鼠法
伊贝,新疆贝母药圈 伊犁贝母
鮧鱼,鯷鱼 粘鱼 石鰋 要 潭虱 鲇 额白鱼 鲶
益母草,益明 苦低草 贞蔚 大札 益母 茺蔚 茺蔚草 坤草
益智仁,益智 益智子 益志子 摘艼子 智仁 盐益智
薏苡根,尿珠根 五谷根 打碗子根
薏苡仁,六谷米 菩提子 解蠡 玉秫 沟子米 草珠子 贛米 感米 珠子米 老鸦珠 水玉米 尿端子 益米 赣屋 生苡仁 裕米 起目 玉秣 芑实 米仁 蓼茶子 玉珠 胶念珠 六谷子 桂珠黍 催生子 赣珠 药玉米 珠珠米 炒苡仁 鬼珠箭 铁玉蜀黍 草珠儿 尿糖珠 必提珠 薏仁 尿塘草 薏米仁 便婆菊 苡仁 薏米 天谷 起实 菩提珠 回回米 苡米 苡米仁 草菩提 芑草 薏黍 瞎眼子树 尿珠子 薏珠子 薏仁米
翼首草,帮子毒乌 匙时翼首花
阴起石,煅阴起石 阴石
茵陈蒿,白蒿 茵陈 因尘 绵茵陈 安吕草
银柴胡,牛胆根 鳖血制银柴胡 银胡 沙参儿 银州柴胡
银杏叶,公孙叶 白果叶
银朱,心红 灵砂 猩红 水华朱 紫粉霜
淫羊藿,羊合叶 黄连祖 羊藿 弃杖草 刚前 羊藿叶 放杖草 淫羊合 炙羊藿叶 三枝九叶草 仙灵脾 乾雄筋
罂粟, 米囊 鸦片烟果果 米壳 莺粟 御米 烟斗斗 象壳 罂子粟 米囊子 囊子 御米壳 象谷 粟壳 大烟葫芦
樱草根,翠南报春 野白菜 樱草 翠兰花
樱额,稠梨子 臭李子 樱额梨 玛嘎
樱桃,荆桃 含挑 朱果 家樱桃 朱樱
樱桃枝,樱桃梗
鹦鹉,耐作 鹦哥 鹦 干皋
鹰不泊,乌不宿 画眉架 乌鸦不企树 刺倒树 努当
鹰不扑,打散根 百鸟不落 雷公木 岛不宿 小郎伞 楤木
鹰骨,苍鹰 鹞鹰 角鹰 鹞婆骨
鹰头,车风
鹰爪莲,蛇咬药 叶头风毛菌
蝇虎,蝇蝗 蝇狐 蝇豹
鳙鱼,黑包头鱼 崇鱼 胖头鱼 花鲢 容鱼 黑鲢 皂鲢 包头鱼 鳙头鲢 鱃鱼 皂包头
鼬鼠肉,地猴 鬛鼠 鼪鼠 黄鼬 黄鼠狼
鱼鳔,黄唇肚 鱼脬 鱼白 鲟鱼胶 白鳔 黄鲟胶 鱼鳔胶 鱼线胶 縼胶 线鱼胶 鱼肚 鱣胶
鱼脑石,黄鱼首石 石首鱼 鱼脑中枕 石首骨 鱼首石
鱼腥草,蕺菜 蕺 葅叶 十药 紫蕺
禹余粮,太乙余粮 禹哀 自然谷 禹粮石 余粮石 促余粮 太一禹余粮 石脑 煅余粮 白余粮
玉果花,肉豆蔻花 玉果衣 肉豆蔻衣
玉米须,苞米须 玉蜀粟蕊 棒子毛
玉竹,广竹 西竹 萎蕤 海竹 炙玉竹 葳参 葳蕤 肥玉竹 萎簃 津竹 萎香
郁金,温郁金 川玉金 绿郁金 玉金 毛姜黄 入金 桂郁金 黄郁金 醋郁金 黄丝玉金 川郁金 乙金 黑郁金 光郁金 广玉金
郁李仁,奥李 郁李 李仁 爵李 李仁肉 郁子 郁里仁
预知子,燕葍子 拿子 墨地 野木瓜 先兆子 八月炸 八月札 圣先子 木通子 圣知子 八月瓜 玉支子 木通实
元胡,玄胡索 炙元胡 延胡索 醋元胡 玄胡 延胡 元胡索
芫花,杜芫 头痛花 赤芫 毒鱼 醋芫花 儿草 败花
芫条根,杜芫根 芫根 赤芫根
鼋膏,鼋脂
鼋甲,绿团鱼 癞头鼋
远志,小草 线茶 远志肉 炙远志 葽饶 细草
月季花,月季 庾客 月月红 四季春 艳雪红 月贵花 四季花 月季红 胜春
云母石,云珠 云母 磷石 千层波
錾菜,玉容草 白花茺蔚 对月草 白花益母草 楼台草
皂角,猪牙皂 大皂角 皂荚 皂荚子 皂吉  小皂荚 长皂荚 小皂角 大皂荚 乌犀 牙皂 角针实 悬刀
皂角刺,皂针 角针 天丁 皂刺 皂丁
泽兰,龙兰 地瓜儿苗 水泽 蛇王草 孩儿菊 地石蚕 地笋 水香
泽漆,猫儿眼 五朵云 灯台草 六凤草 乳浆草
泽泻,及泻  禹孙 芒芋 建泽泻 耳泽 泽夕 川下 水泻 宅下 广泽泻 天秃
樝子,狭叶木瓜 和圆子 木挑 西南木瓜
獐牙菜,当药 蒂达
樟丹,东丹 铅黄 桃丹粉 彰丹 光明丹 红丹 川丹 真丹 黄丹 朱丹 铅丹 广丹 章丹 丹 松丹 国丹 陶丹 铅华 朱粉
樟柳头,闭鞘姜 广东南陆 白石笋 水蕉花
樟木,芳樟 香樟木 樟 樟脑树 樟树 香通 乌樟 香蕊 油樟 香樟 樟公 吹风散
樟脑,洋冰 脑子 樟冰 韶脑 潮脑 油脑 树脑
樟树皮,樟木皮 樟皮 香樟树皮
樟树子,香樟子 樟梨 大木姜子 樟木子 樟木惹 樟子 樟扣
樟叶槭,桂叶槭
蟑螂,蜚蠊 偷油婆 滑虫 黄贼 石姜 茶婆虫 赃郎 香娘子 酱虫 负盘 蜚
长春花,雁来红 日日新
浙贝,象贝 板贝 浙贝母 象贝母 象山贝母 大贝母 元宝贝 珠贝 大贝
鹧鸪,越鸟 越雉
鹧鸪菜,乌菜 石疤 蛔虫菜
鹧鸪脂,鹧鸪脂膏
珍珠,珠子 珍珠粉 马牙珠 圆珠 濂珠 蚌珠 珠粉 真珠 蠙珠
珍珠草,叶下珠 真珠草
珍珠母,明珠母 珍珠母粉 真珠母 煅珠母 珠母 珠牡
珍珠透骨草, 地构叶
鱵鱼,针工鱼 针扎鱼 姜公鱼 箴鱼 针鱼 铜吮鱼 单针鱼
知母,盐知母 蝭母 儿踵草 毛知母 地参 肉知母 昌支 沈燔 蚳母 光知母
栀子,支子 炒栀子 卮子 大山栀 鲜支 黄栀子 僮印 黄枝 枝子 山栀 山枝 黄枝子 黑栀子 焦栀子 借佟 栀子炭
蜘蛛,扁蛛 社公 蛛蛛 网工 网虫 蠾蝓 次蠹 蝃蝥 癞癞蛛 到麻 圆蛛
蜘蛛抱蛋, 娱蚣草 一寸十八节 一叶 地蜈蚣 九龙盘 九节龙 竹根七 竹叶伸筋 单枝白叶 飞天蜈蚣 甘心蜈蚣 摇边竹 大九龙盘 土里蜈蚣 蓼叶伸筋 狸角叶 赶山鞭 大伸筋 竹叶盘 哈萨喇 龙骨草 一帆青
蜘蛛果,红果参
蜘蛛蜕壳,蜘蛛壳
蜘蛛网,蜘蛛膜 蜘蛛丝
蜘蛛香,豆鼓菜根 马蹄香 雷公七 九转香 臭药 臭狗药 香草子 磨脚花 养血莲 乌参 连香草
枳具子,拐枣 枳枣 鸡爪梨 枳椇 棘枸 金钩子 白石枣 木珊瑚 木蜜
枳壳,炒枳壳 江枳壳 只壳 商壳
枳实,洞庭 炒枳实 破胸槌 只实
钟乳石,石钟乳 钟乳 滴乳石 公乳 芦石 夏石 孔公孽 煅钟乳 殷孽 鹅管石 虚中 石乳
肿节风,九节茶 草珊瑚
重楼,灯台七 铁灯台 螺丝七 七叶一枝花 草河车 白蚤休 重楼金钱 重台 七层塔 蚤休 蚩休 三层草
朱砂,洋尖砂 飞朱砂 赤丹 朱砂粉 汞砂 镜面砂 丹砂 劈砂 珠宝砂 辰砂
珠儿参,鸡腰参 雪三七 珠参 珠子参
猪苓,豕橐 猪0 猪屎苓 朱苓 粉猪苓
竹沥,淡竹沥 竹汁 鲜竹沥 火泉 竹沥水 竹油
竹茹,竹茹丝 淡竹茹 竹茹球 甘竹茹 姜竹茹 竹二青 竹皮
竹叶,淡竹米 淡竹 迷身草 竹叶卷心 竹叶心 碎骨子 甘竹叶
苎麻根,焮麻 苧麻 燖麻 苎麻 荨麻
鲻鱼,梭鱼 子鱼 白眼
紫贝齿,文贝 贝齿 煅贝齿 贝子 紫贝 宝贝 生贝齿
紫参, 山虾子 虾参 月下红 牡蒙 拳参
紫草,子草 大紫草 新疆紫草 红条紫草 紫丹 老紫草 紫芙 硬紫草 软紫草
紫草茸,虫胶 紫胶 紫矿
紫河车,混沌皮 胞衣 佛袈裟 京河车 胎胞 混元母 杜河车 人包 衣胞 仙人衣 河车 人胞 胎衣 混沌衣 河车粉 胎盘 胎盘粉
紫花地丁,犁头草 紫地丁 疔毒草 箭头草 堇菜地丁
紫荆皮,紫今皮 子荆皮 紫金皮
紫梢花,紫霄花
紫石英,赤石英 萤石 氟石 煅紫石英
紫苑,蜜紫苑 子苑 青苑 紫倩
紫珠草,紫珠 杜虹花 粗糠柴
自然铜,然铜 醋自然铜 煅自然铜 石髓铅 方块铜 黄铁矿
棕榈,棕炭 棕榈炭 陈棕炭 棕板 陈棕皮 陈棕板 棕灰 棕梠 陈棕 棕榈皮 棕榈灰
棕榈子,棕树果 败棕子 棕榈果
鯮鱼,尖头
祖师麻,梦花皮 瑞香皮
醉马草, 勺草 马绊肠 醉马豆
醉鱼草,鱼藤草 鲤鱼花草 闹鱼花 红鱼皂 金鸡尾 花玉成 白皮消 鸡公尾 阳包树 洞庭草 鹿木 防痛树 楼梅草 毒鱼藤 药鱼子 四棱麻 鱼背子花 羊白婆 红鱼波 糖茶 野巴豆 鱼鳞子 老阳花 洋波 羊脑髓 痒见消 醉鱼儿草 铁帚尾 羊尾巴 药杆子 萝卜树子 士蒙花 药鳗老醋 白袍花 五霸蔷 光子 雉尾花 驴尾草 鱼尾草 四方麻 羊饱药 水泡木 鱼泡草
鳟鱼,赤眼鱼 红目鳟 鮅
