药名,别名
刺猬皮,刺鼠皮 猬皮 毛刺皮 刺球子皮 毛刺 刺鱼皮 猬鼠皮 烫猬皮
刺五加,刺拐棒 刺五加皮
葱子,葱实 葱种 大葱种药圈
醋,米醋 苦酒 淳酢 酿
醋柳果,大尔卜兴 沙枣 酸刺 酣柳 沙棘
翠雀花,鹦哥草 百部草 猫眼花 飞燕草 小草乌 大花飞燕草 鸡爪连 鸽子花 玉珠色洼
翠羽草,伸脚草 神锦花 绸缎草 矮脚凤毛 孔雀花 绿绒草 岩萍 金鸡独立草 剑柏 蓝地柏 龙须 白鸡爪 龙鳞草 金鸡凤尾草 地柏叶 水鸡爪 鹤翎草 翠翎草 开屏凤毛 龙爪草
鞑新菊,川西小黄菊 色尔君木美多
大豆卷,黄卷皮 大豆糵 豆糵 大豆黄卷 黄卷 豆黄卷
大风子,大风 丢子 大枫子
大腹皮,伏毛 枣儿槟壳 腹毛 槟榔皮 大腹绒 槟榔衣 大茯 腹皮 槟榔毛 大夫皮
大胡麻,胡麻 亚麻子 亚麻 胡麻子 壁虱亚麻 瘪虱胡麻 胡麻仁 亚麻仁
大黄, 大黄炭 箱黄 片吉 酒军 中吉 川锦纹 马蹄黄 庄黄 西吉 大王 西庄黄 雅黄 破门 锦纹 西庄 川大黄 火参 川军 肤如 熟大黄 锦纹大黄 生大黄 香结 黄良 箱大黄 生军 酒大黄 蛋吉 箱军 膚如
大茴香,八角 舶茴 大茴 八角大茴 大八角 大料 八角茴香 广大料 八角香 五香八角 八角珠 舶来香
大蓟,马薊 大蓟炭 大吉 鬼薊 千针草 刺薊 虎薊
大青盐,戎盐 青盐 胡盐 石盐 羌盐 寒盐 岩盐
大青叶,大蓝 菘蓝 大青 蓝靛叶 靛青叶
大枣,红枣 丹枣 大红枣 干枣 枣 美枣 良枣
代代花,酸橙花 枳壳花 玳玳花 代代 玳玳
代赭石,醋赭石 煅赭石 赭石 血师 丁石 钉赭石 朱土 生赭石 土朱 铁朱 赤土
玳瑁,文甲 班希 代尾 瑇瑁
丹参,红秦艽 血生根 红根 血参 赤根 木羊乳 酒丹参 奔马草 大红袍 甘西鼠尾 紫丹参 郄蝉草 甘肃丹参 赤参
丹皮,粉丹皮 花王 牡丹皮 洛阳花 花相
胆矾,石胆 翠胆矾 石矾 鸭嘴绿胆矾 蓝矾 铜筋 黑石 硫酸铜 立制石 兰矾
胆南星,陈胆星 胆星
淡豆豉,香豉 豆豉 豉 淡豉 豆士
淡竹叶,长竹叶 竹麦冬 山鸡米
当归,归身 归头 秦归 乾归 云归 文无 归尾 炒当归 归须 西当归 干归 酒当归 全当归 甘白 岷当归 秦当归 干白
党参,台党 中灵草 汶党参 文元党 天宁党参 潞党参 辽党 西党 文党 球花党参 晶党参 汉中党 单枝党参 上党人参 巫山党参 晶党 东党
刀豆,挟剑豆 马刀豆 大刀豆 刀豆子 关刀豆 大戈豆
稻草,稻藁 稻穰 禾秆 稻杆
稻谷芒,稻稳 谷颖
灯心草,灯心炭 灯心 灯芯 朱拌灯芯 赤须 虎须草 碧玉草 灯草 铁灯心
滴水珠,一滴珠 岩珠 天灵芋 独叶一支花 一粒珠 水半夏 岩芋 石里开 水滴珠 石半夏 独龙珠
鸐雉,山雉 白冠长尾雉 长尾雉 山鸡 翟鸡 翟 长尾野鸡
地耳草,田基黄 田基苋
地枫皮,地枫 钻地风
地肤子,帚菜子 地肤 千头子 扫帚子 地夫子 独帚 千心子 落帚 灰菜子 落帚子 王帚
地骨皮,仙杖 骨皮 地仙 枸杞根 却老 仙人杖 山杞子根 杞根 地骨 苦杞 却暑
地黄, 山白菜 山烟 酒壶花
地锦草,铺地锦 斑地锦 红茎草 奶汁草 血见愁
地龙,丘螾 曲蟺 蚯蚓 蚯蚓干 蚓蝼 土地龙 土龙 胊肕 曲鳝 寒蚓 广地龙 地龙子 曲曲 蜿蟮 歌女
地榆,玉札 山地瓜 无名印 黑地榆 猪人参 血箭草 地芋 地榆炭 绵地榆 玉豉 西瓜香 黄瓜香
雕骨,洁白雕 U D 红头雕 鹫雕 鹑鹫 N
冬虫夏草,冬虫草 夏草冬虫 虫草
冬瓜皮,东瓜皮 冬瓜 白瓜皮
冬瓜子,冬瓜仁 白瓜子 炒冬瓜子
冬葵子,露葵 葵菜子 滑菜 葵子
独活,资丘独活 玉活 大活 恩施独活 巴东独活 独摇草 胡王使者 川独活 独滑
杜仲,思仙 石思仙 绵杜仲 思仲 川杜仲 玉丝皮 丝连皮 乱银丝 鬼仙木 厚杜仲
莪术,羌七 蓬莪 文术 莪蒁 醋莪术 蓬蒁 波杀 蒁术 蓬莪荗 蒁药 蓬术 蓬莪术
鹅不食草,野芫荽 石胡荽 鸡肠草 鹅不食
鹗骨,王睢 雕鸡 食鱼鹰 下窟乌 沸波 鹗 睢鸠 鱼鹰
儿茶,珠儿茶 方儿茶 乌爹泥 黑儿茶 新儿茶 孩儿茶 乌丁泥 西谢 乌叠泥 儿茶膏 铁儿茶 老儿茶 棕儿茶
番泻叶,泡竹叶 辛拿叶 辛掰叶 弟兄叶 通幽草 旃那叶 泻叶 通幽 洋泻叶 辛那叶 地熏叶
翻白草,兰溪白头翁 全线吊葫芦 郁苏参 湖鸡腿 天藕儿 鸡脚爪 觭角草 土菜 天青地白 茯苓草 鸭脚参 野鸡坝 鸡脚草 乌皮浮儿 细沙纽 千锤打 鸡腿儿
翻白柴,木帚子 把把柴 柳叶栒子
翻白叶,小管仲
繁缕,蔜 鹅儿肠菜 鹅肠菜 鹅馄饨 狗蚤菜 蘩萎 滋草
防风,百枝 屏风 北风 文风 东防风 茴芸 关防风 铜芸 口防风 山防风 茴草 青防风 百蜚 回风 风肉 黄防风
防己,汉防己 解离 石解 粉寸己 白木香 石蟾蜍
飞龙掌血,见血飞 勒沟 散血丹
榧子,赤果 香榧 玉榧 榧 木榧 榧实 玉山果
翡翠,玛尔嘎
翡翠贻贝,淡菜
风毛菊,大花草
蜂蜡,蜡 蜂白蜡 白蜡 川蜡 川箭 黄占 川占 黄蜡
蜂蜜,石饴 石蜜 生蜜 白蜜 灵雀蜜 百花精 蜜糖 炼蜜 蜂糖
凤凰衣,鸡蛋膜 鸡蛋衣 鸡蛋膜衣 凤凰退 鸡子白皮
凤尾草,井栏草 七星草 井口草 金鸡脚 凤凰草 凤尾蕨 金星草
凤仙花,金凤花 指甲桃花 指甲桃花药圈 指甲草 凤仙
凤眼草,凤眼子 臭椿子 樗树子 臭椿树种 樗荚
佛手,佛手片 蜜罗柑 佛手柑 福寿柑 手柑 蜜桶柑 五指柑
佛手参,手儿参 章参 手参 手掌参
佛手花,福寿柑花 五指柑花 玉佛花
伏龙肝,釜月土 釜下土 釜月下土 灶中黄土 灶心土 灶中土
芙蓉花,地芙蓉 木莲花 木芙蓉 木芙蓉花
芙蓉叶,芙蓉花叶 七星花叶
茯苓,伏灵 更生 松苓 云苓 茯0 白茯苓 福临 松薯 不死面 松腴 朱茯苓
茯苓皮,松苓皮 0皮 云苓皮 茯皮 苓皮
茯神,神木 茯神木 朱茯神 伏神
浮萍草,夫萍 浮萍 紫背浮萍 水萍
浮小麦,浮水麦 浮麦 淮小麦
腐巴,豆腐锅巴 锅炙
腐婢,黑毛列 早禾柴 糊拌子 豆腐木 追风散 早禾树子 臭茶 小退赤 凉粉叶 臭联胆 小青树 知时木 狐臭树 豆腐柴 铁箍散 土常山 六月冻 臭常山 观音柴 虱麻柴
附子,侧子 乌附子 熟附子 黑顺片 乌附块 熟附片 黑附子 明附片
蝮蛇,虺 地扁蛇 方胜板 狗屙蝮 草上飞 反鼻蛇 灰地匾 烂肚蝮 土球子 土锦 土虺蛇 土公蛇 七寸子 反鼻 碧飞
鳆鱼,鲍鱼 镜面鱼 石决明肉 明目鱼
覆盆子,覆盆子叶 复盆子 竻藨子 缺盆 覆盆 西国草 小托盘 毕愣伽 木麦莓 乌藨子
甘草,主人 灵草 粉草 大嗷 密草 炙甘草 灵通 节甘草 甘草梢 蕗草 蜜草 生草 国老 美草 炙草 蜜甘 甜草根
甘松,苦弥哆 麝男 香松 人身香 甘松香
甘遂,肿手花根 甘蒿 陵泽 苦泽 重泽 甘泽
橄榄,青橄榄 青子 橄榄子 甘榄 黄榄 谏果 青果 橄棪 白榄 忠果
鱤鱼,生母鱼 黄颊 竿鱼 杆条鱼 黄颊鱼 竹鱼 鳏鱼
干姜,老姜 煨姜 勾粒因 炮姜 生姜 鲜姜 干生姜 均姜 干姜炭 姜炭 黑姜 淡姜
干漆,漆渣 炒干漆 漆脚 干漆炭 漆底 生干漆
藁本,鬼卿 藁茇 辽藁本 西黄藁本 微茎 山苣 川藁本 地新 山园荽 火藁本 蔚香 蒿板
葛根,甘葛 葛条 煨葛根 鹿藿 葛藤 干葛 粉葛根 葛 粉葛
葛花,粉葛花 鹿藿花 甘葛花 野葛花
公丁香,丁子香 公丁 丁子 雄丁香 丁香 大花 瘦香娇 如字香
功劳叶, 老虎刺 十大功劳 猫儿刺 十大功劳叶 枸骨 香木菌桂 枸骨刺 羊角刺 枸骨叶 杠谷树
钩藤,纯勾 勾勾 吊藤 勾藤 吊仝勾 勾仝 倒挂金钩 单勾 钓仝 钩丁 嫩钩钩 勾丁 双钩 钩钩 双勾 钩耳 双丁
狗脊,扶盖 金毛狗 扶筋 强膂 狗青 金毛狗脊 毛狗脊 苟脊
枸杞子,贡果 狗奶子 甘杞子 中宁枸杞 枣王 枸杞豆 杞果 枸杞 杞子 杞忌 枣枸 甘枸杞 地谷子 西枸杞 枸杞果 枸茄茄 苟起子
谷精草,天星草 流星草 鼓槌草 移星草 文星草 谷精珠 谷精 佛顶珠 戴星草
谷芽,稻芽 稻蘖 炒谷芽 焦谷芽 生谷芽
骨碎补,石长生高良姜 毛姜 石岩姜 碎补 制毛姜 鸡姜 石良姜 石庵闾 申姜 猴姜 胡孙姜 石毛姜 烫骨碎补
瓜蒌,蒌皮 蒌仁 炙蒌皮 瓜蒌子 栝楼壳 全瓜蒌 糖瓜蒌 栝楼子 银瓜蒌 栝楼 栝楼仁 蒌子 栝楼皮 天瓜 炒蒌仁
瓜子金,黄瓜仁草 竹叶地丁 小远志
管南香,萝卜防己 大百解薯 圆叶山总管 大总管
管仲,翻背白草 地管子 涩疙瘩 地槟榔 槟榔仁 白地榆 翻白地榆 番白叶
贯众,紫萁贯众 绵马贯众 百头 黑狗脊 贯仲 贯中 东北贯众
鹳骨,原动物白鹳 老鹳 黑尻 皂裙 负釜 冠雀 背灶 鹳雀 捞鱼鹳
光明子,兰香子 罗勒子
广豆根,小黄连
广狗鞭,狗阴 狗精 狗鞭 黄狗肾 牡狗阴茎 牡狗阴茎药圈
广藿香,刺蕊草
龟板,坎版 败龟板 烫龟板 龟腹甲 文武板 龟甲 漏天机 神屋 龟下甲 制龟板 乌龟壳 乌龟板 龟版 龟底甲 龟壳 龟筒 下甲 拖泥板
龟板胶,龟胶 龟甲胶
鬼箭羽,鬼见愁 篦风 鬼箭 四面戟 神箭 衞矛 卫矛 四面锋 六月凌
鬼针草,三叶鬼针草 蟹钳草 鬼叉 豆渣草 盲肠草 粘人草 虾钳草 粘连子 豆渣菜 对叉草 婆婆针 一包针 引线包
桂圆肉,元肉 川弹子 圆眼 龙眼肉 驪珠 鲛泪 三全 荔枝奴 龙眼 蜜脾 亚荔枝 木弹 龙目 魁圆 三无 桂圆
桂枝,川桂枝 桂枝尖 桂枝木 广眉尖
鳜鱼,鳜豚 石桂鱼 鯚鱼 锦鳞鱼 蘮鱼 母猪壳 水豚 桂鱼 鳌花鱼 翘嘴鳜鱼
滚山虫,地罗汉 滚山珠
哈士蟆,蛤蟆 红肚田鸡哈蟆油 红肚田鸡其雌性的输卵管称 哈士蟆油 哈蟆油 蛤蚂 蛤蟆油 哈什蟆 雪哈 田鸡 林蛙 田鸡油
蛤蚧,蛤蚧尾 多格 全蛤蚧 蛤蛇 仙蟾 石牙 蛤蟹 蛤解
蛤壳,文蛤壳 煅蛤粉 文蛤 蛤粉 煅蛤壳 海蛤壳 蛤蛎
蛤蟆草,虾蟆草 荔枝草
海风藤,风藤 海风仝
海浮石,水泡石 羊胆石 浮海石 浮石 水花 海石 海南石 火山浮石 羊肚石 浮水石
海狗鞭,腽肭脐 骨讷 骨豽 海豹鞭 海狗肾
海金砂,竹园荽 海金砂粉 海金沙
海龙,水雁 大海龙 刁海龙 广海龙 小海龙 钱串子 尖海龙 杨枝鱼 龙落子
海马,三斑海马 广海马 大海马 海蛆 日本海马 水马 刺海马 马头鱼 小海马
海螵蛸,墨鱼骨 黑鱼骨 乌贼骨 海蛸 墨鱼盖 乌鱼盖 乌鰂骨 柔鱼骨 墨乌骨
海桐皮,刺楸 丁皮 刺桐 鼓桐皮 刺桐皮 钉桐皮
海藻,马尾藻 淡海藻 小叶海藻 大叶海藻 海蒿子 海肠草 海早 羊栖菜
寒水石,凝水石 方解石 凌水石 泥精 盐精石 红石膏 水石 冰石 白水石
薅田藨,红花脖竻 红梅消 龙船藨 三月泡 五月藨刺 藨 黑龙骨 天青地白草  茅莓 两头粘 仙人搭桥 栽秧泡 蛇泡竻 倒生根 红琐梅 倒筑伞 五月红 草杨梅 陈刺波 毛叶仙桥
豪猪肉,鸾猪 刺猪 箭猪 壁水腧 獂騟 狟猪 山猪 豪猪 豪彘 蒿猪 响铃猪
诃子,诃黎 涩翁 诃子肉 煨诃子 诃黎勒
合欢花,合欢米 夜合花 合欢 萌葛 夜合米
合欢皮,夜合皮 萌葛皮 合昏
何首乌, 首乌 红内消 赤敛 马肝石 赤葛 山首乌 夜合 山奴 九贞藤 山哥 药首乌 山翁 夜交藤根 赤首乌 制首乌
荷梗,莲蓬梗 荷更
荷花,芙蕖花 水芝花 莲花
荷叶,荷钱 莲叶 芰荷 藕叶
鹤肉,丹顶鹤 胎禽 仙禽 白鹤 鹤 仙鹤
鹤虱, 鹄虱 东北鹤虱 蒙古鹤虱 华南鹤虱 野胡萝卜子 鬼虱 南鹤虱 赖毛子 天明精实 火虱 北鹤虱 活虱
黑丑,白丑 牵牛 二丑 喇叭花子 黑白丑 炒黑丑 丑牛子 炒白丑 丑牛 牵牛子
黑豆,乌豆 黑大豆 料豆
黑矾,皂矾 滥矾 青矾 矾红 煅绿矾 绛矾 硫酸亚铁 绿矾 皂荚矾
黑蚂蚁,黑蚁
