栀子花,10.0,10.0,10.0
小荆子,20.833333333333332,8.075574256337614,33.591092410329054
姜夏,15.493534482758621,10.259784378349934,20.727284587167308
母丁香末,3.59375,0.9375,9.2285071625803
大腹片,20.0,20.0,20.0
猪牙皂角,137.29981884057972,0.3125,460.02164822076054
火上烧,3.125,3.125,3.125
嫩薄荷,31.25,31.25,31.25
山楂子,37.614583333333336,8.413219577811716,66.81594708885495
鲜桃树枝叶,50.0,50.0,50.0
黑豆衣,7.5,4.318019484660536,10.681980515339465
连腻皮核桃肉,500.0,500.0,500.0
舶上莎罗,31.25,31.25,31.25
再入红矾,125.0,125.0,125.0
%轻粉,17.333333333333332,5.0,38.515086487089675
根皮,500.0,500.0,500.0
狸肉,0.3125,0.3125,0.3125
%儿茶,22.0,22.0,22.0
结实人参,31.25,31.25,31.25
生蟹足,15.3125,14.649587392637612,15.975412607362388
小盐,30.0,30.0,30.0
川蔓蒲,15.0,15.0,15.0
漆牛膝,30.0,30.0,30.0
石上磨净,36.0,36.0,36.0
白术干姜,45.0,45.0,45.0
冬用,62.5,62.5,62.5
常山茎,120.0,120.0,120.0
去芦,40.107142857142854,20.014398256951637,60.19988745733407
团参,33.75,7.5,89.43465901844061
仙鹤草粉,100.0,100.0,100.0
菟丝子,4759.068369565218,0.3125,12111.736018744741
江西香豉,12.5,12.5,12.5
破麦冬,9.375,9.375,9.375
牛骨髓,187.5,54.91747852752235,320.08252147247765
同马蔺花以水,500.0,500.0,500.0
半桂,20.3125,9.375,43.514441257683586
胡颓叶,11.0,8.878679656440358,13.121320343559642
尖,66.69633620689655,6.917011408743065,126.47566100505003
土矾,6.25,6.25,6.25
醋淬十二次,30.0,30.0,30.0
炒令烟尽,62.5,62.5,62.5
腥星,3.0,3.0,3.0
光杏仁炙僵蚕,8.0,8.0,8.0
长须生谷芽,12.5,12.5,12.5
鲜生地黄,130.0,10.0,384.55844122715706
野山楂,9.0,9.0,9.0
康青,6.25,6.25,6.25
炙黄柏,2.4,2.4,2.4
水陆使者,31.25,31.25,31.25
面针I,5.0,5.0,5.0
炙川军,7.0,2.7573593128807152,11.242640687119284
白亮鱼胶,250.0,250.0,250.0
豆蔻子,62.916666666666664,1.25,138.4426004024813
甜瓜子仁,15.729166666666666,1.5625,35.83792046113803
士的宁,5.0,5.0,5.0
赤石脂炭,7.8125,7.8125,7.8125
川苇,6.0,6.0,6.0
劈,3.125,3.125,3.125
枳壳柴胡,6.0,6.0,6.0
牛胆南星,18.06985294117647,8.896300807613306,27.243405074739634
红药子,178.6542857142857,0.83,562.3045429225622
干葡萄末,500.0,500.0,500.0
鲜薄荷,127.5,5.0,387.3617420860562
龙胆末,15.3125,14.649587392637612,15.975412607362388
炭火炮,30.0,30.0,30.0
鹿梨根,625.0,250.0,1420.495128834866
练花,31.25,31.25,31.25
天台乌,1062.0833333333333,30.0,3588.630095549831
山茱萸花,15.625,15.625,15.625
以上等好酒,500.0,500.0,500.0
炒黑香附米,15.0,15.0,15.0
腹蛇脯,1.5625,1.5625,1.5625
马骝草,7.5,7.5,7.5
汤浸七次,7.5,7.5,7.5
海芋,3840.0,3840.0,3840.0
熊胆汁,15.625,15.625,15.625
茄秸,15.625,15.625,15.625
白糊精,1300.0,1300.0,1300.0
棉花根,90.0,90.0,90.0
山杏仁,15.625,15.625,15.625
半夏钱,0.625,0.625,0.625
白莲须,79.90178571428571,3.0,202.2670311995147
毕拔,15.3125,14.649587392637612,15.975412607362388
槐角豆,125.0,125.0,125.0
苏叶子,9.375,9.375,9.375
生榆炭,15.0,15.0,15.0
劈开,46.5,3.0,138.77743494484446
生杜仲,33.859375,15.801123462035466,51.91762653796454
山栀炭,23.45,8.473418280528763,38.42658171947124
石南藤,637.8125,15.0,1560.5585514088505
上肉桂面,15.625,15.625,15.625
生糯米,310.5,310.5,310.5
后用生姜,156.25,156.25,156.25
升麻二十,156.25,156.25,156.25
化硼砂,31.25,31.25,31.25
黑桑耳,62.5,62.5,62.5
元寸,1.0854166666666667,0.3972091708547809,1.7736241624785525
腿白术,93.75,93.75,93.75
桂芝,12.0,12.0,12.0
地塞米松,0.08875,0.03,0.20737987345099884
白及根,15.0,15.0,15.0
慢火焙干,500.0,500.0,500.0
山桂皮,31.25,31.25,31.25
赤节,9.0,9.0,9.0
马齿览,30.0,30.0,30.0
柏叶灰,62.5,62.5,62.5
人乳浸透,90.0,90.0,90.0
金荞根干,50.0,50.0,50.0
皂角子仁,15.625,15.625,15.625
淫羊藿叶,15.0,15.0,15.0
咸消,31.25,31.25,31.25
陈蜜,31.25,31.25,31.25
铜录,0.46875,0.1372936963188059,0.8002063036811942
牛粪,31.25,31.25,31.25
研取枣汁约,2500.0,2500.0,2500.0
寸香,3.6778846153846154,0.11542279564335,7.240346435125881
栗黄,500.0,500.0,500.0
瑶桂心,12.5,12.5,12.5
杉木炭,61.5625,3.125,185.52715757676663
煅出尽金色者方可用,18.75,18.75,18.75
陈黄米,2757.75,828.0,6851.36793298422
菖蒲《米泔浸一宿,30.0,30.0,30.0
取下俟稍冷,105.0,105.0,105.0
古石灰,25.208333333333332,6.25,67.876505507293
鬼前羽,17.5,12.196699141100893,22.803300858899107
真酥油,416.6666666666667,212.5425214347352,620.7908118985981
吹去草,6.25,6.25,6.25
防己末,3.125,3.125,3.125
响玲草,10.0,10.0,10.0
枣膏大,500.0,500.0,500.0
马齿实,500.0,500.0,500.0
克,12.9,1.5,26.702608449130185
杜梨枝叶,93.75,93.75,93.75
柴胡稍,1.5625,1.5625,1.5625
槐皮,93.4375,1.25,219.16485823182853
片砂,6.25,6.25,6.25
茯苓块,12.453125,8.675141034735342,16.23110896526466
白竭,45.0,13.180194846605367,76.81980515339464
包心菜,500.0,500.0,500.0
生巴仁,31.25,31.25,31.25
