鸡子,枚
厚朴花,g
制半夏,克
盐酸小檗碱,g
以白瓷器贮,两半
糯米木香,None
柴胡,"两,克,g,两半,None,钱"
常苋,两
川牛膝,"g,None"
当归身,"钱,克,两"
毕澄茄,g
白酒,ml
苍术,"两,钱,克,g,None,两半,两2钱"
大腹皮,"g,克"
二芽,g
每个作,片
天花粉,"两,克,None,g"
制附片,g
棘针,两
桂枝,"钱半,克,g,None,两,分"
炒苍术,"克,g"
板蓝根,g
藿香,"None,克,钱,两,g,石"
生甘草,g
苦楝根,"两,克"
粳米,"克,g,None"
陈皮,"克,None,钱,两,g,分,钱2分,钱半"
草蔻,"克,None"
芦荟,"两,克,分,钱"
白芥子,g
水煮半日,None
煨肉豆蔻,g
佛手,"钱,g,克"
元胡,"两,g,None,钱5分,克"
锦地罗,g
鸡蛋花,g
蚤休I,g
人乳,None
砂仁,"两,克,钱,g,None,分"
昼夜,None
红雪,两
党参,"g,两,克,None"
炒乌药,克
熟干地黄,两
以木猪苓,克
苁蓉,克
榴皮,g
油朴,钱
硫黄,钱
生杭芍,钱
雷丸,"None,两,g"
瑞龙脑,g
前仁,g
瞿麦穗,克
益智仁,"两,钱,克"
降香饱和液,g
竹叶,g
明雄黄,"钱,g"
川菖蒲,g
真麝香,分
茶叶,"克,钱"
赤苓,"两,None,g,钱"
橘叶,g
乌梢蛇,两
辣蓼,g
半夏备,克
干姜皮,g
上铜绿,g
银花炭,g
木贼,g
柯子,g
苏半夏,g
瓜蒌,"g,两1分"
皮皮,g
白占,克
内桂,g
千金子,克
小茴香,"克,g,两"
苏梗,"g,钱"
人乳拌,克
胡桃仁,两
芦巴子,"g,None,两"
白皮,g
大胡麻,"g,两,钱"
蟾酥,None
清炙草,克
松香,斤
为粗末,None
白牵牛,g
恒山,两
开麻,g
龙齿,"两半,分"
炒薏苡仁,g
红花,"g,None,钱5分,克,两"
野菊花,g
白芒,None
西瓜皮,克
大甘草,钱
桂圆肉,None
冬瓜子,"g,分"
楂子,None
望月砂,两
密陀僧,克
酸榴皮,克
120,None
青黛,"两,钱,克,None"
驴肾,None
牡蛎,"克,g,两,分,钱"
白果,g
瞿麦,"None,两"
制草,钱
炒鸡内金,g
鹤虱,"两,石"
乌药,"两,克,g"
新开河参,g
醋浸,克
牡蛎粉,"分,克"
地榆,"克,g,None,两"
山药,"克,g,两,钱半,None,升,钱,分"
法夏,g
丁香皮,两
三七,"g,钱"
同杵为团,None
河子,g
炒冬术,两
川木通,"两,None,g,钱"
焙诃子肉,g
甜瓜蒂,克
独活,"g,两,钱,None"
生黄芪,g
槐米,g
血余炭,"克,g"
嫩苦参,g
川巴戟,两
晒九次,克
青蒿,钱
桃条,None
莲子汤,g
草决明,两
二味用巴豆,片
椒目,克
炒薏仁米,两5钱
词子,g
地鳖虫,g
冰片,"g,克,None,钱,两,分"
灯心草,"厘,克"
豆蔻仁,钱
夏枯草,"g,两,双"
葶苈子,"克,g,None,钱2分"
台党参,g
马兜铃,"两,g,None"
猪油,斤
北五味子,两
白芨,"g,两,克"
覆盆子,None
川乌头,None
明沙参,g
赤勺,g
金钱草,g
炒白扁豆,"两5钱,g"
陈皮四制,g
青木香,"g,克"
生地,"克,g,两,分,None,钱,斗"
白晒参,g
姜汁罨,None
琥珀,"钱,钱3分,克,None,g"
洗净浮皮,None
杉木节,g
煎令干,None
炒砂仁,克
猪板油,g
菊花,两
青葙子,克
猪牙皂角,克
北姜,g
淡竹叶,"g,片,张"
防风炭,g
糯米,"克,g"
甘草,"克,分,None,g,钱,两,两5钱,两2钱,两半,钱半"
姜黄,"g,钱5分"
茵陈蒿,"None,g"
黑炮姜,克
麦芽面,克
蛤蟆草,None
云母粉,两
黄柏,"g,两,分,钱,克,钱半"
决明,g
百草霜,None
胆南星,"g,钱"
二五味子,克
漆牛膝,g
谷芽,g
荆芥,"克,g,两,钱,None"
辛荑,g
白附子,"两,克,None"
紫豆蔻,克
白术炭,"g,克"
胡椒末,None
姜制,两半
五加皮,两
梨汁,None
泽兰,None
象皮,两
