雄黄,"克,分,钱,g,两,None,斤,钱5分,份,钱半"
焦山楂,"g,钱7分,克"
先熬六七滚,None
硫酸镁,g
好鹿茸,钱
不蚛者,None
铁落花,"两,g,None"
乌敛莓,g
用簳子叶包,None
使君子,"克,两,g,枚,None,钱,分"
明腰黄,两
牛筋草,g
白芷末,钱
曲头棘针,两
藏在,尺
血余灰,克
生姜自然汁炒熟,"None,克"
若干,None
酒生地黄,"g,克"
罂干桑柴慢火煮,None
藏青果,None
嫩鹿茸,两
熟半夏,None
宽筋藤,g
童尿浸炒,份
趁热以熟糯米浆挪均,None
花生衣,克
川贝,"克,钱,两,None,g,钱半,分,两2钱,～9克,斤8两,两5钱,两半"
北五味子,"两,None,克,钱半"
破去内白膜,两
烟胶,克
黑铅,"None,块,钱"
焦艾,"钱,克"
令生芽,克
新水半碗,None
真酥油,斤
核桃,个
将地黄汁炒生姜滓,None
汤匙,None
乱发如鸡子大,None
龟版不以多少,None
黑芥穗,"克,钱,g"
真沉香,钱5分
一半生用,None
将豆铺,None
金樱子,"两,g,None,-15g"
韶粉,两
牛髓,克
渫令赤色,None
煮至豆腐起蜂窝时取出,克
生甘草春用,分
川芎钱半,None
拣出全骨,None
淡豆豉,"钱7分,两,克,g,合,～9克,粒,钱,升,钱半"
五灵脂香附,None
油朴,"钱,两"
杭赤芍,g
血谒,g
生胆星,钱
桃奴,枚
白芜荑,"克,两,钱,两半"
黑干姜,"钱,g,-7分"
鼠妇,"克,分,g"
火云母,g
乌豆衣,克
汤圆粉炒黄,g
生代赭石,g
饭上蒸晒,None
龙实,None
红藤,"-60克,-30克,None,两,克,g"
石灰,"克,两,None,分,斗5升"
蚯蚓屎,None
川厚扑,g
葛叶,两
依旧合之,None
黑豆黄,两
入末在内,None
令姜汁干尽,None
春用,分
厚丹,g
去芦根,None
加白硼砂,钱
芝硝,g
人指甲,钱
红升丹,"g,None"
鲜荷梗,None
余粮,None
芎?,"分,两,两半,None"
炒米,粒
焰消,"None,分,克"
候苏落尽,None
川尖贝,钱
槐枝,斤
白糖,"None,克,撮"
俟冷取出研碎,None
焦栀仁,克
白矾灰,"分,两"
酒连,分
紫菀,"两,g,钱,分,铢,克,两半,None"
周,None
糯米酒,g
象牙屑,"两,钱"
色转为度,None
沉香末,g
制没药,"g,None"
黑汞,钱
活牛蒡,斤
灸没药,g
谷芽,"钱半,克,两6钱,g,两,None,钱"
生麝香,None
生薄荷汁,None
用布袋绞去黄汁,None
烧生姜,None
瓜蒌,"克,g,钱,个,None,两,钱7分,石,枚,两半"
坚槟榔,钱
方块,None
晒干或焙干为末,None
海南沉香,g
南枣,"钱,～8个"
吴茱萸,"两,g,克,分,合,None,钱,份,斤,粒,升,钱半"
麦芽谷,g
生姜汁半合,None
大黄后入,g
水飞滤过后,两
黄皮果核,g
炒芥子,g
透明雄黄,钱5分
禹粮土,g
明阿胶,两
制珊瑚,g
活白凤仙梗,克
拌半日,None
燎去毛,None
生姜汁炙,"分,两"
白矿,分
生米壳,斤8两
防风,"两,克,分,g,钱,None,两半,钱半,钱2分,两5钱,钱5分,千克,寸,斤,双,株"
发团,两
既净,None
赤足蜈蚣,条
分为小块,None
生犀角屑,分
