雄黄,"克,分,钱,g,两,None,斤,钱5分,份,钱半"
用川椒末,克
即以药罂中热汤添之,None
炙草.,g
买花粉,g
同炒黑,None
春夏浸,None
建莲肉,两
鸡子清,None
又破作,片
蔷薇根,"克,两"
羊靥,枚
去水,None
五灵脂,"钱7分,g,分,None,两,克,千克,钱,石,两半,斤"
蚌粉,"None,两"
生羌活,两
以盐,两
豆霜,钱7分
焦茅术,钱
鹰条白,两
牛膝大,斤
炒葶苈子,g
酒煮蜡,两
川乌补,g
地骨皮,"None,两,分,克,g,钱,两半,两5钱,石,钱5分,升,两3分"
漆头芦茹,两
香蕉粉,g
牡丹根皮,克
豮猪胆汁,钱
炒令香起方得,两
炒车前,钱
卜子,钱
拣去皂角不用,None
入定锅内,克
木猪苓,两
兑黄酒,斤
澄清去水,两
榆皮,None
天南星,"两,None,克,斤,钱,g,片,个,两半,分,钱5分,钱半,两5钱"
麦门冬煎大,升
去灰,None
古文钱,两
参三七末,g
蜈蚣,"两,条,g,钱,None,枚"
川厚朴,"两,克,g"
鲜扁豆花,None
生晒术,钱
粉甘草,"两,None,克,钱,两半"
台麝香,分
荷花,None
闾茹,克
笔管草,None
芪椒,g
白茯神,两
红娘子,"枚,两"
烂石膏,"两,分"
制玄胡,g
以瓦盖顶,None
同于铜铛内炒金铃子赤熟为度,None
芡粉汁,None
巴吕霜,g
蜀漆甘草,两
加亲水性软膏基质,g
紫草茸,"两,克"
佩兰梗,g
甜竹茹,两
枫荷梨,g
观音莲,两
入于胆内,None
盖,克
黑白牵牛,None
旱莲草,"克,g,两半,钱"
姜制厚朴,"两,克"
把,"两,None"
老人牙灰,个
淬生姜自然汁半碗,None
炒八角,克
腊月猪血半合,None
氢氧化钠,g
苏木末,"None,克"
龙骨,"两,g,钱,分,两半,None,千克,钱半,克"
蜗牛壳,钱
竹沥,合
白螺蛳,None
明沙参,g
金银花,"克,-20克,g,钱,-60克,None,-30克,两,斤,分,两1钱"
寮刀竹,g
枙子,g
深黄或淡黄土褐色,钱
蒲黄,"None,两,钱,克,g,石,两半,分"
半醋浸,None
乌鸡粪,两
醋煮黄色,None
半夏曲,"克,两,None,g"
裹,None
生鲫鱼,尾
白艾灰,两
茯苓,"两,斤,钱半,None,克,g,钱,两半,分,钱5分,石,钱2分,铢,两5钱,～9克"
绿茶,克
小枣,枚
盐水制,克
味一处于炒罐内,None
神曲,"钱7分,两,g,克,钱,None,分,钱半,斤,钱5分"
千年健,g
川苦楝,钱
炙去毛狗脊,钱
采取阴干,钱
紫皮大蒜,只
味用麸,升
茜草,"克,g,钱,None,两"
铅白霜,"钱,两,分"
蜗牛,"个,-7个,钱,分"
床香,g
小白菜,克
京牛黄,分
炒牛蒡子,g
生葛根,合
瓦松,None
芦根大,斗
苦楝根,None
蒺藜,"两,两半,克,g,None,钱,分,石"
用麦门冬,克
川乌,"两,钱,两4钱,克,g,石,None,只,两1钱,两5钱,两半"
经霜桑叶,"张,None"
宿姜,"克,两"
蓖麻子,"两,粒,克"
料酒酱油,None
肉豆蔻霜,钱
羊骨,克
炙甘草下,None
广香,g
生萸芪,g
者并作,None
炮川乌,g
沉香,"g,两,钱,克,钱半,两半,None,分,钱5分,千克"
老葱,"g,根"
锁阳,"g,两,钱,-3钱"
干艾叶,两
炸枯,None
血竭,"钱半,两,钱,克,g,钱5分,份,None"
菝葜,g
黄精,"两,g,钱,斤,克"
生蒲黄,"g,两,克,None"
生芪,g
盛锡盂内,None
加桔梗,None
腊肉骨,钱
朱砂面,钱
矾宁,g
鸡粪白,分
同炒焦,克
藩泻叶,g
江米,两
团粉,两
瓜娄仁,g
生清油,None
地黄汁,"升,斤"
生白矾,"g,分"
川药,钱
地肤子,"g,两半,克,钱,两"
核黄素,g
再研极细,"克,None"
韭菜子,"两,None,克,合,钱"
白梅花,"两,g"
同于银石器内上文武火炒令干黄色为度,克
泽泄,g
木防己,"None,两,克"
鸡血藤,"g,None,石,两5钱,两,钱,克"
生紫菀,g
鸡肝,克
新丁香,粒
紫花白术,两
川贝.,g
桑白皮,"None,两,克,钱,钱7分,g,-6钱,分,钱2分,斤,升,两半"
川附片,两
以生布绞取汁,斗4升
空破石,g
乌梅,"钱,钱7分,None,两,克,个,两半,斤,g,分,枚"
劈成薄片,None
干木瓜,"钱,两,克"
取出切片,None
共取末,两
黄柏根,分
阴干,None
银消,钱5分
豨莶草,"克,g"
盐腌,None
生麻黄,"克,g"
炒酸枣人,g
蓝花,两
葱姜,None
台白术,两
上用老醋浸,None
白竭,g
真珠末,分
甘草,"两,分,None,克,钱,g,千克,两半,钱半,斤,钱5分,两5钱,钱7分,两7分,石,份,钱2分,两1分,斤8两,铢,寸,～6克"
真新绎,钱
捞而弃之,None
再用稻草包紧,None
糖霜,两
臭牡丹根,两
代赭石,"g,None,分,两,两半"
葛要,g
熟矾,分
杵为末,None
生鸡全,g
生甘划,g
香鼓,g
三丑,g
北沙参,"g,两,克,钱,石,分,两3分,None,两半"
用竹刀刮,None
千岁葛汁煎大,升
兑细料粉,None
胡金,石
蒺黎子,分
猫人参,g
虎骨,"两,钱,None,克"
取汁浸米,None
藜芦,"None,分,两"
真鹿角胶,克
河水,升
金礞石,两
葱尖,茎
胡芦巴炮,None
石茱萸,两
白英,g
白豆蔻肉,钱
羊脂,块
川芎l,g
玄胡素,克
栀干,g
大独头蒜,个
猴孙骨,两
山楂,"两,g,克,钱半,钱,None,斤,钱7分,升,钱5分,分,粒"
沥青,"两,None"
沉香曲,g
枫子肉,克
金铃子肉,钱
炒令紫色,None
理中汤加炒川椒,粒
密佗僧,"分,g,钱"
炒干,None
制僵蚕,"g,分"
猴头菌培养物浸膏,None
麦糵,"两,分,钱"
姜汁厚朴,克
金蝎,g
炒山楂,"None,g"
白滑石,钱
秋实,g
去头尾尖处,寸
使君子仁,"克,个"
水洗,"斤,None,两"
归脾汤加柴胡,None
以好醋煮,None
清油润透,None
一半熟,None
皂子大,None
球根,～4粒
铤,None
牛黄,"克,钱半,钱,钱5分,分,两,None,g,铢,字"
荜茇,"钱,两,克,分,None,g,个"
蛰虫,g
藿梗,"两,g,钱"
鸡子黄,"g,个"
南乳香,钱半
川厚朴钱半,None
不,None
净称,两
真柿霜,两
公分,None
生牛膝,g
真西琥珀,None
再捣,None
米醋浸,None
盔沉香,钱
西砂仁,"两,g"
放冷打开,None
怀牛膝,"克,g,钱,两,石"
土穴,None
生鸡内金,"g,钱"
败龟,两
不蛀皂角,"梃,None"
制厚扑,g
二五味子,克
厚朴,"g,None,钱,克,分,两,钱半,～24克,斤,两2钱,钱5分,两半,两4钱"
同艾滓,两
白明矾,两
荠菜花,g
三七参粉,g
红枣肉,枚
枫树果,g
羊腰,克
瓜苡仁,g
冬瓜皮,"钱,克,g,个"
香附米,"斤,两,分,克,None,钱"
火麻仁,"两,两半,克,g,合,斗,千克,石,升,None"
取头末,"钱,两"
野白术,两
皂荚仁,两
黄榔刺树根,两
菊花,"两,克,钱,g,None,分,斤,两半,两5钱"
蓝叶,"分,克"
云茯苓,"两,g,钱"
茅术须,克
瓜硝,钱
木香,"两,钱,钱7分,None,分,克,g,钱半,两6钱,两5钱,-10克,千克,斤,两4钱,两2钱,两1分,钱5分"
大麦糵,"两,钱半,升"
山菇,g
深土坑中,None
水蛭粉,g
去茱萸,None
沙宛子,g
烧通赤,None
阳起石,"两,两半,None,钱"
滤去滓,张
再就北人始识之,None
草川乌,g
再化开,None
水飞过,"None,两"
醋青皮,"两,g"
花椒子,粒
川牛藤,g
灭滴灵,g
苦参皮,钱5分
炒使君子,g
潞参,g
柑子根,两
雄鼠骨,"付,None"
算盘子根,g
野狐肝,两
儿茶,"钱,克,g,None,分,两"
%冰片,g
厚朴花,"钱,克,g"
生麦门冬,"克,升"
四物汤加川乌,None
炒三棱,g
代代花,g
灶杜仲,g
研极细,None
干柿,None
柴胡,"克,分,g,钱,两半,None,两,两5钱,两2钱,升,片,石,钱5分,寸,～9克,斤,份"
江芪,g
去白衣亮,克
川牛膝,"两,钱,克,g,None,钱5分,两5钱,钱半,斤,两半"
九菖蒲,两
海螵蛸末,克
狗脊,"两,g,None,克,分"
煨至纸尽为度,None
羊蹄,"两,None"
川芍,两
以净为妙,None
纸包,两
盐花,两
再炒热,None
栀仁,两
蝉花,克
杀丹,g
酒酒蒸,None
生半姜,g
五灵脂膏,g
天花粉,"两,钱,g,钱2分,克,None,两5钱,两半,石"
制附片,"-60克,g,克"
鱼鳔,两
两,None
板蓝根,"g,克,两"
藿香,"两,None,克,钱,g,石,两半,分,钱5分,斤"
取出放阴地上,None
再涂蜜晒,克
生甘草,"钱,两,克,分,None,g"
柳酸,g
建茶,两
甘草流浸膏,ml
醋丝瓜络,g
乌麻仁,两
西瓜霜,钱
炒黄,None
猫头骨,具
老桑枝,g
坎期,条
焦槟榔,g
及热切之,None
大枫仁,None
焦栀,"None,钱"
金钱白花蛇,"条,g"
饭党,两
罂粟壳,"两,g,None,钱半,克"
大麦蘖曲,克
豉心,合
煮极烂,None
赤皮葱,茎
前仁,g
构木白皮,合
吴白术,两
地黄汁半合,None
瓶,None
醋化,None
丹参`,g
另磨,None
白槟榔,"None,克,分,两,个,两半,枚"
《本草》中名鲤肠草,None
大丽参,g
黑脂麻,钱
生硼砂,"两,钱"
炙酥虎胫骨,钱
水煮熟,None
山楂核,"克,g"
人物汤,两
刺蓟草,斤
麦糱,两
三七粉,g
金瓜蒌,g
排草,钱
礞石,"克,两,g,钱"
尼泊金,g
不限多少,None
以皂荚水浸一伏时,None
怀庆熟地黄,两
酒蒸大黄,克
瓦楞粉,g
大瓜蒌,"个,枚"
度,g
麻子仁,"克,None,合,两,升"
再用生姜自然汁于银盂中浸一昼夜,None
青黛面,None
炙干姜,分
细生地,"g,钱,两"
苍耳头,克
量,None
收胶,None
血蝎,两
生荷叶,张
真绿豆细粉,钱
蒴翟,克
黄皮核,g
甘草水煮,克
刺力,g
生山楂,"克,g,None"
大胡麻,"g,None,克,两"
水香虫,g
蟾酥,"钱,g,None,钱5分,两,克,分,片"
代赭五,g
花胭脂,两
淮庆生地,两
以寸为度,None
蒌,None
瓷瓶内封,None
牛子,"钱,克"
贡桂,"两,钱"
缩砂木香,克
烧酒,"杯,None,斤"
海风藤,"g,克,钱"
南香附,克
钩屯,g
白寇仁,g
黄药子,"克,g,两"
用麸皮揩去油,None
置日中晒,None
三七面,g
红花,"两,g,钱,None,分,两6钱,克,石,份,斤"
凤尾草,"g,叶"
天龙丸,粒
麻绒,g
炒栀,钱
去油乳香,"钱,None"
用东流水浸,None
玄半夏,g
煅羊胫骨,钱
制川朴,"两,钱,g"
姜汁炒地黄滓,None
望月砂,None
白杨皮,"两,握"
粗布拭净,寸
白面,"钱,合,克"
葛花,"g,两,钱"
广皮红,克
制珍珠,g
胆矾少减,None
生管仲,g
生川军,g
青黛,"None,克,g,钱,钱半,两,分,石"
同炒焦色,None
磈润,钱
四,两
桑根白皮,"两,斤,分,两半"
雄大豆,两
鹤虱,"g,两,None,克"
用砂钵捣烂,None
生明没药,克
广荗,两
广砂仁,两
鹰粪,钱
草乌,"克,两,个,g,None,钱,两1钱,钱半"
同半夏先用水浸三日,两
同炒后,None
胃,g
泽兰叶,"两,钱,克,g,两2钱"
制磁石,g
丁香皮,两
三七,"克,None,g,两,两5钱,钱,斤"
白杨枝,"g,两"
并以桑柴火煮,分
慎火草,"克,两"
以淫羊藿拌浥,寸
拣丁香,两
连心麦冬,克
炒术,None
醋拌,None
用水澄去沙石,克
以尽为度,None
去芦净,两
焙诃子肉,g
大蓟根,两
紫苏青皮,钱
干黑木耳,两
五灵胎,g
草菓,g
槐角,"两,克,g,钱,None,两半"
菊叶三七,g
独活,"两,克,None,钱,g,分,钱5分,钱半,两半,斤"
尖槟榔,g
干蛇头,个
川巴戟,"两,克"
炙鸡内金,g
益智炒过一半,None
猺桂心,两
紫檀香,g
泔浸,克
糠油,g
草决明,"g,两,两半,两1分,None,克,钱,分"
香排草,克
两细辛,两
种,None
母姜,升
滇三七,g
蜒蚰,-7条
用竹沥浸拌,None
宿取出,None
鸡苏散,g
白土,None
橄榄,克
青蒿苗,两
夏枯草,"克,钱,g,份,石,None,两"
江茶,None
制穿山甲,g
外盖纱布,None
钻,None
却于汤中炖,None
法曲,升
炒令烟尽,"None,两"
遍去涎,None
莲须,"钱,None,克,两"
生薏米,g
生发,钱
金钱草,"克,None,g,石"
煎至半碗,None
麸,"升,None"
合欢花,"g,钱,克"
姜皮,"钱,None,g"
好肉桂,钱
白马茎,两
白丁香,"钱,枚,两,克"
微火同炒,None
紫朴,分
栝蒌实,g
补骨脂乙醇流浸膏,g
米泔水浸,"None,两"
如急用,None
炙香附,g
清酒,升
草果肉,个
川苦楝子,克
一半用牙皂煎汁浸,None
没药当归,g
黄瓜根,两
欢花,g
伏时,None
绯帛子,两
黄精参,g
石胆矾,两
盐黄柏,"g,克"
米酒,"ml,克"
挂候干,None
大盔沉,钱
用雪水或秋露润透,寸
君子,钱
附子,"两,斤4两,None,两半,钱半,只,克,个,斤,枚,g,钱,分,片"
水龙骨,"None,克"
槐技,斤
以升麻叶对拌蒸,None
甜酒,None
入白蜜,"两,匙"
真鹿胶,斤2两
草果,"两半,两,钱,个,两3钱,None,克,g,钱5分,斤"
半枝莲,"克,g,None"
决明,"g,None"
风化石灰,钱
百草霜,"钱,克,两,g,None,钱半,升5合,分"
忍冬,两
双仁,克
制马钱子,g
好酒浸,None
浙母,g
为细末,None
酥油,两
牛虱,个
锡灰,None
黄松木节,克
尖双仁,"None,两半,两,分,枚"
每个切作,"块,片"
白荸根,g
五加皮,"两,克,g,分,两半,钱,None"
砂罐内醋煮极熟,None
生姜汁拌,两
鲜泽膝,g
藕汁或萝卜汁磨京墨,None
泽漆,g
冬葵子,"克,钱,None,g,两,合,分"
鲤鱼皮,"分,两"
拌溲作饼子,None
生姜汁,"合,升,毫升"
石韦,"克,分,g,两,两半"
薏苡根,两
面针,g
大栀子仁,None
炒木香,g
纳蜀椒,粒
元参心,克
莲心,"两,克,钱"
取出细研,None
去巴豆并麸,None
蜜炙麻黄,g
梨皮,"克,g"
五谷虫,"个,分,枚,g"
灯心灰,分
炒金铃子,克
山药,"两,分,None,克,钱,g,两半,升,钱5分,钱2分,石,份,钱半,两5钱"
鲫鱼,枚
又入青盐,两
天竺黄,"g,两,钱,分,克,钱半,斤"
水獭骨,两
黑山栀子,None
白枯矾,None
米泔浸三宿,None
茶,"g,两"
红豆蔻,"g,分,两"
竹猥绥,None
牡蛎海藻,g
松节油,None
拣参,两
童尿浸一宿,克
大风子仁,g
老杉木,None
栢子仁,两
川当归,"两,克"
木馒头,g
姜汁浸,"None,两"
天南星末,钱
釜下墨末,None
壮蛎,g
苟杞子,g
鸡金,g
人参皂甙,g
枣叶,两
鲜竹漓,g
再添,None
紫胡,g
麸炒熟,None
山萸,"钱,None,钱半"
大麻子半合,None
炒紫胡,g
肉苁蓉,"两,None,两半,g,分,克,钱"
正梅片,分
清甘草,g
焦枳壳,"None,g"
以生姜,两
放冷,"None,两"
皂角水,盏
煮,"升,None"
碧五散,g
蛇含,枚
风化消,钱
鹿角霜,"g,None,两,钱"
黑牵牛,"两,钱,None,克,千克,合,个"
干全蝎,分
以透为度,None
杜仲,"两,两半,克,None,两6钱,钱,g,分,钱半,两5钱"
细锉,"None,寸"
马齿菀,g
川槿皮,克
干荷叶,None
山川柳,两
候锡成灰,None
北枣,斤
炒紫苏子,g
如无生者,None
别捣末,千克
匾蓄,"克,g"
羚羊角屑,"克,分,两,两半"
如无真者,克
苏叶,"钱,克,None,两,g,斤,钱5分,分"
制桑皮,钱
白附,g
生姜葱白,None
香附,"g,份,None,钱,两,克,钱半,斤,千克,钱5分,两8钱,两半,分,两4钱,-10克,双,合,～7粒,两5钱"
活性酸乳粉,g
荆芥两半,None
细盐,None
萆薢,"两,None,g,分,克"
全蝎子,个
果黄,g
日焙干,None
劈开心黄如金色为度,None
橘饼,克
浮萍草,"g,克,两,None,钱"
胡连,"钱,g,两,克,分,None,两半"
化学发热剂,g
红塘,g
香薷叶,克
鸬鹚粪,None
铁苋,g
仙茅,"两,g"
切作寸许长,None
胶布固定,None
铁丝威灵仙,g
花蕊石,g
刃克,None
将半夏银石器内,None
毕茇,g
微火慢慢焙之,None
盐水浸,None
候冷,None
料,None
黄芪,"两,g,克,分,None,钱,两半,钱5分,合,两1分,钱半,钱2分"
通城虎,g
九制炉甘石,g
椰子油,钱
白细辛,钱
炙柴胡,g
白头翁,"两,g,分"
血通,g
大麦,g
河西米,升
健猪前蹄,对
真蜜,斤
五味手,None
紫珠草,g
将豆摒去,None
马梅,g
通明乳香,两
研烂,None
？？芦,枚
用米醋淬,None
木蜡,None
川木香,g
北艾叶,None
黑木耳,None
归须钱半,None
寄奴,克
没石子末,分
中有子,粒
生南瓜,g
酒黄芩,"钱,g,分"
炒槐花,钱
生艽,g
雄蚕蛾,"两,克"
黄杨木,g
艾尽为度,None
黄连粉,g
马齿苋,"g,克,两"
鼓子花,两
梗叶,分
明乳香,"克,g,分"
柴胡皂甙,g
南芎,克
松节,"g,钱,两"
江子霜,两
炒荆芥,g
苎根,两
煅瓦楞子,g
皂草刺,g
枯米,g
地黄煎大,升
黄狗脂,None
火消,"克,钱5分,两,钱"
炒吴茱萸,g
乳癖消,None
北柴胡,g
青柏叶,两
豮猪心,个
当归尾,"克,分,g,钱,两2钱,～15克,升,None,两"
姜汁涂,None
捣为粗末,None
白蜜半盏,None
以上锉,None
略去白,None
小红枣肉,两
苍术,"钱,None,克,两,两半,分,两2钱,斤,g,钱5分,钱2分,钱半"
生苡米,克
炙微赤,None
柏木白皮,两
红曲,"克,两"
蒸米,斗
盔沉,"钱,两3钱"
炙甘划,g
令阴阳气相入,克
胆矾,"分,None,两,钱,克"
鱼脑石,"g,粒"
川槿皮乙醇流浸膏,g
一支箭,g
芸苔子,分
天雷石,None
入后药中,None
昆布海带,None
川谏子,g
灸乳香,g
桂花,"钱,克,两"
崩碗,g
炙没药,"g,None"
黄芩,"两,克,分,g,两半,钱半,None,钱,重,钱5分,钱2分,两3分,铢,～9克,斤,两4钱,两5钱,两1分"
京红粉,钱
雌黄,"分,None,g,两"
香加皮,g
稍干,None
牙皂角,两
柳枝,"斤,g,握"
焦三仙,"克,钱,g,钱5分"
存油,None
用降真香,克
甜瓜蒂,"None,钱,分,个,克,-7枚,枚,两"
好漆,升
川椒红,两
通死根,两
锉片晒为末,None
澄去酒醋,None
急性子,"克,g,钱"
桑叶l,g
放信于池内,None
赤勺,g
荷包草,g
麻鞋,None
酒酿,斤
活蚯蚓数条,None
炮作饼,克
广茂,"克,两"
以上为末,None
蛇蜕,"条,g,两,钱,None,尺,寸"
瓜蒌皮,"钱,g"
红雪,"分,两"
左右,None
底下燃之,None
白芨粉,g
棕皮,两
大风子肉,"钱,两,克"
干胭脂,"两半,钱,None"
石膏末,克
白蔹,"钱,克,g,两,分"
北方绵大戟不堪用,None
绢筛过,None
贯众,"g,～9克,两,分,克"
紫苏,"克,两,钱,None,分,钱7分,g,两半,叶,钱半,茎"
太阴玄精,分
炙桑草,g
先用吴茱萸慢火炒少顷,None
焙温热,None
透骨草,"克,g,两,斤,None"
蜜大,升
醋酸,None
腊月黑犍牛胆,枚
藁本,"g,克,两,分,钱,两半"
全草,g
鹅不食草,"克,g,钱,分"
椒,分
黄牛角腮,两
人参随宜,None
蟾头,枚
桑虫,条
槟榔春用,分
白豆蔻,"两,钱,钱半,克,两半,g,两6钱,None,钱5分"
天冬,"两,None,克,g,分,两半,钱,斤,两5钱,寸"
虾米,斤
干狗粪,None
醋炒艾叶,分
飞龙草血,重
同炒令赤,None
葫芦瓢,g
防己,"None,两,克,钱,分,g,斤,钱半"
去骨并头尾,厘
次以米醋,None
黎辣根,g
生龟板,g
庵闾子,两
桃花,两
益智仁同炒,None
罗参,克
菊叶七,g
桃叶,握
黄杜仲,两
汤浸,两
澄去浊滓,None
生巴仁,两
姜夏,"钱,钱7分,g"
盐汤浸,"两,分,克"
无姜,None
真茅山苍术,两
酒黄连,克
泥固济,None
嫩黄耆,两
去渣,None
墨大豆,g
楂曲,g
益母膏,"None,斤"
去芦梢,None
炒黄芪,g
用生蜜润透,克
枯矾,"g,克,分,None,两"
不灰木,两
炒赤色,None
以慢火焙燥,None
生地黄汁,"毫升,两,升,合"
地胆虫,None
人乳浸,钱5分
鸡内金金钱草,重
沙苑子,"两,克,g"
前胡,"分,None,两,钱,克,g,钱半"
山果子,None
余斤,None
半夏同为饼子,None
霜桑叶,g
桔,None
石楠叶,"克,两"
蝎蛸,分
山檀,克
苦楝子,"克,g,钱"
海粉,None
切作片子,"None,两"
蟾皮,g
生粳米,粒
三乙醇胺,ml
刀豆,g
去鳞鬣肠胃,None
同入慢火灰中煨令面熟,克
陈香橼皮,克
以樗根皮代之,None
于火上熬数沸,None
破开,None
用抱子处,None
鲜猪苦胆汁,ml
野艾,g
煨黄赤色,None
雅黄连,g
从蓉,g
木灵芝,g
一炒研,None
墨,"分,两,None"
虎杖,"克,g,None,两"
蛜,分
密陀僧末,两
以黑为度,None
七叶蚊惊树根,g
琥珀末,"g,None,石"
栗子肉上皮,两
潼木通,g
多年粪礞末,克
菌陈,g
窍,None
白石膏,"分,None,钱"
秦九,g
辽,味5钱
炼至滴水成珠,None
雄鼠类,g
没药面,g
川归,"克,None"
江枳实,g
连皮大腹,"None,两"
皂荚刺,两
樟脑,"g,None,钱,两,厘,克"
鲜竹叶心,克
大升,None
枳络,g
棘刺,两
汉防已,分
梅花片,克
鲜荷叶边,克
乌头尖,分
人中白,"钱,克,两5钱,分,两"
紫梗,g
土蜂房,None
半青葱管,寸
苣胜子,两
酒连炭,钱
上曲,斗5升
煨木香,g
去梗,两5钱
乌头,"合,克,份,分,两,枚,None"
半边莲,g
生莱菔子,g
赤者杀人,两
槟榔,"两,克,分,g,～10克,钱,None,钱半,枚,千克,斤,个,粒,两半,钱2分,钱5分,两5钱"
并纸裹,None
独蒜,两
木瓜,"克,钱,两,个,None,g,枚,两5钱,两半,斤"
杉木,两
石南草,两
贴敷患处,None
次用东畔当日壁土,None
防风根,None
大腹皮,"克,两,None,钱,g,分,～6克,斤,两半"
上以瓦盆盖密,None
干山药,"两,克,None,钱"
东楂,钱
桑枝,"斤,克,g,None,两5钱"
芩,g
三十,两
鸡蛋壳粉,g
炙黄耆,"两,克,None,钱"
煎取,升
生五味子,斤8两
芫荑,两
蜣蜋,分
龟板,"两,g,克,None,钱"
蟾蜍,"钱,个,g"
和匀,None
蚕砂,g
黄杨头,个
赤罽方圆,寸
生远志肉,两
春用黄丹,两
下花,叶
天麻,"两,克,钱,g,两6钱,石,None,分,斤,两5钱,两半"
炮附子,g
雪归,g
土炒白术,"g,克"
紫河车,"两,克,g,具,钱,None,个"
全蜈蚣,g
土瓜根,"两,两半"
麝香草,g
石榴花瓣,克
大槟榔,枚
海桐皮,"钱半,两,斤,克,g,分,None,钱"
防葵,"两,分"
地黄,"g,None,两,克,钱,分"
药焦黄,None
苏子,"两,钱,克,None,g,升,分"
黄鹰条,钱
瓜蒌实,"g,克"
广霍,g
煅龙牡,"克,g"
虢丹,"分,None"
败酱草,"克,g,两"
绵纸垫铁锅内,None
甜硝,两
捣饼,两
灸甘草,g
川楝肉,"钱,分"
炒延胡,两
脑香,两
詹糖香,两
防风两半,None
淘洗数多尤妙,None
狗肾,具
爵床,g
海马,对
砒朱,None
无槟榔,方
乌龙茶,None
湿团为块,None
提麦冬,钱
穿山甲粉,g
痢特灵粉,g
红花饼,钱
黄耆皮,None
水煮令芽出,None
炒苍术,"g,克"
鸦胆子,粒
果仁,两
铛墨,钱
枯黄芩,两
生没药,g
铺夹纸,None
如壳,g
白芷l,g
艾叶,"g,钱,两,克,None,分,握"
伏时取出,None
杵成米,None
大麦粉,"两,钱8分"
生芡实,两
柏树细枝,两
熟苍术,None
水浸同炒燥,None
海参,"钱5分,克"
"生
姜",g
白鲜皮,"g,两,克,分,None"
连翘,"两,克,-15克,g,钱,千克,分,None,钱5分"
上己菜,g
干面粉,g
白及粉,g
京菖蒲,g
和如薄饼子,None
丛,None
以炭火,斤
鳖甲全个,None
剥核,None
猪茯苓,g
奇良,"g,None"
肠,None
发灰末,None
石礞,None
青连翘,"钱,～9克"
/丹参饮;胃,g
锉细,"None,钱"
香薷,"两,g,None,分,克,斤"
鼠李根皮,两
井泉石,"None,两"
一百二,两
苎麻根,两
再用生姜自然汁搜成饼子,None
牛奶,克
蟹爪,两
锉片晒干,斤
削,寸
干薯蓣,分
又名红肉,None
鳖甲,"克,分,两,None,g,钱,两半,钱5分,两1分,片"
外以泥裹,None
陈小米,g
降香,"g,两,钱,克,斤,None"
白梅肉,-7枚
寒食面半匙,None
宽.银花叶,克
大豆卷,两
猪胆,None
桃枝,"两,斤,握"
酸枣仁,"两,分,克,两半,g,合,钱,None"
天,None
医用凡士林,g
建曲,"两,g,None,克,斤,钱"
砂仁未,克
炙令黄,None
朝脑,克
兰香草,g
茯苓大,斤
金丝矾,钱
青蒿露,毫升
酒母,钱
全丁香,g
薄荷,"两,g,None,克,钱,分,份,千克,斤"
佛茄子,None
机核,g
干地龙,"None,克,g,分"
茯芩,"g,分"
米泔浸炒,份
硌砂,钱
蒿本,"g,两"
用汤洗,两
淫羊霍,g
染胭脂,钱
乳没,克
甘青青蓝,g
涂生姜,None
水煮半日,None
家猪脂,钱
熊脂,两
用铁匣盛,升
炒谷麦芽,g
只将生者,None
犀角末,钱
夕,None
生姜制,None
鹿茸,"两,对,两半,克,分,None,钱"
炒莪术,g
入黄蜡,钱
白扁豆,"None,两,钱,克,g,～9克"
屁盘虫,枚
蜥蝎,枚
复方新诺明,g
小束,None
姜汁拌为饼,None
吹去灰,None
蒴嫩叶,g
罗卜子,两半
甘松,"钱,克,g,两,两半,None"
大扁蓄,两
胡桃瓤,两
开麻,g
土炒象皮,None
生于术,"g,钱,钱5分,克"
猴枣,分
左旋牡蛎,钱
鸡冠花,两
指已来,None
烧令通红,None
酒川军,g
硝石,"两,g"
如指大,None
玳瑁花,g
松香脂,两
醋炙文术,g
骨碎补,"两,钱,g,None,叶,克,斤"
川芎末,钱
摊在碗上,None
石决明,"两,两5钱,钱,克,None"
鹭鸶涎,钱
白花蛇舌草,"g,克,重"
酒,"None,升,毫升"
赤蔹,None
穿山甲,"片,克,None,两,g,钱,两5钱,分,钱半"
白泡参,g
鹿鞭,具
生鳖甲,"克,钱半,g"
梗,千克
安于密甑中,None
一方无白术,None
槐胶,两
白葱,None
忍藤,g
炒白盐,钱
归掌,两
味同炒令紫色,None
生木瓜,颗
醋柴胡,"钱,g"
刷洗净,None
炙桑白皮,g
桂枝汤加当归,None
独活l,g
兔脑,个
黄乳香,克
京三桂,克
荆芥,"None,两,分,钱,钱2分,克,g,两5钱,钱半"
杭白药,g
绵黄耆,"克,两,None"
向火煨之,None
鲜荸荠,g
旋覆花,"钱半,克,g,两,合,钱,None,分"
江花,g
炒乌药,g
黄泥固济,None
木通梢,两
生水蛭,"克,g"
同浸横纹甘草末,两
焊菜,g
腐皮,克
阴证用,克
热地,克
火毒不尽,None
吴荣茯,g
鸡爪三棱,"两,分"
食盐,"克,None,钱"
鲜鸡血,碗
马尾连,"钱,g"
海浮石,"克,None,钱,g"
白糖霜,斤
焦摈榔,g
山莱萸,克
乌骨,g
龟版胶,g
榴皮,g
紫参,"两,g"
白干葛,克
黑豆衣,g
去白衣壳,钱
生铁虎,g
湿纸包,千克
雪上一枝蒿,g
去滑,两
水杨酸甲酯,g
乳香末,克
片子姜黄,"两,克"
附子<炮,克
管仲,"分,两"
黄米,钱5分
朱芩,g
莨菪,合
鸡蛋壳,None
黄鳝藤,g
