雄黄,"钱,两,克,None,分,g,钱半,斤"
龟板胶,None
苏合香,"克,g"
鸡血藤,"g,克"
丛枝蓼,g
削去黄薄皮,None
半合,None
左右,克
修事拣去双叶者,None
仍锉,钱
其第,None
生没药,钱
繁缕,g
艾叶,"克,g,None,钱"
芒消,"钱,合"
沧盐,两
昆布,"分,None,钱,g"
白鲜皮,"两,分,g,克"
连翘,"克,g,None,钱,两,分,寸"
京赤芍,克
鹿角,克
莪术,"两,钱,g,None"
詹糖香,两
槐花,"分,g"
蛤壳,None
南沙参,g
锉细,None
香薷,"钱,g"
鼠李根皮,两
井泉石,None
鳖甲,"两,g,分"
龙涎香,g
蒌青,g
钱,两
广郁金,g
牛胆星,g
熊脂,升
薅田藨,g
深红琥珀,两
鲜百合,克
再将好酒,千克
降香,"克,g"
白石英,"两半,钱"
肿足蕨,g
全瓜萎,g
檀香末,钱
熟地,"两,None,克,两5钱,钱,两半,g,分,石"
绿升麻,分
瓜壳,g
以黄土,两
大豆卷,"两,克"
通明朴消,两
酸枣仁,"g,两,分,钱5分,克,钱,None,合"
建曲,"克,g"
炙令黄,None
年者良,None
搜下项药,None
公丁香,"钱,枚,None,克,g,两,分"
干地龙,g
苦地丁,"g,克"
小麦,"升,～15克,克,g"
珠茯神,g
真豆粉,克
挨次将松香拌浸透,None
酒拌,"克,None"
龙胆草,"钱半,两,克,分,g,None,钱"
纱罗罗之,None
通草,"g,钱,None"
倾入在坑内,克
山萸肉,"两,g,克,None,斤"
白扁豆,"g,两,None"
莲子草汁,升
生绵耆,钱
甘松,"钱半,g,两"
生姜片,g
生于术,钱
川雄黄,两
海,None
硝石,"千克,g"
仙鹤草,"g,克"
玄明粉,"g,钱"
蜜入银石器内与半夏末和熬,None
覆盆子,"两,None,g,克"
生石决明,g
紫草,"g,钱"
炭灰,升
马兰头根,g
红屯,g
砂仁,"两5钱,钱,克,None,g,两,粒,分"
得油,克
白花蛇舌草,"g,克"
北梗,两
瓜蒌仁,"g,None,两"
洪连,g
木香甘草,克
生鳖甲,两
人参,"None,两,克,钱,钱5分,两5钱,分,g,斤,～6克,两半,钱半"
生川乌,克
杵细,两
酒知母,克
乌梢蛇,"None,g"
醋柴胡,克
人中黄,两
甘桑椹,克
竹远志,g
生玳瑁,两
血苗灰,两
钟乳粉,两
香菇,g
绵黄耆,None
全车前,g
咸虫下花草,g
炙地龙,g
莽草,"None,克"
海蛤粉,两
野葛,克
饭上蒸过,None
虻虫,两
炙黄芪,"g,克"
淡竹青皮,分
海浮石,"g,None,克"
炙甲片,g
新罗白附子,两
肉豆蔻,"g,两,个,枚,分"
斑螫,None
苦参,"None,g,两,钱"
熟枣仁,g
不用洗,None
鹰不扑,g
鲤鱼,头
猫屎草,g
大风子,"g,两"
油归,钱
麦芽,"两5钱,g,None,升,钱"
生酸枣仁,g
红苑布柏,g
忍冬藤,g
谷精草,"两,None"
陈仓米,克
使君子肉,钱5分
马鬐膏,升
以炭火拥定,克
赤芍,"克,两,g,钱,None,两半,分"
酒归尾,钱
净蟾酥,钱
漉出黄连,None
陈皮,"None,两,两5钱,克,g,钱,分,钱5分,铢,斤,两半,钱半"
没药,"两,钱3分,克,g,钱,钱半"
腊茶,钱
麻油,两
铅霜,"克,分"
皂角,"两,挺,克,None"
枳壳,"两,克,g,钱5分,分,None,钱,两半"
粟米,"合,升"
阿胶,"两,克,g,None,两5钱,分,钱"
酒洗,两
艾青,两
甘草节,"克,钱"
滤去砂石,两
酒栀仁,None
生白矾,两
六一散,g
铜绿,"钱,克,分,g"
香油,两
欢皮,g
加白砒,两
夜明砂,None
明雄黄,"钱,两"
铅白霜,"克,两,钱"
何首乌,"None,克,g,两"
刮去腹中物,None
炒甘草,两
灯心缠缚,None
淡豆豉,"合,g,克,None,升"
大草乌,克
鲜墨旱莲,g
醋淬,"两,None"
大茴香,"克,钱"
硇砂,"钱,两"
大青叶,"克,两,g,分"
白龙骨,"分,None"
川丹皮,克
银箔,"帖,片,g,None"
入先洗猪肚内,None
淫羊藿,"g,克,钱"
土茯苓,"g,钱,克"
上肉桂,两
农吉利,g
真银箔,片
天南星曲,克
川姜,"两,-1两"
生麻油,升
青皮,"钱,两5钱,克,两,g,None,分,枚,钱半"
痕芋头叶,g
冰糖,两
杜若,两
虎胫骨,"两,对,钱,克"
涂酥,None
水银,"克,两,钱"
大附子,两
羊肉,g
水芹,g
辛夷花,g
再换水煮,None
金箔,"片,帖,张,None,～7片"
用生姜,两
蜂蜜,None
水蛭,g
樟丹,"克,None,两,斤"
绿豆粉,两
同生姜,None
酒浸,"None,两,克"
盐小茴,克
浮小麦,"克,None,g"
贯众,g
熊胆,"钱5分,钱"
蜈蚣,"分,条,g,对"
制附子,g
薤白,"g,茎"
滑石用青色者佳,None
芦根,g
白矾,"克,两,None,两半,g,钱"
蔓荆子油,升
双钩藤,g
以湿纸裹煨,None
炒药麸,钱
苏珍珠,g
桃红,g
小蓟,g
捶破,None
石斛,"g,克,两半,None,两,分"
珍珠母,"g,两,None,石,克"
苋实,g
白芷,"两,g,None,分,钱,克"
上好片松香,斤
生地黄炭,g
鸡蛋,个
川归身,两
珠远志,g
制半夏,"克,g,分"
海狗鞭,具
合欢皮,"两,克,g"
米醋淬,None
生阿胶,钱
当归身,"两,克,钱,g"
菜菔子,g
黄花猛,g
灯草灰,克
白酒,ml
去炭,None
巴豆半粒,None
夜交藤,"g,两,克,None,合"
用药同水酒入银石器内煮半日,None
新莲肉,两
芍,g
炮裂,"两,钱半"
细木通,克
鸡苏叶,两
扁蓄,g
桂枝,"克,两,g,None,钱"
大枳壳,克
菜油,斤
骨碎补,"g,钱,两"
芦荟,"g,None,钱"
白芥子,"两,g,克"
元胡,"g,两,克,钱,None"
火煅,None
生锦纹,克
原麦冬,克
黑小豆,升
滤,None
核桃仁,"两,None"
苁蓉,"两,钱,克"
党参,"两,g,克,-30克,None,升"
蜂蜡,"g,克"
鲤鱼肉,斤
枇杷叶,"克,g,斤"
怀牛膝,"g,钱"
硫黄,两
雷丸,None
随风子,克
北大黄,钱
磁珠丸,g
古子花,两
花生叶,g
益智仁,"钱,克,g,斤,两半,两,None"
波斯盐绿,分
木鳖子,"两,枚,None,克"
真麝香,"钱,字"
生白龙脑,两
防风风,g
羚羊血,钱
寒食面,"两,钱半"
干姜皮,克
代赭,"g,分"
易,None
拉拔过,None
生甘蜡,g
倒挂者亦得,None
茎柔根细,None
炊久,None
小茴香,"两5钱,两,None,分,克,钱半,钱"
醋淬至碎,None
密蒙花,两
杭萸肉,钱
黄芩,"克,None,钱,分,两,g"
胡椒,"None,两"
郁金香,克
真铁粉,"None,克"
山栀子,"分,克"
生龙齿,g
野菊花,g
五苓散,帖
桂圆肉,"g,克,钱"
姜黄,"钱,两,g,None,克"
密陀僧,钱
秦艽,"两,g,克"
建莲肉,克
海金砂,克
明血珀,分
青礞石,g
晒参,None
附片,"g,克"
薇衔,分
干生地,克
瞿麦,"钱,g,克"
干漆,"两,分,None"
假子素,g
寸香,分
乌药,"克,钱,None,g,两,钱半"
拧油去滓,None
狗胆,两
枯白矾,钱
制马钱子末,分
香墨,分
地榆,"g,None,两,分"
炙干,None
乌鸡骨,具
鬼臼,克
煅甘石,两2钱
龙齿,"g,钱,分,None,两,钱4分,克,合"
白人参,克
可将松香熔化,None
如不能,个
川木通,"克,两,-6克,g,钱半,None,两半,钱,石"
百分之,g
甜瓜蒂,"g,钱,克"
小枳实,克
研为膏,None
络户绵,钱
元武版,两
犀角屑,"两,克,分,钱"
黄药子,g
炒益智仁,两
皂角刺,"个,两,g"
藕节,-30克
候水尽为度,None
青蒿,g
岗梅根,g
椒目,"两,None"
炙五味子,g
用酒浸,None
上四六,分
周围用火拥定,None
蚯蚓粪,升
勿令走气,None
低榆炭,g
全蝎末,g
紫诃车,g
炒山栀,克
交龙木,g
茯苓皮,克
川乌头,"两,克"
飞琥珀,g
百合,"克,两,g,None,分"
赤勺,"None,g"
圆肉,两
竹叶,"g,升,握,None"
青木香,"克,g,两"
生地,"两,钱,g,两5钱,None,～9克,克,分,斤,合"
苏梗,"g,分,克"
麻绒,钱
白晒参,g
糯稻米根,g
琥珀,"g,钱,两,克,钱4分,None,钱3分,分"
石榴枝,g
下南星在坑内,None
鼠妇虫,个
取出晒干,None
金樱子肉,钱
煅七次,None
生蒲黄,g
水浸,None
菊花,"两,克,g,合"
青葙子,两
欢,g
再加红蜜,两
淡竹叶,"克,g"
葱汁,None
糯米,合
炒地榆,"两,g"
小甘草,分
茵陈蒿,"g,两,分,克"
辰砂染灯心,支
不可多,None
槲寄生,"kg,g"
酒曲,g
胆南星,"两5钱,两,克,g,钱,None,石"
板兰根,g
胭脂,None
蛇蜕,"条,g,克"
白附子,"None,两,钱,克,两5钱,-1两,g"
灯笼草,g
白僵,g
白石脂,"克,两,钱"
泽兰,"钱,kg,两,g,None"
赤石脂,"两,克,g"
大腹,颗
蟾酥,"钱,g,克"
五倍子,"g,两,钱,重"
白茯神,"两,克,None,钱半"
草龙胆,分
酒当归身,克
莹白童便,毫升
如此以,None
金生墨,两
苇,g
己椒丸,g
蒸半炷香,None
白芨粉,-15克
西党参,g
红藤,g
牛na勒,g
防风甘草,克
姜皮,克
万年青,None
水渍,None
水灯芯,茎
酒黄柏,克
青黛,"g,两,None,克,钱"
酸刺仁,g
草果,"钱半,粒,斤,None,钱,两"
麻黄根,克
真茅山术,两
鲤鱼皮,两
同捣细作饼子,两
天竺黄,"钱,g,两5钱,两,两2钱,克,分"
大赤金箔,张
炒五味子,g
牛蒡子,"g,None,钱"
年深者良,None
泽泻,"g,None,两,分,钱半,钱"
独活白芷,克
