雄黄,"g,钱,两,分,克,钱5分"
氧化锌,两
太子,g
蛇莓,克
熟帛捩,None
虎耳草,克
川附子,g
常山根,g
龙胆草,"None,克,g,钱,两"
川厚朴,"g,两半"
甑,None
只将生者,None
白石脂,"两,钱"
白芷,"克,g,None,分,两,钱,两5钱"
十全大补汤加柴胡,None
鹿茸,"个,两,两半,钱"
鱼鳞草,g
削,None
金樱子肉,g
甘草节,"克,分"
蚕沙,g
午时茶,g
冶葛皮,两
\蚤休,g
白信石,分
款冬花,"g,两,钱"
化橘红,g
芜荑,"两,分"
天葵子,"克,g"
白丁香,"钱半,两"
细辛五味子,g
丹皮,"克,钱,None,g,分,钱5分"
甘松,"g,钱,钱半"
丹参,"克,g,None,两,钱,斤,钱5分"
咸竹蜂,只
胡桃瓤,两
又煎,None
常山茎,g
旱莲草,"g,两"
无灰酒,ml
糯米拌炒,None
佩兰,g
木瓜干,克
仙鹤草,"克,g"
玄明粉,"None,g,钱,分"
醋鳖甲,g
甜茶,g
覆盆子,"g,分"
甘李根皮,None
紫草,"克,None,g"
安痛藤,g
五灵脂,"钱,g,None,两"
同以水煮皂荚烂为度,None
石决明,两
白花蛇舌草,"克,g"
金银花,"克,g,两,None"
北梗,None
穿山甲,"两,克,g,None,片"
精移,g
蒲黄,"None,g,两"
地龙干,克
蒲公英,"克,g,～60克,None,握"
人参,"分,None,钱,克,g,两,两半,钱半"
半夏曲,"g,None,克"
射干,"克,None,g,钱,两,分"
轻粉,"g,分,None,钱,克,钱半"
橘核,"克,两,g"
铁器上熔焦,None
敲碎,None
蜂儿,两
又以生姜汁浸,None
蓖麻子仁,None
乌梢蛇,"g,两"
蕲蛇,g
千年健,钱
白英,g
制水蛭,g
南桂花,两半
石南藤,None
侧柏叶,"克,g,两,None,分"
单桃仁,g
谷芽,钱
防已,g
龙葵,g
不可浸雨,None
玉米须,g
钟乳粉,两
去前,None
绵黄耆,两
无花果,g
倍子,None
羚羊粉,"克,None,分,两"
绿升麻,两
金沸草梗,g
苍耳子,"g,None"
入后药,None
旋覆花,"None,g,两,克"
七叶枝花,g
瓜壳,g
蒺藜,"克,g,两"
生草乌,"g,None,两"
川乌,"g,克,两"
生水蛭,g
海蛤粉,"克,g"
蕤仁,"两,None,铢"
蓖麻子,"克,两"
香油,g
鹿角胶,g
只取附子为末,None
生石蟹,钱
广香,g
海浮石,"None,克,g,两"
炙甲片,g
野桑梗,钱
煨防风,钱半
沉香,"克,g,两,钱,钱7分,None"
树上鸣蝉,None
分作,None
紫参,"g,两"
飞面,None
白干葛,两
苦参,"克,g,None,挺,钱半,份,两,两1分"
麻油,"克,两,None"
血竭,"克,g,None,钱"
八月扎,g
苍术炭,分
黄精,"g,钱"
金果榄,两
零陵香,"钱,两"
猪琰子,个
甘菊花,"None,钱,两"
卷柏,"g,None"
焙脆,分
垂盆草,g
或加大黄,None
天仙藤,"None,克"
若无黄精,None
红娘,g
参鳖甲,g
团粉,两
白芍,"分,克,钱,None,g,两,钱5分"
麦芽,"g,None,钱,合,分,两"
蚕蚁,两
川莲仁,None
生鸡内金,g
地肤子,g
忍冬藤,"克,g"
南山楂,两
谷精草,g
竹茹,"g,分"
白梅花,g
石膏,"克,g,分,份,两,None,钱"
云苓块,钱
地榆皮,None
栀子,"克,None,g,分,枚,两,石,钱"
甘草十,两7钱半
木防己,g
甘草生姜,片
砚穿,g
干姜,"分,克,-60克,g,片,两,钱,斤半,钱5分,两半,None,斤,块"
银红,g
赤芍,"钱,None,克,两,g,两半,分,两5钱"
大蒜头,g
猪牙皂角,None
两边剜去,None
黄药脂,g
蛴螬,None
火丹草,克
陈皮,"克,None,钱,g,钱半,分,两,斤"
何首乌,"克,g,None,两,钱半"
桑白皮,"None,g,两,钱半"
柏苓儿,个
舌六谷,g
皂角,"g,两,挺,克"
乌梅,"克,g,钱半,两,枚,斤,钱"
枳壳,"克,钱,None,g,合,钱半,两,两半,分,钱5分"
阿胶,"分,g,两,None,克"
生乌头,None
干木瓜,两
蒌皮仁,g
绿梅花,g
郁金,"None,克,钱,g,两,分"
陈醋,合
鲜生姜,钱
川柴胡,钱
苔乌,g
天竺子,g
生麻黄,g
白胶香,None
全瓜篓,g
用麻油慢火煎,None
焦山楂,"None,g"
八角金盘,g
王不留形,g
猫爪草,g
淡附子,钱
桃仁泥,g
佛手花,g
制朴,钱
山栀浸炒,两
使君子,"钱,两"
夜明砂,克
归梢,None
明雄黄,钱
铅白霜,钱
生黄柏,g
鸽条白,两
再加滑石,None
炒三仙,g
代赭石,"g,None,石"
华拨,g
毛冬青,g
只炮,None
葛根面,None
火麻仁,"克,合,g"
鹿衔草,g
见巴黑色,None
煅月石,克
北沙参,"克,g,钱"
板槛根,克
川贝,"钱,克,None,g,重,两半,分,两,钱2分"
北五味子,钱
猫人参,g
生桑白皮,g
牛黄,"g,两,None,克,钱,分"
藜芦,"两,钱"
猪靥肉子,枚
楮桃儿,None
大茴香,"克,None"
栀子仁,"克,两,钱2分"
大青叶,"g,克,份,两,None"
从己至亥,None
净萸肉,钱
大蒜,枚
儿茶,"None,g"
白龙骨,两
韶粉,钱
白莲蕊,两
山楂,"钱,粒,克,g,None"
稆宫衣,g
淮膝,钱半
螃蜞菊,g
茨实,g
白沙蜜,斤
制僵蚕,g
律草,g
土茯苓,"g,克"
白雷丸,两
麦糵,"两,None"
血谒,g
湿党参,g
煮干为度,None
天麻,"两,-2两,分,钱,g,None,钱半,克,双"
炒山楂,g
取全翅足,None
鼠妇,"分,g"
候熔,None
川姜,-1两
紫茱莉根,g
青皮,"钱,克,分,None,g,合,钱半,两"
红藤,g
生熟地黄,钱
瓜蒌霜,钱
结砂子,两
虎胫骨,"None,钱"
决明,g
蛰虫,g
大白芍,g
涂酥,None
槲寄生,g
炒花生麸末,g
甘草汤浸,None
猪胰,具
蚵蚾,钱
橄榄,"石,g"
羊肉,None
王不留行,"None,g,钱"
苏党参,钱
炮猪蹄甲,g
辛夷花,g
炙水蛭,g
炒黄芩,钱
百草霜,"钱,None"
槐枝,厘
肥知母,g
白糖,None
蛇蜕皮,条
蜂蜜,"合,g"
水蛭,"g,None,克"
怀牛膝,g
炙首乌,g
紫菀,"None,两,钱,g,克"
樟丹,"g,两,None,钱"
捶碎,None
密陀僧,"钱,g"
麻黄,"克,None,g,两,分"
六梅花,g
厚朴,"分,克,两,g,None,钱,钱2分"
酒浸,"None,两"
凤凰衣,g
槐白皮,两
制没药,g
浮小麦,"克,g"
藏红花,g
五倍子末,克
苏木末,克
附片,"钱,g"
蜈蚣,"克,条,g"
生栗子末,两
火烧,None
冬葵,克
薤白,g
羚羊角屑,"分,克,两,两半"
香附米,分
瓜蒌,"克,个,g,None,两,分"
坚槟榔,克
白矾,"None,g,钱,两"
礞石,g
硇砂,"None,钱,两,分"
红糖,g
云茯苓,g
无鳞黑鱼,g
吴茱萸,"克,g,两,钱,None,分"
木香,"分,克,两,None,g,钱"
大麦糵,两
炮干姜,"g,None"
桃红,g
水蛭粉,g
石斛,"g,两半,两,分,克,钱"
炒芥子,g
醋淬七遍,None
阳起石,"两,钱"
炮山栀,g
生项间,None
昆布海带,None
蚱蝉,克
马兰,g
珍珠母,g
马牙消,分
防风,"克,分,g,None,两,钱,-12克"
藿香叶,"钱,两,None"
九蒸九曝,None
如此者三,None
机核,g
橙皮,None
罂粟,"个,钱"
老雄鸡,只
炙微黄,None
将皂荚汁滤去滓,两
紫珠草,g
玳瑁,g
飞黄丹,克
芦甘石,两
鳝鱼血,毫升
制半夏,"克,g"
研极细,None
栝楼实,g
柴胡,"分,克,None,钱,g,升,两"
大椒,钱半
加血竭,两
川牛膝,"g,None"
土别,None
百合,"g,钱,分"
菜菔子,g
毕澄茄,"g,两,钱5分"
狗脊,"克,钱"
金箔,片
白酒,～8000ml
黑桑椹,斤
建莲,钱
夜交藤,g
干茄根,g
常山,"g,分,两,None"
大腹皮,"g,两,克,钱"
三七末,g
因陈蒿,g
去浮者,None
苣胜子,钱
天花粉,"克,g,None,钱"
制附片,-60克
紫草根,g
大豆大,None
姜汁拌,分
余不用,None
扁蓄,g
羯羊胆,None
两,None
板蓝根,"克,g,None"
南木香,两
蛇六谷,克
入水银,None
鲜泽漆草,g
生甘草,"克,g,两,分,钱"
菜油,g
粳米,～100克
其血珀,钱
草蔻,克
芦荟,"钱,两,分,克"
22,克
白扁豆,"钱,分,None,两"
葫芦巴,两
大虾蟆,只
白芥子,"克,g,份,钱,两"
百药煎,克
佛手,g
元胡,"克,两,钱,g"
焦槟榔,g
火硝,"克,g,分,两"
砂仁,"克,g,两,钱,None,分,粒"
味药滓不用,None
猪苦胆,个
生地黄根,g
党参,"克,g,石,两"
川莲,g
石碱,None
熟干地黄,"两,分"
胡椒,"钱,分,两"
苁蓉,两
枇杷叶,"g,两,克,片"
淫羊藿,"None,g,克,分"
硫黄,"两,None,份,两半,钱"
大鳖,个
雷丸,g
鬼箭羽,g
鲜茅根,g
槐角子,钱半
拣出苦参,None
松节,"g,两"
瞿麦穗,两
鬼针草,g
益智仁,"g,两,None,石"
白槟榔,两
原书参苏饮,两
木鳖子,"None,两"
钩腾,g
大附子半只,None
丝瓜络,"克,g"
赤苓,"克,分,None,两,钱"
白鸡冠花,g
去钳脚,None
车前子栀子仁,None
红大戟,"克,g,两,None"
胡桃肉,两
丝瓜叶,份
橘叶,"克,片,g"
炒山甲,"克,g"
白芜荑,"钱,None"
三七粉,g
黛蛤粉,g
鬼前羽,g
用黄精自然汁浸,None
水银,"两,克,分"
焊菜,g
天南垦,钱
人齿,钱
木贼,"克,g,两"
陈酒,斤
蛤蚧壳,g
寻骨风,g
紫苏茎叶,克
桂枝,"分,克,g,None,钱半"
庵间草,g
琥珀米,g
白芷梢,克
布,g
汽油,两
小茴香,"g,None,两,分,两半"
苏梗,"g,克,None"
小豆花,None
芦巴子,分
黄皮核,g
土元,"g,克"
槟榔,"克,g,None,两,个,枚,分,钱"
生山楂,g
炙龟版,g
蟾酥,"克,钱,g"
青子芩,钱
倍,None
松香,"两,钱"
棉花梗,g
白牵牛,钱
失笑散,g
生绵芪,g
代赭五,g
酒泡,None
同于砂锅内,None
龙齿,"钱4分,两,g,两半,钱"
海风藤,g
青陈皮,g
蓖麻子肉,克
山栀子,"克,g,None,两"
红花,"克,分,None,g,石,升,两"
生芪,g
草豆蔻仁,两
尤海子,g
野菊花,"克,g"
焙干为末,None
钱子,None
桂圆肉,"克,个"
冬瓜子,"g,克"
龙骨,"g,两,分,克,钱半"
姜黄,"g,分,钱"
板兰根,g
白蘘荷根,两
海金砂,"克,g"
茜根炭,g
醋炙三棱,g
葛花,None
玄参,"克,None,g,份,两,钱,分"
青礞石,克
生菜油,g
青黛,"g,分,钱"
桃仁,"钱,分,克,两,粒,g,None"
牡蛎,"克,g,None,份,两,铢,钱"
空青,分
隶布,g
瞿麦,"分,g,两"
炒柴胡,g
干漆,"两,g,分,钱"
大麦冬,g
鹤虱,g
枳壳柴胡,g
乌药,"克,g,石,钱,None,两,分"
黑芥穗,克
90,None
枯白矾,"克,None,两"
救必应,g
麋角屑,两
臭黄,两
牡蛎粉,"g,分"
苍术皮,g
香墨,两
地榆,"克,g,None,分,两"
山药,"克,g,两,None,钱,分"
雄黄末,克
大茴香末,面
法夏,g
