雄黄,"钱,克,字,分"
茱萸,两
虎环根,g
青皮,"钱,克,两,g,分,钱5分,None,斤8两,钱半"
冰糖,g
牛黄,"分,钱,钱半,钱5分"
虎胫骨,"两,克"
荜茇,"两,分"
不犯铁器,None
以木甑盖好,None
涂酥,None
酒拌,None
猪肝,g
赤脚蜈蚣,条
刺三甲,g
大附子,"钱,个,只,None,克,枚"
旁用小锅烧滚水,None
龙胆炒至焦,None
王不留行,g
毋得间断火候,None
芎?,两
清酒,克
生牛膝,斤
槐枝,厘
商黄柏,两
白糖,None
蜂蜜,"斤,g,None"
水蛭,"钱,g,None,两"
怀牛膝,"两,g,钱半"
月内收取毛豆梗上缠绕红黄大者,None
烧,两
尖双仁,"升,None"
紫菀,"两,分,g,钱"
桂元肉,千克
樟丹,"两,千克,钱"
板兰根,克
麻黄,"两,钱,g,两半,～9克,分"
厚朴,"两,钱,克,g,None,分,斤"
酒浸,"None,两,分,钱,克"
依前煅,None
姜汁涂炙,None
浮小麦,g
菟丝子,"两,None,斤,钱,克,分,g,两半,～60克,石"
用无灰好酒,升
谷芽,None
下用文武火煅,None
刮去皴皮,None
水澄去浮,钱
制附子,克
炒黄芩,"g,克"
旱蓬草,None
香附米,两
瓜蒌,"两,g,None,克"
野白术,两
杵烂为丸,None
云茯苓,g
又用生地黄,两
木香,"钱,两,分,两半,克,钱半,None,g"
大麦糵,两
捣成饼,两
小蓟,g
扁豆叶,升
石斛,"两,两半,克,分,None,g,钱"
炒牛膝,克
桑木灰,钱
阳起石,"None,钱,克,g"
滤去滓,None
姜汁涂,两
华阴细辛,两
白盐,两
药末一处,克
鸡冠花,g
晾干,None
以酒尽力度,None
更捩汁银石器内,None
炙微黄,None
茅术片,g
防己,"两,None,g,分"
胡桃,"个,g"
海狗鞭,"两,对"
酒炒,两
柴胡,"两,g,～12克,克,分,钱"
大冰片,钱
木贼,"g,克"
川牛膝,"两,克,g"
青羊角屑,两
当归身,"两,克,两5钱,钱"
毕澄茄,"两,克"
狗脊,两
熟枯矾,钱
大盏,None
白酒,ml
一罂鹿角,None
银杏肉,两
常山,"克,两"
大腹皮,"克,g,钱5分"
明丹砂,钱
将肉横切,克
木防己,克
猪腰子,个
空青,分
川草乌,钱
低度白酒,ml
海桐皮,"两,g"
制附片,g
酒拌蒸,两
再入酒,盏
上桂,None
再用河水浸,None
鱼鳔,"两,g"
冬白术,～15克
山萸肉,"两,两2钱,None,钱,克,分,两半,g,石"
落藜草灰,斤
山椒,None
藿香,"两,g"
苍术末,None
生甘草,"克,两,g,钱"
粳米,"克,合"
夜浸昼晒,None
灯罩花,g
萝卜汁一盌童便二盅,None
以角酥软嚼碎为度,None
佛手,g
元胡,"两,g,None"
同橘皮,None
再蒸,None
诃黎勒子,两
生石决明,g
砂仁,"钱,None,g,枚,克,两"
川萆,克
核桃仁,两
石决明,g
党参,"两,千克,克,g,None,钱"
麝香随力下之,None
炒黄,"None,两"
熟干地黄,"斤,两,克,分,None"
苁蓉,"钱,两,None,分,克,g"
昼夜,None
淫羊藿,"两,钱,克,g,None"
硫黄,"两,钱"
闹羊花,两
雷丸,"分,两"
白樟柳根,克
羚羊角屑,两
皂角针,克
槐角子,钱半
山茱萸肉,"斤,两,g"
为末用,None
白亮鱼胶,两
益智仁,"钱半,钱,两,g"
木鳖子,"钱,克,斤"
赤苓,"分,两"
川通草,克
附子透熟软,None
红大戟,None
与川楝子一起炒黄,None
芦巴子,两
羊鞭胶,g
苦竹叶,两
截,两
雀卵,枚
代赭,两
肥红枣,g
怀生地黄,两
入所煮药内,None
保首乌,g
麻子仁,两
桂枝,"g,两,None"
田七粉,g
黄片,两
小茴香,"两,钱,分,两半,None,克"
研为泥,None
白薇,g
蛤蚧,对
胡桃仁,"斤,两,克,钱"
棘刺,克
夜交藤,g
沙苑疾藜,None
赤小豆,"升,个,克"
芒硝,g
郁黄,g
干即入酒中浸,None
大原生地,两
藏附子于中,None
芦根,g
龙齿,克
