雄黄,"g,钱,克,两,None,分,铢,钱半"
白砂糖,克
藏青果,枚
熟半夏,None
宽筋藤,g
丝瓜根,钱
肉蓉,g
去苗,"克,None"
川贝,"两5钱,克,两,钱,分,None,g,重,钱半"
北五味子,"两,g,None,钱,粒"
金蝎,g
真松萝,钱
黑铅,"钱半,斤"
焦艾,克
令生芽,"克,None"
赤脚蜈蚣,"条,两"
京王棱,克
核桃,"None,个"
芡实,"钱,克,g,两,斤"
心竹,g
金樱子,"两,g,克,None"
牛髓,两
生漆,钱半
炒酸枣仁,g
不见火,两
南玄参,两
山蓣,两半
穿山甲骨,两
白芜荑,"分,两,两半"
法制,条
滴水成珠,None
煅,None
真青黛,None
制骨碎补,g
炙附子,g
红藤,"g,-30克,-8钱"
炙穿山甲,克
石灰,None
蜀葵子,None
以白酒作引,None
厚丹,g
杨柳枝,g
鲜小蓟,g
去石,分
橄榄,"g,克"
亲,None
炙蕲蛇,g
麒鳞竭,克
山竹树皮干品,g
鸡冠花种,None
芎?,"两,分,钱半,None,两1分,斤,两半"
焰消,克
生大黄粉,g
槐枝,"钱,两,克,None,斤,g,握,条"
白糖,"两,斤,None"
白发一团,None
白矾灰,"两,None"
以水飞,两
紫菀,"g,None,克,两半,两,分,钱"
糯米酒,g
更入后药,None
大飞扬,g
焙燥,"两,None"
制没药,"钱,两,g,克,斤"
忍冬,"两,None"
苍耳苗,克
羚羊角屑,"分,两,克,钱半"
忍冬叶,g
米黄去米,None
用腊月黄牛胆酿,None
夏曲,钱
黑嘴白鸭,只
吴茱萸,"克,g,两,None,两半,钱,铢,分,粒,合"
麦芽谷,g
同厚朴,None
盐泥封固,None
黄皮果核,g
月宝砂,两
白蜜半合,None
真羚羊角,None
拌半日,None
马兰,None
生姜汁炙,"None,两"
乌梅肉丰两,None
防风,"g,两,None,钱,克,两5钱,分,-12克,钱半,～15g,千克,钱5分,斤,两半,斤8两,两6钱,升,方,两7钱半"
来苏儿,ml
鞭叶铁线蕨,g
罂粟,"g,钱,克,个,None,钱5分"
枫枝,None
紫珠草,g
楮白皮,两
人粪灰,分
生大黄末,钱
洗去蜜酒令尽,None
炙僵蚕,g
乙醇,"ml,毫升"
二陈汤加台芎,None
去头尾,None
土蜂房,None
制雄黄,钱
先煎,"None,克"
大腹皮,"克,两,None,分,g,枚,钱"
大杏仁,个
炒甲珠,g
用绿茶,克
空青,"分,两"
芰实花,两
覆花,两
滑石末,钱
钻风,g
炒苍术,"g,None"
一处烧成炭,None
伏火灵砂,两半
功劳叶,g
粳米,"～60g,g,合,克,None,两,升"
再煎,None
草蔻,"钱,克,g,两,分,枚,个"
榧子,g
扁豆衣,克
佛手,"None,g"
穿山甲片,g
锦地罗,"钱,两,g"
夜明砂,"克,钱,g,两,None"
留故纸入药,None
枯明矾,钱
生石决明,g
北梗,克
陈小粉,斤
旧枳壳,钱
白沙蜜,"斤,两"
蒜白,斤
调,None
熟干地黄,"克,两,None,斤,分,两半,两1分"
荠芥,g
榴皮,g
老人牙灰,个
黄米,两
枸杞根汁,升
槐角子,"两,克,None"
山茶花,克
明雄黄,"钱5分,钱,g,两,克"
牧童,g
赤苓,"两,克,None,g,钱,分,两半,钱半"
莶草,"两,g"
北硫黄,两
红大戟,"钱5分,两,钱,g,None,分,克"
野驼脂,分
黄精倍前,None
萆乌,g
再用酒调成膏,None
兔肝,具
杀风桔,g
辣蓼,g
蛇订子,g
老苏梗,分
生川草乌,g
木贼,"g,两,钱,克,None,钱5分"
向日葵白茎,尺
寻骨风,g
洗浪干,两
白占,"钱,两"
羊脑,副
白薇,"g,克,两,钱,斤"
人乳拌,None
胡桃仁,"两,钱"
生蛤壳,g
真阿胶,"钱,两,克"
虎帐,g
[方源]古方,None
臭椿树根,两
酒半盏,None
生艾汁,毫升
清炙草,克
细率,g
柴胡梢,克
酥油,两
上片,分
姜黄片,钱
藁木,g
却同,None
槐子仁,两
液状石腊,ml
四君合四物加陈皮,None
猪瘦肉,克
广防己,None
退壳,克
焦大黄,g
人工牛黄,g
菖蒲膏,钱5分
用紫草节,钱
地枯髅,None
九制牛胆南星,两
冬瓜子,"g,-60克"
秦切,克
紫草皮,克
八里麻,g
捣末,None
晒研为末,None
山羊血,"钱,None"
京芍药,克
杜荠粉,钱
枫香,"克,两"
真苏子,两
梨皮,g
寄生尾,None
牡蛎,"两,克,None,分,g,钱,升,两半"
绣花针,枚
熬白食盐,克
白果,"g,None,个"
五谷虫,None
白凤仙花,None
炒鸡内金,g
同炒黄色,None
入甘石内,None
茱服子,g
生血余,两
舌床子,g
半橘红,两半
虎胫骨,"两,None,克,g,钱"
鸡屎白半盏,None
生马钱子,g
节白附,两
白前,"g,None"
童便浸一宿,克
白定,g
角焙燥成霜,None
豆蔻,"g,分"
黄花,g
辣桂,"克,两"
度纯粮酒,升
和作饼,None
水杨柳,None
糜鹿角霜,克
省,节
木鳖仁,钱
熬透去渣,克
礜石,两
狗头骨灰,两
老鹤草,g
乌鱼骨,"钱,两"
茶油,g
大枫油,两
青果核,钱
石蚕,分
薄公英,g
牛旁子,"克,g"
车前草,"克,g,None,两"
茵陈浸膏,g
茶脚,None
用牙皂,钱
地鳖虫,"g,钱"
用醋涂上焙干,条
白蜂,None
穿破石,g
灯心草,"钱,None,g,把,厘,根,支"
于地炉内以炭一秤煅之,None
附子尖,个
鲜,None
葶苈子,"两,g,None,钱,分,合,克"
炭地榆,g
制松香,"钱,斤"
母丁香,"两,克,g,None,斤,钱"
雪茶,g
同炒香熟,None
小桃红子,两
漉出,None
酒精,"g,ml"
干熟地黄,两
新银花,钱半
制蒺藜,g
鸡苏叶,两
干姜粉,g
硫磺,"g,两"
揉浓汁去滓,None
甘州枸杞,克
烯莶草,g
生白,None
金井阿胶,None
于新瓦上先铺姜片,克
鼠屎,-7枚
酉牛黄,g
抗白芍,g
石韦,"两,克"
不木灰,None
明雄,"钱,两,钱5分,分,钱半"
猪牙皂角,"克,None,两"
川羌活,g
用法酒,升
巴霜,分
硼砂,"钱5分,两,克,g,None,钱,钱半,分"
辅料,None
槐皮,"克,两"
生山甲,"两,钱"
云母石,"两,钱2分"
橘络,"g,钱,克"
焙干[口父]咀如绿豆大,两
桃东行枝白皮,握
云母粉,两
黄柏,"None,钱,克,两,分,两4钱,g,钱5分,斤8两,千克,斤"
生白附子,g
钩藤皮,None
大半夏,"克,个"
狗宝,"分,钱"
腊月猪脂,两
紫葛,两半
厚卜,g
川苦楝,None
蜈蚣半条,None
炙土鳖虫,g
大川芎,g
台麝,克
土茯芩,克
曲,"克,两,斤"
率枫荷,g
半地骨牛皮,g
梨汁,"合,杯"
沙姜,g
制何首乌,"None,g"
热地黄,None
余次,None
.仙茅,g
飞月石,两6钱
麦麸,"g,升"
郁素皮干,g
杜蒺藜,"克,None,两"
白砂蜜,-3盏
兔脑髓,None
藤梨根,克
绿豆粉,"两,g,克,None"
蛇床子,"克,两,g,None,钱,分,斤"
滇紫草,None
水化拌令得所,None
青羊肝,具
桑椹子,"克,g,两"
圆白半夏末,None
幸夷,g
糯米同炒,None
金铃炭,g
白茄根,"两,g"
绿萼梅,"朵,g"
凌霄花,"～15克,至5钱,g,None,分"
和麻油,克
生海石,g
明天麻香,g
芝麻油,ml
细捣,None
即将,None
铅粉,"克,两,分,钱,g,斤,None"
去斑蝥不用,None
黄苓,"g,分"
海蛤,"None,两半,分"
故纸,"斤8两,钱,克,斤"
大蓖麻子,粒
麦冬,"两,克,g,None,钱,两半,分,两7钱半,钱5分,钱半,-3钱,钱2分,两3钱"
作饼,"两,None"
全蝎,"两,个,两5钱,钱,钱半,尾,-12克,g,None,钱5分,克,两半,条,只,枚,分"
按次第制松香一过,两
银朱,"钱,两"
大赭石,"克,两"
穿山龙,"g,-15克"
吉林红参,g
黏子,None
珍珠层粉,g
换齑汁,None
锦灰,两
入火中烧令通红取出,None
生黄芪,"克,g,None,石"
制附子,"g,两,None,克"
盐炒令黄,None
破故子,"两,g,None,克,钱,斤,两半,分"
食盐,"克,g,匙,钱"
芙蓉叶,克
上面钻,None
生香附,两
远志,"克,两,分,None,斤8两,钱,g,钱半,两半,钱5分"
赤苓块,钱
煅五味,钱
绿豆,"克,两,None,g,撮,升"
干白花蛇舌草,g
莱菔子,"两5钱,两,克,None,g,钱"
百草霜半匙,None
良花藤,g
鲎鱼胆,两
皂荚子仁,两
上锉细,None
炮甲片,g
风仙透骨草,g
真陈胆星,钱
醋蘸,None
用炭火烧存性,克
生附子,"两,g"
刺猬皮,"g,两,None"
三奈子,两
白芷末,None
可烧得,钱
细茶,克
双钩藤,克
垂盆草,g
南沙参,"克,g"
鲜泽漆,g
生薏苡仁,g
去皴皮,"None,两"
去裙,None
上安桂,g
烧烟尽,None
切成薄片,None
绞股蓝,g
牛胆南星,"克,两6钱,钱"
除下黑者,None
生梨,g
洗肉,None
紫草根,g
红乌柏,g
人参面,钱
捣成饼,两
广角粉,g
井水,碗
桑桂枝,g
生黑豆,"g,斤"
草决,克
关木通,g
煅灶中灰,升
精明乳香,钱
寒水石,"克,两,千克,None,钱,两半,分,g"
鹿香,g
好酒浸半日,None
菟丝子,"克,None,钱,两,g,斤8两,分,两半,斤,合"
怀熟地黄,"克,斤,两"
天台,两5钱
红人参,两
蓼叶,两
用生姜,"两,片"
蒸一炊久,None
八角枫须根,g
四物汤加白术,None
碗,None
去滑,"None,两"
去翅,None
阿魏,"g,两,钱,分,克,None,钱半"
黑牵牛,"钱,两,None,分,g,斤"
车前子,"两,None,克,g,两半,分,钱,合,两5钱"
葛根,"None,斤,两,分,克,g,钱5分,两5钱,钱,-30克,两半,升,钱半"
安宫牛黄丸,g
猪牙皂荚,"None,两,挺"
炒黄,None
急性子,"两5钱,克,g"
紫菀茸,两
香苏散加三棱,None
蛇骨,钱
诃勒黎皮,分
炒过,None
好腊茶,None
黄精粉,g
生赤芍,g
恒山,"两,分"
野艾,g
珍珠末,分
槟榔末,钱
地榆粉,g
蝮蛇,钱半
净麻黄,"g,None"
炒刺猬皮,g
春秋,None
舶上茴香,"None,克"
玳瑁,g
犀角屑,"克,分,钱半,钱,两,两半"
紫石英,"两,g,两半,None"
壳仁,g
犀角,"克,钱,None,g,分,两"
藤,g
新鲜小米,斗
醋白芍,钱
甜石榴,个
枣肉,克
蜜蜂,分
栝蒌子仁,两
刮去浮壳,两
知母,"g,克,None,两,斤8两,钱,分,升,斤,石,钱5分,千克,钱半"
黯子花,两
蜣螂,"克,两,g"
水红花子,两
去丝,克
藤黄,"钱,None,克"
松萝,两
川红花,g
草决明子,"克,两"
酸石榴枝,握
细症,g
古石灰,None
一字,None
水牛尿浸,两
吐温,ml
蛇麻子,g
太子参,"g,None"
草槐花,g
炒紫苏子,g
玉丹,分
百草霜不问多少,None
赤蜈蚣,个
大艾,两半
煅石决明,g
白鹅脂,两
不出油,None
鸡蛋,个
炒于术,钱
生甘草黄,钱
炙微黄,None
大力王,g
野台参,克
以清水洗净生用,份
干虾蟆,枚
用黑牵牛,分
米泔浸,None
仙矛,g
稀蔹草,g
制天麻,g
好酒润,None
鸡子,"None,枚"
蔓京,g
功劳木,None
黄蘖,"钱,钱半"
嫩桂枝,"g,克"
麦麸同炒去丝,None
毛里金钗,None
怀熟地,"钱,两"
姜汁淹,"None,两"
洗半夏,g
急以瓷碗热盖,None
大连翘,g
制半夏,"g,片,克"
将铜绿研细,None
川茴香,两
酒煎,None
山苦参,g
紫花地丁,"None,g,钱,克,斤"
生耆,"g,钱"
捶刮取净,None
盆消,"克,两"
斑螫,"g,两"
诃藜勒,两
豨签草,"g,斤"
制大黄,"g,None"
蕲竹叶,g
泔浸苍术,克
薄荷汁,升
研砂,None
浸透,两
酥炙,克
黑附片,克
汉中木防己,两
生川连,克
羊踯躅,"克,两半"
倾入水中,None
以高米醋,克
地龙干,g
炙蜂房,g
茜草,"克,两5钱,钱,g,两"
炙紫菀,g
竹叶数片,None
韭菜根,g
生黄柏,钱
木耳,钱
牙消,"克,钱"
煅瓦楞,克
燕窝,克
干百英,g
浮银花,g
姜枣,None
乌龙尾,两
寸截,None
生姜自然汁浸一宿,克
水姜,片
钓藤皮,两
拭干,两
去滓成胶,None
搅匀成膏,None
粉花,两
味皆用腊月者,None
全竭,g
狼毒,"两5钱,钱,g,克,两"
漏芦,"克,分,两,钱,g,None"
川五倍子,两
槐耳,两
苏州薄荷叶,两
草川乌,g
酒浸一日夜,克
白术,"克,两,g,钱,钱半,两半,分,None,钱5分,斤,两5钱,两1分,两2钱,铢,钱2分"
木兰皮,分
川芎,"两,克,分,两5钱,钱,g,None,两半,千克,-30克,钱半,两4钱,钱5分,-15克,斤"
火硝,"两,克"
水滚子根,None
鹿角片,g
头尖,g
鲜地,None
刺力,"g,None"
去牵牛,None
藕汁,"毫升,杯"
活蟾蜍,只
白信石,"克,两,钱半,钱5分,分,钱2分,钱"
新莲肉,两
钟乳石,"两,分"
左金丸,g
虢丹,分
楝树根白皮,两
微火炒黄色,None
同矾研,None
天雄,"克,None,两,分,两半,枚"
藤利,g
皂角枝,握
炒延胡索,g
当归,"g,钱,None,克,两,两5钱,分,钱2分,钱半,钱5分,两半,-15克,斤,公斤,两4钱,斤8两,双,两7钱半,两6钱,升,两3分,钱3分,石"
南木香,"两半,克,两,钱,None,钱半,分"
真桑寄生,两
胡桃肉,"两,g"
煨石膏,g
篙本,g
东门上雄鸡头,枚
蝉蜕,"两5钱,None,两,g,克,钱,钱5分,个,钱半,-9克,枚,分"
白花败酱草,g
去姜,None
夹纸裹,-5重
鹿角霜,"克,两,g,斤,钱"
自然铜,"克,g,-15克,两,None"
炒薏米,g
细芽茶,克
存性,钱
百部,"两,g,None,克,钱,分"
炒桔梗,克
谷牙,g
漆姑草,克
生葱头,根
淫羊蕾,两
净乌鸡肉,两
黑木耳,"-12克,g"
水牛角,"克,g"
鲜扁蓄,g
羚羊角粉,"钱,g"
衣中白色,None
羊鞭,None
麋角,None
京玄参,克
出油取霜,分
龟板胶,g
甜葶苈子,分
煮茯苓,分
闹羊花根皮,克
陈香橼,"两,个"
川贝粉,克
白炉甘石,两
生明乳香,"克,钱,g"
地马梢,None
墨旱莲,"秤,两"
微炭火上煨熟,None
虎胆,钱
川紫荆皮,克
打碎如枣核大,None
芒消,"两,克,None,两半,钱,分,-10g"
旧大红绒,None
佩兰叶,g
日满取出,None
昆布,"None,g,钱,克,两"
京赤芍,g
入银石器内水熬烂,None
三桂,g
牡荆子,"铢,克"
或不生锈的桶内,None
当归头,"钱,分"
莪术,"g,钱,两,None,克,分,钱半"
制胆南星,g
槐花,"两,克,g,None,分"
蛤壳,"钱,g,None,分,两,克"
平胃散,None
入好酒,None
百通草,g
半入药,None
鲜空心苋,g
鳖甲,"两5钱,分,克,两,None,g,两半,-5钱"
龙涎香,g
艾絮,分
广郁金,"g,石,两"
牛胆星,两
老生姜,"两,分"
骨碎补,"两5钱,两,公斤,克,钱5分,g,石,钱,分,None"
核桃肉,"个,两"
收放湿纸上,None
白石英,"g,两,两半"
淬黄连汁内,None
落得打,克
丹丹皮,g
熟地,"None,克,两,钱,g,-15克,分,斤8两,～9克,斤,两5钱,千克,钱半,钱5分"
精制马钱子,克
瓜壳,"g,None"
磁石末,None
虻虫,"None,枚,铢,钱,g,分,克"
樟水,两
麻子,合
人牙,"None,两5钱"
飞罗面,None
煎汁,"碗,None"
盐,"两,钱,None"
舶上硫黄,"克,分,两"
搜下项药,None
艾炭,"克,两"
澄淀成粉晒干,None
小麦,"斤,克,g"
炙山甲,g
真降香,钱
海羊,个
小蓟根,两
小茴炭,克
悬在井中,None
常山根,g
龙胆草,"g,克,None,两,石,钱,分,两半"
制虎骨,"两5钱,斤12两"
菝瘛,两
七叶莲,kg
生胡椒,粒
片黄芩,两半
赤节,g
乱发灰,两
O.,克
山萸肉,"两,克,分,g,两半,None,石,钱,钱半,两2钱半,两2钱,铢"
元胡,"两,钱,g,克,None,两5钱,分,斤"
活鲫鱼,"个,条"
滤出,None
灯芯灰,钱
蜒蛐,条
炒黄菊,g
炒赤,两
绿豆衣,"g,克"
络石藤,"g,克,两"
生姜片,克
常山茎,g
虎骨胶,两
大附子助克,None
仙鹤草,"g,克"
玄明粉,"None,克,g,钱,分,份"
新莲蕊,两
紫草,"g,克,两5钱,None,钱,两,分"
红屯,g
广角,g
煅出青烟尽为度,None
滚,None
黄莲,g
南薄荷叶,克
好硫黄,两
人参,"钱,克,两3钱,两,None,分,钱半,g,斤,两半,铢,两5钱,钱5分,钱2分,-2钱"
姜厚朴,克
鲜菖蒲,None
川文蛤,"克,None"
四十,斤
稀莶草,"克,g"
土炒,两
炙露蜂房,g
乌梢蛇,"g,具,两,None,克,-15克,条,kg,分,钱"
蕲蛇,"两3钱,克,两,钱,g,kg,条,None"
人中黄,"None,克"
川楝子肉,两
制水蛭,g
人参两半,None
防已,"g,两"
小便小盏,None
玉米须,"g,克"
钟乳粉,"两,分,克,两半"
焦山查,g
乌蛇胆,个
生姜自然汁,升
晚祥西根,None
矮地茶,g
莽草,"克,两,None"
海蛤粉,"None,g"
七,个
野葛,两
败姜,两半
黄酒,"None,ml,毫升,g"
炒盐,克
炙黄芪,"克,g"
麻根,两
鹿梨根,None
肉豆蔻,"钱,两,None,个,克,分,g,枚,钱半"
牛虱,个
苦参,"克,两,两5钱,钱,None,钱5分,g,分"
砂仁面,钱
真天竺黄,两
不用洗,None
硫黄,"None,钱,两,g,分,克"
足同煮,None
猴枣散,支
全蝎粉,g
年者,None
氧化锌粉,g
连腻皮核桃肉,斤
隔汤煮,None
禹馀粮,两
