雄黄,"g,钱,克,两,None,分,铢,钱半"
依前入瓶子内烧食倾,None
柿蒂,"分,个,两"
细锉,None
苦葫芦子,两
川槿皮,克
干荷叶,g
花蜘蛛,None
陈粟米,两
山川柳,两
青枫藤,g
桑白,g
水杨酸甲酯,g
潞参,"钱,两"
候瓶透赤,None
苏叶,"g,两,None,克,分,钱,斤,两5钱"
芒果核,个
白附,"克,g,两"
益元散,"钱,克"
香附,"克,两,钱,g,斤,None,两半,分,两5钱,钱半,双"
瓜蒌,"两,g,分,None,个,克,枚"
豹皮樟,克
细盐,None
萆薢,"克,两,分,钱,g,None"
黄蜂,分
用法酒淬,None
浮萍草,"克,钱,g,两,None"
胡连,"钱,g,分,两半,两,克,None"
麝香半字,None
如此凡七次,None
仙茅,"两,克,g"
稀签草,"g,钱"
桑树皮,ml
铁丝威灵仙,g
花蕊石,"None,分,斤,g,克"
待冷于簸箕中以手挪,None
入后药,None
浸首乌,None
生薏仁,"-30克,g"
食,None
黄芪,"克,g,两,钱,斤,None,两1分,分,两半,钱5分,两1钱,钱半"
生川鸟,g
%九里明,g
炙柴胡,g
白头翁,"g,两,分"
华,g
健猪前蹄,对
莶草,g
锅内炒干,None
真西牛黄,钱
豨草,kg
颗块大朱砂,两
研烂,"None,两"
六月雪,None
木蜡,None
不用头尾,None
寄奴,None
萎皮,g
大枫肉,钱
生栀,克
炊久焙燥,两
酒黄芩,"g,克"
北芪,克
又入好酒,升
佛手面,钱
雄蚕蛾,两
败酱草,"钱,g,分,克"
马齿苋,"克,g,两"
明乳香,两
松节,"钱,g,两,克"
炒芥子,g
炒荆芥,"钱,克"
苎根,None
全归,g
五茄皮,g
生芡实,克
银石器中熬成膏,斤
火消,"两3钱,两"
老松香,钱
黄苇,克
北柴胡,"克,g"
不蚛皂荚,None
炒花椒,g
豮猪心,个
火煅全赤,None
当归尾,"None,钱5分,两,克,g,钱,钱半"
姜汁涂,None
海蛇干,None
中盏,None
蔓青子,两
苍术,"两,g,钱,克,两5钱,斤,None,石,分,两半,钱5分"
生苡米,g
侧柏枝,斤
柏木白皮,两
杭青皮,None
两面针,None
制龟版,两
重楼,"g,克,石"
胆矾,"钱,克,None,分,两,钱2分,两半"
寸麦冬,克
煎却矾汁,None
曼荆子,g
人参提取物,None
酒虎,g
生鹿角,斤
黄芩,"None,克,两,两5钱,钱,分,g,斤,千克,石,钱半,铢,钱5分,-10g,两半,重"
观音柳,None
白苓,钱
炙蜣螂虫,g
香加皮,"g,None"
以火煅石,None
大壶,None
牙皂角,"分,两"
焦楂曲,g
焦三仙,g
甜瓜蒂,"钱,None,枚"
辛荑花,"克,g"
真犀角,克
麸炒微黄,None
赤勺,g
锉可,斗
用巴豆肉,粒
蝉蜕粉,g
炮作饼,克
甘,None
于瓷瓶内煮干,None
苦瓜花,朵
干槟榔,分
蛇蜕,"钱,g,两,条,钱5分,～10克,克"
广桂枝,None
都用豆盖,克
瓜蒌皮,g
发团,两
紫厚朴,"钱,两"
入蜜,毫升
射干,"g,克,钱5分,None,钱,两"
干胭脂,钱
O郁金,g
茵芋,"None,两,克,g"
去涎,None
白蔹,"g,两5钱,两,None,克,分,钱"
丛枝蓼,g
陈茶叶,斤
紫苏,"克,None,两,g,钱,分,茎,叶"
太阴玄精,分
炙桑草,g
炮黑楂肉,两
透骨草,"两,两5钱,g,克"
陈,None
藁本,"两5钱,克,钱,两,g,None,分,斤"
鹅不食草,"克,两5钱,钱,分,g,None"
椒,"两,分"
漠逝,g
台州青苎,钱
煨莪术,克
萆,克
金星石,None
甘草片,两
白豆蔻,"两3钱,两,克,钱,g,None,分,斤"
复时,None
锡,None
诃子皮,"分,两,克"
黎辣根,g
庵闾子,两
桃花,两
益智仁同炒,None
生百部,g
参三七粉,g
罗参,两
黄杜仲,两
真薄,两
生巴仁,两
姜夏,"克,g"
赤石腊,两
酒,"升,斗3升,ml,None"
酒黄连,分
荸荠,"g,个"
明雄黄末,克
铜灰,两
羊腰子,对
香皂,个
蛔虫,条
益母膏,"克,斤"
甜苁蓉,g
去豆不用,None
老鹳草,"g,克"
枯矾,"两2钱,钱5分,分,克,g,钱,None,斤"
不灰木,"None,克,分"
生地黄汁,"升,毫升,合,None"
冬瓜皮干品,g
沙苑子,"钱,克,g,两"
前胡,"两,分,克,None,钱,g,钱半"
霜桑叶,"钱,克"
生姜汁炙烟出,None
大菖蒲,None
煅西月石,钱5分
圆白半夏,分
大黄膏入内,None
蟾皮,张
茶盏,None
竹沥,"升,None,合,克"
川牛膝,"两,两半,克,None,g,钱"
梧桐花,g
茯苓,"克,两,g,None,钱2分,斤,钱,钱5分,斤8两,两半,分,铢,两5钱,钱半,枚,两2钱,斤半,份"
醋灵脂,两
没药末,"克,钱"
从蓉,g
木灵芝,g
桑树叶,g
虎杖,"g,两,克,None"
密陀僧末,两
刺蓟,"两,分"
鸡脚埤根须,g
菌陈,g
白石膏,"克,None,分"
秦九,g
炼至滴水成珠,None
制蟾酥面,克
雄鼠类,g
没药面,两
川归,"钱,分,克,两"
石马鬃,两
土贝母,"None,两"
樟脑,"钱,g,None,两,克,钱5分,字"
黑糖,None
去沫,"None,克,两半"
何首乌,"钱,g,克,None,千克,斤,两"
牛蒡自,g
乌头尖,个
马蹄金,None
苏液,g
取汁浸一宿,克
乌梅半个,None
以苦瓠汁浸,钱
泡参,"g,钱"
千里光,g
桃丹,g
乌头,"枚,两,None,克,分,铢,钱,斤,合"
半边莲,g
鹅脂,两
松花粉,分
红景天,g
焙令黄色,None
槟榔,"两,分,克,钱,钱半,g,None,钱5分,个,枚,斤,两半,两3钱,钱2分"
白蒺黎,None
制军炭,g
石楠叶,"克,g"
炮裂,两
俟过热,None
桑根白皮,"斤,分,两,两半"
西花,两
光杏仁炙僵蚕,g
干山药,"两,克,None"
刺猬,两
桑枝,"钱,克,两5钱,g,两,None,斤,握"
风身,钱
大南星,"两,分,个"
炙黄耆,"None,两"
参苓平胃散,克
生五味子,两
木风,g
鲜川芎梗叶,None
龟板,"两,斤8两,g,克,片,None,-5钱"
镇肝熄风汤,None
荔枝肉,千克
蜡如棋子,枚
蚕砂,"g,重,None"
制马钱子,"g,None"
茄皮,None
天麻,"两,钱,g,克,分,None,两6钱,-2两,钱半,升,两半"
霜梅,个
雄猪大肠,厘
食醋,"g,毫升"
熬浓,None
土炒白术,"克,两5钱"
紫河车,"两,g,克,None,具"
布渣叶,克
全蜈蚣,条
土瓜根,"两半,两,None"
净蝉衣,g
牵牛皂角,None
轻轻,克
天花粉,"钱,两,g,克,两4钱,钱5分,None,分,两半"
防葵,"两,分"
地黄,"钱,两,g,None"
姜炙厚朴,克
苏子,"两,克,g,升,None,钱,分"
薄荷末,分
童便浸,"克,None"
磨下,None
生归,None
净全蝎,None
同淹,None
吊子风,克
绵纸垫铁锅内,None
净芜荑,钱半
生硫黄,钱
捣饼,两
灸甘草,g
岗稔根,g
川楝肉,钱
蔓荆子甘草,克
苏合香,None
狗肾,具
细茶末,两
海马,"g,None,具,对"
三角尖,钱
炙地鳖虫,g
同煮过,None
鱼鳔,"g,克"
水飞寒水石,克
鲜生地汁,杯
加乌药,None
狼牙,"两,分"
菵草,两
水煮令芽出,None
羯羊胆,None
鸦胆子,"g,粒"
仍锉,None
切作片子,"枚,None"
生没药,g
地龙肉,"公斤,两,克,钱"
桃仁,"g,两5钱,钱,个,两,None,粒,钱5分,克,斤,分,枚,铢,合"
用南星,None
夭竺黄,克
洗/茵陈,g
将甘石煅红,None
擘开如墨黑者良,None
酒蒸,克
白鲜皮,"g,两5钱,克,两,None,钱,分,两半"
连翘,"钱,g,两5钱,克,两,None,两4钱,钱半,千克,石,分,钱5分"
壳,克
木公节,g
剥核,None
肠,None
自死虾蟆,枚
钱子地龙,两
白豆菠仁,克
青连翘,"None,钱"
锉细,None
香薷,"两,None,钱,g,分"
良姜二,两
大栀子,"钱,两"
苎麻根,g
黃连,None
甘草浸膏液,ml
绯帛如手大,None
又名红肉,None
好铜钱,文
干姜枣许大,None
再炒,两
降香,"g,None,两,斤,克"
待冷即取出,None
苍耳子l,g
水滚子又名溪枫根,None
大黄蜇虫丸,g
大豆卷,"克,g,分,两"
猪胆,个
酸枣仁,"钱,两,克,分,斤,None,g,合,石,钱半"
用文武火煮,None
建曲,"g,钱,None"
半豆许,None
炙令黄,None
朝脑,分
冰片粉,g
干菊花,"斤,克,g,钱"
枳亮,分
肉蔻面煨,g
公丁香,"钱,两5钱,两,g,克,两2钱,None,两半,钱半,枚,分,斤,个"
地枫皮,"钱,g,kg"
苦地丁,"g,两,克"
透明硫黄,两
蒿本,g
好面,斤
罗汉松叶,两
淫羊霍,g
草薢,g
乳没,"g,钱5分"
炒曲,分
用身,None
盖之,None
可以芫青,枚
熊脂,"升,斤"
米醋蘸炙令脆,None
都梁香,两
三岁醇苦酒,升
鹿茸,"钱,两,None,分,g,两2钱,克,两半"
竹叶柴胡,None
%金银花,g
白扁豆,"两,g,克,None,钱"
炊之良久,None
\蚤休,g
天葵子,"克,g"
陈萸肉,None
好朱砂,两
干白术,g
炒桑皮,None
生于术,钱
炒黑,None
甘逐,分
甑带如鸡子大,None
绿豆面,克
硝石,两
鸡屎子,None
柴湖,g
人乳,"毫升,杯,None,斤"
马鞭梢长,寸
伸筋草,"g,克"
木香面,钱
石决明,"克,两,钱,两5钱,None,g,分"
白花蛇舌草,"g,None,克"
用生甘草水洒出火毒,None
穿山甲,"None,钱,两,克,钱5分,片,g,具,分"
白泡参,g
鹿鞭,具
白木,g
生鳖甲,克
败蒲,握
生川乌,"g,两,克,None,两5钱,升"
蒸熟晒干,两
蝉房,g
刷洗净,None
四苓散,None
生姜煎汤浸一日夜透,克
巴戟天,"克,两,g,钱,分,None"
独活l,g
地龙,"两,-25克,克,钱,None,g,两半,分"
荆芥,"钱,g,两5钱,两,None,克,-12克,钱半,分,两半,钱5分"
绵黄耆,钱
同煮,None
陇西黄耆,两
土芎,钱
枫香寄生,g
绿升麻,"g,None,分"
旋覆花,"两,g,None,克,钱,分,两半"
丝瓜藤,"克,g"
石碱,None
扑尔敏,g
生水蛭,g
蛆壳,个
豆腐老浆水,ml
九蒸熟地,两
制附块,g
海浮石,"g,None,克"
酸枣,"g,分"
龟版胶,两
半童便浸,None
紫参,"分,两,克"
糯米花,两
石楠,克
白晚粳米,升
加生龙骨,钱
水鳖子,枚
乳香末,"克,钱"
片子姜黄,"克,两"
肥皂夹灰,克
同炒焦黑色,None
共淹一宿,None
批杷叶,g
南番琥珀,两
大风子,"两5钱,两,None,克,钱,g"
白花蛇肉,"g,两"
酒杭芍,克
二陈汤加羌活,None
入地金牛,"None,g"
家菊花,None
紫荆皮,"两5钱,克,两,g,None"
忍冬藤,"g,钱"
谷精草,"两,克,g,None,钱,分"
上元桂,"钱,钱半"
生延胡,两
远志皮,分
荆三棱,"分,None,两"
砚穿,g
杜保,g
令尽为度,None
鹿茸面,钱
乌附片,g
蛴螬,None
陈皮,"克,两,钱,g,None,两7钱半,钱半,分,石,斤,两半,钱5分,枚,升"
麻油,"None,克,ml,g,两,斤,斤4两"
铅霜,"钱,字,分"
皂角,"两5钱,钱,g,钱5分,两,克,None,根,斤,寸,挺,钱半"
杜仲,"克,None,钱,两,两半,钱5分,斤,g,分,铢,钱半"
枳壳,"两5钱,钱,两,克,分,None,g,斤,钱5分,两半,石,两2钱,钱半,合,重,两1分,份"
乳香面,两
粟米,"两,None"
阿胶,"g,分,两,钱,克,None,钱半,片"
舌草,g
川楝炭,g
和粗皮捣令细,None
甘草节,"钱,None,分,克,寸"
大力,g
绞股兰总甙,mg
饭甑蒸一伏时,None
连翘子,分
白莲须,克
净洗,"两,None"
铜绿,"两,克,None,钱,分"
马列钱子,g
耳子,克
炙蛰虫,g
猫爪草,g
川柴胡,分
慢火熬成膏,None
厚扑,g
小甘草,分
好苏木,钱
铅白霜,"钱,分,克"
二斗,升
刮去腹中物,None
灯心缠缚,None
黑乌蛇,克
风花仙子,g
淡豆豉,"两,None,克,～15克,g,钱,合,升,撮,分"
干地龙,"石,分,克"
入末在内,None
五不留行,g
骨余,克
茯芩,克
硇砂,"克,g,两,None,分,钱"
五倍子,"钱5分,钱,None,两,g,个,分,克"
大青叶,"克,None,两,g,两半,钱半,分"
入白矾令满,None
大蒜,碗
入银锅炒过,None
当当,g
晒干研末,None
去滓不用,None
微炒,None
栀,钱
入先洗猪肚内,None
淫羊藿,"g,两,克,None,钱"
土茯苓,"g,克,两,钱,None,斤"
吹去灰,None
法复,g
楮树白皮,合
榆枝,"钱,两,克,None"
荔枝核,"g,钱"
染胭脂,钱
生硫黄末,钱
大枫,两
川姜,"两,-1两,钱"
茵陈叶,两
加脑子,两
荆防,g
再用芝麻,两
冰糖,"斤8两,g,克"
竹黄,g
杜若,分
薄荷霜,g
生百合,克
葱头,钱
茯苓钱半,None
桔枝,g
涂酥,None
水银,"两,钱,克"
麝半字,None
女萎,铢
却入下药,None
大附子,"两,枚,None,钱,个"
消梨,个
蛇莓,"克,g"
辛夷花,"g,None,克,两"
柳白皮,两
枸杞根皮,两
蜂蜜,"None,两,斤,g,升,克,毫升,合"
揉皂角,None
桂元肉,g
麻黄,"克,两,两5钱,钱,None,g,分,两半,钱5分,石,-5分,钱半"
%尼泊金乙酯酊,ml
去其盐泥,None
白沙糖,斤
浮小麦,"合,g,None"
熊胆,"克,None,分,两,g,钱"
大风子仁,"钱,g"
拌楝肉,None
薤白,"g,茎,None,克"
青陈皮,g
紫苏茎叶,"克,两,分,两半"
芦根,"g,钱,克,None,两"
白矾,"克,两,None,钱,g,匙,两半,分,钱2分"
川木瓜,g
红糖,"None,两,～5kg,g"
炒药麸,钱
如小者用两具,None
小蓟,"克,g,毫升"
西秦艽,g
法制黄牛胆,钱
制甘遂,"g,克"
奏门冬,克
珍珠母,"g,钱,克,两"
光桃仁,g
沙糖,"两,分"
酒炒黄芩,钱
白皮大萝卜,个
土元,"两,g,克,钱"
露,None
白及面,钱
鳝鱼血,毫升
新砖末,None
鲜芦根,"g,克"
潼刺蒺藜,g
猢狲骨,两
括楼,两
半醋浸,None
散血草,克
通草,"斤,分,g,钱,None,两,克"
取黄雀汁浸,None
菟丝子补骨脂,g
拌骨脂,None
芒硝粉,克
附子,"克,两,None,枚,斤4两,两半,钱半,个,斤,钱,g,两1分,分,～27克"
生姜汁和作饼,两半
羚羊角末,None
夜交藤,"g,钱,两,克"
包心菜,克
用药同水酒入银石器内煮半日,None
生鲜裸叶紫珠叶,g
腊胆,两
全龙衣,条
乌蛇肉中半,None
凡,None
斑蟊,g
醋延胡,两
扁蓄,"g,钱"
入黄丹,两
调量,None
巴裁,克
栀皮,"克,g"
炙苍术,g
芦荟,"两,克,斤,None,钱,分"
鸡汤,克
用木通,两
凤凰壳,None
煎浓汁,"None,碗"
姜,"None,片,分"
荸荠粉,钱5分
细切如豆,分
煮半日,None
生锦纹,"钱半,克"
鸡蛋花,g
死鳖头,个
黑小豆,升
大枫子肉,克
量,None
核桃仁,两
江壳,None
鸭跖草,g
榆白皮,"克,两"
捣罗为末,None
豆蔻子,两
怀牛膝,"两3钱,两,None,公斤,斤,g,钱半,石"
真川椒,斤
桑时,g
雷丸,"g,钱,克,两,分"
白樟柳根,克
随风子,钱
满月臭,g
生枳实,两
益智仁,"两,克,None,钱,g,石"
木鳖子,"g,克,两,钱5分,None,钱,个"
好冰片,分
丝瓜络,"克,g"
金脚信,钱
橘叶,None
°白酒,None
炒山甲,"g,片"
官桂面,钱
粉干苹,g
平胃散加黄连,None
个,None
斑鸠,只
刮去皴皮,None
鹿角灰,克
青竹茹,"两,None"
代赭,"两半,两"
牛角腮,两半
粉干葛,钱
净连翘,"g,克"
苦丁茶,"克,g,None"
羌活鱼,g
以竹纸裹压,None
甘松,"两,钱,两8钱,None,分,g,克,斤"
土槿皮,"克,g"
通血香,克
炊久,None
一半入药,"两,None"
荆沥,升
白术l,克
延胡素,两
余枚,None
地榆考,g
炙龟版,g
去尽油,None
青子芩,钱半
炙甲片,g
地肤草,两
开麻,g
桑黄,"两,合"
乌贼骨粉,g
龙齿,"钱半,两,分,钱,克,None"
候干,None
真铁粉,克
生姜汁作饼,克
山栀子,"两5钱,两,None,克,g,分"
生龙齿,g
蒿木,g
黄连末,两
野菊花,"g,None,～15克,至5钱,钱5分,克"
刺三甲,g
鼠妇,"分,两"
姜黄,"克,两8钱,g,None,钱,两"
去裙襕,克
密陀僧,"钱,g,克,分,两"
白牵牛,"None,g,两"
威仙,g
海金砂,"g,两"
白米,克
酒洒,"None,两"
枸杞根白皮,两半
管仲,两
氧化锌,g
瞿麦,"g,None,钱,两,分,克"
生姜两片大枣,枚
桑皮叶,钱
佩兰,g
灰苋灰,斗
牵牛头末,钱
狗胆,枚
省头草,g
胡索,钱
大瓶,None
地榆,"None,钱,两,克,g,斤,两5钱,两半"
菊花叶,克
法夏,"g,两,克,钱"
鬼臼,"分,两"
香芷,斤
生荆芥,g
炙令微黄,None
大蓟,g
止痉散,克
山柰,"钱,克"
如是三次,None
略研碎,None
炒焦为度,None
炙乌梅,g
同浸,None
水菖蒲,两
黄柏末,"两,None,克"
大连,None
小枳实,"None,克"
炒吴萸,斤
元武版,两
蛇甲,克
酒芍,None
洋金花,g
猫儿食系骨,两
狗佾,g
绞取浓汁,升
淹,None
煎汤,None
青蒿,"g,两,None,条,钱,克,斤"
岗梅根,"石,g"
余沸取出,None
真川连,两
椒目,"克,分"
冬瓜子仁,两
人中白倍用之,None
好炉甘石,None
以瓦子盖口,None
珊瑚,分
冰片,"g,克,分,钱5分,None,钱,分5厘,两,厘,字"
川羌,"两,克,两5钱,钱,分,None,g,两半,钱5分,斤8两,石,钱半"
猪心,具
以皂荚水浸一伏时,None
白糯米,钱
连换,None
上药,None
肿节风浸膏,None
丹皮钱半,None
马兜铃,"g,两,分"
沙白术,g
雪上一枝蒿,g
炒山栀,"克,g"
狗食系骨,两
入水少时,两
覆盆子,"克,两,None,分,两5钱,g"
川乌头,"两,None,g,个,克,分,钱"
声黄柏,g
生黄连,钱
天南星,"两5钱,克,钱,两,None,g,钱5分,-1两,片,分,两半,钱半"
真薄荷,两
钩藤钩,分
好酒浸,None
苏梗,"None,分,克,g,钱"
皂刺尖,分
棉花子,克
蜜黄耆,克
蚕蜕,克
同研,None
琥珀,"钱,克,g,两,钱半,None,分,钱3分"
成膏后,None
取出晒干,None
兰香根灰,钱
鼠曲草,g
水浸,None
一,两
化去白矾,None
净黄连,克
川药,g
用甘草末同水拌蒸,None
壁钱,分
再加红蜜,两
日晒,"克,None"
核桃夹,克
石三棱,两
上好豉,升
甘草,"None,钱,克,g,两5钱,两,钱半,千克,分,两8钱,石,斤,斤半,两半,升,寸,-5g,握,钱5分,两3分"
候冷取出,None
如有锅粑,None
过草,g
甘草末,"匙,克"
蛤蟆草,钱
制乳没,"克,g"
砂铫内煮干,None
北杏,g
鸡子黄,枚
萆茇,两
闾茹,"None,两"
胆南星,"钱,两,克,None,g,石,枚,分,钱半"
江枳实,g
姜汁浸,None
大沸,None
净蝉蜕,None
僵蛋,g
白附子,"克,两,g,None,钱,-1两,两半,分,个"
芸薹子,两
浸入水中去火毒后,None
干地芡,g
擦,None
理中汤加丁香,钱
用破故纸,分
生杭芍,"g,钱,克"
净银花,g
白石脂,"两,克,分,None"
焦山栀,"～9克,g,钱"
如豆大,None
赤石脂,"None,g,两,分,克,钱,两半"
地耳草,g
白面,"钱,两"
75,None
生磁石,克
草龙胆,"两,None,钱"
苍耳草,"克,两,斤"
一枝黄花,g
生山药,"g,克,斤"
玫瑰花,"两2钱,～15克,至5钱,g"
胡麻油,升
炮穿山甲,"克,g"
桂府白滑石,分
炙黄,"None,两"
煮熟鸡蛋黄,枚
马钱子,"钱,g,石,个,克"
酒黄柏,"克,分"
胡桐泪,"分,两"
毛,None
麻黄根,"g,克,两,钱半"
取中,None
乌贼鱼骨,"两,两半,分,钱"
炒黄连,"g,克"
六君子汤加丁香,None
炮甲,g
川胡椒,g
生地汁,毫升
藿香梗,"None,g"
韭白,"斤,碗"
紫金藤,None
泽泻,"两,克,g,分,None,钱,两5钱,两半,钱半,钱2分"
利蒺藜,g
吊风根,g
生锦黄,g
白豆仁,钱
血通,g
金牙,铢
走马胎,g
半夏罨一宿,None
楠菊,g
川黄柏,"两,克,g,钱,石"
硬竹刀刮去黑皮约,斤
次日炒干,None
龙葵,"g,克"
伏翼粪,两
生首乌,"g,克"
醋,"升,g,克,碗,None"
苦楝树根皮,两
一百五,两
汤浸得所,两
酸浆草,两
制辰砂,钱
上,None
子捶碎,None
天冬,"克,两,g,None,钱,两半,分,两3钱"
虎杖根,g
炭火焙熟,None
并药投于坑子中,None
徐长卿,g
炒赤色为度,None
革草,g
维生素E,g
江西术,None
蛇含石,"None,个"
虎睛,"对,个"
再入胆中悬挂天德方上,钱
鸡冠花,"～15克,至5钱,两"
白密,g
大远志,两
北芍药,钱
蜻蜒,None
肥皂荚,斤
古老钱,"文,None"
七叶,None
捣为末,None
上药分两,None
艾叶,"分,两5钱,克,两,钱,g,None,钱半"
大蜘蛛,个
缝定,None
无大黄,None
山栀钱半,None
葱白,"茎,根,寸,握,斤,克,升,碗,None,枚"
薄荷,"两,克,斤,g,钱,千克,分,None,两4钱,钱半,两6钱,叶"
诃子,"g,分,两,None,钱5分,钱,枚,克,钱半,个,颗"
虾蟆灰,None
炙马钱,两
寸段,挺
鲤鱼胆,个
担,None
制草乌头,g
瓜蒌仁,"g,None,克,钱"
肉桂,"g,两,两3钱,钱,两5钱,分,两半,None,克,公斤,钱5分,钱半,铢,斤,两7钱半,两1分"
石南藤,"kg,g"
灯草灰,"厘,分"
甘菊花,"钱,两,None,g,克,分,斤"
大豆,"g,升,两"
盖,None
山豆根,"g,克,两,钱"
龙骨根草,两
桔梗,"克,两,None,千克,钱,分,g,两4钱,两半,钱半,铢,斤"
白敛,"钱,None,两"
九制豨莶草,g
净麸,两
将前水洒之,None
北防风,克
银箔,片
生白芍,"钱,斤8两,g,克,None,两,斤"
獖猪粪,None
吴白芷,克
蒸馏水,ml
大麻子仁,两
钱,两
葫芦巴,"两,分,钱,克"
真正牛黄,分
脑半字,None
虎仗,g
桦皮,克
深红琥珀,两
汁尽为度,两
辽五味子,两
甘州枸杞子,两
火煅食倾,None
研如面细,None
熟艾,"两,克"
胡蜂,分
商陆根,两
黍,kg
黄鱼鳔胶,g
赤白何首乌,克
山楂子,两
去末,None
白芍两半,None
益母草,"克,钱,g,None,两,斤"
用苏木,钱
杏仁,"克,两,两5钱,None,g,钱,枚,两半,斤,个,～9克,石,升,-7枚,分,粒,合,两1分,-7个"
蒸从已至午,钱
甘枸杞子,"两,斤"
提牙消,分
酒妙白芍,两
70,None
苦参片,g
朗陵乌头,枚
连心麦冬,克
杂丹,g
用生白矾,两
姜汤瓶上,None
秦艽,"None,两5钱,两,～22克,克,钱,钱5分,g,斤8两,铢,钱半,分,两半"
海蝓壳,g
夜明沙,两
露蜂房,"两5钱,None,g,克,两,分,钱"
蓬茂,两
白前根,"g,None"
猕猴项骨,两
柿霜饼,克
血余炭,"两,g,克,钱"
若干花瓣只用,斤
曝干,None
山药,"钱,克,两,g,分,两5钱,None,两半,钱半,千克,两2钱,铢,石,-3钱"
制附,g
去头翅足,None
以文武火熬成膏,None
磨极细,None
鸡血藤肉,g
怀生地,"克,两,钱"
肥皂,"克,个,None"
生葱,g
高良姜,"g,两,分"
次铺全蝎,克
飞面,两
附块,g
乘热切碎,None
川朴硝,两半
用斑蝥,分
干蝎,"克,两,-2两,钱,g,None,分"
猪苓,"克,两,分,钱,g,None,方,钱半,钱2分"
埋于小便地下,None
雄鼠粪,枚
甘露,None
檀香面,钱
天麦冬,钱
黄连,"克,钱,g,两,None,两7钱,钱5分,分,两5钱,两2钱,两半,钱半,-5g,斤"
小猬皮,个
栀子煎浓汁,None
赤芍草梢,None
杜蘅,"None,分"
山栀子仁,"分,克,两"
眼镜蛇,kg
冬葵子,"两,分,合,g,克,升"
木蝴蝶,g
候米黄,枚
姜汁水,两
文火炒,两
山奈,"克,斤,钱"
毛银花,石
白凤仙,碗
香精,g
鹅梨汁,升
捣碎,None
鱼腥草,"克,g,石,None"
新鲜连皮冬瓜,-100g
巴豆,"两,钱5分,钱,个,枚,None,g,粒,分,克"
