沙菀子,g
粗罗为散,None
白前,"两,克,g"
土大黄,g
前脚下截为妙,None
巴豆肉,粒
辣桂,两
大苦参,g
炒当时,g
槐角,"None,两,克,g,斤,分,钱"
藓皮,None
海藻,"克,g,两,None"
水银,"g,两,两半"
老鹤草,g
乌鱼骨,两
侧伯叶,"克,g"
舌床子,g
研细拌铅砂令匀,None
甜白术,钱
鹤虱草,斤
生艾叶,None
紫金锭,克
枣子,枚
金莲花,g
草决明,"g,两,升,None"
芒硝,"g,None"
灯芯草,g
甘草浸膏,g
词子,g
地鳖虫,g
白花艾,g
又以金箔,片
干黄蜀葵花,两
灯心草,"厘,茎,g,None"
橄榄,枚
夏枯草,"钱,None,克,g"
葶苈子,"g,两,分"
虎鼻,枚
蛇蜕半条,None
母丁香,"两,钱"
盐泥固,None
藻珠草,g
古墨,克
硫磺,g
合欢花,两
浙贝,"g,两"
360,None
白丁香,"钱半,枚,克"
以前钟乳汁,升
木黄连,g
清酒,"毫升,升"
或海金草,g
兰花竹叶,g
纸袋盛,None
金钱花,g
取瓤并子,None
生大黄粉,g
马鹿角不用,None
四叶参,g
丹皮炭,g
抗白芍,g
石韦,"克,g"
麸炒黄,None
明雄,克
猪牙皂角,"分,钱"
白茄根,钱
金箔,"None,片,张"
硼砂,"g,两,克,分,钱"
削去黑皮,None
芎藭劳,克
甜酒,毫升
橘络,钱
黄柏,"None,g,钱,克,两,石,分"
半枝莲,"克,g"
决明,"g,钱"
古铜钱半个,None
风化石灰,克
百草霜,"克,None"
忍冬,None
90,None
怀牛膝,"克,g,钱"
细切,None
蒿豉饼子,None
先以长流水煮半日,None
败龟,两
五加皮,"两5钱,g,两,钱,None"
饴糖,斤
藕汁或萝卜汁磨京墨,None
泽漆,两
酥酒涂炙干,两
象皮,钱
制何首乌,g
生姜汁,"毫升,滴,匙,合,None"
面针,g
羌活钱半,None
杜蒺藜,None
莲心,"钱,克,～15克,g"
麝香,"分,g,钱,克,两,铢,厘"
梨皮,克
五谷虫,-7个
灯心灰,分
隔宿浸,None
山药,"g,克,两5钱,None,石,钱,两,分"
鲫鱼,"头,两"
蛇床子,"g,钱,克,None,两"
九层风,g
天竺黄,"克,斤,g,钱,两"
车前草,"g,None,克,石"
桑椹子,"克,g,两"
韶粉,两
羊肾,只
红豆蔻,两
墨旱莲草,克
草梢,钱
凌霄花,"～15克,至5钱,g"
桔粳,None
党参钱半,None
川当归,两
木馒头,g
海螵蛸,"克,g,钱"
铅粉,"克,None,斤半,两"
人参皂甙,g
黄苓,g
生犀,两
陈槐花,克
铁衣,克
建莲,两6钱
梗,克
去瓶子,寸
肉苁蓉,"g,None,两,分"
麦冬,"两,None,g,克,分,两半,钱,钱半,两5钱,升"
连皮大腹槟榔,枚
山栀子炭,g
黑豆大,None
倾黑铅在内,None
食盐末,分
风化消,克
鹿角霜,"钱,千克,g"
黑牵牛,"钱,两"
杜仲,"g,两,钱,分,None,克"
陈秔米,升
川槿皮,g
%苍术,g
青枫藤,g
山萸,两
破故子,"g,钱,两,克,None"
食盐,"克,分"
牛蒡子,"g,克,None,升,石,钱,两"
匾蓄,"克,g"
潞参,g
如无真者,克
苏叶,"None,两,钱,克,g,分"
同生姜,None
桑柴火煮,None
紫苏茎叶,"握,克"
山栀炭,"克,g"
火麻仁,"两,克,g,粒"
萆薢,"g,两,克,钱,None"
莱菔子,"None,钱,两"
益母草炭,g
浮萍草,"钱,克,g,分"
胡连,"g,石,克,钱,两"
野蓬蒿,两
白云苓,None
包,None
再入铜铛煎至,升
煅过,None
仙茅,"g,两"
鲜大力子根叶,斤
生附子,g
花蕊石,"克,g"
淡附片,分
刺猬皮,"两,g"
水牛角,"g,克,None,两"
丽参,两
清甘草,g
黄芪,"None,两,克,钱,g,两半,钱2分,分"
白术干姜,克
篷莪术,两
长短,None
垂盆草,g
南沙参,"克,g,None"
