雄黄,"钱,两,None,克,分,g,两2钱,铢,千克,钱半"
纸糊瓜口,None
灯花,个
生川连,克
则再入清水锅中煮烊,None
食蛆,None
条黄芩,钱
地龙干,g
b炙草,g
炙蜂房,g
炙枇杷叶,g
焦建曲,g
炙紫菀,g
王瓜,两
枫上寄生,分
金顶砒,克
当归身,"两,克,None,钱5分,两5钱,g,钱,分"
牙消,"两半,克,钱"
煅瓦楞,"g,克"
姜炒黄连,None
燕窝,克
桑螺蛸,g
姜枣,None
罂粟过,／2份
肉巫蓉,g
出油,None
黑姜炭,g
白头翁,"克,g,石,钱,两"
杏仁七,枚
白星,克
数,条
石榴,"钱7分,g"
沉香屑,钱
新韭子,克
鸡矢白,合
生甘,分
牧,None
于银器内熬至,升
漏芦,"g,钱,两,两半"
锉作骰子块,None
淋取汁,两
山植肉,克
用牛胆和作饼,克
酒炒白芍,克
猪脊骨,克
龙牡,g
化硇砂,两
白术,"克,两,钱,两半,斤,g,None,分,钱5分,两5钱,钱半,至5钱,～15克,～30克,石,份,升,钱2分,钱7分,枚,两1分,两6铢"
小续命汤,None
用炭火,斤
并研令细,None
槲叶,分
蒸令熟,None
火硝,"两,克,None,g"
金狗脊,克
牛蒡根,斤
绿豆粉,"克,None"
结茯苓,g
鹿角片,g
黑脂麻,"两,钱"
待,None
净芜荑,钱半
飞净,None
藕汁,"None,升,毫升"
只有,斤
陈艾叶,g
以葱汁将松香缓缓煮干,None
活蟾蜍,只
白信石,"升,两,分,g"
鞭打绣球,None
剩麦芽,g
车前叶,克
方海,g
汉药,g
三七末,g
猪悬蹄甲,两
因检查停服,g
蒌皮根,克
取巴豆于乳钵内,None
在黄,g
梓朴,"None,斤"
白巩,g
天雄,"两,None,分,两半,克"
川木鳖,两
炙厚朴,克
石灰末,两
直防风,钱
趁黄柏,g
胡桃肉,"千克,两,钱,克,枚,g"
浸至次早,None
b,None
蝉蜕,"克,分,g,None,两,个,钱半,钱,只,两半"
延有索,g
芜活,g
去姜,克
鹿角霜,"g,None,两,钱"
萸黄,两
自然铜,"None,两,克,钱,g"
炒薏米,g
鱼古,g
细芽茶,斤
存性,None
神曲末,分
百部,"g,两,克,None,分,钱"
木爪,None
柞木枝,"钱,两"
嫩肥羊肉,g
青盐不见烟为度,None
宣黄连,"钱,两"
缝合,None
羚羊角粉,g
牛奶,克
捻,None
侧柏枝,斤
地上去火毒,两
青柿子皮,None
龟板胶,"克,g"
当归炭,钱
川五灵脂,两
栝萎,g
山植,None
陈香橼,两
古钱,个
味为末,None
参须,g
生明乳香,"克,钱"
干枣肉,两
候化,None
以慢火焙燥,None
干,None
醋灵脂,两
川芎白芍,分
舶茴香,钱
芒消,"两,克,None,g,钱"
川连面,g
米仁根,g
泡沙参,g
蔻壳,g
昆布,"None,g,两半,分,两,克"
多饮者加,None
天麻,"克,分,两,钱,None,g,斤,两2钱,钱半"
以醋半盏,None
垂盆草,g
圆眼肉,两
珊瑚枝,钱
穿山甲,"两,钱,克,g,片,分"
飞硼砂,分
当归头,"g,分"
莪术,"None,分,两,钱,克,g,两半,钱7分"
苏合香,"两5钱,两,分,g,钱"
槐花,"g,钱,两,克,钱8分"
蛤壳,"钱,分,None,g,克"
寒食收柏叶,斤
了哥王,g
干黑木耳,两
装入瓜蒌内,None
同拌和,None
酒煮,None
鳖甲,"两,None,分,克,g,钱,两半,两1分"
糖,"None,两"
广郁金,"g,None,钱,克"
真藿香,克
跳百丈,个
薅田藨,None
将巴豆同炒少时,None
用姜汁与酒合和涂,分
白约,g
擢麦,g
水浸透,None
白石英,"g,分,两,克"
二陈汤加僵蚕,None
落得打,g
熟地,"克,两,分,g,None,两5钱,斤,钱,～21克,两半,钱5分,或5钱,斤12两,钱2分"
绿升麻,"g,克"
预知子,g
去裙膜,None
虻虫,"枚,None,两,铢,克,分,个"
炙苍术,g
麻子,"克,升,两,合"
飞罗面,"钱,两"
蜜炙白术,"g,克"
猪胆汁,"毫升,个"
大米,"克,None,～75克,～50克,g"
愈陈愈妙,None
盐,"None,克,两"
卷柏叶,两
少则,None
好厚朴,两
煅皂矾,g
去益智仁,两
小麦,"斤,～15克,克,g,None,升"
炙山甲,g
取出置于银器盒中或瓷器中,None
炒秸壳,g
赤石脂,"克,g,两,钱半,分,None,两半,钱,两2钱"
勿令薄,None
禾香,g
栀壳,g
白艾叶,两
煅海蛤粉,g
纱罗罗之,None
云木香,g
川I厚朴,克
二百四,两
飞糜草,g
片黄芩,分
山萸肉,"克,两,两半,None,钱,g,升,石,两5钱,分"
碧玉散,石
炒五谷虫,g
滤出,None
大金箔,页
苦参片,g
绿豆衣,"g,None"
覆盒子,g
水澄蒸,None
槐条,None
加至,钱半
生姜片,片
晒干刮下,None
却合姜,None
熬水过滤,None
炒菜菔子,g
佩兰,"g,克"
杵去尖,None
生晒术,"钱半,钱"
仙鹤草,"克,g,None"
玄明粉,"g,钱,分"
水杨柳根,None
