雄黄,"钱,两,None,克,分,g,两2钱,铢,千克,钱半"
白附子,"克,分,g,两,斤,钱,None"
小,个
川芍,None
紫荆花,两
纸包,"两,克"
再炒热,None
味先干研烂,None
沥青,"None,两"
同前药焙干,None
血茸,两
生姜汁搜和作饼子,两
有桑耳,两
先煮粥汤待冷,None
五灵脂膏,g
天花粉,"钱,两,克,g,None,分,两半,斤,升"
制附片,"g,分"
陵零香,两
鱼鳔,"g,两"
化,None
风化窑脑,两
板蓝根,"g,石,None,两,克,钱5分"
藿香,"None,两,两半,g,克,钱半,分,钱,升"
轻红粉,g
生甘草,"g,克,None,份,钱,分"
鲜芡实,克
可用楝实,克
川芎,"分,克,None,两,钱,钱半,两半,g,份,石,两5钱,钱5分,斤,钱2分"
马兰根,g
鱼胶,钱
大杏仁,"两,枚"
用麻黄,两
熟附块,g
不拘几只,None
白藜芦,分
焙热,克
焦槟榔,g
真锦纹川军,两
石决明,"克,g,两,None,钱"
金钱白花蛇,条
饭党,钱
制延胡索,g
罂粟壳,"None,克,两,g,个,两2钱,钱"
京柿,两
大鳖,个
煮半夏,g
二妙丸,g
前仁,"g,钱,克"
黑附块,钱
净萸肉,钱
真酥,克
沥桊油,斤
白槟榔,"None,分"
酒蒸,两
蜀漆,铢
酒地,两
生硼砂,钱
黑枣,"两,个,g"
不用生姜,None
生炙耆,斤
味入瓷罐,None
三七粉,"克,g"
金瓜蒌,g
炒竹茹,g
复搅匀,None
风仙花全草,株
片苓,两
大瓜蒌,个
度,两
瓦松,斤
再用生姜自然汁于银盂中浸一昼夜,None
弱酸,g
量,None
糯米或粳米,克
明朱砂,钱5分
鼠妇,g
山萸药,g
芦巴子,"两,g,克,None"
白艾蒿,束
大米粉,克
蛜蜥,两
刺力,g
生山楂,"g,None"
大胡麻,"None,克,两,钱"
75,None
牛乳汁,None
节,None
鸱头,"具,个"
蒸百部,g
前,None
青黛地,g
紫金片,分
牛子,克
贡桂,"钱,两"
田三七粉,g
海风藤,"两,g"
京半夏,g
黄药子,"g,两,克"
琉璃,个
茜草笼,g
炙附子,g
三七面,g
红花,"两5钱,分,None,克,钱,g,两,升,kg,石,钱5分"
真郁金,None
凤尾草,"克,g"
真广皮,None
荗,分
韭黄,斤
草龙胆,"两,钱半"
胎发,两
鸡子白,"枚,None"
苍耳草,两
白杨皮,"None,握"
栗子,两
萆藓,～15克
白面,"斤,两"
葛花,"克,钱,两半"
红藤,"g,None"
酸乌梅,g
合,None
生黄,g
青黛,"None,克,g,分,两,钱,两半"
制川厚朴,g
真沉香,钱
磈润,钱
四,个
石灰,"钱,分,斤"
半夏泻心汤,None
鹤虱,"g,克,两,钱,None,分"
生明没药,"克,钱"
术通,克
于白术,"两,钱"
干椹子,两
新开河参,g
真麻油,斤
臭黄,两
绢袋盛,None
补中益气汤去白术,None
西香薷,钱5分
泽兰叶,"两,克,g,钱"
芭蕉根,两
炒玄胡,g
丁香皮,两
三七,"克,g,None,钱,两5钱"
浸煅甘石,None
桑上寄生,克
拣丁香,"两,克"
土大黄,斤
炒术,None
黄花远志,g
胭脂,克
巴豆肉,"钱,枚,克,粒,个"
活甲鱼,两
炒柏子仁,g
生鸡金,g
大蓟根,g
用盐,克
炒玉米,g
以石灰如拳大,None
炮穿山甲,"g,克"
活性炭,g
槐角,"g,分,None,克,斗,两"
独活,"两,None,g,克,分,两半,钱5分,钱"
尖槟榔,"分,克"
再蒸至极黑为度,None
去肠,None
川巴戟,两
炙鸡内金,"两,g"
聚于一处,None
井盐,钱
甘节,两
桃条,None
泔浸,份
枣子,"斤,克,None"
糠油,g
草决明,"None,g,两,分,克,两半"
小磨麻油,斤
熟鸡蛋黄,枚
泽泻,"克,两,分,钱半,None,斤,g,钱,两半,钱5分,石,升,两5钱"
两细辛,两
母姜,升
四物汤倍白芍,None
生差,两
小者,个
鲜灵脾,g
嫩乌药,两
无天麻,None
橄榄,克
二陈汤加白术,None
灯草炭,钱
夏枯草,"g,钱,克,石,两"
菖辅,g
用新鲜连须全葱,-4斤
木耳炭,克
才倾入放下的药蜜,None
却于汤中炖,None
炒青蒿,两
营实,两
桃树脂,g
莲须,"克,g,两,None,钱5分"
好黄连,None
生薏米,"钱,克,～30克,g"
金钱草,"克,g,None,合"
川姜冬,两
大热地,克
合欢花,"克,钱"
姜皮,"克,g,None,钱,两"
一同复熬,None
汤泡洗,None
白马茎,两
白丁香,"钱,枚,升,None,粒,克"
微火同炒,None
有险,g
青皮子,两
更以米泔浸一宿,克
炙香附,"钱,g"
黑牵,钱
川苦楝子,两
虾蟆两个,钱
虎刺,g
洗净稍干,None
用姜汁与酒合和涂炙,克
牛乳拌蒸,克
娑罗子,g
欢花,g
羊胆干膏,g
蜡茶,两
盐黄柏,克
米酒,g
苍术苗,None
麦芽粉,"两5钱,两"
拣出枣,None
君子,钱
附子,"两,两半,个,克,钱,None,只,g,分,钱1字,份,斤,铢,枚"
西砂仁,克
毛,None
草果,"两,分,两半,克,钱半,钱,g,None,两2钱,两3钱"
白莲肉,两
决明,"g,石"
盐炒杜仲,g
百草霜,"钱,两,g,None,克,升,钱匕,钱5分"
禽胆粉,g
忍冬,"斤,两"
坚槟榔,克
荷梗,g
女萎,铢
乌贼鱼骨,"两,分"
白矾灰,"分,两"
澄,None
葛蒲,分
尖双仁,"None,两,两半,分"
如作米糖式,None
每个切作,片
胡椒末,"None,钱"
紫菀,"两,克,g,升,两半,分,两1分,钱,None"
五加皮,"两,克,None,g,钱,分"
生姜汁拌,两
为末用,None
为细末,None
黄雌鸡,只
象皮,"g,钱,两"
生姜汁,"瓢,合,升,钱,g,毫升"
石韦,"None,克,两,钱,分"
再添入后药,None
面针,g
大栀子仁,两
炒木香,g
—,None
翼首草,g
闪耀,g
莲心,"两,克,g"
昼夜,None
五谷虫,"钱,克,g,None,两,个"
铢萸,两
灯心灰,两
牛胆,"两,个"
山药,"克,两,斤,None,钱,两5钱,g,两1钱,钱半,～30克,升,石,分,两半"
鲫鱼,"None,枚,克,个3钱"
重汤蒸半日,None
葱子,两
天竺黄,"两,g,分,克,钱,字"
土赤硫黄,两
冷定难以扯拔,None
生黄花,g
桑灰亦得,None
用来年葱,根
豆熟,None
大枳壳,克
瓦上松,g
鱼脂草,g
以文武火烧取黑灰,None
红豆蔻,"克,g,钱5分"
]>,None
研极细末,None
制萸肉,克
葵根,两
拣参,"克,两"
老杉木,None
小把,None
川当归,"两,两半,克,None,钱半,分"
生芦根,两
白松脂,两
姜汁浸,两
参姜,g
朴消,"两,钱,None,克,分,两1分,两半,斗"
壮蛎,g
海螵蛸,"克,None,两,g,钱"
鸡金,g
羊肾脂,合
明净松香,"斤,-2斤"
构杞,g
韭白,斤
用竹划缓缓闭去热水,None
楝树子,两
山萸,"克,钱,g,None,两,钱半"
真细辛,两
600,None
肉苁蓉,"None,两,～15克,g,克,两半,分,钱2分,两5钱"
养麦面,克
即取出,两
风化消,钱
乏铧子铁,斤
黑牵牛,"两,克,g,None"
瓜荽,g
子黄柏,g
柿蒂,"g,支,None,钱"
细锉,None
川槿皮,克
豆豉心,合
第一炉,None
桑螵,分
真绿豆粉,"斤,钱"
黑姜L,克
用水研,None
白面粉,None
牛蒡子,"分,钱,克,g,None,两"
生车前仁,g
核黄素,g
匾蓄,"克,g"
潞参,g
苏叶,"两,两5钱,克,None,g,钱半,钱,分"
白附,None
澄清再水飞,None
净巴豆霜,分
香附,"克,None,两,斤,钱,分,g,钱半,两半,两6钱,钱5分"
山栀炭,g
瓜蒌,"分,g,两,钱,枚,克,None,个"
蓖麻肉,两
萆薢,"两,g,至5钱,石,None,钱半,分,克,钱"
拌和罨,None
橘饼,克
浮萍草,"None,g,分,克,钱"
胡连,"g,钱,两5钱,克,两,None,分"
麝香半字,None
红塘,g
炙白术,g
香薷叶,克
炙僵蚕,钱
先去筋膜,None
仙茅,"g,克,两"
龙荟,None
乘湿研,克
银屑,分
花蕊石,"g,None,两"
淡附片,"g,钱"
令汁尽,None
将半夏银石器内,None
盐水拌炒,克
干马齿苋,g
别捣,两
生锦黄,g
黄芪,"克,分,钱,g,None,两,两5钱,份,升,石,两半,钱半,钱5分,两1分,kg"
鲜萍全草,g
蜜半匙,None
平胃散,两
蜀葵根,分
生明矾,钱
舶上硫黄,两
五味手,None
切作算子条,克
拔葜,g
小麦麸皮,g
人粪霜,None
研烂,None
地塞米松,g
活鲤鱼,尾
干莲肉,克
清夏,钱
上牙消,钱
王瓜子,个
桃,两
大枫肉,钱
大金钱,None
酒黄芩,钱
北芪,g
生蕈,两
雄蚕蛾,"两,g,分"
生箭耆,克
马齿苋,g
"马
齿苋",g
明乳香,钱
炙鸡,g
于地铺纸出火毒,None
松节,两
北,None
饭锅巴,面
景天,两
不令见水,None
全归,钱
用山黄土拌,克
[方源]古方化裁,None
银石器中熬成膏,斤
川黄柏,"两,g"
木鳖仁,两
生天门冬,两
鹿胎,两
北柴胡,"g,钱,钱半"
青柏叶,两
葫芦茶,g
火煅全赤,None
当归尾,"克,g,钱,两"
山铁均,g
芸桔梗,分
候药焦黑色,None
蜀红藤,g
苍术,"分,两2钱,None,克,两,钱,斤,g,两5钱,两半,钱半,千克,钱3分,钱5分,石"
芍,"钱,g"
淫羊藿叶,g
杭青皮,"克,None"
捣饼,两
盔沉,"钱,两3钱"
炙甘划,g
重楼,"g,克"
胆矾,"分,钱,两"
鱼脑石,g
真龙脑薄荷叶,克
竹柴胡,g
芸苔子,"分,两,钱"
精盐葱白,茎
巴豆去亮,粒
川谏子,g
生果末,g
干白凤仙茎,g
桂花,钱半
炙没药,None
黄芩,"两,分,None,克,钱,g,-2钱,钱半,两半,钱5分,铢,斤,石"
炒陈曲,g
白苓,钱
宣州大木瓜,个
马屁勃,两
柳枝,"斤,钱,None,两,厘"
焦三仙,"克,g"
乳香珠,g
绵白糖,～100克
甜瓜蒂,"钱,分,None,-7枚,枚"
好漆,升
川椒红,两
面和作饼,两
五月艾,g
麸炒微黄,"None,两"
月季花,克
蛇泡筋,g
赤勺,g
扶芳藤,None
王不觅行,g
广茂,克
独枝,两
甜葶苈子,两半
炙乌蛇,g
瓜蒌皮,g
红雪,两
连根收采,None
紫厚朴,"None,钱"
炒苍耳子,克
大风子肉,克
干胭脂,"两半,两"
黄芩浸膏,g
川椒l,g
色萎黄者,分
白蔹,"克,分,两,None,钱,g"
炼白蜜,两
贯众,"g,两,None,钱,克"
紫苏,"分,克,两,g,None,钱半,钱,叶"
坯子胭脂,钱
小生地,两
透骨草,g
蔗糖,g
槟榔八,两
小蓟草,g
甘草水煮,克
藁本,"两,斤,None,克,g,两5钱,分,两半,两18铢"
黄蜀,None
纸裹浸湿,None
鹅不食草,份
倾入前蜜中,None
椒,两
日[扌采],None
砦胡,g
萆,克
猪牙,g
皇浆,None
龙眼睛,g
白豆蔻,"两,分,钱,None,克,g,钱半,两5钱,两6钱,枚,钱5分"
东平薄荷,钱
半寸截,None
酒炒黄连,g
锡,两
姜汁作曲,克
防己,"克,g,两,钱,None,分,铢,两半"
诃子皮,"分,克,钱,两"
黎辣根,g
杜衡,两
樟木,g
生百部,g
参三七粉,g
罗参,两
炒补骨脂,克
如无牛胆,克
生巴仁,两
薏苡根,两
盐汤浸,"分,克,两"
真茅山苍术,克
山揸,克
铜刀刮,None
五瓜龙,g
羊腰子,个
炒川断,g
楂曲,g
鸡脚风叶,None
消煅礞石,钱
炒黄芪,g
上盖瓦片,None
黑槐树枝,g
枯矾,"g,钱,分,两,克,None,钱5分,两8钱"
不灰木,分
童子小便,合
如法收贮,None
生地黄汁,"斗,合,升,两"
临合将线缉死,None
大蛤蟆,枚
以姜研细,None
沙苑子,"g,两,None,克"
前胡,"分,两,钱,g,None,钱半,两半,克,钱5分,钱2分"
翻白草,g
二陈汤加炒栀子,None
入盆内滚水炼蜜,None
处入银锅中,None
净知母,克
层豆,None
雄黄精,钱5分
北山楂,g
山檀,克
水浸一宿,克
海粉,"None,两"
澄去滓取清,None
投入水中,None
生粳米,钱
刀豆,g
附子尖,个
同入慢火灰中煨令面熟,克
陈香橼皮,克
茯苓,"钱,克,两,斤,None,分,两半,g,钱半,两4钱,钱5分,至5钱,～15克,千克,～50克,份,石,两2钱,两2钱半,两5钱,两6钱,铢"
羊肝,具
牛脑,具
泥封固,None
煨黄赤色,None
辰州朱砂,钱
木灵芝,g
一炒研,None
广狗鞭,None
生黑白丑,g
真川芎,"None,两3钱"
仍用冷水一倾,None
虎杖,"克,g,None"
颗块朱砂,两
生姜数片,None
琥珀末,g
上辰砂,钱
多年粪礞末,克
桃奴,枚
钩藤钩,克
辽,味5钱
鸡冠花,"g,两"
川归,"分,钱,两"
米醋浸,None
皂荚刺,None
樟脑,"字,钱,分,g,克,钱5分,None"
生苍术,g
鲜竹叶心,克
棘刺,两
人参量加,None
栗楔,两
蒸九次,克
鲜荷叶边,克
乌头尖,个
人中白,"g,两,钱,None,克"
蜜陀僧,两
藕粉,～50克
苣胜子,"克,～15克,两,合"
入甑中,None
茯柃,g
千里光,"None,g,克"
煨木香,g
去梗,两5钱
乌头,"None,克,斤,分,两,铢"
半边莲,g
白薄荷叶,分
酥炙令焦,None
熟苍术,None
猬肝,具
核桃连壳,个
槟榔,"钱半,枚,两,钱,g,个,两半,克,分,斤,None,～10克,钱5分,两2分"
鸡屎白末,g
栝楼实,"枚,两"
木瓜,"两半,分,两,None,g,克,钱5分,钱半,钱,枚,个,斤8两"
水浸同炒燥,None
将面身等骨,None
桑根白皮,"两,分,两半,克,None"
炒芥穗,"g,钱,克"
佩兰叶,"g,钱"
干山药,"两半,钱,两,克,None"
木条,g
桑枝,"None,斤,g,两,克,钱,厘"
苔乌,g
稻谷芽,升
酒炒楂炭,钱
三十,两
炙草.,g
炙黄耆,"钱,钱5分,克"
参苓平胃散,克
淮小麦面粉,钱
人参随便,None
苞术,g
葵树子,g
龟板,"g,None,两,分,两半,钱半,钱,克"
蟾蜍,"None,个,枚,g"
炮山甲粉,克
蛇衔草,两半
蚕砂,"克,g,两"
一应事件仍装入鸡肚内,None
锡内散,g
取全翅足,None
火煨,None
白萸,石
人乳浸透,克
砂仁后下,g
京赤芍,"克,钱"
炮附子,"g,钱"
土炒白术,"克,None,g"
紫河车,"具,kg,g,两,None,克,个,钱2分"
蘖本,两
布渣叶,g
以生姜,"两,克"
土瓜根,两
麝香草,g
大槟榔,两
海桐皮,"钱半,两,克,g,None,钱"
防葵,"分,两,两半"
地黄,"两,None,g,斤,克"
苏子,"钱,两,克,None,g,分,升"
猪大肠,None
搅数,None
马钱子粉,g
乘热捶碎,两
牛李子,两
同淹,None
川朴钱半,None
败酱草,"克,g,两,斤,None"
九香虫,g
光草乌,克
晒干煅红为度,None
生硫黄,"两,钱"
炒槐花,g
灸甘草,g
岗稔根,克
川楝肉,"钱,两"
白当归,分
爵床,"g,None"
海马,"对,g"
觑葱软熟为度,None
二甲基亚矾,ml
固体猪胆,g
红石扁豆,钱
大黄芎藭,克
刘奇奴,两
溲面作饼子,None
鲜车前叶,～60克
四圣汤加石菖蒲,None
并膆内宿食,None
炒苍术,"克,g"
鸦胆子,g
铛墨,钱
切作片子,"None,两"
酒扁柏,钱
白霜梅,个
桃仁,"两,None,克,g,份,钱,分,铢,个,钱7分,粒,斤,两半"
节裂角茴香,g
原麝香,分
大麦蘖面,克
杜藿梗,钱
双仁,"两,克,None"
生芡实,"g,钱"
柏树细枝,两
广砂,钱
层药,None
真马宝,g
白鲜皮,"克,g,钱,两,None,分"
连翘,"两,克,钱,g,None,两半,分,钱半"
白及粉,g
赤豆脂,克
多年煮酒瓶头箸叶,None
鲜山枣树根,g
炙黄柏,g
剥核,None
猪茯苓,克
香虫,g
丹以,g
红彦另煎,g
当是,g
以黄色为度,None
香薷,"None,克,两,g,钱,钱半"
用冷水内浸一宿,None
井泉石,"None,克,钱"
小罗伞,g
生薏苡米,g
苎麻根,g
再用生姜自然汁搜成饼子,None
用花椒炒,两
黑毛小母鸡,只
苣蕂,升
黑面神,g
楝根皮,None
陈小米,g
降香,"两,g,两5钱,钱,None"
土藿香,g
维生素V半份,None
苍耳子l,g
地龙粪,"g,两"
寒食面半匙,None
大豆卷,"None,至5钱,～15克,g,分,两"
猪胆,枚
柏子仁,"两,克,g,钱,None,分,两半,铢"
桃枝,"斤,厘,钱,g,两"
酸枣仁,"两,两5钱,None,克,g,分,钱,合,钱半,两半"
倒挂阴干,两
建曲,"钱,两,g,None"
砂仁未,克
炙令黄,None
米醋半盏,两
鸦翅,对
如冬月只用,两
煅乌贼骨,g
枳亮,分
腊月炒米,斗
丁香末,None
公丁香,"两,钱,克,分,两半,g,钱1字,None,枚,份,个,钱半,升,钱5分"
干地龙,g
茯芩,g
诃子,"两半,两,枚,分,g,克,钱半,钱,个,None"
好面,克
白丝毛乌骨雄鸡,只
蛮虫,g
获苓,克
乳没,g
西瓜霜,"钱,g"
榧子,g
荆南,两
上秦皮至石决明,None
于纸上阴干后,None
炒谷麦芽,g
犀角末,分
通草,"g,克,None,分,两,钱"
代赭石茯苓,g
以绵滤滓,None
研如糊,两
白扁豆,"两,克,斤,None,两半,g,两1钱,钱,～30克,钱5分"
核桃肉,"克,None,斤,g"
自死龟,个
飞龙掌血,g
天葵子,g
石南草,克
血猫灰,两
甘松,"两,钱半,克,g,None,钱"
白梓皮,g
番泻叶,g
胡桃瓤,"斤,枚"
加入乳汁,None
生于术,克
黃连,克
酒川军,g
白月石,分
木瓜干,"None,两"
醋鳖甲,g
人乳,"None,毫升"
马鞭梢长,寸
伸筋草,"g,面"
炭灰,"g,升"
柳木耳,两
焦栀,g
白花蛇舌草,"克,g,重,None,石"
至次日去连水,None
葡萄干,g
烂研,None
苍耳茸,None
鹿鞭,"两,条"
去巴豆不用,两
败蒲,两
君子仁,两
安于密甑中,None
槐胶,两
白术炭,"g,克"
杜松子,钱
%生石灰,g
石莲,None
葡萄糖酸钙,None
炮姜柴胡,g
田七末,g
准药,g
地龙,"g,克,两,None,条,钱,分,两半"
不可浸雨,None
只用打死者,None
杭白药,g
绵黄耆,"None,钱,两"
松枝,两
日炙沙,两
生龙脑,"克,钱匕"
当归l,g
边桂,g
连皮生姜,斤
瓜壳,g
南楂炭,g
炒乌药,g
去根净,None
飞廉草,克
乳糖,两
吴荣茯,g
鸡爪三棱,两
马尾连,g
海浮石,"g,None,两,克"
小续命汤一料加石膏,两
山莱萸,克
酸枣,g
龟版胶,"g,两"
榴皮,g
紫参,"g,两"
湿山药,克
黑豆衣,g
去白衣壳,钱
熟枣仁,g
硝石灵,g
片子姜黄,"两,克"
肥皂夹灰,克
鹰不扑,g
天,None
柳,两
乳妇蓐草,分
救月杖,两
消石末,钱
熟蜜,两
白花蛇肉,两
白虎汤加柴胡,None
时,None
制天麻,g
入地金牛,g
家菊花,None
柴服,g
大青干,两半
紫荆皮,"克,两,None"
忍冬藤,"g,克,两"
谷精草,"两,钱,None,g,克,分"
生延胡,两
术香,克
嫩松脂,g
去赤皮,None
桑寄,g
荆三棱,"两,分,None,克,钱"
怀地黄,两
汤洗七遍,克
浙茯苓,"钱,克"
皂角针,克
乌附片,"g,克"
蛴螬,"g,枚,个"
陈墨,锭
陈皮,"两,None,分,钱半,克,钱5分,钱,g,铢,两5钱,两半,斤,两7钱,升,两2钱,钱7分,千克"
麻油,"毫升,两,斤,ml,g,克"
铅霜,"两,None,钱"
煸扁豆,g
并去脂皮,None
皂角,"克,两,None,梃,g,斤,钱,升,钱7分,分"
枳壳,"None,两,克,分,钱,至5钱,～15克,两5钱,g,石,份,两半,钱半,两1分,钱7分,斤,钱5分"
括皮细切,None
阿胶,"克,两,g,钱,None,片,钱半,分,两半,-7粒"
澄清,None
甘草节,"分,两,None,钱,g"
鸡屎矾,两
新蒲黄,钱匕
大芡实,g
白莲须,克
椿根白皮,"克,两"
净洗,"两,None,克"
生白术,"克,～60克,g"
铜绿,"g,克,None,分"
猫爪草,g
刺五加,"None,g"
藿叶,None
待至次年,None
白松香,None
厚扑,g
煨甘遂,"g,None"
花正开时,None
铅白霜,"钱,两,克,分"
何首乌,"两,g,克,None,斤,分,钱"
桑肉皮,分
炒甘草,两
雀爪,个
白砂糖,"斤,克,～300克,g"
洋青黛,钱
绵白芷,钱
炒香附,"克,g"
炒没药,g
淡豆豉,"两,g,粒,合,枚,None,克,钱7分,升,分,钱"
味同炒,None
百部粉,g
口耆,钱
童便浸,"分,克"
骨余,克
苦地丁,"g,两,克"
仓粳米,合
硇砂,"钱,两,None,钱6分,分,克,g,字"
大青叶,"g,两,钱,None,克,斤,分"
金荞麦,"g,None"
大蒜,头
炒出汗,斤
麦糵面,分
炒荠苈子,g
朝槐花,g
丝瓜汁,ml
清炙甘草,g
野天麻,None
只用星,None
微炒,None
砂仁壳,None
牛角人,枚
淫羊藿,"钱,克,g,石,None,两,钱半"
土茯苓,"两,克,～100克,g,石,斤"
莲米,"克,两,g,None"
刮下净肉,None
橘子,克
皂角子,个
再用生姜,斤
冷水七,g
核桃油,g
着在炉中,None
川姜,"两,分,克,钱半,钱,None"
冬葵子,"克,g,两,钱半,合,分,None"
冰糖,"g,None"
盆子,两
剖开去肠内污物,None
炒陈皮生,g
生百合,两
葱头,"枚,钱"
河子,g
用干地黄,两
桔枝,g
黍米,"个,升"
制熟附,钱半
香木缘,g
猪肝,g
蚵蚾,None
一藿香,None
大附子,"两,个,None,钱,分"
柏勒儿茶,g
辛夷花,"g,克,两"
羖羊角,两
蛄蛭,g
玉糠,g
绿七爪,两
溪黄草,g
白直丁香,个
蜂蜜,"None,毫升,斤,千克,g,升,kg,匙,合"
水芦根笋,钱
小桂枝,g
麒麟蝎,两
桂元肉,g
甜白术,两
捶碎,None
麻黄,"分,钱,g,克,None,石,钱半,两,两2钱,两半,斤"
琐阳,钱
酒浸,"斤,份,分,两,None,克,两半"
凤凰衣,个
海金沙藤,"None,g"
黛蛤粉,g
腊月猪血半合,None
熊胆,"克,钱,g,两,分"
龙胆草,"克,两,分,g,None,-2钱,kg,钱,两半"
桂元,两
制附子,"克,g,None"
薤白,"克,g,茎,None,斤"
滑石用青色者佳,None
芦根,"g,两,None,分,克"
杏仁水,ml
白矾,"克,两,g,钱,None,文,分,斤"
川木瓜,g
鲜樟树叶,g
红糖,"克,g"
屯,None
纸糊碗口晒干,None
绵黄,两
小蓟,"g,None"
西秦艽,克
少年红,g
蛇倒退,g
珍珠母,"g,石"
甘露醇,g
鸡肝,克
四物,None
海螵蛸粉,g
生胡桃皮,None
拌炒,克
趁热切作片子,None
麸炒,None
楷杷叶,None
淡婆婆根,钱
晋州绛矾,两
露,None
不洗,克
甘草麻黄,None
黄豆,g
然后利下,None
生干地黄,"克,两,两半,分,None,两1分"
贯众炭,g
大乌梅,个
苡米根,克
鹿茸,"None,两,钱,分,g,两5钱,个,克,对,具"
菜菔子,g
炙干草,g
丝瓜藤,g
菟丝子补骨脂,g
小蓟根,克
母鸭,只
O鸡内金,g
大鲫鱼,克
夜交藤,"g,合,克"
细茶末,两
吴蓝,两
全龙衣,条
加萆薢,None
马蔺子,两半
淹两宿,None
秦艽末,两
醋延胡,两
扁蓄,"g,两"
芡实肉,"千克,斤"
赤石胎,g
活,g
用雪水或长流河水,升
焦黄柏,钱
黑锡,克
骨碎补,"g,克,钱,两,None,两半"
猪蹄退,None
白占,"克,None"
芦荟,"钱,钱半,克,g,None,两,分"
南粉,分
太子,g
荜拔,g
煨肉豆蔻,g
姜,"None,两,g,片"
苦瓠末,钱
元胡,"两,克,None,g,分,两6钱,钱"
炒山桅,g
同杵为饼子,None
鸡蛋花,g
入冷水一冰即取出,None
双钩藤,g
核桃仁,"钱,g,两"
抱木神,g
榆白皮,两
盅,None
树上鸣蝉,None
豆蔻子,枚
怀牛膝,"g,克,None,两"
雷丸,"g,两,克,个,分"
焦米仁,g
随风子,"None,克"
三七粉冲,g
黑人参,None
苦参根,g
白薇,"两,克,石,g,分"
川丁皮,两5钱
益智仁,"两,克,钱,None,钱半,～30克,～50克,g,石,钱5分,个,分"
二百二,两
蝎稍,分
号,"g,None"
丝瓜络,"g,寸"
鲮鲤甲连项锁骨,None
狼毒,"克,分,g,两"
小建中汤加黄耆,两
金脚信,钱
橘叶,"g,片,克"
多则,None
炒山甲,g
石楠藤,两
猫肉,～250克
掌叶半夏,g
炒归尾,g
枫子肉,斤半
春不去,None
江艽,g
代赭,"两,两半"
蛜螂,两
牛角腮,g
醋延胡索,g
地龙肉,克
无寸香,g
黄蜀葵花,钱
制军,g
羌活鱼,g
田七粉,g
土槿皮,g
六君加柴胡,None
葱根,个
赤足蜈蚣,枚
如前再拔,None
研称,两
穿山甲半个,None
补益智仁,g
延胡素,两
川椒炭,"g,分"
炙龟版,分
干白术,g
红花子,"两,合"
青子芩,"钱半,克"
炒天虫,克
盖上,None
失笑散,g
开麻,g
桑黄,"分,两半,两"
乌贼骨粉,g
龙齿,"None,两,两5钱,两半,克,两1分,分,g"
水煮软揉取汁,克
鸦胆子胶囊,g
山栀子,"克,None,两,分,g,钱"
生龙齿,g
一半生,None
切时勿用水泡,None
野菊花,"g,钱,None"
焙干为末,None
大麦芽面,钱
放鳖甲内慢火熬干,None
绯绢,分
姜黄,"两,两半,钱,克,g,None"
密陀僧,"两,钱,分,None,克"
白牵牛,"g,克,钱,两"
香附子大,None
海金砂,"克,g,None,两,分"
白米,"斗5升,g"
加胡黄连,钱
入人乳浸,None
生老姜,两
白戟藜,两
用一半,None
瞿麦,"None,石,g,两,分"
翘,g
割开,None
虎骨胶,两
白前根,g
水尽为度,None
枯白矾,"None,克,两,钱"
血,克
大瓶,None
取艾,None
地榆,"克,None,g,两,钱,斤,分"
穿,None
法夏,"克,钱,g,两"
鬼臼,两
无明粉,g
烧酒,斤
大蓟,"g,None,两"
将,None
炒冬术,两
山柰,g
白人参,两
海螵鞘,g
开一盖子,None
蓼叶,两
蜂花粉,g
竹沥半夏,g
渐贝母,g
槐子仁,两
小枳实,"克,g,钱"
陈煮酒,None
以水,斗
炒赤芍,g
酒芍,"钱,None"
子于炉下,None
无孔者,None
咀,None
淹,None
青蒿,"克,g,None"
蜂王浆,None
陈枳壳厚朴,克
苓块,两5钱
椒目,"克,石,g,分,两,钱"
调,None
蓝实,"两半,克"
全瓜萎,g
冰片,"钱,份,g,克,None,两,分,字,厘"
大抵勿令过与不及,None
寒水石粉,两
取葱白,握
与何首乌重重相间,None
掠去沫,"两,克,分"
见川,g
白建莲,克
马兜铃,"g,克"
秫米,-7粒
福泽泻,g
每粒分作八小块,克
零陵香草,None
拣桂,克
炒山栀,g
覆盆子,"两,克,g,钱,None,两5钱,斤"
川乌头,"两,钱,克"
生螺靥,两
腻滑石,克
放冷,None
炒白扁豆,"两,两5钱,g"
天南星,"克,两,钱,分,g,None,两半,钱半,个"
日夜,None
草血竭,g
山甲片,钱
好酒浸,None
苏梗,"克,g,钱,None,钱5分,分"
二母,None
白晒参,g
制附子先煎,g
煎干,None
琥珀,"两,克,两5钱,g,None,升,分,钱"
炒栀,None
干枫荷梨根,g
白盐梅,None
取出晒干,None
捣碎研,None
苦竹叶,"克,片"
鼠曲草,None
蒸过,None
川药,g
蛇蜕,"克,g,None,两,条,钱"
冬凌草,g
欢,g
基草,g
空破石,g
核桃夹,克
丹麦参,g
制川朴,"g,钱"
防风炭,g
炒地榆,"g,两"
白芨粉,g
连皮草果,两
黛蛤散,g
酒拌,"分,克,None"
蛤蟆草,g
雄黄面,分
古贞子,g
北桔梗,克
鸡子黄,"g,个,枚"
萆茇,两
胆南星,"g,两,石,钱,克,钱2分,None"
杵细,None
漆牛膝,g
芜荑仁,"两半,两"
坐放砂锅内,None
祈艾,两
生北黄芪,g
焦山栀钱半,None
豆浆汁,克
干楮叶,两
哺退鸡蛋,个
