雄黄,"克,None,分,g,个,钱,两"
苏叶,"钱,两,克,None"
外再以厚泥包圆,None
白附,"克,钱"
净巴豆霜,克
生香附,两
远志,"g,两,钱半,克,分,钱,None,钱5分"
瓜蒌,"克,g,钱,升,两"
绿豆,"g,钱"
巴豆仁,克
萆薢,"g,两,石,克"
莱菔子,"两,克,g,钱"
干水蛭,枚
橘饼,克
漏芦,"None,g,两"
胡连,"None,克,g,钱,两"
净朴消,克
红塘,g
白云苓,克
生滑石,g
皂荚仁,分
仙茅,"g,None"
花蕊石,"g,钱"
刺猬皮,两
水牛角,"克,None,g"
石青,两
生姜汁,"滴,合,None"
盐水浸,"两,克"
麦冬,"钱,两,克,g,～9克,None,升,石,两半,分,两5钱"
黄芪,"两,克,分,钱半,None,钱,g,两1分,两半"
白头翁,"g,两"
去衣,钱
白绒鸡,尾
牛粉肠干粉,g
水调盏内,None
川方贝,克
炙细辛,g
生何首乌,g
糯稻根,g
炒子芩,g
牛胆南星,钱
青蛤壳,g
蕤仁霜,克
寄奴,None
肉豆蔻,"g,分,克,两,个,枚"
酒黄芩,"g,克"
胖大海,None
铁华粉,None
风尾草,g
阿魏,"分,钱,g"
草决,克
琐阳,钱
鲜枇杷叶,两
关木通,g
黄连粉,None
马齿苋,"克,None,g"
入小砂罐内,None
明乳香,钱
南芎,钱
菟丝子,"None,两,克,g,分,钱,两4钱"
怀熟地黄,克
了,None
添火加炭,None
鲜地汁,毫升
煅瓦楞子,g
开瓶筛,None
生芡实,g
火消,两
阴干百日,None
蒸熟,None
当归尾,"克,钱,两"
灸甘草,g
选洁白者,None
浸一宿,"克,None"
制炉甘石,g
苍术,"两,克,斤,None,g,分,钱半,钱"
驴乳,升
车前子,"斤,克,None,钱,g,两,两5钱,两半"
葛根,"钱,克,两,分,None,g"
马蔺花,"两,None"
澄清换水,None
重楼,"克,g,两"
胆矾,"克,钱,分"
耆,None
枇把叶,克
先姜汁,None
芸苔子,g
深尺余,None
杜仲,"None,两,两半,克,g,分,钱半,钱"
桂花,两
用童便炙,斤
黄芩,"None,钱,两,两半,克,～10g,g,钱5分,石,分"
珍珠末,钱
陈鹿胶,钱5分
黄芪粉,g
焦三仙,g
架火将球放炭火上炼,None
舶上茴香,两
玳瑁,分
犀角屑,"分,两,克"
麦门冬汁,升
剪草,斤
犀角,"克,钱,None,g,两"
真韭子,两
麸炒微黄,None
赤勺,g
朱灯芯,g
狗肾,具
豆牛子,-7枚
椿白皮,两
蛇蜕,分
瓜蒌皮,"两,g"
酒浸软,None
紫厚朴,钱
醋石榴皮,两
川红花,g
射干,"克,g,两"
