雄黄,"钱,g,分,两,克,钱5分,None,分5厘,钱3分"
胡桃,个
海藻,"两,克,g,升,None,分,钱"
天竺黄,"克,g,分,两,钱"
大蒜不以多少,None
水银,"分,两,两1分,钱2分,None,克,钱"
以冷盐汤湿润瓦器盛,None
乌鱼骨,"None,两"
入新瓦罐子内,None
青果核,"钱,g"
鹤虱草,克
O花粉,g
以布子拭去水,None
砒霜皂子大,None
莲子汤,g
石斛草,None
茶脚,None
缩砂仁一十,两
栝蒌皮,g
地鳖虫,g
大黑豆,斗
穿破石,g
灯心草,"钱,厘,g,克,茎,None"
枣子入,块
丝瓜近蒂,寸
又切作,块
以炭火,斤
五金,g
葶苈子,"两,克,g,钱,None,分,合"
棕毛皮,None
熟水,斗
甘草煎汁浸,None
制松香,钱
闹洋花,"两,g"
母丁香,"两,粒,钱,分,枚"
雪茶,g
冬葵子,"g,克,石,合,None,钱,两,升,分"
用巴豆,粒
瓜蒌壳,g
猪芩,g
酒精,ml
干熟地黄,两
韭菜,"g,None"
壳并向里实如粟零壳及枝叶,None
茜草炭,g
山桅子,g
揉浓汁去滓,None
藿朴夏苓,None
甘州枸杞,"两,克"
烂捣,None
木黄连,g
陈棕榈,None
连翘芦根,g
祁艾,两
鼠屎,-7枚
丹皮炭,g
鲜杠板归,g
石韦,"两,g,克,钱"
紫苏叶油,ml
明雄,钱
猪牙皂角,"挺,钱,克,None"
川尖贝,钱
制杜仲,钱5分
川羌活,"钱4分,None,g"
用法酒,升
巴霜,钱
硼砂,"g,钱,克,两半,两,None"
豆粉,克
鲜生地,"g,克"
参麦饮,None
橘络,g
云母粉,两
黄柏,"g,两,克,None,钱,分,千克,钱半,钱5分,两3钱,两半,两8钱"
钩藤皮,分
大半夏,个
狗宝,钱
腊月猪脂,合
甘草水泡,两5钱
栝萎皮,g
去苗,克
川苦楝,None
桔便,g
连皮茯苓,g
细切,None
大川芎,"g,None"
青黛些少,None
艾叶末,分
木臼内杵,None
曲,"克,分"
味药滓不用,None
梨汁,"None,杯"
清炙枇杷叶,g
桂元肉,"千克,g"
海金沙等大,None
六轴子,g
辛荑,g
大麦糱,两
青竹茹,两
麦麸,升
男用雌者,None
杜蒺藜,克
皂角黄仁,克
兔脑髓,None
藤梨根,克
乃取澄晒干,两
绿豆粉,"g,分,两,克"
素兴花,g
