雄黄,"钱,g,分,两,克,钱5分,None,分5厘,钱3分"
狗脊,"g,钱,克,None,两,个,分,两半"
净菊花,两
大盏,None
川芍,"g,两"
麻皮缠定,None
六月六日,克
桂肉,两
鸡屎白末,g
栀仁,"None,克"
鱼腹草,g
干马屎,g
海桐皮,"两,克,None,g,分,钱"
狗骨,g
续断钱半,None
白敛,"两,None"
制附片,"g,克,分,钱"
白僵,None
鱼鳔,"克,钱"
两,None
板蓝根,"两,克,g,分,None"
骨磷,g
熬至,分
生甘草,"g,克,钱,分,None,两"
槲叶,两半
大分,None
夜浸昼晒,None
醋两盏煎令醋尽为度,None
马兰根,g
九蒸,None
令水脉尽,None
西瓜霜,"g,两,None"
祁艾炭,两
长截,None
收干,None
蟋蟀,g
坎期,条
焦槟榔,None
焦栀,"钱,None"
金钱白花蛇,"条,None"
生石斛,两
后,None
饭党,钱
苦参末,分
罂粟壳,"None,g,两半,个,分,两"
吴荣茯,g
豉心,两
煮极烂,None
用灰火,None
煮半夏,g
半边莲,g
前仁,g
吴白术,克
真酥,升
是川产者佳,个
白槟榔,"枚,两,两半"
酒蒸,None
以好酒浸,None
酒地,"两,钱"
真金箔,张
生硼砂,两
生甘蔗,g
沙范子,g
苯巴比妥,g
山楂核,g
生荸荠,g
麦糱,两
三七粉,"克,None,g"
炒竹茹,"g,钱"
五灵脂钱半,None
礞石,钱
琥珀面,g
八味丸去附子,None
度,None
保首乌,g
麻子仁,"升,斤"
青竹皮,两
细生地,"克,g"
丁香皮,两
苍耳头,两
甘柿蒂,个
血蝎,"g,钱5分"
生荷叶,g
芦巴子,"g,两,None,克"
白艾蒿,束
黑浆胡,g
楸皮,克
生山楂,"g,None"
大胡麻,"升,None,克"
槐米,"g,None"
赤金,钱
猪膀胱,个
甘草捎,克
花胭脂,两
天南星末,钱
入地老鼠鲜品,g
牛子,None
贡桂,"两,钱"
田三七粉,g
燥皮,g
海风藤,"克,g"
踯躅,"两,分"
黄药子,"克,两,g,分"
茜草笼,g
红花,"g,两,克,钱,None,石,升,分,份,钱5分,钱2分"
佛香,分
凤尾草,g
炒栀,"分,钱"
甘草稍,g
苦竹叶,两
草龙胆,两
鸡子白,枚
参叶,张
姜汁炙,None
白面,"None,斤,钱"
葛花,克
广皮红,克
以手折断,None
蒸半炷香,None
合,None
生黄,g
生川军,"克,g"
青黛,"两,克,g,钱,None,分"
生姜自然汁浸,None
驴肾,两
于器椒红,两
金线重楼,克
茅胆,两
升麻梢,克
鹤虱,"钱5分,两,钱,None,g"
生明没药,"克,g"
莹白童便,杯
牛乳拌,None
芦根汁,None
新开河参,g
真麻油,斤4两
草乌,"g,None,两,钱,克,分,斤"
胶饴,克
元胡粉,g
制磁石,g
生甘遂,g
带须葱,根
三七,"g,克,None,两,钱,分"
荜茇,"两,None,g,钱,克,分"
出火毒,None
慎火草,升
干山药,"两,克,None,钱"
生侧柏,g
葛叶,None
令水尽为度,None
并去脂皮,None
矾,None
煮取汁,毫升
黄花远志,g
胭脂,分
巴豆肉,钱
干猪胆,None
炒柏子仁,g
大蓟根,g
锻瓦楞子,g
大果榆,g
夹双仁,None
槐角,"分,g,两,None,两半,两1分"
石柱参,两
独活,"None,克,两,钱,g,两1分,钱半,分,两半"
尖槟榔,g
去肠,None
川巴戟,两
黄蚁,g
？女贞,g
西党参,"g,钱"
细辛酌量,None
须用,None
蓝花,两
广藿香油,ml
蜘蛛,枚
泔浸,"两,两2钱,None"
枣子,个
炒蕲艾,分
草决明,"克,g,两,None,两半,分,两1分,～15克,两4钱"
母姜,"两,斤"
滇三七,g
针者,None
每个切,片
炒前仁,克
名马矢蒿,None
鸡苏散,g
白土,钱
人指甲,"g,None"
黑豆,"-30克,千克,克,升,g,合,None,两,两6钱,斗"
黄皮树叶,g
田三七末,克
酒煮干,None
木耳炭,克
自中至尾,两
米醋浸透,None
莲须,"克,g,两,None,钱"
鹿肉,千克
麻雀,只
生姜汁调作饼,两
生薏米,"g,钱"
七孔猪蹄,个
金钱草,"克,g,None"
棕菩皮,g
熟帛捩,None
合欢花,"None,克,g"
姜皮,"克,g,分,两"
白丁香,"分,g,钱,分5厘,None,克"
干薄荷末,钱
生猪脂油,钱
青皮子,钱
米泔水浸,"None,两"
石,两
炙香附,g
牛黄,"克,None,g,钱5分,粒,分,字,两,厘,钱"
生牛膝,斤
洗净稍干,None
更用锅子坐,None
娑罗子,g
马鹿角不用,None
牛膝炭,钱
枸杞枝,寸
绯帛子,两
酒黄柏,克
盐黄柏,"两,g"
路通,None
麦芽粉,两
水龙骨,None
西砂仁,"克,钱"
黑磁石,克
醋制香附,两
大蛤蚧,对
微炒,None
紫茱莉根,g
半枝莲,"克,g,石,None"
决明,"g,石"
加明乳香,None
雄猪油,None
如在足,None
白贡术,钱
瓷瓦片刮去粗皮,None
怀牛膝,"两,克,g,None"
瓦器盛,None
荷梗,"None,g"
青胆矾,None
黄杨头,个
涂酥炙焦,None
浙母,g
广木香,"两,克,钱4分,g,钱,钱5分"
降真香节,钱
澄,钱
尖双仁,"None,两,枚,分"
酒炒木防己,钱
糯米饭,g
胡椒末,分
降香末,钱
五加皮,"g,克,钱,两,None,分,两半"
饴糖,"毫升,两,g,斤,None"
芋艿丸,g
泽漆,两
黄雌鸡,只
象皮,"g,钱,钱5分,两,None"
生姜汁,"毫升,合,升,None"
荷蒂,枚
以伏龙肝为末,None
枯萝卜,"None,克"
姜黄片,钱
大牡蛎,g
闪耀,g
莲心,"克,钱,两"
醒神散,g
细木通,g
牛胆,None
山药,"g,克,钱,两,斤,None,分,两2钱,两半,石,两5钱,两8钱"
鲫鱼,"斤,枚,None,个"
卷心荷叶,两
葱子,钱
取出辰砂研,None
狗头骨灰,两
炒粳米,粒
折去下半截,克
羊肾,"具,对"
红豆蔻,"g,两"
鹿茸血,g
入砂锅内,None
研极细末,钱
肉桂粉,g
拣参,两
炙粟壳,g
陈槐花,None
川当归,"两,None,克"
炒柏,None
木馒头,g
白松脂,两
姜汁浸,"两,None"
余日,None
参姜,g
壮蛎,g
苟杞子,g
人参皂甙,g
明净松香,-2斤
忍冬,"None,两"
紫河车,"g,具,两,克,个,None"
山萸,"两,g,钱"
600,None
肉苁蓉,"g,两,None,克,钱,斤,两2钱,两半,石,分"
大天南星,-4枚
阳证用,克
以生姜,两
面裹煨熟,两
煮,None
炙天龙,g
先以鹅梨汁,盏
火焙干,None
风化消,None
鹿角霜,"两,钱,斤,g,None,克"
风梢蛇,None
黑牵牛,"g,两,分,None"
瓜荽,g
瓦焙,两
柿蒂,"None,g,钱,两"
细锉,"两,None"
川槿皮,克
干荷叶,"角,分"
%苍术,g
桑白,g
纳置南星内,None
大活地龙,条
核黄素,g
潞参,钱
苏叶,"g,两,钱5分,钱,两5钱,分,克,None"
取出又晒干,克
有干葛,None
香附,"g,两,None,钱,克,两6钱,kg,斤,分,份,钱5分,两半,钱半,个,两4钱,两5钱,两2钱"
夹书本中,None
细芽茶,钱
瓜蒌,"g,克,个,枚,两半,分,两,None"
龙砂,None
蓖麻肉,两
段大枣,枚
细盐,None
金顶砒,分
鲜垂杨柳,None
全银花,克
浮萍草,"克,g,钱半,两"
胡连,"两,克,g,分,None,钱"
先入全蝎,None
红塘,g
炙白术,g
香薷叶,克
天竹子,g
卤砂,g
败蒲灰,两
仙茅,"g,两,克"
当门麝香,克
淡附片,"钱,g"
赤丹参,g
换水净洗刷后添水,None
别捣,"升,None,分"
元寸,"g,厘"
萸贮,两
切作片子,None
黄芪,"None,g,两,钱,克,-50克,分,两半,两3钱,两2钱,～15克,千克,～60克,升,两1分,钱5分,钱半"
大辰砂,克
%九里明,g
白头翁,"克,g,分,钱,两"
始蚧,对
桃根,把
赤小豆末,克
舶上硫黄,两
鲤鱼甲,两
小麦麸皮,g
青蒿子,None
研烂,None
溴化钠,g
炒子芩,g
川木香,g
制耆,两
酒黄芩,"钱,分,克"
胖大海,"g,None"
北芪,"克,g"
雄蚕蛾,"g,钱,克"
鲜枇杷叶,"张,斤8两"
渐渐滴,None
马齿苋,"g,两,克,石,斤"
明乳香,两
南芎,克
再泔浸一宿,None
全蝎尾,个
益草,g
肝,None
炒荆芥,"g,升"
白鸭通,合
全归,"钱,克"
置铜锅内,None
冬月,分
地黄煎大,升
铁精,"两,分"
同炒赤,克
生天门冬,斤
鹿胎,具
北柴胡,"g,两"
葫芦茶,g
当归尾,"克,g,None,两,钱,分"
狸头骨,枚
甘草次酸,g
中盏,None
炒莲房,g
苍术,"None,克,两,钱,钱半,斤,g,两半,钱5分,分,钱2分"
生苡米,"g,克"
入药用,克
坎气,条
制龟版,两
重楼,"克,g,份"
胆矾,"None,分,钱"
鱼脑石,g
寸麦冬,"克,钱"
朝东侧柏叶,两2钱
昆布海带,None
人参提取物,None
生果末,g
好末茶,克
醋青皮,g
南枣,"None,枚"
青葱管,g
炒陈曲,g
雌黄,"两,分,钱,None"
砒霜末,None
柳枝,"两,握,分,寸,None"
焦三仙,"g,克"
条,None
甜瓜蒂,"钱,两,个"
白及粉,g
黄鹰调,分
面和作饼,两
蒸薏米,g
鲤鱼胆,枚
如已芬芳则无气力,None
真韭子,两
赤勺,g
鸡子清,None
白芜荑仁,None
苦楝树根皮,两
蚕绵炭,两
商路,g
水竹叶,两
莴苣菜子,两
紫荆皮,None
广桂枝,None
瓜蒌皮,g
逐日换泔,None
紫厚朴,"g,钱半"
犀角尖,钱
苦瓠膜如枣核大,None
射干,"g,None,两,克,两半,钱半,分"
编砂不以多少,None
白萝,g
京率参,g
铜锅内蒸半日,None
白蔹,"克,g,两,分,None,钱半"
炼白蜜,两
荞麦秸灰,升
桑芽孢,g
贯众,"两,克,g,None,分"
紫苏,"None,克,g,两,分,钱,钱5分,叶"
坯子胭脂,钱
浙贝,"克,两,g,钱,None"
剪芡实,g
透骨草,"克,g"
蜜大,升
苦杏,g
力慢,None
藁本,"g,两,分,克,None,钱,铢"
纸裹浸湿,None
鹅不食草,"g,两"
制台乌,克
椒,"两,分"
日[扌采],None
砦胡,g
西血珀,钱
生姜三至 大枣,片
芡实子,两
蟾头,"枚,个"
蚕,g
甘草片,两
白豆蔻,"克,两,g,None,分,两半,钱,粒"
氢氧化铝,g
虾米,克
切片同煮,None
半寸截,None
酒炒黄连,g
老式大泥冰,None
块广皮,两
桑棋,g
沙菀子,g
再绞,None
蚕茧壳,两
黎辣根,g
稻花,合
以生姜汁调和飞白面作软饼,None
石首鱼头,个
茴香炭,钱
参三七粉,g
风化朴消,克
王锦蛇,条
黄杜仲,两
童桑枝,克
姜夏,"g,钱"
黑豆大,None
泥固济,None
饭,升
壳砂,钱
铜刀刮,None
五瓜龙,g
用布绞干,None
楂曲,g
水安息,分
老鹳草,g
枯矾,"g,分,钱,克,两2钱,两,None,两半"
炒赤色,None
生地黄汁,"升,None,毫升"
桔更,g
遍去滑,"None,两"
前胡,"None,分,两,克,钱,g,钱5分,两半"
翻白草,g
二陈汤加炒栀子,None
霜桑叶,钱5分
酱汁,合
北山楂,g
盖甑上蒸,None
圆白半夏,None
以米泔水洗净,None
鹳骨,两
二冬,"～18克,None"
鸡屎,两
竹沥,"钱,毫升,g"
川牛膝,"g,两,克,钱,石,None,两5钱"
趁润炒令黄,None
陈香橼皮,克
茯苓,"g,两,钱,None,斤,分,两3钱,克,两半,两5钱,两4钱,千克,石,钱5分,两1分,钱半,钱3分,枚"
好酒内淬,None
胶如手掌大,None
玄且,g
泥封固,None
九菖蒲,两
木灵芝,g
广狗鞭,None
炙北耆,None
仍用冷水一倾,None
虎杖,"克,g,None,分"
干葛末,克
甜桔梗,克
琥珀末,"克,g"
炒焦,None
黄鱼鳔胶,克
包谷粉,g
乌蛇尾,分
置流水中冲洗,None
去皴皮,None
川归,"钱,克"
土贝母,分
藏红花,"两2钱,两"
大升,None
人参量加,None
栗楔,两
乌头尖,个
人中白,"g,两,钱,克,None"
蜜陀僧,两
大丽参,g
乌梅半个,None
薄茶,g
苣胜子,"钱,None,克"
氧化镁,g
郁金,"None,g,克,合,钱,两,分"
特蛎,g
上曲,斗5升
千里光,克
煨木香,g
味锉碎,None
乌头,"枚,None,两,克,分"
用河水,升
厚附片,克
酥炙令焦,None
红景天,g
钱氏异功散,两
槟榔,"枚,两,克,None,g,钱5分,斤,个,钱,分,钱2分,两半,两3钱,对"
木瓜,"克,g,两,None,个,分,钱"
石楠叶,"克,两,分"
在坑内烧红,克
生竹茹,克
桑根白皮,"两,克,分,两半,升"
姜石,None
生胡粉,两
木条,g
桑枝,"None,g,寸,克"
苔乌,g
稻谷芽,升
稻香陈,g
大南星,钱
杜钟,g
炙黄耆,"克,g,两"
生五味子,斤8两
龟板,"g,两,钱,克,None"
蟾蜍,"None,个,两"
赤芍I,g
草头香,g
但去胞内瘀血,None
南天竹,g
蚕砂,"克,g"
陈黄米,合
制马钱子,"None,g"
研细如粉,None
云白术,"两,克"
芍药甘草,克
天麻,"两,克,钱,None,g,石,分,两半,两5分"
淡竹叶切,升
用生姜汁制,None
二陈汤,None
土炒白术,"克,g"
用竹划缓缓闭去热水,None
焙干用,None
土瓜根,"克,两,分"
净蝉衣,克
大菖蒲,None
大槟榔,个
天花粉,"钱,g,分,克,None,石,两,钱5分"
防葵,"分,两"
地黄,"g,None,斤,克,钱半,钱,分"
苏子,"两,克,g,None,钱,升"
肉桂心,钱
童便浸,"克,None"
于砂锅内焙干,None
万州黄药子,斤
牛李子,两
虢丹,钱
败酱草,"g,克,两"
"马
齿苋",g
养于瓷盆内,None
生硫黄,钱
当归头,g
灸甘草,g
黄瓜蒌,个
杜赤豆,钱
阴地蕨,g
李根,把
川楝肉,"钱,两,钱5分"
冷盐水润透,None
大黄未,None
狗肾,钱
槐花,"g,两,None,钱"
三角尖,钱
生甘蜡,g
左蟠龙,钱
钻风,g
穿山甲粉,g
鲜生地汁,杯
菵草,两半
水煮令芽出,None
鸦胆子,"粒,两"
仍锉,钱
酥饧,克
本品为人参,None
绛通草,钱
虎眼皮,两
艾叶,"g,克,两,钱4分,钱,None,分,升,两半"
双仁,"None,克,两"
马蔺子,两
牛酥,斤
砂仁桔梗,None
海参,"斤,条"
白鲜皮,"g,钱,两,克,None,分"
连翘,"None,分,g,克,钱,两半,石,两"
青连翘,钱
蛇六谷,克
即用背上甲,None
螺蛳,None
人参少则用,～6克
鳖甲全个,None
香虫,g
奇良,None
酒川断,克
糯米粽,None
广橘络,钱
石礞,None
山大风,g
白介子,g
锉细,None
香薷,"None,克,g,钱"
井泉石,"克,两,钱"
小罗伞,g
糯米白酒,千克
炒远志,"两,克"
炒过用,None
削,None
棘刚子,"枚,分"
白僵蚕末,钱
蒴嫩叶,g
诃子目,两
外以泥裹,None
再将好酒,千克
降香,"克,g,分"
以酥蜜涂,None
日收,None
太一余粮,两
紫根草,g
苍耳子l,g
水滚子又名溪枫根,None
边桂,"分,g"
皂子大,None
又上火炒微枯黑色,None
大豆卷,"克,钱,升"
猪胆,None
没香,克
清水煮烊,None
建曲,"钱,g"
片白脑子,钱
炙令黄,"None,两"
好辰砂,钱
茯苓大,斤
金莲花,g
苎麻根,"克,g"
枳亮,"两2钱,克"
全丁香,g
丁香末,两
公丁香,"克,钱,两,None,粒,g,分,钱半,两半,个"
干地龙,g
苦地丁,"g,克"
以生布绞取汁,斗4升
低龙,g
鹿茸粉,g
获苓,克
乳没,"克,g"
川椒子,g
蒌,g
仙人蓑衣,None
密驼僧,g
榧子,"石,g,个"
蕲艾茸,两3钱
淮山药粉,g
炒谷麦芽,g
昼夜为度,None
归身尾,克
炒莪术,g
锉到小指头方块,None
研如糊,None
透明真牛皮胶,两
白扁豆,"克,两,斤,钱,None,～9克,g,两半,钱5分"
小青虾蟆,个
毛脚鸡,g
虎骨头,None
黄土,"两,None"
麻黄,"两,g,钱,两半,分,份,None,石,两2钱,克,两1分"
白约,g
祁蛇肉,钱
甘松,"钱,克,g,两,None"
清水半夏,两
番泻叶,g
干白术,g
开麻,g
过坛龙,g
淡茶栎根,None
棕桐炭,g
酒川军,g
硝石,份
上浮甘石,两
松香脂,两
生石决明,"g,None"
马鞭梢长,寸
肥皂,克
石决明,"None,g,克,两"
得油,克
白花蛇舌草,"克,g"
赤蔹,分
新布裹,克
腰子,None
盛朱砂器在内,None
铜刀切,None
鹿鞭,两
鹿节,g
小山楂,钱
生川乌,"g,钱半"
珍珠藤,斤
白术炭,克
腹下开,None
绝断劈开,千克
蝉房,g
山桅子仁,克
醋柴胡,"g,两"
炒茅术,钱5分
蔌花子,g
四苓散,None
石南藤,g
田七末,g
单桃仁,g
准药,g
竹远志,g
绵黄耆,"克,None,钱"
同煮,None
净全丁香,两
炒黑荆芥,"钱,g"
%茯苓,g
蛋清,个
连皮生姜,斤
光浮草乌,两
瓜壳,g
用槐枝不住手搅炒,None
扑尔敏,g
象牙犀,g
生水蛭,g
川乙金,g
阴证用,克
九蒸熟地,两
制附块,克
未生毛小鼠,None
马尾连,g
海浮石,"g,石,克,None"
茵陈蒿,"g,克,None,钱,分,两"
用蜜,克
龟版胶,"斤,两,g,钱"
昼夜,None
桑白皮,"两,克,None,g,钱,两半,钱半,分"
紫参,两
白干葛,钱
泔水浸,两
炒黄芩,"g,钱"
鲜菊叶,None
熟枣仁,g
真川贝母,克
乳香末,钱
酸枣仁,"g,两,钱5分,克,钱,None,分,合,份,钱半"
去醋,None
清炙耆,钱
白附片,两5分
重汤煮令鱼眼沸,None
大风子,"两,g"
白花蛇肉,两
鲜稻叶露,两
大南枣,枚
时,None
二陈汤加羌活,None
入地金牛,g
川莲仁,None
并肠,None
柴服,g
红参须,g
忍冬藤,"两,克,g"
谷精草,"两,克,钱,分,g"
白鸭,只
纸滤过,None
白箭芪,g
桔梗酌量,None
维生素A滴剂,ml
桑寄,g
荆三棱,"两,斤,克"
以炭火拥定,克
皂角针,钱
乌附片,g
蛴螬,克
广橘皮,分
陈皮,"None,g,两,钱5分,钱,克,分,斤,～9克,斤半,升,两半,钱半"
捣绞取,None
麻油,"两,斤4两,g,None,ml,茶匙"
铅霜,"克,两,分"
煸扁豆,g
黄荆子,g
皂角,"挺,g,两,斤,枚,分,克,None,钱"
蛤黛散,g
枳壳,"None,两,钱,克,分,-30克,两5钱,g,重,方,两半,钱半,石"
正川芎,g
阿胶,"None,g,两,克,钱,分,两6钱,片,两5钱,钱半,两半"
澄清,None
可,-8分
甘草节,"克,钱,None,两"
大芡实,g
榉木皮,None
大青盐,"两,钱,None,克,两8钱"
生白术,"两,kg,g,-60克,克"
铜绿,"钱,分,None,克"
竹节白附子,分
去沙石,None
猫爪草,g
刺五加,g
代赭石茯苓,g
黑乌梅,g
三叶人字草,g
厚扑,g
桑棋子,g
动物胆汁,g
叶金钱草,g
生牛蒡根,升
炒甘草,克
乃添水于釜内,分
酒母,钱
洋青黛,钱
顿净地上捶碎,None
五信子,g
炒香附,"克,g"
炒没药,g
淡豆豉,"g,合,钱,两,升,克,分,None"
新腊茶,两
楠,钱
铺作数层,None
滤,None
雅梨,两
槐砧土锉碎,None
生地黄汁半小盏,None
桃木,g
硇砂,"两,克,钱,g,None,分,字,两半"
大青叶,"克,g,两,分"
丹叁,g
入银锅炒过,None
白莲蕊,克
朝槐花,g
当当,g
清炙甘草,g
野天麻,None
伏火灵砂,分
生姜屑,两
花生红皮,g
地谷皮,g
同捣烂,None
吃力迦,克
淫羊藿,"g,钱,None,分,克,两"
土茯苓,"-30克,克,g,None,两,钱"
随饭蒸熟,None
加菔子,分
珍珠末,"钱,None,克"
皂角子,"个,钱"
水干再添盐水,None
腹内物净,None
川姜,两
冰糖,"g,None,斤"
葱头,"两,个"
河子,g
不犯铁器,None
土蜂房,None
川花椒,g
涂酥,"两,None"
酒拌,"克,两,None"
与前叶相和于银石器内,None
一藿香,None
大附子,"克,两,None,钱,只"
以苎布包,None
碎蛇,钱
大藓,钱
火煅存性,钱
辛夷花,"克,g,钱,两"
云南白药,g
柳白皮,两
白苏子,g
蜂蜜,"None,升,斤,克,千克,毫升,g,两,合"
细辛.,g
日午南晒,None
黄毛鹿茸,钱
甜白术,钱
捶碎,None
入人乳再蒸,克
鲜胎盘,个
酒浸,"两,None,分,钱,克,两半,两1分"
凤凰衣,分
蟾酥半字,None
净萸肉,"钱,g"
胶,两
常山片,g
熊胆,"分,钱,两,分5厘"
大风子仁,钱
制附子,"克,～9克,None,g,两"
薤白,"克,g,石,茎"
芦根,"克,g,None,分,两,两半"
酒浸软,None
马鸣退,两
鲜樟树叶,g
胡频叶,g
用草纸一层,None
炒药麸,钱
吉林红参,g
鳖甲辛,g
大蝉,只
五加皮粉,g
土鳖早,g
乌鸡,"只,g"
华阴细辛,克
珍珠母,"克,g"
诃藜勒皮,"克,None"
甘露醇,g
鸡肝,克
苋菜,斤
四物,None
绯绢方,尺2寸
沙糖,分
拌炒,None
铁渣,两
麸炒,两
抱过鸡卵壳,None
晋州绛矾,两
烧不爆散者,None
共十日,None
清麻油,斤
潼刺蒺藜,g
楝树枝,寸
贯众炭,g
赤骡护干,两
素馨花,g
大乌梅,"g,两,个"
通草,"克,分,g,None,钱,两"
菜菔子,g
炙干草,g
辛夷净仁,分
小蓟根,克
母鸭,只
附子,"两,两半,克,钱,分,None,枚,g,钱半,个,斤,两1分,-4钱,颗"
熟地少则用,～9克
连根收采,None
夜交藤,"克,g,石"
常山,"g,两,None,钱,克"
桃花蕊,钱
不用生姜,None
木爪,两半
人参酌量,None
扁蓄,"g,克,分,千克,None"
银末,None
童便炒,两
调量,None
加青皮,钱
鸡,None
骨碎补,"两,g,克,钱,None,两6钱"
芦荟,"克,钱半,两,None,钱,分,钱2分"
用山药末,-5两
太子,g
姜,"None,片"
釜月下焦黄土,枚
元胡,"g,两,kg,钱,克,None,钱5分,分,两半,两5钱,钱2分"
火煅,"None,两"
荔壳,None
入冷水一冰即取出,None
当归钱半,None
双钩藤,g
核桃仁,"None,g,克,两"
用甘草水浸,None
鸭跖草,g
金线吊白米,克
榆白皮,"两,None"
捣罗为末,None
苏土元,g
真川椒,两
雷丸,"克,两,g,钱,None"
焦米仁,g
半枝庭,g
不去核,None
桑上寄生,两
磁珠丸,g
绿色升麻,两5钱
切细,None
生枳实,g
益智仁,"钱,两,克,g,石,None,个,分"
木鳖子,"两,g,克,钱,None,个,钱5分,斤,钱半"
丝瓜络,g
山奈,"两,g,克"
糖球,克
橘叶,"g,None,克"
多则,None
棘刺,分
平胃散加黄连,None
天葵子,g
掌叶半夏,g
炒归尾,g
刮去皴皮,None
鹿角灰,g
真北五味子,None
砒,钱
即是石膏,None
灶下黄土,分
粉干葛,两
绿萼梅,g
羌活鱼,g
净轻粉,分
土槿皮,g
葱根,根
如前再拔,None
苦楝子,None
蜗牛子,分
广条,g
大濂珠,钱
川椒炭,钱
炙龟版,g
水胡椒草,斤
胡桃瓤,两
红花子,两
青子芩,钱
白头地龙,None
积壳,克
地肤草,两
蒸饼,两
失笑散,g
乳汁,分
桑黄,"两,分"
乌贼骨粉,g
龙齿,"克,g,两,None,分,钱"
料炭灰,升
入石臼中捣成饼,None
用生姜汁涂,克
山栀子,"两,None,分,克,钱,个"
生龙齿,g
发灰,None
南硼砂,"钱,两"
野菊花,"g,None"
柳树枝,寸
漆,克
同煮一整日,None
炭委,钱
姜黄,"两,克,g,None,钱"
去裙襕,None
豉半合,None
白毡毯,g
密陀僧,"两,g,None,分5厘,克"
拍扁,None
猪蹄甲,"None,钱"
海金砂,"克,g,两,None"
白米,"斗5升,合,None,克"
酒洒,None
120,None
晒参,g
马戟天,克
瞿麦,"石,g,None,克,两,分,千克,钱"
广木,两
蓬茂,克
山大黄,None
如指顶大,None
桂末,None
马料豆,"钱,None"
枯白矾,"钱,None,克,钱半"
先置烘箱烘软切开,None
再用伏龙肝末盖之,None
铺槽底,None
捻为薄饼,-9个
地榆,"两,g,None,克,分,钱,两半"
原红花,g
法夏,"钱,g"
鬼臼,分
大蓟,"g,None,分"
入面作饼子,两
时复换水,None
白人参,"克,g"
绞汁,None
海艾,克
蓼叶,克
少木香,g
黄柏末,"两,钱"
樗白皮,"None,g"
豆浆,ml
陈煮酒,克
金牙,"分,两"
牡丹,"两,g,分,None"
雄乌骨鸡,克
酒芍,g
慢火炙令色黄,None
香附子末,两半
烧枣子,None
朱砂末,克
绞取浓汁,升
狗膝,个
漉去,None
青蒿,"g,两,克,握,None,钱,两3钱,分"
如前,None
笑回想,g
制苁蓉,克
椒目,"石,g,两,钱"
调,None
下,None
珊瑚,g
苦楝根白皮,两
焦榔,g
入盐末,两
金墨,"两,克"
蔓菁花,None
掠去沫,两
人工牛黄,g
苦竹茹,克
福泽泻,g
青梁粟米,合
水半碗,None
取出晒干,"两5钱,克,None"
制胆星,g
于石器内慢火熬成膏,None
黄连末,钱
炒山栀,g
白前根,g
剜空,None
酒胆草,钱5分
煅瓦楞子,g
川乌头,"两,枚,分,钱,个,两半,None,克"
枸肝菜鲜,g
炒白扁豆,g
天南星,"克,g,钱,None,两,分,钱半,两6钱,两半,枚,个"
可容巴豆丸,粒
肉浓汁,None
山甲片,g
何首乌藤,g
苏梗,"两,g,钱,None"
曲棘针,分
黄牵牛,钱
苍耳心,分
白晒参,g
片仔癀,重
糯稻米根,g
制附子先煎,g
风干,None
琥珀,"g,两,钱,克,钱4分,升,分,None,石,钱5分"
O苦参l,g
百寿大梅,g
茸片,两
银杏仁,石
软者为妙,None
鼠曲草,"None,两,钱,份"
水浸,None
炒酸枣仁,"g,克"
化去白矾,None
净黄连,两
以醇酒,升
冬凌草,g
腐皮,"～80克,克"
生山查,g
再住火放冷,None
丹麦参,g
醋淬十二次,克
炒地榆,g
海金花,分
过草,g
用干者,钱
二味用巴豆,片
甘草末,"None,g,克"
制商陆,克
蛤蟆草,钱
古贞子,g
制乳没,g
取起焙干,两
蜜炙,两
酒曲,两
闾茹,None
胆南星,"克,g,None,石,钱,两5分,两"
称筋草,g
生定粉,None
漆牛膝,g
白杨皮,"两,握"
芜荑仁,分
淡子芩,g
祈艾,两
生北黄芪,g
是土五味子,两
白附子,"克,钱,g,两,分,None,个,钱半"
蚺蛇胆大豆大,None
用水纸封定,None
紫花地丁草,克
肉从容,g
姜制,"两,克"
拌匀,None
生杭芍,"克,g"
白石脂,"两,分,克,铢"
焦山栀,"g,钱"
同煮三五沸,None
甘李根,两
梅根,把
至晚西晒,None
水飞,"两,None,克"
大腹,"两半,枚"
麦门,两
酒浸一宿,"None,克"
蟾酥,"钱,None,g,片,克,分,两,字"
海螺蛸,g
龙骨末,分
鲮鲤甲,"None,两"
草槐花,g
真蟾酥,"None,克"
酸乌梅,g
巴戟朝天,两
生槐花,"None,g"
醋浸,"两,None,克"
生山药,"克,g,两,钱"
人参另煎,升
陈半夏,钱
楮子,升
炮穿山甲,g
炙鸡金,g
腐虫,g
蜥蜴半枚,None
上赤硫黄,克
万年青,"片,None"
一枝花,g
欢花,g
石莲,"None,g"
毛,钱
麻黄根,"克,g,两"
桔壳,None
乌贼鱼骨,"两,None"
捶扁,None
炮甲,"克,g"
红砂糖,None
甜冬术,g
生地汁,"钱,None"
藿香梗,克
乃是寒水石,None
韭白,None
人苋子半合,None
生姜汁制,两
四,"两,个"
柴花地丁,g
荜茇末,合
泽泻,"g,两,钱,克,两5钱,-20克,分,None,石,钱半,千克,钱5分,两半"
果黄,g
利蒺藜,g
冬瓜汁,合
生薏仁,g
血通,g
马珂,分
汤浸露,None
甘草,"None,g,两,钱,分,克,斤,钱5分,～6克,两2钱,kg,两半,升,份,两1分,钱半,石,铢,斤8两,钱2分,寸,两5钱,两8钱"
半复,克
朝鲜白参,克
醋半碗,None
龙须草,g
柠麻,None
枯皂矾,钱
生首乌,"两,g,克,None"
蜜柴胡,g
醋,"None,g,升,斤"
在手,None
扶芳藤,None
