雄黄,"钱,钱7分,g,钱5分,分,两,克"
马蔺花,两
菜油半钟,None
猴枣散,支
好白面,匙
丹参,"g,None,克,两,分"
酒黄芩,g
故绵灰,两
拣去斑蝥,None
炒杭芍,两
白蔻末,"分,克"
老葱白,g
水通,两
麻黄,"g,两,克,分,～9克,钱,None,钱4分,石"
单软膏,g
白芍,"两,克,None,g,钱,分,钱半,两5钱,钱5分"
草龙胆,两
食糖,None
麦芽,"两,g,两6钱,None"
大青盐,两
石韦,"None,两,克,分"
柴服,g
地肤子,两
紫荆皮,g
忍冬藤,g
南山楂,两半
竹茹,"g,两,None"
石膏,"钱,两,克,千克,g,None,两半"
栀子,"两,克,g,钱,None,枚,钱5分"
乱发,团
干姜,"None,g,克,片,～6克,两,分,钱,斤,两半,铢,钱半"
独活粉,g
赤芍,"克,None,两,千克,钱,g,分"
泡参,"g,钱"
炙川军,g
鸡肝,具
生栀仁,克
真胆星,钱
陈皮,"钱5分,None,g,克,钱,钱半,两,分,两半,至5钱,斤"
没药,"g,钱,克,None,两,两半"
桑白皮,"千克,None,两,克,g,钱半"
生米仁,g
铅霜,"分,两"
甘遂末,"g,克"
黄荆子,两
皂角,"钱4分,分,None,两,钱"
乌梅,"g,个,枚"
%葛根,g
密陀,两
正川芎,"钱,None"
阿胶,"克,两,钱半,g,分"
干木瓜,两半
维生素B,g
寒水石,"g,None,克,两,钱"
900,None
芫花,"两,分"
川柴胡,"钱,克"
浙苓皮,～9克
生麻黄,g
六一散,g
铜绿,"分,钱"
去沙石,None
香藿,g
二味通锉碎,克
糯米,粒
白竭,g
葡萄干,克
胨皮,None
使君子,"钱,个,两半"
明腰黄,g
夜明砂,两
明参,g
木鳖子,个
铅白霜,"克,钱"
何首乌,"g,两,钱"
蜂蜡,"钱,斤"
代赭石,"None,g"
葱白半握,克
毛冬青,g
鹿茸,"两,两1分,两5钱"
火麻仁,"钱,克,两"
莲须,"钱5分,两"
北沙参,"g,钱,克"
川贝,"克,钱,g,None,两,分"
淡豆豉,"～15克,克,g,钱,None,合,粒"
好夜明砂,钱
丝瓜络,g
角鹰屎,None
火烧人粪,g
牛黄,"g,分,None,钱5分,钱"
藜芦,"两,分"
猪胰,具
海藻,"g,分"
泥片,分
醋淬,"两,None"
熟附,分
小麦,斤
大青叶,"None,两,g,克"
北防风,两
川雅连,克
芦竹根,g
儿茶,"分,g,钱"
金樱子,None
皂荚灰,两
栀仁,None
钩藤钩,克
葛根粉,克
制僵蚕,g
油朴,钱
土茯苓,"克,g,钱"
麦糵,两
乌蛇尾,钱
白芜荑,分
天麻,"两,钱,分,g,克"
白滑石,None
再以醋煮三小时,None
鼠妇,分
茱萸,g
使君子肉,粒
川姜,克
合在内,None
北杏,g
青皮,"两,None,g,钱,克,分,两半,钱半,斤"
生鸡子,None
焦山栀子,g
橘叶,g
大枣肉,两
虎胫骨,两
荜茇,两
藿梗,g
槲寄生,g
女萎,克
烂石膏,克
狗脊粉,g
生薄荷,g
羊肉,斤
王不留行,"克,g,钱"
芎?,"分,两,斤"
去泥,None
土盐绿,分
肥知母,g
白糖,"None,g"
热地,None
蜂蜜,"g,毫升,斤,None"
水蛭,"枚,克,g"
炒槟榔,g
荆芥,"None,两,克,钱,g,钱半,千克,分,钱5分"
