通草,"钱,克"
芎藭,"半两,分,克,两,两半,铢"
南番葫芦巴,两
泽泻,"g,两,分,克,None,钱"
铜绿,"克,钱"
白芷,"两,斤,分,钱,五斤,三两,八两,钱5分,克,钱半,None,半两"
莱菔,g
牡蛎,"克,半两"
车前子,"None,半两,两,g,克"
檀香面,钱
麝香净肉,半两
蜀漆,两
沙糖,钱
天龙,"钱,条"
真磁石,两
巴戟,"两,None,克"
灵磁石,钱
解盐,两
雄黄,"两,克,半两,None,分,钱"
乌药,"两,钱,半两,二两,克,None"
肉豆蔻,"克,两,枚"
白术,"None,两,钱,二两,克,g,两5钱,八两,分,半斤,钱半,半两"
木通,"None,分,两半"
白附子,"两,g,半两,克"
香墨1寸,None
甲片,钱
阳起石,克
鸡血藤,"None,g"
茯苓块,克
降香末,钱
土鳖,两
羊膝,g
胡芦巴,两
禹余粮,"两,克,半两"
大朱砂,斤
石南叶,克
男发,克
干葛,"斤,十斤,分"
苁蓉,"半两,两,None,克"
草果仁,"None,半两"
猪脂,两
中鹿,只
臭椿白皮,两
桃花蕊,钱
鹿角霜,两
佛手面,钱
冰片,"None,钱,克,分"
莪术,"克,None,半两,钱"
子芩,半两
黑豆13.5%,None
红娘子,个
防己10.2%,None
青黛,"分,None,钱,克"
款冬花,"克,半两"
薄荷,"None,钱,两,克,分"
墨旱莲膏,克
百部,两半
牡丹,半两
猪牙皂角,"None,克,两"
麝香1字,None
石燕,两
蓬莪术,"两,半两"
狗脊,"两,g,半两,四斤,斤,None,克"
羚角片,克
金银花,"g,钱"
腊月猪肪,升
犀角片,克
川巴戟,"两,克"
白花蛇,两
蔓荆子,"None,克,钱"
皂角荚,两
棘刺,克
粉草,"None,钱"
地龙,"两半,两,g,半两,钱5分"
龙脑,半钱
西黄,克
赤苓,钱
桂心,"两,分,None,两半,半两"
犀角,"克,半两"
琐阳,钱
鹿茸,"两,克,半两,钱,None,对,两半"
清酒,ml
制山甲,克
冬虫草,钱
黄柏,"克,斤,两,斤8两,g,None,钱,分,半两"
黑芝麻膏,克
捆仙绳,None
木爪,两半
白胶香,两
黄耆,"None,斤半,两,克,g,半两,钱,半钱,斤"
黑豆,"半斤,两"
人中黄,两
枸妃子,g
郁金,"克,钱,枚"
大石蟹,个
儿茶,钱
樗根白皮,克
黄芩,"两,分,None,克,钱,半两"
枇杷叶,None
艾,分
防葵,两
鸡舌香,枚
茯苓,"半两,g,None,两,钱,分,斤半,克,斤8两,三两,钱5分,钱半,两半,铢"
原蚕蛾,半两
羌活,"斤半,两,钱,克,一两,g,半两,分,斤8两,二斤半,None,半斤,斤"
海参,斤
茶末,克
河车,具
螵蛸,"两,None,分"
桃仁,"两半,分,克,三两,钱,两"
益母草,钱
细香墨,半两
女贞子,"g,克,None"
人参面,钱
木贼,"分,None,二两"
水银,两
瞿麦,"克,半两"
枯矾,"克,None"
仙灵脾,"钱,两,g"
白酒,ml
薯蓣,"两,None"
鳖甲,"两,None,两半,半两"
乳香,"两,钱,钱半,半两,克,None"
楮实子,"None,克"
杜仲炭,斤8两
石碱,None
五味子,"两,g,None,钱,克,分,两半,半两"
赤小豆,"g,半两,两"
蓖麻仁,粒
海桐皮,"两,克"
芎?,"两,None,半两"
神曲,"None,克,两,钱"
草决明,"None,钱"
炙草,"两,分,克"
酒川断,克
葶苈,"两,None"
龙骨,"两,一两,None,半两,铢"
茯神,"钱,None,两,半两,克,分"
木瓜,"两,None,枚,克,g,斤,个,钱"
草龙胆,半两
苍术不拘多少,None
金箔200箔,None
艾烟熏,None
黄药子,半两
巴豆,"个,枚,两"
草,两
块广皮,两
枸杞,"两,g,两5钱,None,钱,克,斤,分,钱半"
蓖麻子,两
苍耳子,分
豉,"合,半合"
麦门冬,"两,钱,两半,克,一两半,None,半两"
紫豆蔻面,钱
木贼草,"钱5分,克,钱"
核桃仁,两
砂锅,两
芡实,"两,克,None"
龟甲胶,g
阿胶,"两,钱,克"
就入：轻粉,钱
石南藤,两
金箔,片
白鲜皮,"半两,两半"
铅白霜,分
桂枝,"钱,钱5分,分"
乌豆1斗,None
见血清,g
天麻,"两,钱,斤,半两,克,None"
胆矾,"克,None,分"
紫金皮,None
老蜘蛛,个
葫芦巴,"两,钱,半两,克"
黑豆6颗,None
牛角,分
羊肉,g
草乌,"两,钱,一斤半,斤半,半两,斤,g,克"
紫苏7叶,None
百草霜,"斤,两"
令膏凝,None
缩砂仁,"两,半两"
穿山甲,"钱,克,两2钱,两"
荆三棱,"两,半两"
全蝎,"分,钱,钱半,克,条,None,个"
巴霜,"None,钱"
精制马钱子,克
蒙花,"None,克,钱"
天南星,"None,钱,g,半两,两,克"
松香,克
胆南星,"分,两1钱"
蜗牛,个
生姜葱白,None
慢火熬,None
麻黄,"斤,钱,两,十斤,钱5分,半两,克,None,分"
磈润,钱
