茜草炭,"克,g"
山桅子,"g,克"
茶,节
藕汁,毫升
日者,None
人牙,None
上青桂,钱
以绵滤去滓,None
生贝母,g
？砂,g
纸袋盛,None
瓜仁,钱
拌酒蒸晒,None
四叶参,None
丹皮炭,g
石韦,"克,分,g,两,钱"
枫树,None
明雄,"两,钱"
猪牙皂角,两
同豆煮熟,None
川羌活,"钱,g,None,两"
用法酒,升
巴霜,"None,分"
硼砂,"钱,g,克,分,None,两,斤"
辅料,None
槐皮,None
白冰,两
浸一昼夜,None
云母石,两
胆酿南星,钱
橘络,"斤8两,g"
蒜秸`,g
汗防己,g
黄柏,"斤,钱5分,None,克,两,钱,g,份,分,两半,两8钱"
散血草,"克,g"
钩藤皮,克
狗宝,钱
腊月猪脂,两
龙胆汤加天冬,钱
栝萎皮,g
黑汞,钱
大穿山甲,两
川苦楝,分
桔便,g
连皮茯苓,g
金缨子,g
研粉,克
大川芎,"g,钱"
狗胆汁,枚
炒米仁,g
干莲心,钱半
味用米醋,升
醋炒椿皮,g
四物汤加香附,None
代蛤散,钱
渐贝,g
梨汁,None
清炙枇杷叶,g
即用枝,斤
贯芎,两
制何首乌,"g,None"
老鸦翅,根
生三棱,"克,g"
青竹茹,"升,克"
麦麸,g
炷香,None
白砂蜜,斤
生脑子,两
藤梨根,g
白术钱半,None
木馒头,g
飞青黛,None
蛇床子,"g,分,克,两,钱"
九层风,g
大两,None
炙桂枝,g
大当归,两
车前草,"g,None"
枪消,"钱,钱8分"
肉桂子,g
洋庄,克
咱黄连,g
韶粉,None
黄丝绢,None
鼠粪,分
凌霄花,"克,分,两,None"
炒丹参,g
末石脂,g
苟杞子,g
铅粉,"两,钱,None,分,克"
托盘根,None
黄苓,g
生犀,分
入净锅,None
熟蒲黄,g
海蛤,"两半,两"
用斑蝥,分
熬至发化,None
麦冬,"两,克,None,g,石,斤半,钱,铢,分,两半,两3分,两7钱半,钱5分,斤,两8钱,钱半,升,两2钱"
生杏仁汁,升
全蝎,"-12克,钱5分,两,克,g,石,个,钱,分,None,两半,条,枚"
珍珠,"g,None,克,分,钱,两"
蟢儿白衣,个
指甲,-3寸
糯杆,g
大凤艾,g
白障丹,g
慢火内炙令香,克
穿山龙,"g,-15克"
鲜虎杖,g
珍珠层粉,g
炒桔梗,克
红滕,g
如法再淬,None
蜂窠,"克,分,钱"
